4tkcr4tjs7124sqp5oodmfvd7opotbim.joburg.	86400	in	rrsig	NSEC3 8 2 86400 20250910010328 20250826233328 21865 joburg. B12qqQtr/ipiHQ3vnSA7M+fl0r5qlu4Hxh1+vSyi9O9gCsqJCJqQhY+AhFJGW36XKt15Qbx8FKhuxsyMxNtTXEf2vfMqUCO6UrmLrjXRUQyuFfAH94brbiv/8Q160li95kZtNIgK1dUOwLyeUWXOetJF5oX+CsrVnEsmAOfdHWc=
50fifty.joburg.	7200	in	ns	ns1.dns-h.com.
50fifty.joburg.	7200	in	ns	ns1.host-h.net.
50fifty.joburg.	7200	in	ns	ns2.dns-h.com.
50fifty.joburg.	7200	in	ns	ns2.host-h.net.
876913.joburg.	7200	in	ns	ns1.dns.com.
876913.joburg.	7200	in	ns	ns2.dns.com.
8thnote.joburg.	7200	in	ns	ns1.dns-h.com.
8thnote.joburg.	7200	in	ns	ns1.host-h.net.
8thnote.joburg.	7200	in	ns	ns2.dns-h.com.
8thnote.joburg.	7200	in	ns	ns2.host-h.net.
97klgrjc7kbj3hqqgn6d3alsaskrojqj.joburg.	86400	in	nsec3	1 1 0 - ABFJ8O291O6D4L5P4V8D28T0P5ERRPHP NS DS RRSIG
97klgrjc7kbj3hqqgn6d3alsaskrojqj.joburg.	86400	in	rrsig	NSEC3 8 2 86400 20250910010328 20250826233328 21865 joburg. PR/eD/RfuLPnykRZeWBdeH+Ax8F4jHE7Iu+L/Gis1d9zCM9zd8T4/92wXpZ+RLEuhh0oZn6J9swCVgNclMmoRvuxH+68DoKfK90gICo6vEsLANYoMuOinD4UrJaygVSfr7qx5PQSFA+f0rXOUSpGlwQ+xZQ3uYy02z5EPHd/cR0=
aarto.joburg.	7200	in	ns	linus.ns.1-grid.co.uk.
aarto.joburg.	7200	in	ns	linus.ns.1-grid.co.za.
aarto.joburg.	7200	in	ns	linus.ns.1-grid.com.
aarto.joburg.	7200	in	ns	linus.ns.1-grid.net.
abattoir.joburg.	7200	in	ns	ns1.hostednameservers.com.
abattoir.joburg.	7200	in	ns	ns2.hostednameservers.net.
abattoir.joburg.	7200	in	ns	ns3.hostednameservers.com.
abattoir.joburg.	7200	in	ns	ns4.hostednameservers.net.
abbeyroadinstitute.joburg.	7200	in	ns	ns-1180.awsdns-19.org.
abbeyroadinstitute.joburg.	7200	in	ns	ns-12.awsdns-01.com.
abbeyroadinstitute.joburg.	7200	in	ns	ns-1822.awsdns-35.co.uk.
abbeyroadinstitute.joburg.	7200	in	ns	ns-675.awsdns-20.net.
abes.joburg.	7200	in	ns	ns.dns1.co.za.
abes.joburg.	7200	in	ns	ns.dns2.co.za.
abes.joburg.	7200	in	ns	ns.otherdns.com.
abes.joburg.	7200	in	ns	ns.otherdns.net.
abfj8o291o6d4l5p4v8d28t0p5errphp.joburg.	86400	in	nsec3	1 1 0 - AMHEQ1PLVKG45RN3IR9E6500O8EF74NG NS DS RRSIG
abfj8o291o6d4l5p4v8d28t0p5errphp.joburg.	86400	in	rrsig	NSEC3 8 2 86400 20250910010328 20250826233328 21865 joburg. PwcJ12C+EA+QiQTlIENWkAb/RB0MQPdJthF+0TEwErABwK8WYJQ1bHu7I/xULIvZLmuy5QE+DchoCN9JxmLZckp4mMWdub8w+BelphoevA32KZzNbDlu4iSC3V0w6d6QLpPxdJ/o7eMY02boQE3oGaLPrtM1cOgckGpi4e9bQOY=
abortionclinic.joburg.	7200	in	ns	ns.dns1.co.za.
abortionclinic.joburg.	7200	in	ns	ns.dns2.co.za.
abortionclinic.joburg.	7200	in	ns	ns.otherdns.com.
abortionclinic.joburg.	7200	in	ns	ns.otherdns.net.
about.joburg.	7200	in	ns	ns1.dns-h.com.
about.joburg.	7200	in	ns	ns1.host-h.net.
about.joburg.	7200	in	ns	ns2.dns-h.com.
about.joburg.	7200	in	ns	ns2.host-h.net.
absa.joburg.	7200	in	ns	ns1.lexsynergy.net.
absa.joburg.	7200	in	ns	ns2.lexsynergy.us.
absa.joburg.	7200	in	ns	ns3.lexsynergy.info.
absafraudexp.joburg.	7200	in	ns	ns1.lexsynergy.net.
absafraudexp.joburg.	7200	in	ns	ns2.lexsynergy.us.
absafraudexp.joburg.	7200	in	ns	ns3.lexsynergy.info.
absolutehost.joburg.	7200	in	ns	ns1.mydnscloud.com.
absolutehost.joburg.	7200	in	ns	ns2.mydnscloud.com.
absolutehost.joburg.	7200	in	ns	ns3.mydnscloud.com.
absolutehost.joburg.	7200	in	ns	ns4.mydnscloud.com.
absolutehosting.joburg.	7200	in	ns	ns1.mydnscloud.com.
absolutehosting.joburg.	7200	in	ns	ns2.mydnscloud.com.
absolutehosting.joburg.	7200	in	ns	ns3.mydnscloud.com.
absolutehosting.joburg.	7200	in	ns	ns4.mydnscloud.com.
acacia.joburg.	7200	in	ns	linus.ns.1-grid.co.uk.
acacia.joburg.	7200	in	ns	linus.ns.1-grid.co.za.
acacia.joburg.	7200	in	ns	linus.ns.1-grid.com.
acacia.joburg.	7200	in	ns	linus.ns.1-grid.net.
acauto.joburg.	7200	in	ns	ns1.hostserv.co.za.
acauto.joburg.	7200	in	ns	ns2.hostserv.co.za.
accentuate.joburg.	7200	in	ns	ns1.tld-ns.net.
accentuate.joburg.	7200	in	ns	ns2.tld-ns.com.
accentuate.joburg.	7200	in	ns	ns3.tld-ns.net.
accentuate.joburg.	7200	in	ns	ns4.tld-ns.com.
accessbars.joburg.	7200	in	ns	ns1.s46.registerdomain.net.za.
accessbars.joburg.	7200	in	ns	ns2.s46.registerdomain.net.za.
accommodationinsandton.joburg.	7200	in	ns	ns1.dns-h.com.
accommodationinsandton.joburg.	7200	in	ns	ns1.host-h.net.
accommodationinsandton.joburg.	7200	in	ns	ns2.host-h.net.
accountant.joburg.	7200	in	ds	5774 13 2 5FB52CE021E20727F63B418A1A400B7A50DCCA70822BDE6164C90E91ADB12CEB
accountant.joburg.	7200	in	ns	ns1.sedoparking.com.
accountant.joburg.	7200	in	ns	ns2.sedoparking.com.
accountant.joburg.	7200	in	rrsig	DS 8 2 7200 20250910010328 20250826233328 21865 joburg. MLOKeqa+c4JgL/Z3/4+R569hzCGBxTqbga+vU0t5qM2FafHjZxF9d9np/CWotkA4sZlf2NdzwCXyEelcMo99nUkUbQQi1Setv6LA2GcNPEQzu/52UMIu6HzhRu7D1wuCgpo3XLgTCWYodI3V6339HGG6bN7C1cZeMzgYsNJNn6s=
accounting.joburg.	7200	in	ns	ns1.tld-ns.net.
accounting.joburg.	7200	in	ns	ns2.tld-ns.com.
accounting.joburg.	7200	in	ns	ns3.tld-ns.net.
accounting.joburg.	7200	in	ns	ns4.tld-ns.com.
accountingfirm.joburg.	7200	in	ns	ns1.dns-h.com.
accountingfirm.joburg.	7200	in	ns	ns1.host-h.net.
accountingfirm.joburg.	7200	in	ns	ns2.host-h.net.
accountingsa.joburg.	7200	in	ns	ns1.dns-h.com.
accountingsa.joburg.	7200	in	ns	ns1.host-h.net.
accountingsa.joburg.	7200	in	ns	ns2.dns-h.com.
accountingsa.joburg.	7200	in	ns	ns2.host-h.net.
aceman.joburg.	7200	in	ns	ns1.dns-h.com.
aceman.joburg.	7200	in	ns	ns1.host-h.net.
aceman.joburg.	7200	in	ns	ns2.dns-h.com.
aceman.joburg.	7200	in	ns	ns2.host-h.net.
aclabs.joburg.	7200	in	ns	linus.ns.1-grid.co.uk.
aclabs.joburg.	7200	in	ns	linus.ns.1-grid.co.za.
aclabs.joburg.	7200	in	ns	linus.ns.1-grid.com.
aclabs.joburg.	7200	in	ns	linus.ns.1-grid.net.
activ-health.joburg.	7200	in	ns	ns1.dns-h.com.
activ-health.joburg.	7200	in	ns	ns1.host-h.net.
activ-health.joburg.	7200	in	ns	ns2.dns-h.com.
activ-health.joburg.	7200	in	ns	ns2.host-h.net.
actuary.joburg.	7200	in	ns	ns1.spindoctor.mobi.
actuary.joburg.	7200	in	ns	ns2.spindoctor.mobi.
adagency.joburg.	7200	in	ns	ns1.dns-h.com.
adagency.joburg.	7200	in	ns	ns1.host-h.net.
adagency.joburg.	7200	in	ns	ns2.host-h.net.
adamsadams.joburg.	7200	in	ns	ns1.iptwins.net.
adamsadams.joburg.	7200	in	ns	ns2.iptwins.net.
adamsadams.joburg.	7200	in	ns	ns3.iptwins.com.
adamsadams.joburg.	7200	in	ns	ns4.iptwins.com.
addictionrecoverycentre.joburg.	7200	in	ns	vpns1.webeasy.co.za.
addictionrecoverycentre.joburg.	7200	in	ns	vpns2.webeasy.co.za.
addicts.joburg.	7200	in	ns	ns1.hostednameservers.com.
addicts.joburg.	7200	in	ns	ns2.hostednameservers.net.
addicts.joburg.	7200	in	ns	ns3.hostednameservers.com.
addicts.joburg.	7200	in	ns	ns4.hostednameservers.net.
adhara.joburg.	7200	in	ns	dns49.servidoresdns.net.
adhara.joburg.	7200	in	ns	dns50.servidoresdns.net.
admit.joburg.	7200	in	ns	ns1.hostednameservers.com.
admit.joburg.	7200	in	ns	ns2.hostednameservers.net.
admit.joburg.	7200	in	ns	ns3.hostednameservers.com.
admit.joburg.	7200	in	ns	ns4.hostednameservers.net.
adoptions.joburg.	7200	in	ns	ns1.hostednameservers.com.
adoptions.joburg.	7200	in	ns	ns2.hostednameservers.net.
adoptions.joburg.	7200	in	ns	ns3.hostednameservers.com.
adoptions.joburg.	7200	in	ns	ns4.hostednameservers.net.
adsense.joburg.	7200	in	ns	ns1.google.com.
adsense.joburg.	7200	in	ns	ns2.google.com.
adsense.joburg.	7200	in	ns	ns3.google.com.
adsense.joburg.	7200	in	ns	ns4.google.com.
advancedstrut.joburg.	7200	in	ns	myserver.ns.1-grid.co.uk.
advancedstrut.joburg.	7200	in	ns	myserver.ns.1-grid.co.za.
advancedstrut.joburg.	7200	in	ns	myserver.ns.1-grid.com.
advancedstrut.joburg.	7200	in	ns	myserver.ns.1-grid.net.
adwords.joburg.	7200	in	ns	ns1.google.com.
adwords.joburg.	7200	in	ns	ns2.google.com.
adwords.joburg.	7200	in	ns	ns3.google.com.
adwords.joburg.	7200	in	ns	ns4.google.com.
aequitasarmedprotection.joburg.	7200	in	ns	ns1.dns-h.com.
aequitasarmedprotection.joburg.	7200	in	ns	ns1.host-h.net.
aequitasarmedprotection.joburg.	7200	in	ns	ns2.dns-h.com.
aequitasarmedprotection.joburg.	7200	in	ns	ns2.host-h.net.
aequitasguarding.joburg.	7200	in	ns	ns1.dns-h.com.
aequitasguarding.joburg.	7200	in	ns	ns1.host-h.net.
aequitasguarding.joburg.	7200	in	ns	ns2.dns-h.com.
aequitasguarding.joburg.	7200	in	ns	ns2.host-h.net.
aeropets.joburg.	7200	in	ns	ns1.dns-h.com.
aeropets.joburg.	7200	in	ns	ns1.host-h.net.
aeropets.joburg.	7200	in	ns	ns2.dns-h.com.
aeropets.joburg.	7200	in	ns	ns2.host-h.net.
aerotropolis.joburg.	7200	in	ns	ns.dns1.co.za.
aerotropolis.joburg.	7200	in	ns	ns.dns2.co.za.
aerotropolis.joburg.	7200	in	ns	ns.otherdns.com.
aerotropolis.joburg.	7200	in	ns	ns.otherdns.net.
afbzd.joburg.	7200	in	ns	ns1.netsto.net.
afbzd.joburg.	7200	in	ns	ns2.netsto.net.
afghgw.joburg.	7200	in	ns	n1.xundns.com.
afghgw.joburg.	7200	in	ns	n2.xundns.com.
afound.joburg.	7200	in	ns	a1-139.akam.net.
afound.joburg.	7200	in	ns	a11-66.akam.net.
afound.joburg.	7200	in	ns	a12-67.akam.net.
afound.joburg.	7200	in	ns	a28-64.akam.net.
afound.joburg.	7200	in	ns	a5-65.akam.net.
afound.joburg.	7200	in	ns	a8-66.akam.net.
africacnc.joburg.	7200	in	ns	ns1.dns-h.com.
africacnc.joburg.	7200	in	ns	ns1.host-h.net.
africacnc.joburg.	7200	in	ns	ns2.dns-h.com.
africacnc.joburg.	7200	in	ns	ns2.host-h.net.
africadatacenter.joburg.	7200	in	ns	rodney.ns.cloudflare.com.
africadatacenter.joburg.	7200	in	ns	tia.ns.cloudflare.com.
africadatacentre.joburg.	7200	in	ns	rodney.ns.cloudflare.com.
africadatacentre.joburg.	7200	in	ns	tia.ns.cloudflare.com.
africanews.joburg.	7200	in	ns	ns-1010.awsdns-62.net.
africanews.joburg.	7200	in	ns	ns-1491.awsdns-58.org.
africanews.joburg.	7200	in	ns	ns-1778.awsdns-30.co.uk.
africanews.joburg.	7200	in	ns	ns-340.awsdns-42.com.
africanhills.joburg.	7200	in	ns	ns1.dns-h.com.
africanhills.joburg.	7200	in	ns	ns1.host-h.net.
africanhills.joburg.	7200	in	ns	ns2.dns-h.com.
africanhills.joburg.	7200	in	ns	ns2.host-h.net.
africanmarketplace.joburg.	7200	in	ns	ns1.dns-h.com.
africanmarketplace.joburg.	7200	in	ns	ns1.host-h.net.
africanmarketplace.joburg.	7200	in	ns	ns2.dns-h.com.
africanmarketplace.joburg.	7200	in	ns	ns2.host-h.net.
africanpridehotels.joburg.	7200	in	ns	ns-1223.awsdns-24.org.
africanpridehotels.joburg.	7200	in	ns	ns-1913.awsdns-47.co.uk.
africanpridehotels.joburg.	7200	in	ns	ns-405.awsdns-50.com.
africanpridehotels.joburg.	7200	in	ns	ns-838.awsdns-40.net.
africatents.joburg.	7200	in	ns	verify1.registrar.eu.
africatents.joburg.	7200	in	ns	verify2.registrar.eu.
africatents.joburg.	7200	in	ns	verify3.registrar.eu.
afrihost.joburg.	7200	in	ns	ns.dns1.co.za.
afrihost.joburg.	7200	in	ns	ns.dns2.co.za.
afrihost.joburg.	7200	in	ns	ns.otherdns.com.
afrihost.joburg.	7200	in	ns	ns.otherdns.net.
afrikanervellies.joburg.	7200	in	ns	ns1.host-ww.net.
afrikanervellies.joburg.	7200	in	ns	ns2.host-ww.net.
afrikanervellies.joburg.	7200	in	ns	ns3.host-ww.net.
afrikanervellies.joburg.	7200	in	ns	ns4.host-ww.net.
afterlife.joburg.	7200	in	ns	ns1.host-ww.net.
afterlife.joburg.	7200	in	ns	ns2.host-ww.net.
afterlife.joburg.	7200	in	ns	ns3.host-ww.net.
afterlife.joburg.	7200	in	ns	ns4.host-ww.net.
agri.joburg.	7200	in	ns	ns1.dns-h.com.
agri.joburg.	7200	in	ns	ns1.host-h.net.
agri.joburg.	7200	in	ns	ns2.dns-h.com.
agri.joburg.	7200	in	ns	ns2.host-h.net.
agrimech.joburg.	7200	in	ns	ns1.dns-h.com.
agrimech.joburg.	7200	in	ns	ns1.host-h.net.
agrimech.joburg.	7200	in	ns	ns2.dns-h.com.
agrimech.joburg.	7200	in	ns	ns2.host-h.net.
agsfrasers.joburg.	7200	in	ns	ns1.tld-ns.net.
agsfrasers.joburg.	7200	in	ns	ns2.tld-ns.com.
agsfrasers.joburg.	7200	in	ns	ns3.tld-ns.net.
agsfrasers.joburg.	7200	in	ns	ns4.tld-ns.com.
agsmovers.joburg.	7200	in	ns	ns1.tld-ns.net.
agsmovers.joburg.	7200	in	ns	ns2.tld-ns.com.
agsmovers.joburg.	7200	in	ns	ns3.tld-ns.net.
agsmovers.joburg.	7200	in	ns	ns4.tld-ns.com.
agulhas.joburg.	7200	in	ns	ns.dns1.co.za.
agulhas.joburg.	7200	in	ns	ns.dns2.co.za.
agulhas.joburg.	7200	in	ns	ns.otherdns.com.
agulhas.joburg.	7200	in	ns	ns.otherdns.net.
ahfjd.joburg.	7200	in	ns	n1.xundns.com.
ahfjd.joburg.	7200	in	ns	n2.xundns.com.
aids.joburg.	7200	in	ns	ns1.hostednameservers.com.
aids.joburg.	7200	in	ns	ns2.hostednameservers.net.
aids.joburg.	7200	in	ns	ns3.hostednameservers.com.
aids.joburg.	7200	in	ns	ns4.hostednameservers.net.
aidstests.joburg.	7200	in	ns	ns1.hostednameservers.com.
aidstests.joburg.	7200	in	ns	ns2.hostednameservers.net.
aidstests.joburg.	7200	in	ns	ns3.hostednameservers.com.
aidstests.joburg.	7200	in	ns	ns4.hostednameservers.net.
aii-sa.joburg.	7200	in	ns	ns1.tld-ns.net.
aii-sa.joburg.	7200	in	ns	ns2.tld-ns.com.
aii-sa.joburg.	7200	in	ns	ns3.tld-ns.net.
aii-sa.joburg.	7200	in	ns	ns4.tld-ns.com.
aiisa.joburg.	7200	in	ns	ns1.tld-ns.net.
aiisa.joburg.	7200	in	ns	ns2.tld-ns.com.
aiisa.joburg.	7200	in	ns	ns3.tld-ns.net.
aiisa.joburg.	7200	in	ns	ns4.tld-ns.com.
ainno.joburg.	7200	in	ns	ns1.lexsynergy.net.
ainno.joburg.	7200	in	ns	ns2.lexsynergy.us.
ainno.joburg.	7200	in	ns	ns3.lexsynergy.info.
airbnb.joburg.	7200	in	ns	ns1.dns-h.com.
airbnb.joburg.	7200	in	ns	ns1.host-h.net.
airbnb.joburg.	7200	in	ns	ns2.dns-h.com.
airbnb.joburg.	7200	in	ns	ns2.host-h.net.
aircharter.joburg.	7200	in	ns	ns1.dns-h.com.
aircharter.joburg.	7200	in	ns	ns1.host-h.net.
aircharter.joburg.	7200	in	ns	ns2.dns-h.com.
aircharter.joburg.	7200	in	ns	ns2.host-h.net.
aircon.joburg.	7200	in	ns	ns.dns1.co.za.
aircon.joburg.	7200	in	ns	ns.dns2.co.za.
aircon.joburg.	7200	in	ns	ns.otherdns.com.
aircon.joburg.	7200	in	ns	ns.otherdns.net.
airconditioning.joburg.	7200	in	ns	ns1.dns-h.com.
airconditioning.joburg.	7200	in	ns	ns1.host-h.net.
airconditioning.joburg.	7200	in	ns	ns2.dns-h.com.
airconditioning.joburg.	7200	in	ns	ns2.host-h.net.
airlineticket.joburg.	7200	in	ns	ns1.hostednameservers.com.
airlineticket.joburg.	7200	in	ns	ns2.hostednameservers.net.
airlineticket.joburg.	7200	in	ns	ns3.hostednameservers.com.
airlineticket.joburg.	7200	in	ns	ns4.hostednameservers.net.
airpollution.joburg.	7200	in	ns	ns1.hostednameservers.com.
airpollution.joburg.	7200	in	ns	ns2.hostednameservers.net.
airpollution.joburg.	7200	in	ns	ns3.hostednameservers.com.
airpollution.joburg.	7200	in	ns	ns4.hostednameservers.net.
airportparking.joburg.	7200	in	ns	ns.dns1.co.za.
airportparking.joburg.	7200	in	ns	ns.dns2.co.za.
airportparking.joburg.	7200	in	ns	ns.otherdns.com.
airportparking.joburg.	7200	in	ns	ns.otherdns.net.
airscream.joburg.	7200	in	ns	ns1.tld-ns.net.
airscream.joburg.	7200	in	ns	ns2.tld-ns.com.
airscream.joburg.	7200	in	ns	ns3.tld-ns.net.
airscream.joburg.	7200	in	ns	ns4.tld-ns.com.
airtime.joburg.	7200	in	ns	web01.cyberwebhosting.co.za.
airtime.joburg.	7200	in	ns	web02.cyberwebhosting.co.za.
aizoh.joburg.	7200	in	ns	ns1.netsto.net.
aizoh.joburg.	7200	in	ns	ns2.netsto.net.
ajrpwb.joburg.	7200	in	ns	n1.xundns.com.
ajrpwb.joburg.	7200	in	ns	n2.xundns.com.
ajsconsultants.joburg.	7200	in	ns	ns1.tld-ns.net.
ajsconsultants.joburg.	7200	in	ns	ns2.tld-ns.com.
ajsconsultants.joburg.	7200	in	ns	ns3.tld-ns.net.
ajsconsultants.joburg.	7200	in	ns	ns4.tld-ns.com.
akjgc.joburg.	7200	in	ns	n1.xundns.com.
akjgc.joburg.	7200	in	ns	n2.xundns.com.
alamo.joburg.	7200	in	ns	ns1.markmonitor.com.
alamo.joburg.	7200	in	ns	ns3.markmonitor.com.
alamo.joburg.	7200	in	ns	ns4.markmonitor.com.
alamo.joburg.	7200	in	ns	ns5.markmonitor.com.
