17tajlor0tde5i5318d15e6tmm5s20qa.lease.	3600	in	nsec3	1 1 0 73 2S96UGQOM35HRACNBH7IG6RBQ87SCD5V NS DS RRSIG
17tajlor0tde5i5318d15e6tmm5s20qa.lease.	3600	in	rrsig	NSEC3 8 2 3600 20260207155218 20260117145218 11913 lease. XscZwKNR+RLXQmvVScpK1rujoN3OqXdW9dEzUJj6t0pIgF+T7/M1fbI6i+CApsNnFs9EtR8XttE0yYTZ5wsMtUODSRelk9CkXpa6Jj9L+9r6nbFZiSnQ/qsCWP4Uuiq+lKIkKAX7sC5/Yp4+EebIWbnAclAN+3vkl1ioZOgdE5w=
188bet.lease.	3600	in	ns	collins.ns.cloudflare.com.
188bet.lease.	3600	in	ns	osmar.ns.cloudflare.com.
1904.lease.	3600	in	ns	docks07.rzone.de.
1904.lease.	3600	in	ns	shades04.rzone.de.
1st.lease.	3600	in	ns	ns1.hover.com.
1st.lease.	3600	in	ns	ns2.hover.com.
20012.lease.	3600	in	ns	n1.xundns.com.
20012.lease.	3600	in	ns	n2.xundns.com.
212.lease.	3600	in	ns	ns1.101domain.com.
212.lease.	3600	in	ns	ns2.101domain.com.
212.lease.	3600	in	ns	ns5.101domain.com.
22867.lease.	3600	in	ns	n1.xundns.com.
22867.lease.	3600	in	ns	n2.xundns.com.
2s96ugqom35hracnbh7ig6rbq87scd5v.lease.	3600	in	nsec3	1 1 0 73 363D0LI4E7KR4VMET14K69K45Q48HUIG NS DS RRSIG
2s96ugqom35hracnbh7ig6rbq87scd5v.lease.	3600	in	rrsig	NSEC3 8 2 3600 20260207155218 20260117145218 11913 lease. bFzbGevDpSDTo274B3ojiTSYYU8XCHXrLaOi8MRyW2BCZ2nCNNMJzu/3nKLsjQVtnWTFwkrUAcpF9W/Cou3YVCMFNx42M2j8EdUnMBlahMFxMDvNhzD+xEIU0zHuM5GQVzqFwif0e6Fktk569K79Pkxkt7ftMU4Y2Ik/8azu6Vs=
2wheels.lease.	3600	in	ns	ns01.hostnet.nl.
2wheels.lease.	3600	in	ns	ns02.hostnet.nl.
31272.lease.	3600	in	ns	n1.xundns.com.
31272.lease.	3600	in	ns	n2.xundns.com.
32738.lease.	3600	in	ns	n1.xundns.com.
32738.lease.	3600	in	ns	n2.xundns.com.
33160.lease.	3600	in	ns	ns1.sedoparking.com.
33160.lease.	3600	in	ns	ns2.sedoparking.com.
33572.lease.	3600	in	ns	n1.xundns.com.
33572.lease.	3600	in	ns	n2.xundns.com.
35236.lease.	3600	in	ns	n1.xundns.com.
35236.lease.	3600	in	ns	n2.xundns.com.
35399.lease.	3600	in	ns	n1.xundns.com.
35399.lease.	3600	in	ns	n2.xundns.com.
363d0li4e7kr4vmet14k69k45q48huig.lease.	3600	in	nsec3	1 1 0 73 39GHNSBVQTUSGOQEOTD5CKANCE9E0MMI NS DS RRSIG
363d0li4e7kr4vmet14k69k45q48huig.lease.	3600	in	rrsig	NSEC3 8 2 3600 20260207155218 20260117145218 11913 lease. mrsKy43zp1RcAkrsaQWu7iseYbMHIiGSJ1Gr8m+0ufk5Er9FZPfckHHizDQCnwsIBvcSEM/BXNjjhMW+HB9cxqYVgywrShHFN/LyGNadutC55Ft6SAbEpZCinjBlIOObPOUNP3uhpKGConeQb6PuaswTmk0JlBgP9nBa1dA6jKY=
38782.lease.	3600	in	ns	n1.xundns.com.
38782.lease.	3600	in	ns	n2.xundns.com.
388bet.lease.	3600	in	ns	ns1.dyna-ns.net.
388bet.lease.	3600	in	ns	ns2.dyna-ns.net.
397cap.lease.	3600	in	ns	ns71.domaincontrol.com.
397cap.lease.	3600	in	ns	ns72.domaincontrol.com.
39ghnsbvqtusgoqeotd5ckance9e0mmi.lease.	3600	in	nsec3	1 1 0 73 3GTPN0BKKPLOD8HTLOUOQ8Q3VUBKISHU NS DS RRSIG
39ghnsbvqtusgoqeotd5ckance9e0mmi.lease.	3600	in	rrsig	NSEC3 8 2 3600 20260207155218 20260117145218 11913 lease. e3A4n4Ra0+Q3JeV7OC340k9+1Ecr9tgLkRReOMTIVyDte5Q1z85mKreTXv0jRG5MlCgYhB27N73WO4ZKw3Bqs7MJ2UGrUZkKk7wTBLO2Bj4roCeeNZ5mCQh7Obkkle//dBvXiCDx1Iey6jtG5ZvltzWgUV9L4Db8WmxVrliAFoU=
3dprinter.lease.	3600	in	ns	ns33.domaincontrol.com.
3dprinter.lease.	3600	in	ns	ns34.domaincontrol.com.
3gtpn0bkkplod8htlouoq8q3vubkishu.lease.	3600	in	nsec3	1 1 0 73 3KL9VPFPL4DPN1EB4QVCCTBCFA4M7D2I NS DS RRSIG
3gtpn0bkkplod8htlouoq8q3vubkishu.lease.	3600	in	rrsig	NSEC3 8 2 3600 20260207155218 20260117145218 11913 lease. lRwyEZdqJZ4ECF/r1cD0Xoiarc2mtCa/54VMpzH7R2iMgPjzCN2ZBWUFKEopQCHdB5LoKgFBIymD3AmSTvuEA8uS/DTH6diP2lkt7SrF9enjTW4E4s3LYH8LeO0zMRCBL5Fngb9w6WeLSGo3roGYB3+tPoV/69JKH0AdRcg7M7I=
3kl9vpfpl4dpn1eb4qvcctbcfa4m7d2i.lease.	3600	in	nsec3	1 1 0 73 3R5I7F22H1J0R31CR7R26L1LMP7R2JSP NS DS RRSIG
