0e9jdnoevb9382cl00npge5bkc8jdgic.healthcare.	3600	in	nsec3	1 1 0 73 0IEE8ODABD4H30P6R7HC7D038PSFTR89 NS DS RRSIG
0e9jdnoevb9382cl00npge5bkc8jdgic.healthcare.	3600	in	rrsig	NSEC3 8 2 3600 20260207154707 20260117144707 45603 healthcare. k8OD5GnL2VUNYApIG8iN+AAVNGqzrcEzfM67yihCqBrTGo5GffoZUQdeee4P7ra0asNjkot0qpJc4Jipp38F4sOy2EgjqSA2r8DXor7c4DyRfumbtHS25v46BIqPhDnypOf5gGae6RehooL8NR8UAAX0Zr9O/elOKdw/q+tmpKo=
0iee8odabd4h30p6r7hc7d038psftr89.healthcare.	3600	in	nsec3	1 1 0 73 0JB5R886R4LVL0DQQO3K8BGVQG8LHJG7 NS DS RRSIG
0iee8odabd4h30p6r7hc7d038psftr89.healthcare.	3600	in	rrsig	NSEC3 8 2 3600 20260207154707 20260117144707 45603 healthcare. SSyZUiz7wTmLoTWDLIV4a1gABiFfR7pqLMf55nQd6OLm3S5Td8FwN5fIOtOHoGkK2BGTGsEStbnnvQzQsZn8Oy0A/DWMOJS8AgANvkCtbdTJBfltGlq+LON9vojPYQpJLDI0D3lJUChjx9QAwZ/9Kk2Mt1VLjrppcROc2F+Tgrc=
0jb5r886r4lvl0dqqo3k8bgvqg8lhjg7.healthcare.	3600	in	nsec3	1 1 0 73 0JFKJFLDQBTGKK5I9QH5Q90LTP1A8GVP NS DS RRSIG
0jb5r886r4lvl0dqqo3k8bgvqg8lhjg7.healthcare.	3600	in	rrsig	NSEC3 8 2 3600 20260207154707 20260117144707 45603 healthcare. p+quF2Uz9uWi+asulDnyuzgKmyB5p8cfqYe11ZLH/psKW4QXI2N/atZFGxf2HH+ao+9c3246fPZEfI0uJwBp2/6rX7sCed3Mhyv+6Tewz3Qb+w2wJNpgu88t8HQFVHezQt9/U2ULk2ftnE73CsmCZnZMwGqoemz7uJY2a32avhU=
0jfkjfldqbtgkk5i9qh5q90ltp1a8gvp.healthcare.	3600	in	nsec3	1 1 0 73 0LKIT32VHB32VIEOJ1K037ICL3MUGA17 NS DS RRSIG
0jfkjfldqbtgkk5i9qh5q90ltp1a8gvp.healthcare.	3600	in	rrsig	NSEC3 8 2 3600 20260207154707 20260117144707 45603 healthcare. L5xXW7K3UPTD6qo+AUhAxg8Hn1hF7tA8CySvvtHKfncS3qaG49nx0lziuUVXHs8Jb8YhQgQRiI8VgkM/wEOjYJVD/+gjcsCGfWMJwThFfjKxHN7fMAT/uTF9eyqz6zDJsp87xOTrM8E00JPK1JUyGl5Lf6hQTZQpzvLpv+4mdtA=
0lkit32vhb32vieoj1k037icl3muga17.healthcare.	3600	in	nsec3	1 1 0 73 0O5FBAOS5UPFMB2HAN8QBIGCJ6Q7EHBL NS DS RRSIG
0lkit32vhb32vieoj1k037icl3muga17.healthcare.	3600	in	rrsig	NSEC3 8 2 3600 20260207154707 20260117144707 45603 healthcare. mcEwSpUWfDt8qThTmMiushzQ5TdLp79VJrd9ByIbNTAV85J1TSKEbZ+m/vepfXgvc1hmHE2jh20/MTZ1BrRT/slKMAA8w4qN+zPQxXXaKt6BZfh9LiE/upriB13Fh/Es7+OfchHobaEq72tf0ALt3EjSF46OnwaXM3tk2DSPXMs=
0ne.healthcare.	3600	in	ns	ns55.domaincontrol.com.
0ne.healthcare.	3600	in	ns	ns56.domaincontrol.com.
0o5fbaos5upfmb2han8qbigcj6q7ehbl.healthcare.	3600	in	nsec3	1 1 0 73 0TASTDLPQ1DB8UMBPDCVDT8SGK56A09Q NS DS RRSIG
0o5fbaos5upfmb2han8qbigcj6q7ehbl.healthcare.	3600	in	rrsig	NSEC3 8 2 3600 20260207154707 20260117144707 45603 healthcare. Jvsinbe0HObyra8e77p65Ovw2qoMzYkc+PaY+EHZ24LdijjtLpDPEATM/OTlcYYRZII/ysBVd8BBAx/bL3b1jLMmfbtqbDW+zRdYze3ImPh10S19UtZLHg99OO6H0MkLhcBmQEKzQPIUzeM8p8X2f8L1y0yYU+mN8uQlISZqyVM=
0tastdlpq1db8umbpdcvdt8sgk56a09q.healthcare.	3600	in	nsec3	1 1 0 73 0V07M2JLN5P4EFU2N8QP1PPIDACJP1R2 NS DS RRSIG
0tastdlpq1db8umbpdcvdt8sgk56a09q.healthcare.	3600	in	rrsig	NSEC3 8 2 3600 20260207154707 20260117144707 45603 healthcare. mrloOHazxiOIGzPQLPkzGjXQYHSyrZuwrF6QeXxo86u+QtroUtd7FB1JiaqdSx8QkTAsGvphR3s17tEhHAwhs0Yib5aOiJim2YV3/h17mTbz44F0EpMqpEoiPKkLdoMvIq5F4DSQiKs1duDuxQAIdU1wq2clGYtvW4O8vmFNlZU=
0v07m2jln5p4efu2n8qp1ppidacjp1r2.healthcare.	3600	in	nsec3	1 1 0 73 14D2LP934OJ26NJB54SQVN2M03VANEGA NS DS RRSIG
0v07m2jln5p4efu2n8qp1ppidacjp1r2.healthcare.	3600	in	rrsig	NSEC3 8 2 3600 20260207154707 20260117144707 45603 healthcare. BoUuK6vIZDl9o211XmCDDKYPRh5fjT31juDlKqFYriZsSiHUy6k6DQjK/SC+oRn6/HtEuaJDli8K+GEWNNUX5ri5uMvq6cnup8yL2qvLbD2Kb9Ctv/QZotqrmixK9RT+AIsPN7Eb8OxVZnGm3SUkmKpb/UaThGyj7W9NYyfOQVc=
1-877-dr-chewy.healthcare.	3600	in	ns	dns1.p01.nsone.net.
1-877-dr-chewy.healthcare.	3600	in	ns	dns2.p01.nsone.net.
1-877-dr-chewy.healthcare.	3600	in	ns	dns3.p01.nsone.net.
1-877-dr-chewy.healthcare.	3600	in	ns	dns4.p01.nsone.net.
1.healthcare.	3600	in	ns	ns39.domaincontrol.com.
1.healthcare.	3600	in	ns	ns40.domaincontrol.com.
100.healthcare.	3600	in	ns	ns69.domaincontrol.com.
100.healthcare.	3600	in	ns	ns70.domaincontrol.com.
100percent.healthcare.	3600	in	ns	ns5.worldnic.com.
100percent.healthcare.	3600	in	ns	ns6.worldnic.com.
1099.healthcare.	3600	in	ns	ns21.domaincontrol.com.
