0m76fi5r8r9j57fvqqg9sbsngtjbcuql.equipment.	3600	in	rrsig	NSEC3 8 2 3600 20260207152720 20260117142720 11235 equipment. GPfGc/UKaSBsNeltVhdJVqSDI5bTSJRdFzpNy5MTA6Zk2jjPKGgmKSn2MyrlBvyeiPnqO6kSMgxFe4Xb9cPoJqBK0Lrd+XdEuapxhM8yuxfMcgtD9SJ2e6LwNn6DXwzePKioAagJhfiyFWsvhamoTMPSz/rq0BRXAznzBqCaenk=
0o1a851pk18b6voghrudl8n6428tfian.equipment.	3600	in	nsec3	1 1 0 73 10CON4QBOOQ1JK7Q49H6MPTMC2KDPP0H NS DS RRSIG
0o1a851pk18b6voghrudl8n6428tfian.equipment.	3600	in	rrsig	NSEC3 8 2 3600 20260207152720 20260117142720 11235 equipment. hUctaUTUjjCTiJEUT1ZCx2s0giAPFQdBHm25DObvpwT3xsTy12Yz+HQdhs0qEQxa9Z11+lm8BERrPjVgKSCqeHoVHObpK/THtPs5JC0G3xdaWkuv36qALz10iTMFakGHfo2HeOz0yXMmCJ4ryqf5U3sNnPihK87H7begzubp+qY=
1-800-getaloan.equipment.	3600	in	ns	ns57.domaincontrol.com.
1-800-getaloan.equipment.	3600	in	ns	ns58.domaincontrol.com.
10.equipment.	3600	in	ns	ns1-coming-soon.sav.com.
10.equipment.	3600	in	ns	ns2-coming-soon.sav.com.
10con4qbooq1jk7q49h6mptmc2kdpp0h.equipment.	3600	in	nsec3	1 1 0 73 115GSASKREB3Q0UL6SBJQI5N84JJSHFD NS DS RRSIG
10con4qbooq1jk7q49h6mptmc2kdpp0h.equipment.	3600	in	rrsig	NSEC3 8 2 3600 20260207152720 20260117142720 11235 equipment. Wxsvk3Z6GfPnS2AIjo3mycA17nbHfwi381ZtJrwgZf7dzPHwHlxeV9FwwovRrVhp0JYHC+XSMpL9/tTM8/YzUcBxByc4XxTLwIwBgO7aGoMH5VZwpsJqr0S4wZwuQQA/aX8A0YqIFmQSQ4YR9cZ+ZOWBjSI2N+zukNc0VfHiXVY=
11350.equipment.	3600	in	ns	ns1.dnsip.com.
11350.equipment.	3600	in	ns	ns2.dnsip.com.
115gsaskreb3q0ul6sbjqi5n84jjshfd.equipment.	3600	in	nsec3	1 1 0 73 130FQMMDK57JHM26C0SL6NI6V0SFTPRC NS DS RRSIG
115gsaskreb3q0ul6sbjqi5n84jjshfd.equipment.	3600	in	rrsig	NSEC3 8 2 3600 20260207152720 20260117142720 11235 equipment. iWMPbjKEOIbk2Nw4c/XbcJdZTW6l6G+ShIvHTD0y5o02sf4sGAty3JvS2eA/Wlythg+o3z+HpX9E9rdr0Nk33UxqUnCq126te8kGFIaV6C2Ty2P69UNzHI0Y2nxAOJn3SsSfBweU4mrZXi82ApAQUU+X5GUvi7tSdta8UYMDG0c=
123.equipment.	3600	in	ns	dns01.gpn.register.com.
123.equipment.	3600	in	ns	dns02.gpn.register.com.
123.equipment.	3600	in	ns	dns03.gpn.register.com.
123.equipment.	3600	in	ns	dns04.gpn.register.com.
123.equipment.	3600	in	ns	dns05.gpn.register.com.
123b.equipment.	3600	in	ds	25105 13 2 48F4C57AB99DA812B81D6927DA4E43E128F6AE33A3A6DAE54DF08BC1D6DAB77C
123b.equipment.	3600	in	ns	launch1.spaceship.net.
123b.equipment.	3600	in	ns	launch2.spaceship.net.
123b.equipment.	3600	in	rrsig	DS 8 2 3600 20260207152720 20260117142720 11235 equipment. lrqTHP/JNZR5GFxd5YLng1cN+pOr51JEb9I/2H1irR8sihyBePKE0m26UE2aigLQD5bkAHC4ydb49JI/swhr9ExzH9NGSEnBn3L1V/IuxHgbj8jq8zzgKttBXsQP09/CTE07/3Dpg3SE8F8CxX+ei5JgLhlvRl/RRwkXly7q4oc=
12vspotlight.equipment.	3600	in	ns	ns.inwx.de.
12vspotlight.equipment.	3600	in	ns	ns2.inwx.de.
12vspotlight.equipment.	3600	in	ns	ns3.inwx.eu.
130fqmmdk57jhm26c0sl6ni6v0sftprc.equipment.	3600	in	nsec3	1 1 0 73 15U1HEIH7B3AEDIPUPPQ6GJ64N3CNPVQ NS DS RRSIG
130fqmmdk57jhm26c0sl6ni6v0sftprc.equipment.	3600	in	rrsig	NSEC3 8 2 3600 20260207152720 20260117142720 11235 equipment. VviDU7s+rqFOWGAPdqZgpOdzDTewX9NvLIIrjoZhqLxnsLZvCuOBGDQpIWBA88xWOEcnXqvds8W9XqqfSlFzLrtA/jJj40KtguGYOq/49ZYG7HQM61X4TL391FBMC7p4E1PSJFseVDfjJ7J/8hfiVdcg1sGY9u50OYU3X04RLTk=
15281.equipment.	3600	in	ns	n1.xundns.com.
15281.equipment.	3600	in	ns	n2.xundns.com.
15u1heih7b3aedipuppq6gj64n3cnpvq.equipment.	3600	in	nsec3	1 1 0 73 1EVBMACIMSTIPQL1VPF3RADNFF89VHQG NS DS RRSIG
15u1heih7b3aedipuppq6gj64n3cnpvq.equipment.	3600	in	rrsig	NSEC3 8 2 3600 20260207152720 20260117142720 11235 equipment. BRer4ukPgKIch2HjeusmLObJ7p9riQN6do2iyGLXpm/PzMQffzy51MOvnLXr/asYBAXHvoA3gVvaEQNcK1LVfke/LGiEhtWSm8BXgRNt15JOnyV3gm9P/FpLVovcqSByZT2z1vVqy5TRK31+0dOdOSLCH0HYOp6QBIfPktMGiFk=
16254.equipment.	3600	in	ns	ns1.1233dns.com.
16254.equipment.	3600	in	ns	ns2.951dns.com.
16502.equipment.	3600	in	ns	ns1.dnsip.com.
16502.equipment.	3600	in	ns	ns2.dnsip.com.
1776.equipment.	3600	in	ns	dns1.registrar-servers.com.
1776.equipment.	3600	in	ns	dns2.registrar-servers.com.
