004155.pizza.	3600	in	ns	ns2.951dns.com.
004160.pizza.	3600	in	ns	ns1.1233dns.com.
004160.pizza.	3600	in	ns	ns2.951dns.com.
00418.pizza.	3600	in	ns	ns1.1233dns.com.
00418.pizza.	3600	in	ns	ns2.951dns.com.
00438.pizza.	3600	in	ns	ns1.dnsip.com.
00438.pizza.	3600	in	ns	ns2.dnsip.com.
00445.pizza.	3600	in	ns	ns1.1233dns.com.
00445.pizza.	3600	in	ns	ns2.951dns.com.
00447.pizza.	3600	in	ns	ns1.1233dns.com.
00447.pizza.	3600	in	ns	ns2.951dns.com.
00487.pizza.	3600	in	ns	ns1.1233dns.com.
00487.pizza.	3600	in	ns	ns2.951dns.com.
00494.pizza.	3600	in	ns	ns1.dnsip.com.
00494.pizza.	3600	in	ns	ns2.dnsip.com.
005.pizza.	3600	in	ns	ns1.dyna-ns.net.
005.pizza.	3600	in	ns	ns2.dyna-ns.net.
00523.pizza.	3600	in	ns	n1.xundns.com.
00523.pizza.	3600	in	ns	n2.xundns.com.
00528.pizza.	3600	in	ns	ns1.dnsip.com.
00528.pizza.	3600	in	ns	ns2.dnsip.com.
005306.pizza.	3600	in	ns	ns1.1233dns.com.
005306.pizza.	3600	in	ns	ns2.951dns.com.
005377.pizza.	3600	in	ns	ns1.dnsip.com.
005377.pizza.	3600	in	ns	ns2.dnsip.com.
005485.pizza.	3600	in	ns	ns1.1233dns.com.
005485.pizza.	3600	in	ns	ns2.951dns.com.
00550.pizza.	3600	in	ns	ns1.dnsip.com.
00550.pizza.	3600	in	ns	ns2.dnsip.com.
005503.pizza.	3600	in	ns	ns1.1233dns.com.
005503.pizza.	3600	in	ns	ns2.951dns.com.
00559.pizza.	3600	in	ns	ns1.dns.com.
00559.pizza.	3600	in	ns	ns2.dns.com.
005609.pizza.	3600	in	ns	ns1.1233dns.com.
005609.pizza.	3600	in	ns	ns2.951dns.com.
00568.pizza.	3600	in	ns	dolly.ns.cloudflare.com.
00568.pizza.	3600	in	ns	oswald.ns.cloudflare.com.
00569.pizza.	3600	in	ns	ns1.dnsip.com.
00569.pizza.	3600	in	ns	ns2.dnsip.com.
00578.pizza.	3600	in	ns	ns1.dnsip.com.
00578.pizza.	3600	in	ns	ns2.dnsip.com.
00587.pizza.	3600	in	ns	ns1.dnsip.com.
00587.pizza.	3600	in	ns	ns2.dnsip.com.
006.pizza.	3600	in	ns	ns1.dyna-ns.net.
006.pizza.	3600	in	ns	ns2.dyna-ns.net.
00627.pizza.	3600	in	ns	ns1.dnsip.com.
00627.pizza.	3600	in	ns	ns2.dnsip.com.
00645.pizza.	3600	in	ns	ns1.dnsip.com.
00645.pizza.	3600	in	ns	ns2.dnsip.com.
00655.pizza.	3600	in	ns	ns1.dnsip.com.
00655.pizza.	3600	in	ns	ns2.dnsip.com.
00694.pizza.	3600	in	ns	ns7.alidns.com.
00694.pizza.	3600	in	ns	ns8.alidns.com.
007067.pizza.	3600	in	ns	ns1.1233dns.com.
007067.pizza.	3600	in	ns	ns2.951dns.com.
00709.pizza.	3600	in	ns	ns1.1233dns.com.
00709.pizza.	3600	in	ns	ns2.951dns.com.
00716.pizza.	3600	in	ns	a.dnspod.com.
00716.pizza.	3600	in	ns	b.dnspod.com.
00716.pizza.	3600	in	ns	c.dnspod.com.
00731.pizza.	3600	in	ns	ns1.dyna-ns.net.
00731.pizza.	3600	in	ns	ns2.dyna-ns.net.
00735.pizza.	3600	in	ns	ns1.dns.com.
00735.pizza.	3600	in	ns	ns2.dns.com.
007364.pizza.	3600	in	ns	ns1.1233dns.com.
007364.pizza.	3600	in	ns	ns2.951dns.com.
007388.pizza.	3600	in	ns	n1.xundns.com.
007388.pizza.	3600	in	ns	n2.xundns.com.
0074.pizza.	3600	in	ns	ns1.1233dns.com.
0074.pizza.	3600	in	ns	ns2.951dns.com.
007434.pizza.	3600	in	ns	ns1.1233dns.com.
007434.pizza.	3600	in	ns	ns2.951dns.com.
00745.pizza.	3600	in	ns	amy.ns.cloudflare.com.
00745.pizza.	3600	in	ns	mark.ns.cloudflare.com.
00747.pizza.	3600	in	ns	ns1.dns.com.
00747.pizza.	3600	in	ns	ns2.dns.com.
00748.pizza.	3600	in	ns	n1.xundns.com.
00748.pizza.	3600	in	ns	n2.xundns.com.
0076.pizza.	3600	in	ns	ns1.1233dns.com.
0076.pizza.	3600	in	ns	ns2.951dns.com.
00780.pizza.	3600	in	ns	ns1.1233dns.com.
00780.pizza.	3600	in	ns	ns2.951dns.com.
007943.pizza.	3600	in	ns	ns1.1233dns.com.
007943.pizza.	3600	in	ns	ns2.951dns.com.
008.pizza.	3600	in	ns	ns1.dyna-ns.net.
008.pizza.	3600	in	ns	ns2.dyna-ns.net.
