0p9jguefssvn2b41obmn2nnmtil5679c.faith.	900	in	rrsig	NSEC3 8 2 900 20251011230849 20250927224820 36501 faith. NuyyvIMIUT1eLRsW+xkvDQkheJn0w8aQVwT04lNiV808WiGN2Fl1ZnzwMft3x3ZdgyRdzYZfedYfxnqNNT9J7uMFK98OW6BLutgLigXeW9OeGdKV1gNPAp29afIoGbrRINalLDC8psEXKvgEwK2v7oewPn8qUI8GiMmSG0AVRh9rrylL3NuTN+/dObym9IzjVfRDAz/GhxzGsZxuMicBkg==
0trf5hn26cau2dhm925ehq7ktl8spldl.faith.	900	in	nsec3	1 1 0 - 11D8QKT2GRMBRU1PBGHU7U8P8D3F7649 NS DS RRSIG
0trf5hn26cau2dhm925ehq7ktl8spldl.faith.	900	in	rrsig	NSEC3 8 2 900 20251011230849 20250927224820 36501 faith. fPZph0LeoFTxeAhjlIS0wk/iC3NDzT5WPHo4bPXTwzsyuyu/99acOGtTX/AgGHEVkS0HRSEO3jzEKSVuhoWJ17IuOig532pK/lN4tAd0VKEZwX5U2GX5XcpRl4dJbkX8Ogc7AXKjdn2yNHRQsfTji3wmNRsrs22wg4o9zMywG1U3zAteR/nX1m00fxo9WNHoHhljREc8Lk+iaHXQyClS3w==
0worship.faith.	3600	in	ns	abby.ns.cloudflare.com.
0worship.faith.	3600	in	ns	yew.ns.cloudflare.com.
0xbible.faith.	3600	in	ns	curitiba.ns.porkbun.com.
0xbible.faith.	3600	in	ns	fortaleza.ns.porkbun.com.
0xbible.faith.	3600	in	ns	maceio.ns.porkbun.com.
0xbible.faith.	3600	in	ns	salvador.ns.porkbun.com.
1002111.faith.	3600	in	ns	ns1.dyna-ns.net.
1002111.faith.	3600	in	ns	ns2.dyna-ns.net.
1002112.faith.	3600	in	ns	ns1.dyna-ns.net.
1002112.faith.	3600	in	ns	ns2.dyna-ns.net.
1002113.faith.	3600	in	ns	ns1.dyna-ns.net.
1002113.faith.	3600	in	ns	ns2.dyna-ns.net.
1002114.faith.	3600	in	ns	ns1.dyna-ns.net.
1002114.faith.	3600	in	ns	ns2.dyna-ns.net.
1002115.faith.	3600	in	ns	ns1.dyna-ns.net.
1002115.faith.	3600	in	ns	ns2.dyna-ns.net.
1002116.faith.	3600	in	ns	ns1.dyna-ns.net.
1002116.faith.	3600	in	ns	ns2.dyna-ns.net.
1002117.faith.	3600	in	ns	ns1.dyna-ns.net.
1002117.faith.	3600	in	ns	ns2.dyna-ns.net.
1002118.faith.	3600	in	ns	ns1.dyna-ns.net.
1002118.faith.	3600	in	ns	ns2.dyna-ns.net.
1002119.faith.	3600	in	ns	ns1.dyna-ns.net.
1002119.faith.	3600	in	ns	ns2.dyna-ns.net.
1002120.faith.	3600	in	ns	ns1.dyna-ns.net.
1002120.faith.	3600	in	ns	ns2.dyna-ns.net.
1002121.faith.	3600	in	ns	ns1.dyna-ns.net.
1002121.faith.	3600	in	ns	ns2.dyna-ns.net.
1002122.faith.	3600	in	ns	ns1.dyna-ns.net.
1002122.faith.	3600	in	ns	ns2.dyna-ns.net.
1002123.faith.	3600	in	ns	ns1.dyna-ns.net.
1002123.faith.	3600	in	ns	ns2.dyna-ns.net.
10240.faith.	3600	in	ns	ns1.dnsowl.com.
10240.faith.	3600	in	ns	ns2.dnsowl.com.
10240.faith.	3600	in	ns	ns3.dnsowl.com.
10cc.faith.	3600	in	ns	ns1.domain.com.
10cc.faith.	3600	in	ns	ns2.domain.com.
10for10.faith.	7200	in	ns	dns1.registrar-servers.com.
10for10.faith.	7200	in	ns	dns2.registrar-servers.com.
111code.faith.	3600	in	ns	ns0.directnic.com.
111code.faith.	3600	in	ns	ns1.directnic.com.
111code.faith.	3600	in	ns	ns2.directnic.com.
111code.faith.	3600	in	ns	ns3.directnic.com.
1131gg.faith.	3600	in	ns	hayes.ns.cloudflare.com.
1131gg.faith.	3600	in	ns	meiling.ns.cloudflare.com.
11842.faith.	3600	in	ns	a.dnspod.com.
11842.faith.	3600	in	ns	b.dnspod.com.
11842.faith.	3600	in	ns	c.dnspod.com.
11d8qkt2grmbru1pbghu7u8p8d3f7649.faith.	900	in	nsec3	1 1 0 - 15EKIDF1U9I4KJ8KU43S3R0RLT37ITCO NS DS RRSIG
11d8qkt2grmbru1pbghu7u8p8d3f7649.faith.	900	in	rrsig	NSEC3 8 2 900 20251013072521 20250929065223 36501 faith. eR+ZsnnvbFSAt+XusaVV3Ar2Rsce0PzuM7T7rkRZZJoYISI0AKW1912OXqU5tarF4WmBvnvr6iO6ic4NyuO2VbDQ2QCC7p8tdQBQpEm9emjBXlEGACCb1xBPPeltSZO95iXAEZcwBqTrbEgVLn7fj8rkVM0kUS8ZOuLxhQppC0VATOgbdwWIwZ08+mA9K+EzF0cr2XNhHBd3hj7zJ7kz0g==
123b.faith.	3600	in	ns	addyson.ns.cloudflare.com.
123b.faith.	3600	in	ns	mike.ns.cloudflare.com.
12bet.faith.	3600	in	ns	dell.ns.cloudflare.com.
12bet.faith.	3600	in	ns	pedro.ns.cloudflare.com.
1311.faith.	3600	in	ns	dns1.namecheaphosting.com.
1311.faith.	3600	in	ns	dns2.namecheaphosting.com.
1314.faith.	3600	in	ns	ns3.myhostadmin.net.
1314.faith.	3600	in	ns	ns4.myhostadmin.net.
1388.faith.	3600	in	ns	ns1.myhostadmin.net.
1388.faith.	3600	in	ns	ns2.myhostadmin.net.
142komr212.faith.	3600	in	ns	dns1.registrar-servers.com.
142komr212.faith.	3600	in	ns	dns2.registrar-servers.com.
144000.faith.	3600	in	ns	dns1.registrar-servers.com.
144000.faith.	3600	in	ns	dns2.registrar-servers.com.
144k.faith.	3600	in	ns	dns1.registrar-servers.com.
144k.faith.	3600	in	ns	dns2.registrar-servers.com.
14hz.faith.	3600	in	ns	dns1.registrar-servers.com.
14hz.faith.	3600	in	ns	dns2.registrar-servers.com.
15073.faith.	3600	in	ns	ns1.dnsowl.com.
15073.faith.	3600	in	ns	ns2.dnsowl.com.
15073.faith.	3600	in	ns	ns3.dnsowl.com.
15ekidf1u9i4kj8ku43s3r0rlt37itco.faith.	900	in	nsec3	1 1 0 - 16EGP86UVM5E3J48ALAEVFQJILCIPJ15 NS SOA RRSIG DNSKEY NSEC3PARAM CDS CDNSKEY
15ekidf1u9i4kj8ku43s3r0rlt37itco.faith.	900	in	rrsig	NSEC3 8 2 900 20251010063403 20250926060248 36501 faith. bnNzah7RRGr/lrsEF7E198ZszQAXUvtaSgwWuwCwdumQ4B5kD+wJRcX9CMhELmwyhMlrUzCVYkUMbIKw/oZ28ztYU+kiwmBzJqQGC9adhekZEjIWSTfgaL69A8kCDixSHFpgfDo9REJa/63RbZAqf4cOYg/XyOzP137GjT2UXSJNYuVNbTDmUn3e5GSKUV6K+5TSUG+m7+2FAgkADQ5SRg==
168kingdom.faith.	3600	in	ns	ns1hwy.name.com.
168kingdom.faith.	3600	in	ns	ns2lns.name.com.
168kingdom.faith.	3600	in	ns	ns3dgr.name.com.
168kingdom.faith.	3600	in	ns	ns4lrt.name.com.
16egp86uvm5e3j48alaevfqjilcipj15.faith.	900	in	nsec3	1 1 0 - 177LIAJ5L4SH40VTGDPGUNKE3B1EVTBD NS DS RRSIG
