123movies.film.	3600	in	ns	ns1.dns-parking.com.
123movies.film.	3600	in	ns	ns2.dns-parking.com.
1337x.film.	3600	in	ns	ns1.101domain.com.
1337x.film.	3600	in	ns	ns2.101domain.com.
1337x.film.	3600	in	ns	ns5.101domain.com.
13disciples.film.	3600	in	ns	ns01.domaincontrol.com.
13disciples.film.	3600	in	ns	ns02.domaincontrol.com.
16mm.film.	3600	in	ns	ns37.worldnic.com.
16mm.film.	3600	in	ns	ns38.worldnic.com.
17rc2tr34n5g8c6c3v2hm25ufpu4p2kl.film.	900	in	nsec3	1 1 0 - 1AS4NQLHB3I7UJSJBKNV41QRECHNRCTF NS DS RRSIG
17rc2tr34n5g8c6c3v2hm25ufpu4p2kl.film.	900	in	rrsig	NSEC3 8 2 900 20260116035339 20260102031402 49428 film. UZJE/T2r3kIRQvW5g19G5RqE0u2OoAG2Ny09wZHkwjG1AQxMUzXvuj+jAdtn9mdtFnlHRgL6ZGGJ5RelpkSz846y7NJdyC4fNkJntJyv2nLFoyODOntz7gzn5818S4CH7GkvO34L7vRgYf54GYi/pUYjrTPYw0+E20PyOI3MKklRSd00gbcvpu9q1zSP/Odg9ZRosjb0qS6d143eN7pLdQ==
180grad.film.	3600	in	ns	ns.checkdomain.de.
180grad.film.	3600	in	ns	ns2.checkdomain.de.
1844.film.	3600	in	ns	ns23.domaincontrol.com.
1844.film.	3600	in	ns	ns24.domaincontrol.com.
18k.film.	3600	in	ns	ns10.wixdns.net.
18k.film.	3600	in	ns	ns11.wixdns.net.
1958.film.	3600	in	ns	ns12.wixdns.net.
1958.film.	3600	in	ns	ns13.wixdns.net.
1980s.film.	3600	in	ns	ns1.name.com.
1980s.film.	3600	in	ns	ns2.name.com.
1980s.film.	3600	in	ns	ns3.name.com.
1980s.film.	3600	in	ns	ns4.name.com.
19hours.film.	3600	in	ns	ns111.inhostedns.com.
19hours.film.	3600	in	ns	ns211.inhostedns.net.
19m.film.	3600	in	ns	ns1056.ui-dns.com.
19m.film.	3600	in	ns	ns1075.ui-dns.org.
19m.film.	3600	in	ns	ns1076.ui-dns.biz.
19m.film.	3600	in	ns	ns1123.ui-dns.de.
1as4nqlhb3i7ujsjbknv41qrechnrctf.film.	900	in	nsec3	1 1 0 - 1DE1LESD6QN74DIMV8VIE78KFPB6R8HU NS DS RRSIG
1as4nqlhb3i7ujsjbknv41qrechnrctf.film.	900	in	rrsig	NSEC3 8 2 900 20260118050543 20260104044224 49428 film. CGzEGG7DGHUKeS+idbjLKZA/KLGtGVbYPYHZvHiKLPO+yEJugLZGSTgBxRv909dGYKX/FnDZnGrLGMkWuPHLPBxzs8iLqWNFJAXqp2VMZKGFc+Lozt+EC83O3U9XtxLVZW6Fbd/eiYz8qNBJyYniO4W5u77t51QFNX2tMe3/hcNOJNeaNJ5qVF9tCEw90jyIlN7aGSpLHVeA6VsdZI+agw==
1de1lesd6qn74dimv8vie78kfpb6r8hu.film.	900	in	nsec3	1 1 0 - 1DSC13K8DSOSLN60TEAD8R2VQ1O39HS2 NS DS RRSIG
1de1lesd6qn74dimv8vie78kfpb6r8hu.film.	900	in	rrsig	NSEC3 8 2 900 20260119084611 20260105082723 49428 film. IDsoK8yxAlngwFxWck2dIHMb6xFojtZ/gJE5q9DKSS9GQL32WmCJL9sjeMvnkTIBZ1ZuiYaqElTsD/dHu1+HQtPgiKony+qwUAz/3vs9+hA0iW7e4flKZIrUFZZRb2FWnFvG4cuGS8qEFgltC+sECABZHaKlT4sZwLkFQAtf2KMTwpRunz2760DFGOsE6elECTP8ZxgJUS4zbFczDss9Mg==
1dsc13k8dsosln60tead8r2vq1o39hs2.film.	900	in	nsec3	1 1 0 - 1G1Q4CS4IBOR7GNOHCEEFNPR9ICVSSIB NS DS RRSIG
1dsc13k8dsosln60tead8r2vq1o39hs2.film.	900	in	rrsig	NSEC3 8 2 900 20260119084611 20260105082723 49428 film. hmNszg+DDwd8Yog3u4jHXdzR3VXky2wz/1SBUUoqsx9RF48IC2WeCsy7mcg0Q/B9tKlnur3YHNpOyDQ0Ua/YKrG2aiOQngDmjeUla1t9uekG+52qcLF9Ncc19j9CBihAxYwq5aqhWrH0YjOd51VckngKbzPnBVagD+hXyuAjcq8u0Lmctnss8npkS+I6JqvNO9MmbxNYDKLTC22FYE4Ehg==
1g1q4cs4ibor7gnohceefnpr9icvssib.film.	900	in	nsec3	1 1 0 - 1J9HK694KVOQEBH2DRFNE96409CSR1H0 NS DS RRSIG
1g1q4cs4ibor7gnohceefnpr9icvssib.film.	900	in	rrsig	NSEC3 8 2 900 20260118013938 20260104012650 49428 film. EocMHgsfeoEweMhXreIuElTAIlHfTmtd9F+sIedHofoDx/2MNNl4FbV0UEv7vUldyefF28f0Vv4osETigszJ75mn4r993lfYiX1TPvv3/3og5KnjeP3gBiotAOmCAL8n2p4wky+UiHn21WG4ksvqWBufkDQg/6Ju79JgNbh77YwBaEF+bIjyrFgcFcEbi8PY0C8b0ogS+Zya9IbBLBMnCQ==
1j9hk694kvoqebh2drfne96409csr1h0.film.	900	in	nsec3	1 1 0 - 1KUERHU0SESN11STT6U93OILIE78SSBD NS DS RRSIG
1j9hk694kvoqebh2drfne96409csr1h0.film.	900	in	rrsig	NSEC3 8 2 900 20260117030914 20260103030035 49428 film. TZ72IvD6qfJJqr+7jge5My8tRKKR8FAI2Ba7zmo8XWKq4xSHC1PdAQMGT9eluBM7EK1+aa4GEZB6Tr3Odu5xICGyRnXi+yrKurTfLdU4Xg1OSn5jWO+0JylEhnPd5Do85D6mKAL/NEJMjDGKmbOZdJ4J69D+2qMJHoha4K8cR1a2AvrV3+UFrO0l6hnf7ZzzUW1xvG+5m1xxktiO1HsDvg==
1kuerhu0sesn11stt6u93oilie78ssbd.film.	900	in	nsec3	1 1 0 - 1L2V31BOS4CGUOT6SE0S2O1FBB5N7OF7 NS DS RRSIG
1kuerhu0sesn11stt6u93oilie78ssbd.film.	900	in	rrsig	NSEC3 8 2 900 20260117030914 20260103030035 49428 film. e2/TVOXVXn5j8U7NSkJXt16yEEYRX4VWEu9Rv13JSwrkaErk5HJv1enZYVQiYEdsc1eWGG4ql6Yyx1J7UJqG9tZGyUmbKJ8Y/EI3yujEYCLCLEDjx8ltYTlmMKr3TmB0osbKL1AwAHCqo7qC6sVM9+Cc6zHZzEj80WCF+EUFO1h+rBQ3UOOfKiYHa6/TeNKzKez3uWrjaQVKtbFAvCOP1g==
1l2v31bos4cguot6se0s2o1fbb5n7of7.film.	900	in	nsec3	1 1 0 - 289R6N370R1Q8FHUEOA5U7L19JF5CNIJ NS DS RRSIG
1l2v31bos4cguot6se0s2o1fbb5n7of7.film.	900	in	rrsig	NSEC3 8 2 900 20260115052729 20260101051201 49428 film. gIqeGoYyBHc8Yg3YeFUe5/LZyhqa/gpKFgNy5XtP9d1MFT/HFx8FQiJgRah64y8j1JM7EO9Ijeob1tD3R++7+XJ5EzYJ6bqa/8IHr+7NbkHjNLbu6IjNVhXti/SGep8/eANzW7MaCPnbfybrfF+4BFELdPyzg/cRkPFv585W4QdIJ8Oz7ttND5uvgSm4dcHYMMuYaEYaQ1RWMjcucMgY1A==
1post.film.	3600	in	ns	ns27.domaincontrol.com.
1post.film.	3600	in	ns	ns28.domaincontrol.com.
1shot.film.	3600	in	ns	ns1.ipage.com.
1shot.film.	3600	in	ns	ns2.ipage.com.
1win.film.	3600	in	ns	pranab.ns.cloudflare.com.
1win.film.	3600	in	ns	robin.ns.cloudflare.com.
2000meters.film.	3600	in	ns	ns1.dnsimple.com.
2000meters.film.	3600	in	ns	ns2.dnsimple-edge.net.
2000meters.film.	3600	in	ns	ns3.dnsimple.com.
2000meters.film.	3600	in	ns	ns4.dnsimple-edge.org.
200acres.film.	3600	in	ns	ns33.domaincontrol.com.
200acres.film.	3600	in	ns	ns34.domaincontrol.com.
2020.film.	3600	in	ns	ns77.domaincontrol.com.
2020.film.	3600	in	ns	ns78.domaincontrol.com.
2024.film.	3600	in	ns	ns15.domaincontrol.com.
2024.film.	3600	in	ns	ns16.domaincontrol.com.
2029.film.	3600	in	ns	ns22.myservermedia.com.
2029.film.	3600	in	ns	ns23.myservermedia.com.
2030.film.	3600	in	ns	ns.udag.de.
2030.film.	3600	in	ns	ns.udag.net.
2030.film.	3600	in	ns	ns.udag.org.
2073.film.	3600	in	ns	ns23.domaincontrol.com.
2073.film.	3600	in	ns	ns24.domaincontrol.com.
20thcenturyfox.film.	3600	in	ns	ns31.twdcns.com.
20thcenturyfox.film.	3600	in	ns	ns32.twdcns.net.
20thcenturyfox.film.	3600	in	ns	ns33.twdcns.org.
20thcenturyfox.film.	3600	in	ns	ns34.twdcns.co.uk.
20thcenturyfoxhomeentertainment.film.	3600	in	ns	ns31.twdcns.com.
20thcenturyfoxhomeentertainment.film.	3600	in	ns	ns32.twdcns.net.
20thcenturyfoxhomeentertainment.film.	3600	in	ns	ns33.twdcns.org.
20thcenturyfoxhomeentertainment.film.	3600	in	ns	ns34.twdcns.co.uk.
21-9.film.	3600	in	ns	dns1.registrar-servers.com.
21-9.film.	3600	in	ns	dns2.registrar-servers.com.
21bridges.film.	3600	in	ns	dns1.safenames.com.
21bridges.film.	3600	in	ns	dns2.safenames.net.
21bridges.film.	3600	in	ns	dns3.safenames.org.
