00682.lgbt.	3600	in	ns	ns2.dyna-ns.net.
00686.lgbt.	3600	in	ns	n1.xundns.com.
00686.lgbt.	3600	in	ns	n2.xundns.com.
00718.lgbt.	3600	in	ns	ns1.dnsip.com.
00718.lgbt.	3600	in	ns	ns2.dnsip.com.
007388.lgbt.	3600	in	ns	n1.xundns.com.
007388.lgbt.	3600	in	ns	n2.xundns.com.
00742.lgbt.	3600	in	ns	n1.xundns.com.
00742.lgbt.	3600	in	ns	n2.xundns.com.
00754.lgbt.	3600	in	ns	n1.xundns.com.
00754.lgbt.	3600	in	ns	n2.xundns.com.
00766.lgbt.	3600	in	ns	ns1.dnsip.com.
00766.lgbt.	3600	in	ns	ns2.dnsip.com.
00776.lgbt.	3600	in	ns	ns1.dnsip.com.
00776.lgbt.	3600	in	ns	ns2.dnsip.com.
00804.lgbt.	3600	in	ns	n1.xundns.com.
00804.lgbt.	3600	in	ns	n2.xundns.com.
00807.lgbt.	3600	in	ns	ns1.dnsip.com.
00807.lgbt.	3600	in	ns	ns2.dnsip.com.
00844.lgbt.	3600	in	ns	ns1.dnsip.com.
00844.lgbt.	3600	in	ns	ns2.dnsip.com.
00849.lgbt.	3600	in	ns	n1.xundns.com.
00849.lgbt.	3600	in	ns	n2.xundns.com.
00857.lgbt.	3600	in	ns	ns7.alidns.com.
00857.lgbt.	3600	in	ns	ns8.alidns.com.
00861.lgbt.	3600	in	ns	ns1.dnsip.com.
00861.lgbt.	3600	in	ns	ns2.dnsip.com.
00894.lgbt.	3600	in	ns	n1.xundns.com.
00894.lgbt.	3600	in	ns	n2.xundns.com.
00898.lgbt.	3600	in	ns	ns1.dnsip.com.
00898.lgbt.	3600	in	ns	ns2.dnsip.com.
009011.lgbt.	3600	in	ns	n1.xundns.com.
009011.lgbt.	3600	in	ns	n2.xundns.com.
00925.lgbt.	3600	in	ns	ns1.dyna-ns.net.
00925.lgbt.	3600	in	ns	ns2.dyna-ns.net.
00927.lgbt.	3600	in	ns	n1.xundns.com.
00927.lgbt.	3600	in	ns	n2.xundns.com.
00932.lgbt.	3600	in	ns	ns7.alidns.com.
00932.lgbt.	3600	in	ns	ns8.alidns.com.
00946.lgbt.	3600	in	ns	n1.xundns.com.
00946.lgbt.	3600	in	ns	n2.xundns.com.
00958.lgbt.	3600	in	ns	ns1.dnsip.com.
00958.lgbt.	3600	in	ns	ns2.dnsip.com.
