10.surf.	3600	in	ns	ns74.domaincontrol.com.
10foot.surf.	172800	in	ns	ns31.domaincontrol.com.
10foot.surf.	172800	in	ns	ns32.domaincontrol.com.
10ft.surf.	172800	in	ns	ns31.domaincontrol.com.
10ft.surf.	172800	in	ns	ns32.domaincontrol.com.
11.surf.	3600	in	ns	lars.ns.cloudflare.com.
11.surf.	3600	in	ns	romina.ns.cloudflare.com.
1173.surf.	172800	in	ns	ns-rs1.gmoserver.jp.
1173.surf.	172800	in	ns	ns-rs2.gmoserver.jp.
11bet.surf.	3600	in	ns	naomi.ns.cloudflare.com.
11bet.surf.	3600	in	ns	yew.ns.cloudflare.com.
123.surf.	172800	in	ns	ns43.domaincontrol.com.
123.surf.	172800	in	ns	ns44.domaincontrol.com.
123b.surf.	3600	in	ns	marlowe.ns.cloudflare.com.
123b.surf.	3600	in	ns	sullivan.ns.cloudflare.com.
123unblock.surf.	3600	in	ns	ns1.sedoparking.com.
123unblock.surf.	3600	in	ns	ns2.sedoparking.com.
13s.surf.	172800	in	ns	ns1.digitalocean.com.
13s.surf.	172800	in	ns	ns2.digitalocean.com.
13s.surf.	172800	in	ns	ns3.digitalocean.com.
1515.surf.	172800	in	ns	ns71.domaincontrol.com.
1515.surf.	172800	in	ns	ns72.domaincontrol.com.
1542.surf.	3600	in	ns	ns1.dreamhost.com.
1542.surf.	3600	in	ns	ns2.dreamhost.com.
1542.surf.	3600	in	ns	ns3.dreamhost.com.
16crdai7efvs19sa3ma4io50h3cafstb.surf.	900	in	nsec3	1 1 0 - 1BA3T9A0QO8LBR7ROB90T5EGOMBS1CRB NS DS RRSIG
16crdai7efvs19sa3ma4io50h3cafstb.surf.	900	in	rrsig	NSEC3 8 2 900 20250917034739 20250903025628 12333 surf. Jqrk7fbjfE1ewoyccqiAm1d03cUv3k7P4hg8WPKznv8hrqYpI9JbiNsFyMYueltqoWXouTfM+xngRvQ2bMn0TvW5gCeWJBqiHamaWgkOPcPQc/ds4fLKXmMaf3iVAAYT0trCYUvwryfWD1zQqYbUv+bZFLxv9rY1fAw/PMp+FX9KO7pLK6aNZH5mT/LNkFrKHrUD8R0B/NW6F64qABHK8g==
17ft.surf.	172800	in	ns	ns19.domaincontrol.com.
17ft.surf.	172800	in	ns	ns20.domaincontrol.com.
188bet.surf.	3600	in	ns	ns1.dyna-ns.net.
188bet.surf.	3600	in	ns	ns2.dyna-ns.net.
1960southocean.surf.	3600	in	ns	ns55.domaincontrol.com.
1960southocean.surf.	3600	in	ns	ns56.domaincontrol.com.
1and1.surf.	172800	in	ns	ns-ca.ui-dns.biz.
1and1.surf.	172800	in	ns	ns-ca.ui-dns.com.
1and1.surf.	172800	in	ns	ns-ca.ui-dns.de.
1and1.surf.	172800	in	ns	ns-ca.ui-dns.org.
1ba3t9a0qo8lbr7rob90t5egombs1crb.surf.	900	in	nsec3	1 1 0 - 1BB77IE1QR62MPAK98U31IEEPQUKAFBG NS DS RRSIG
1ba3t9a0qo8lbr7rob90t5egombs1crb.surf.	900	in	rrsig	NSEC3 8 2 900 20250917040537 20250903035845 12333 surf. WXHMwKlYK6u+siISxcojLzZY1YOTGqsvfguanhLIvXQQlEwPm+ZmWrK/sr6fEbZ9wLT/lXcSA/0+IFAxP7zu1CpN/aAt9MXqWOqPFk//SCXRuJunvdoiuBCxECbQTyxIQBBKskxgvFGgEx7zES2ALELxtZuuTNSMUON28yZjHuLS2zPIyjYTLk7yctWeiXdHmqFwCxOedbn/NY6rDasivw==
1bb77ie1qr62mpak98u31ieepqukafbg.surf.	900	in	nsec3	1 1 0 - 1BQ9TJBQE8T4JT24P7IH7BKOT06MVGCN NS DS RRSIG
1bb77ie1qr62mpak98u31ieepqukafbg.surf.	900	in	rrsig	NSEC3 8 2 900 20250916081909 20250902072410 12333 surf. h6rNYBPQiwH9tgWIhBl9w4WgjNR58ASX5VBWU3uaX9cEMysktKkSsAI7yPULOgALGqW7lsE6hWqlH4ugvfiIXQURwFltcUUUkgLVX30Xhm14q+IzTwiVlm7gqv1t/dJmbx2IEWQrDQ1b86crHTfYEftOlqk4NdOhabUkFRsPlVNb687VRG8knX8/4uP3UsE0tvQYlb4Txiz5S3Zz7RZDeA==
1bq9tjbqe8t4jt24p7ih7bkot06mvgcn.surf.	900	in	nsec3	1 1 0 - 1GQQB1P57V7VPF74UJEMLJEIHCJCJ2U5 NS DS RRSIG
1bq9tjbqe8t4jt24p7ih7bkot06mvgcn.surf.	900	in	rrsig	NSEC3 8 2 900 20250916081909 20250902072410 12333 surf. UFfJ+q4XwKjKre7D1BOf065WoHCFA+jYo+Kvu89uWbGEQsa2mlcWMxOUyKoMSE8D6qJ/39JHFPUXRkDWxobHFonQ2cWkuhcgzL2TgFbmP9b4KRwSmkI414eenb5EArUobltU0tBn+qVLn1A9XTL87/1P3QMXff20C/1scH07zxJgnn/svMSb2bUQZ9llSDXlXS8kj2S5I5IxcBjlpBxy6A==
1cabura.surf.	3600	in	ns	dns1.registrar-servers.com.
1cabura.surf.	3600	in	ns	dns2.registrar-servers.com.
1gqqb1p57v7vpf74ujemljeihcjcj2u5.surf.	900	in	nsec3	1 1 0 - 1JE72BLEQ0LQ64NGDQ0SKRNA5TMN2HG7 NS DS RRSIG
1gqqb1p57v7vpf74ujemljeihcjcj2u5.surf.	900	in	rrsig	NSEC3 8 2 900 20250914084841 20250831074914 12333 surf. eym6fIH/TxbTJxOR1g8z+YhnMxcFqJw8vzZtUctrpYTdZazseuBQ7P1KBAYtvdyLAS76/Yx5iLAK3Q4rr50DBiVHXGHLUUYjTF45iB3jQIJnwFzPFKrBlOkUwxZrPhg/VR6mbBaiedgGpwhzsGaywHsXYQSx/LdHtFHNBHZ0RzV7BcxnTTogKmUUn5e0HQLZP4PUGHPbfr/OJYEcU1t8yg==
1je72bleq0lq64ngdq0skrna5tmn2hg7.surf.	900	in	nsec3	1 1 0 - 1LTFDT1F1OM3H3BVJCGKT9DFLSKB69D5 NS DS RRSIG
1je72bleq0lq64ngdq0skrna5tmn2hg7.surf.	900	in	rrsig	NSEC3 8 2 900 20250914084841 20250831074914 12333 surf. HQgiKCHyMlLMTgISjF7OMi2YakO/IOy9vdxZT5wxoGHzEOgfwz+3II3mfq9oKPGOHvTfK4Wn0p/DoSCRfXQHIi0Y7MuUIGwI34b7GkWTt9Xbqv8HsUXtj/GWK/6RFLjvJenJ96BSJYtkXpPBMU3x+bcPmfmQVsZrMZovKLr5P2DjNPjC5ZsojU9anun53CSC/GvzT58tHi5SjaHRCUBXRg==
1ltfdt1f1om3h3bvjcgkt9dflskb69d5.surf.	900	in	nsec3	1 1 0 - 1M1I4O69QIE6NMRVV2TFKL8EQB28FM0T NS DS RRSIG
1ltfdt1f1om3h3bvjcgkt9dflskb69d5.surf.	900	in	rrsig	NSEC3 8 2 900 20250917195954 20250904114344 12333 surf. Bhd1CYxvuFPD+TxNyKT7URVl+ZCR38J/bdNG43bCu29FGue8JZQ93dbhN5aeuoO7qDKSh6aoHKmESa0cUQZs/aQGT4uxeFS7l6M2ReI2PqxLhuGSd9w5AJVmahn+O2VDJI5vjEvHTXTb4qMBUQgMPaphqGRGR5z+Psgd1tue6AKtDmxDySJiRQLhfMNKGl4fVWfXCN0E0opCGGAxp1bjLg==
1m1i4o69qie6nmrvv2tfkl8eqb28fm0t.surf.	900	in	nsec3	1 1 0 - 281EC10SH7O5CCJQO1CSFF91SKITM66Q NS DS RRSIG
1m1i4o69qie6nmrvv2tfkl8eqb28fm0t.surf.	900	in	rrsig	NSEC3 8 2 900 20250917195954 20250904114344 12333 surf. b57yZQdMPVQH8rmtWt9YSWlNVYrkRRAkfkYjJvZbx2M8iss8bJrYEcyeLKfWX+575vUYDkx2CqmcInOgcxtjWK9NavnJs8jr50gVsdtkb8am1keVOeeht1GTFPAkvYsjwGUFwFXzLUartZmasNU4jeGfin1Uk66yrMd+X/QqeIDsKz10IRwR7Pn5zhOXEs5vAEDiEBEPZi1P0dVMf+FeXw==
1w.surf.	3600	in	ns	ns1.pananames.com.
1w.surf.	3600	in	ns	ns2.pananames.com.
1w.surf.	3600	in	ns	ns3.pananames.com.
1w.surf.	3600	in	ns	ns4.pananames.com.
1wave.surf.	3600	in	ns	ns45.domaincontrol.com.
1wave.surf.	3600	in	ns	ns46.domaincontrol.com.
1win.surf.	3600	in	ns	leia.ns.cloudflare.com.
1win.surf.	3600	in	ns	osmar.ns.cloudflare.com.
1xbet.surf.	3600	in	ns	anton.ns.cloudflare.com.
1xbet.surf.	3600	in	ns	kristin.ns.cloudflare.com.
2101.surf.	3600	in	ns	dns1.registrar-servers.com.
2101.surf.	3600	in	ns	dns2.registrar-servers.com.
222.surf.	3600	in	ns	dns1.registrar-servers.com.
222.surf.	3600	in	ns	dns2.registrar-servers.com.
23win.surf.	3600	in	ns	coen.ns.cloudflare.com.
23win.surf.	3600	in	ns	jillian.ns.cloudflare.com.
281ec10sh7o5ccjqo1csff91skitm66q.surf.	900	in	nsec3	1 1 0 - 2BRDPMFC8C9D768VHJA51VQ2D73AT1VC NS DS RRSIG
281ec10sh7o5ccjqo1csff91skitm66q.surf.	900	in	rrsig	NSEC3 8 2 900 20250916060457 20250902054557 12333 surf. jurII4P82tN3pbTFo/tCM2b0j/YWXjaW1Bx1dB5y8cxLGwIMZ5RIfD9/Gv5nI+soz95ZwG4PC3VqM9q1Pe8ZMXLhxy70dHy7E5tUG56Zbf7Uu9mtS2WVDFGH0g3mVYDO5+4WwbvOON5LQ9B6fHec3abzbnaE+UucpyTHbj4PHk9xElIQfHIQLwbQxvdvwVLybPjV21RwfH9VF+peYu3HNA==
29.surf.	3600	in	ns	brit.ns.cloudflare.com.
29.surf.	3600	in	ns	charles.ns.cloudflare.com.
2brdpmfc8c9d768vhja51vq2d73at1vc.surf.	900	in	nsec3	1 1 0 - 2JAM8BQKEADDJUN4AS74R0MA5C3D8449 NS DS RRSIG
2brdpmfc8c9d768vhja51vq2d73at1vc.surf.	900	in	rrsig	NSEC3 8 2 900 20250915105106 20250901101831 12333 surf. gcZCFQi/Zcetqnsdu57IgDl5zg82KaZpb2dULbs+M4PB4odbdbeKg8b+I2Z7T3pTRe/54+S5FXYFUsNQcPT67G68uj+egkId3zt5D+KS0mqazxi0wEyRHhVuV2os7CHWYwDRdDfoWhpAGdPoTV0V2cxJCaJ641hZbx7R0S/BPFrk7arhAoEgy+kMa9Vr9uSpTecWddwrmAaIqz1g2MAKmw==
2d.surf.	3600	in	ns	pdns1.registrar-servers.com.
2d.surf.	3600	in	ns	pdns2.registrar-servers.com.
2go.surf.	3600	in	ds	2371 13 2 7021FC61C3BDCFF7C74D42A9BCDABDCCB08C62BD83EBCB4E9416DE2BD6E5645B
2go.surf.	3600	in	ns	dora.ns.cloudflare.com.
2go.surf.	3600	in	ns	grant.ns.cloudflare.com.
2go.surf.	3600	in	rrsig	DS 8 2 3600 20250918154905 20250904152608 12333 surf. dSBHVg66LkZcu1Wvt35Pu3EoJLHV1O8qC3Sl0yP57qzKmGdNH9blMBjsMIKZG7Pn/TVFiiaO+c4Mh6ncP9k2a8AIX0K37orI7PtVjlG1NimS0Xi+KQfdfHADmT+fUIpPnODyatpiTNMQkNtXzifId9rRuZrmIxszokDK3CiEci3ElAqKaekbLpDkLdKaehhta62+NrQ0Q5Hqfb4Xqv6Wig==
2jam8bqkeaddjun4as74r0ma5c3d8449.surf.	900	in	nsec3	1 1 0 - 2L9KQNBJD1CL46371J8FVSCKNTTN92HH NS DS RRSIG
2jam8bqkeaddjun4as74r0ma5c3d8449.surf.	900	in	rrsig	NSEC3 8 2 900 20250916143655 20250902142726 12333 surf. r2ZeNx0KtgoU0hm2/7dNIlBXrPE9Dn2ou6DZR9BslIn+hk1qI0jeO5hiC6gcvWNE+m+Hk0n5o0mozMfqtgzXnk5dbrsQZCGoaklxvD5Aip/hREiXyGzrNOa7TehK7EqSOQr0UlvKZcJUHFWzOIklQgVMDBzKRVncXbj774icvy8vQZmL18OTi51Q3DZH2E08uwCbrZWrCC6bCNZd7Pcagw==
2l9kqnbjd1cl46371j8fvscknttn92hh.surf.	900	in	nsec3	1 1 0 - 2RKVN3TTL21FEHTAET8ML7FSHE2L4L03 NS DS RRSIG
2l9kqnbjd1cl46371j8fvscknttn92hh.surf.	900	in	rrsig	NSEC3 8 2 900 20250916143655 20250902142726 12333 surf. PxwqPfJ7yJsLoPDQ6CEc4PUncSbRVrcq+VIIrfBClnjJZ7AKjxFnkMJD1CnkE+X7QW0/Zsytu3S7Cqa4YMpF5bVpYepfn12ndgDXZJp+IqvEHGD4AK4GKsmjt1uZfkVM80PAld9xf4opxWwhBKobdfciOqNlpPQChGQgJ6obdYBKGebpPPR+ORGBU9rAKRn7AHW6kMcyuaBnSt3DOnVudQ==
2mile.surf.	172800	in	ns	ns31.domaincontrol.com.
2mile.surf.	172800	in	ns	ns32.domaincontrol.com.
2rkvn3ttl21fehtaet8ml7fshe2l4l03.surf.	900	in	nsec3	1 1 0 - 31PISFMIS7SMK02P4GK78CMORVMU6AKR NS DS RRSIG
2rkvn3ttl21fehtaet8ml7fshe2l4l03.surf.	900	in	rrsig	NSEC3 8 2 900 20250914061314 20250831055549 12333 surf. sVpCPqPY5x6rnjQAPJhagCKiwcwT3KBWXjwnHRrho2iRfouH0h2n41PFKmLfxVSFWtuX6lg3OKhK2Ni4Gnel/u/ENgx4DHhileXeHrNQcGZjtn7f1keWsqOJbrrtafZiShWMgTft/ShMqZeiVAascjZ21jgvCNfLy997DUI7p9D2T+cOkyoD6Iubf8a9IK0SQ8OeAZ4GV7bnmG/6mMGIhQ==
2sharks.surf.	3600	in	ns	ns11.domaincontrol.com.
2sharks.surf.	3600	in	ns	ns12.domaincontrol.com.
30awake.surf.	172800	in	ns	ns1.hover.com.
30awake.surf.	172800	in	ns	ns2.hover.com.
31pisfmis7smk02p4gk78cmorvmu6akr.surf.	900	in	nsec3	1 1 0 - 3HM2FA508FV2GELFE7JPB4GQ64U7O9N1 NS DS RRSIG
31pisfmis7smk02p4gk78cmorvmu6akr.surf.	900	in	rrsig	NSEC3 8 2 900 20250913194454 20250830184541 12333 surf. A9ivOXQ30EZ/AjvU6ZO3qLY3QPjtcsX5qdDa8tX6SMXikdTYViHMW6fjSklE7eHmk9ZEFx9qgJnrI7bQdbyowYy9EvZpxMucMCYQvFVEWOvcnm/DYiNN8ldBzRLzuDDc2LYy8TvYCavXyAnyuE9npno41c3zCUbun5R6Mo+hwUWoHlqRhCOGqN79fp+NojYoVuwBXkqOhKm9pWWuPqgAQA==
33win.surf.	3600	in	ns	alex.ns.cloudflare.com.
