zuerich.	900	in	soa	ns0.centralnic.net. hostmaster.centralnic.net. 2019132140 900 1800 6048000 3600
01figpckdb2q9odtvb6ac9mpsj9oau18.zuerich.	900	in	nsec3	1 1 0 - 02M0KRUNKSK897OFS7HL5OBA62MEENOT NS DS RRSIG
01figpckdb2q9odtvb6ac9mpsj9oau18.zuerich.	900	in	rrsig	NSEC3 8 2 900 20260216085242 20260117072242 52075 zuerich. mmz8w7K6c6HSFvGqYSpqYGxPuRxs6Tacfv7j20KQieKXHVXhSFXkTPAOcF6j4pI9dtVYzi4AMKEpQkUB5ygF8MIWx48XbqwhnHH2AXtY4FGz3mirp+jakWKeu8pCgLxU7MhvDR200exY+CkzUJL/tNLRauQP88OQXywRDQm+ycQ=
02m0krunksk897ofs7hl5oba62meenot.zuerich.	900	in	nsec3	1 1 0 - 05D9P9GSSVRR61I10BIS7L5Q66JSBCSQ NS DS RRSIG
02m0krunksk897ofs7hl5oba62meenot.zuerich.	900	in	rrsig	NSEC3 8 2 900 20260216102518 20260117085518 52075 zuerich. AfMKLra6tKEFEiQv5pZInXfVQ3zyffp7WC5uD3H5Nxn0H1vwpX4lkHRvHZ0/QC41Zo2IS0T7XiZCf1lJdLH8MVKWLmLS7hYHKTemLmZ2zirnHvmYz66fZM7okyNu1k0DgvFb9rilDx+/dI3ActlJPo1ACFI4C3zKL7lTo01Zbbc=
05d9p9gssvrr61i10bis7l5q66jsbcsq.zuerich.	900	in	nsec3	1 1 0 - 0H2EP02FOJKV147QE22KLGESQ05FFIBS NS DS RRSIG
05d9p9gssvrr61i10bis7l5q66jsbcsq.zuerich.	900	in	rrsig	NSEC3 8 2 900 20260216102518 20260117085518 52075 zuerich. Vb9zoX/pn+ySy0AVEEQIZBa3PZiW0bD2AMxfG+W29e445qYwRUAzBvV7I/FJNzBrDmpCS06Q9I8Fq9n8dn8gZXKALfy2/ZdaO8NqReUgDKfQrW56z3V1p5Ax2sv3Jnm94HZBEHUcABlmegLllJ7tONA0r/D4cbpq3u9GWdyOAZI=
0h2ep02fojkv147qe22klgesq05ffibs.zuerich.	900	in	nsec3	1 1 0 - 0JSJFE5OAEAA7K6T1LP33E16S2G5E261 NS DS RRSIG
0h2ep02fojkv147qe22klgesq05ffibs.zuerich.	900	in	rrsig	NSEC3 8 2 900 20260216102518 20260117085518 52075 zuerich. K4IKWM8kgrnUvPJG/yp5X37S5tjmkl3ThZnId2GyUVRmgRQGfVs59wsFFCMwtNS5V7OLZmvsd2tpUqgd2ydS96TPqA8EPP0BiVOl49Q4HjXfZy5IwPGLlVao6fwEi6pZlC3AhQfMSfCfuKJVxus8B+E/WEreK5oIIhB4dj5JLls=
0jsjfe5oaeaa7k6t1lp33e16s2g5e261.zuerich.	900	in	nsec3	1 1 0 - 0O8E962GO4IA9LJQ50SU5NK54EBRR4RU NS DS RRSIG
0jsjfe5oaeaa7k6t1lp33e16s2g5e261.zuerich.	900	in	rrsig	NSEC3 8 2 900 20260216102518 20260117085518 52075 zuerich. epjhv9D4q+7o7ehpT3o+ugYadKbWQ1bajOJGxWkgb5XriVIo+kyVyL8+y5RS1HWZSAuUqDVEUF+/eOb9VIxrlSNXMeVV3barAn+Gjnh/9hOidS64JR8v5aYVToRhas9b1WIXVdEbbuWDWtEOweIuwOEGocE/mDGFSN0rOOMHHVw=
0o8e962go4ia9ljq50su5nk54ebrr4ru.zuerich.	900	in	nsec3	1 1 0 - 138UU30RQI4933QORIVQDOTMDJ7FO9V4 NS DS RRSIG
