chase.	172800	in	rrsig	NS 8 1 172800 20250916101312 20250902092515 11463 chase. CGSPTarDVM7FMHDZH5u5mtXN2qrAam/MzOY7jRD3A4Yh268DeFq8jK5LE204Td5dhbM26T6XXJs6wDOz1OOSCpCLQ0yg7eeHDRzdkog3z3AykkJC0ZMJ2VvXXb5XjbuMPdr97if9e4zJc7xFNBUkxA+IrPNjpC9m0FhEvb1d++r/dSswbXD7/dBdZZrYrGSwKdD2LwGmbuhhsVOBQIFXxw==
chase.	3600	in	cdnskey	257 3 8 AwEAAb9GTL6HG7Cc8joDX48GrDss/L8dbfc9q6xo95yxzIqym7Etzd7SEpqv/fcS/UfN4UkK/DSxQ7JnNdV/K56lImK4OIeb5ljEpEkf1F0bms3fCg/e8q6DyY5YxEucVpbWpzfPpzlnNM1poD/lwGE4FoPF3nhhmo+klmYxHG5ieCH5TZjFPDdx5XdmsLsybmoIQwcv/IY1jpTQH/kCx+RefFR6BDpTNFclmLsKOAiA5ZmVpU5g8f3Y4aS6hE6/blMUDVMzKW2RRbTw7YeP2zHA75yc3AYyVz1sztNkOCvfc+hR7BGNxb72dz2z+BGgC1beKNl6qEXyXbS/bdG4KETVZ/U=
chase.	3600	in	cds	38962 8 2 7E231DFE930CAA42C760D3298C2F9B4B4F22AADC5A0FE6C7784E4E2177A0E317
chase.	3600	in	rrsig	CDNSKEY 8 1 3600 20250916121359 20250902120140 38962 chase. YfKCEtaksHEHMZnwzqPV1Z0t7hOzuY3WTHymWOaT5zx9KGS+9q7QywNQyU1+gtWwP2eGqm80tBeV2zHlSYO+BASy3nsA6moczT1jCaE3OeynIv0D1/8v59QMvyKI0u0VqmUwcU3c6ruOP+J6A/FvNNIyvUTpo++yRGWnW5/PejfwpBUA8c9cKgf8zSr+I7QVGxGG2KbS9m48JRPnBfCHhU/bXNXk4NAa4esQGxMQVugTYHtSS2OL+Y3mLsFrQw8HkC5d5Amog87YO0vISYpDbWClo0nKOwib8qPppW9rwUQN/jHMXfUawkDD13ZseUf6jy4kjdpXiHUZ8MFbB0oiAw==
chase.	3600	in	rrsig	CDS 8 1 3600 20250916121359 20250902120140 38962 chase. iYidcnIT8oBHdePToSVNvwXO9Db4KxUTAPexRRJtUpXEgT4buSqIVjpvUk2iu79iGk7S9xFVShxy4I0OjGFbVska7cy35Urvwhre6AEeBpfuN+QXJUTU3oYf2XsFPK9asugsLO0dQpsMo3nyqxDY91DX2uI8PmkFuRXuu9CocjYHZcD+fnVjLGUd2YufkB15ffr366PdbQfB76+IY1ir0iuS6B5S9Xt2lveFGLxakdvT+6tne8aZQrEAZ60Z/G6xgw1odpA6SDeiSEdB+LNOHFDl+WnHGmSEsOLBhbvXsmRNKb29S/hIdtbGQsEmgI+vwAZtrpnck3c4xIVXeKOmFg==
chase.	7200	in	dnskey	256 3 8 AwEAAc8JzABEaJVo2vMym7QAIiJXNWtPC/fDq22XkhPClUpIvnzFEiz35d7q7Gp1CyTe0/2bucwpzwaajY8wDTaYKhW/lZbDn/J/ZC4em6yNOI4gNWjqP6JYvd9SENN/a0O6d+3QH2ZIffAks78xJMI5ssSLKSNLQuljo1kUmk/+NX9wu6yGODUAP1gbVa/fiy7VuXYUGrnccjMrJ9m2KlfSDj8=
chase.	7200	in	dnskey	257 3 8 AwEAAb9GTL6HG7Cc8joDX48GrDss/L8dbfc9q6xo95yxzIqym7Etzd7SEpqv/fcS/UfN4UkK/DSxQ7JnNdV/K56lImK4OIeb5ljEpEkf1F0bms3fCg/e8q6DyY5YxEucVpbWpzfPpzlnNM1poD/lwGE4FoPF3nhhmo+klmYxHG5ieCH5TZjFPDdx5XdmsLsybmoIQwcv/IY1jpTQH/kCx+RefFR6BDpTNFclmLsKOAiA5ZmVpU5g8f3Y4aS6hE6/blMUDVMzKW2RRbTw7YeP2zHA75yc3AYyVz1sztNkOCvfc+hR7BGNxb72dz2z+BGgC1beKNl6qEXyXbS/bdG4KETVZ/U=
chase.	7200	in	rrsig	DNSKEY 8 1 7200 20250916121359 20250902120140 38962 chase. CyMHa56TzVdymaPxGrF56TnhVV5TpuQUz1WBnH33fxjzna27YDa2gOawAl6+3jldx49oJH4ZwGAGXMAOpafveIe3vnnttWc9aljyamYlHZeWh2rgpFTNBZU03E8qUS7jqfc7pTrOyin9d8e17dfrzxbioWYBJRZLMIf2ZqTXfImZpcLD/H3PWOGdMqH59bcvaYyvAA0l0WT4qyHIA33DAQN2hnzfFtvy/st8gmR9Tbdr+abXLHBrhq2GxVHE7KmBQXIiPCQgTfB28a+UiDmcAligrlLgsi1LUd5bmgGd5KFq34griwjR2bMLtN4V25qEHpyTlMm7LKM5FniQd3YQFQ==
chase.	900	in	rrsig	SOA 8 1 900 20250918233702 20250904223702 11463 chase. GCxUhBX1P9kmshPAqHHYgo1jPE6YuBMBG5iHWsNvwHdeajh//riY8LIUQMdvMNjdTHFSDKvMK1i6BjMqCCDPiRdxqMyw7DSUheyJ/jTBRpWxIspRhwC8JFSUfeoTpUyQs7l/UZCsTALvKxsak9MGPkofjALTCU1gHLnmpTpN95rVIwoPiDiwxHlCyF9cDL5Mb8pllNAw60qhky6wWR6aYw==
chasefreedomrise.chase.	3600	in	ns	ns05.jpmorganchase.com.
chasefreedomrise.chase.	3600	in	ns	ns06.jpmorganchase.com.
chasefreedomrise.chase.	3600	in	ns	ns1.jpmorganchase.com.
chasefreedomrise.chase.	3600	in	ns	ns2.jpmorganchase.com.
chasefrugalmode.chase.	3600	in	ns	ns0037.secondary.cloudflare.com.
chasefrugalmode.chase.	3600	in	ns	ns0246.secondary.cloudflare.com.
chasefrugalmode.chase.	3600	in	ns	ns05.jpmorganchase.com.
chasefrugalmode.chase.	3600	in	ns	ns06.jpmorganchase.com.
chasefrugalmode.chase.	3600	in	ns	ns1.jpmorganchase.com.
chasefrugalmode.chase.	3600	in	ns	ns2.jpmorganchase.com.
chaseinkbusinesspremiercreditcard.chase.	3600	in	ns	ns1.markmonitor.com.
chaseinkbusinesspremiercreditcard.chase.	3600	in	ns	ns3.markmonitor.com.
chaselovelocal.chase.	3600	in	ns	ns0037.secondary.cloudflare.com.
chaselovelocal.chase.	3600	in	ns	ns0246.secondary.cloudflare.com.
chaselovelocal.chase.	3600	in	ns	ns05.jpmorganchase.com.
chaselovelocal.chase.	3600	in	ns	ns06.jpmorganchase.com.
chaselovelocal.chase.	3600	in	ns	ns1.jpmorganchase.com.
chaselovelocal.chase.	3600	in	ns	ns2.jpmorganchase.com.
chaseloveslocal.chase.	3600	in	ns	ns0037.secondary.cloudflare.com.
chaseloveslocal.chase.	3600	in	ns	ns0246.secondary.cloudflare.com.
chaseloveslocal.chase.	3600	in	ns	ns05.jpmorganchase.com.
chaseloveslocal.chase.	3600	in	ns	ns06.jpmorganchase.com.
chaseloveslocal.chase.	3600	in	ns	ns1.jpmorganchase.com.
chaseloveslocal.chase.	3600	in	ns	ns2.jpmorganchase.com.
chasemidnightmode.chase.	3600	in	ns	ns0037.secondary.cloudflare.com.
chasemidnightmode.chase.	3600	in	ns	ns0246.secondary.cloudflare.com.
chasemidnightmode.chase.	3600	in	ns	ns05.jpmorganchase.com.
chasemidnightmode.chase.	3600	in	ns	ns06.jpmorganchase.com.
chasemidnightmode.chase.	3600	in	ns	ns1.jpmorganchase.com.
chasemidnightmode.chase.	3600	in	ns	ns2.jpmorganchase.com.
chasemoneymodes.chase.	3600	in	ns	ns0037.secondary.cloudflare.com.
chasemoneymodes.chase.	3600	in	ns	ns0246.secondary.cloudflare.com.
chasemoneymodes.chase.	3600	in	ns	ns05.jpmorganchase.com.
chasemoneymodes.chase.	3600	in	ns	ns06.jpmorganchase.com.
chasemoneymodes.chase.	3600	in	ns	ns1.jpmorganchase.com.
chasemoneymodes.chase.	3600	in	ns	ns2.jpmorganchase.com.
chasepayments.chase.	3600	in	ns	ns05.jpmorganchase.com.
chasepayments.chase.	3600	in	ns	ns06.jpmorganchase.com.
chasepayments.chase.	3600	in	ns	ns1.jpmorganchase.com.
chasepayments.chase.	3600	in	ns	ns2.jpmorganchase.com.
chasepaymentsolutions.chase.	3600	in	ns	ns05.jpmorganchase.com.
chasepaymentsolutions.chase.	3600	in	ns	ns06.jpmorganchase.com.
chasepaymentsolutions.chase.	3600	in	ns	ns1.jpmorganchase.com.
chasepaymentsolutions.chase.	3600	in	ns	ns2.jpmorganchase.com.
chasereservelounge.chase.	3600	in	ns	ns0037.secondary.cloudflare.com.
chasereservelounge.chase.	3600	in	ns	ns0246.secondary.cloudflare.com.
chasereservelounge.chase.	3600	in	ns	ns05.jpmorganchase.com.
chasereservelounge.chase.	3600	in	ns	ns06.jpmorganchase.com.
chasereservelounge.chase.	3600	in	ns	ns1.jpmorganchase.com.
chasereservelounge.chase.	3600	in	ns	ns2.jpmorganchase.com.
chasesapphirelounge.chase.	3600	in	ns	ns0037.secondary.cloudflare.com.
chasesapphirelounge.chase.	3600	in	ns	ns0246.secondary.cloudflare.com.
chasesapphirelounge.chase.	3600	in	ns	ns05.jpmorganchase.com.
chasesapphirelounge.chase.	3600	in	ns	ns06.jpmorganchase.com.
chasesapphirelounge.chase.	3600	in	ns	ns1.jpmorganchase.com.
chasesapphirelounge.chase.	3600	in	ns	ns2.jpmorganchase.com.
chasesapphirereserveloungenetwork.chase.	3600	in	ns	ns0037.secondary.cloudflare.com.
chasesapphirereserveloungenetwork.chase.	3600	in	ns	ns0246.secondary.cloudflare.com.
chasesapphirereserveloungenetwork.chase.	3600	in	ns	ns05.jpmorganchase.com.
chasesapphirereserveloungenetwork.chase.	3600	in	ns	ns06.jpmorganchase.com.
chasesapphirereserveloungenetwork.chase.	3600	in	ns	ns1.jpmorganchase.com.
chasesapphirereserveloungenetwork.chase.	3600	in	ns	ns2.jpmorganchase.com.
chasesmartterminal.chase.	3600	in	ns	ns05.jpmorganchase.com.
chasesmartterminal.chase.	3600	in	ns	ns06.jpmorganchase.com.
chasesmartterminal.chase.	3600	in	ns	ns1.jpmorganchase.com.
chasesmartterminal.chase.	3600	in	ns	ns2.jpmorganchase.com.
chasevault.chase.	3600	in	ns	ns1.markmonitor.com.
chasevault.chase.	3600	in	ns	ns3.markmonitor.com.
chasevaultcard.chase.	3600	in	ns	ns1.markmonitor.com.
chasevaultcard.chase.	3600	in	ns	ns3.markmonitor.com.
com.chase.	3600	in	ns	ns0037.secondary.cloudflare.com.
com.chase.	3600	in	ns	ns0246.secondary.cloudflare.com.
com.chase.	3600	in	ns	ns05.jpmorganchase.com.
com.chase.	3600	in	ns	ns06.jpmorganchase.com.
com.chase.	3600	in	ns	ns1.jpmorganchase.com.
com.chase.	3600	in	ns	ns2.jpmorganchase.com.
creditjourney.chase.	3600	in	ns	ns05.jpmorganchase.com.
creditjourney.chase.	3600	in	ns	ns06.jpmorganchase.com.
creditjourney.chase.	3600	in	ns	ns1.jpmorganchase.com.
creditjourney.chase.	3600	in	ns	ns2.jpmorganchase.com.
csrlounge.chase.	3600	in	ns	ns0037.secondary.cloudflare.com.
csrlounge.chase.	3600	in	ns	ns0246.secondary.cloudflare.com.
csrlounge.chase.	3600	in	ns	ns05.jpmorganchase.com.
csrlounge.chase.	3600	in	ns	ns06.jpmorganchase.com.
