1qsrdbspbqq6aa46177ikspjg8eb1qhk.surgery.	3600	in	rrsig	NSEC3 8 2 3600 20260122161027 20260101151027 19869 surgery. wHty7lzp4UJRlrnC6iSoQjZ2T5zP7oaE9jTqPc9QkwVinN3y8/4A2m3rhJfLxgE+xNPTu8DgqLwYgRR3CCJM7iLMUs+5Pgio3WkvORN+38W/4gsjTHJQoUtWZfxxa/s1aT+Bqi+syO4ZCjyTgmA5i98kSedOy/CEZ448FnEi3pY=
1tocvc9dr7b6ckkfkdof6vbruobtgl19.surgery.	3600	in	nsec3	1 1 0 73 24VULGASIDNAA25C4E7K5Q9DL7P2J6SC NS DS RRSIG
1tocvc9dr7b6ckkfkdof6vbruobtgl19.surgery.	3600	in	rrsig	NSEC3 8 2 3600 20260122161027 20260101151027 19869 surgery. I4HJGzg9TAjY1UrEe8aofd963SiC0sNot8M4w94/z5MYNXZBxiefAHlUc5p65/eN00252UPFISXQA5wF+cBMM1DB7R835Amg6ZDhTYifqqDOnvpnsmeY3IM3qPha4RMHa/Lx10+KZ9WwtqTF0Fp7AxkSH1u2dtXjQqpYolkOQDU=
23win.surgery.	3600	in	ns	garrett.ns.cloudflare.com.
23win.surgery.	3600	in	ns	lisa.ns.cloudflare.com.
24vulgasidnaa25c4e7k5q9dl7p2j6sc.surgery.	3600	in	nsec3	1 1 0 73 2AVJ3T705NULD2BK75HHCLNO0C85R042 NS DS RRSIG
24vulgasidnaa25c4e7k5q9dl7p2j6sc.surgery.	3600	in	rrsig	NSEC3 8 2 3600 20260122161027 20260101151027 19869 surgery. n+F0FLugtDX9eD5qcLuuYQ7uBVd5xfYyDizTgF3Ed/wEN54DG/YRl/VMsarP5YEDAz1NoVSGN3f43J22JhXbx9PnyNzaniItbLJNVdNYrlFWQHJIcXH+MAkdpe03VVN6HoWiog5bu2/mnE3wVA1xY/iPWUweJ9MHmjibFFKPpo0=
2avj3t705nuld2bk75hhclno0c85r042.surgery.	3600	in	nsec3	1 1 0 73 31VD5SCII3PBS7HH6C2B4C3UBQGFCUD6 NS DS RRSIG
2avj3t705nuld2bk75hhclno0c85r042.surgery.	3600	in	rrsig	NSEC3 8 2 3600 20260122161027 20260101151027 19869 surgery. aByJj5IKd1pDICOUWWynJplhSlRFv+3XXlpyGC394OY7VB2/Q7cUlN9fjnHoD233UNAwBy0quZM9bxlgyAXgjiomNl1Iz3Qh0tVLuL+skp6M7jYdwdccLwkjv6OYu1bcK7Hcsowrb42YRY2CZoJM58GD52FEu9H+4Dqc0Eh6fjY=
3000.surgery.	3600	in	ns	ns1.whoisdomain.kr.
3000.surgery.	3600	in	ns	ns2.whoisdomain.kr.
3000.surgery.	3600	in	ns	ns3.whoisdomain.kr.
3000.surgery.	3600	in	ns	ns4.whoisdomain.kr.
31vd5scii3pbs7hh6c2b4c3ubqgfcud6.surgery.	3600	in	nsec3	1 1 0 73 34P0QBPQKOJL5KBCDM465R4EOIUIO0RD NS DS RRSIG
31vd5scii3pbs7hh6c2b4c3ubqgfcud6.surgery.	3600	in	rrsig	NSEC3 8 2 3600 20260122161027 20260101151027 19869 surgery. bwWgzm3Qu15L+oa/Jlc+JtLKkWLKSlukrJaNeyUSmD35iA7utv5EnMEDp2mcGR/Y4SbMhp8v8OQUna3eSZ+PAkevvGZde/R4xV/xs7SRPTTGb2LwK3oQ/eJcL76prbA+emuSUm6WI57wKaVrKZWo9tMmNuIM6nC7i62lx9PDJzI=
33win.surgery.	3600	in	ns	eloise.ns.cloudflare.com.
33win.surgery.	3600	in	ns	mitchell.ns.cloudflare.com.
34p0qbpqkojl5kbcdm465r4eoiuio0rd.surgery.	3600	in	nsec3	1 1 0 73 3CHVJGN0T5JE03G49IVOOVKI1IDRHKJP NS DS RRSIG
34p0qbpqkojl5kbcdm465r4eoiuio0rd.surgery.	3600	in	rrsig	NSEC3 8 2 3600 20260122161027 20260101151027 19869 surgery. Ap9tro+pYuolWFeptfEMTlYZrcoKY+vD3OJdk6Rf2LES9FRpPHYpQ5S6KCwjuIHUWBWY4U03ZNxE6cab3eNjKf6IwGVetv81yfIE45fuhKjiFZAqTAPx4o1hsPaYinD0iZWcGGlynhPY7De5j7DxOktv2k1ox5zczf0/b6Gwz7E=
3chvjgn0t5je03g49ivoovki1idrhkjp.surgery.	3600	in	nsec3	1 1 0 73 3G5HMELV2B0JJQN20V0KD23BI9FHATQP NS DS RRSIG
3chvjgn0t5je03g49ivoovki1idrhkjp.surgery.	3600	in	rrsig	NSEC3 8 2 3600 20260122161027 20260101151027 19869 surgery. eBiUiDwpFunOPVJQq8y9iepegXcg8op46WC2IeHVcZkG2GYtjoe0AESj5s6rLsbrVoPi9gB29FWdUe4DhAMv9jadL41OQz+CAWqVcqeHHnhuYEgXVvAYlcM/kWHQSVElCXertEVPD83A/aYco4/V0cIRLB1PDcCRHui+euQiCiE=
3d-model.surgery.	3600	in	ns	ns3.stratoserver.net.
3d-model.surgery.	3600	in	ns	ns4.stratoserver.net.
3dlap.surgery.	3600	in	ns	ns1.hostmonster.com.
3dlap.surgery.	3600	in	ns	ns2.hostmonster.com.
3dp.surgery.	3600	in	ns	ns3.stratoserver.net.
3dp.surgery.	3600	in	ns	ns4.stratoserver.net.
3g5hmelv2b0jjqn20v0kd23bi9fhatqp.surgery.	3600	in	nsec3	1 1 0 73 424SAK7Q1IAEJ0VSLU497HFJRQ27M51A NS DS RRSIG
3g5hmelv2b0jjqn20v0kd23bi9fhatqp.surgery.	3600	in	rrsig	NSEC3 8 2 3600 20260122161027 20260101151027 19869 surgery. va9sf/Ybh9N/mpak6wOucRPD7vbI670udq5Rxd6CAm7V28zbK5zLF/mt6LaC7tft/9SOhlk3w/WeuL7C1NYg1aXIWQ+le5uGxjdEwMUq+djmkHcVwXeUJUQwZERy0daPafqnmLrrqwn0cV2PCUk1JbJW5pEh4s+mBCWz2ZoHGQ0=
424sak7q1iaej0vslu497hfjrq27m51a.surgery.	3600	in	nsec3	1 1 0 73 42BU1HNAOK1JQN0OGQBG7VPDKUEC9GP4 NS DS RRSIG
424sak7q1iaej0vslu497hfjrq27m51a.surgery.	3600	in	rrsig	NSEC3 8 2 3600 20260122161027 20260101151027 19869 surgery. whV5l5q3RVKgBsHWyBnnmCAhOO0NuFwqgDr+Rz2ccYy+hiJ9pN0e8gxE6g4GJnsIK8D7Ncant44wReojTsv4i0m4A1bEWew5ko4JzEdyiIzINwcDjH8Gi33aiD+q4Ng43t17spuDEMJ+XAT7z9rRmcnXsVcoUWiwtMLy1ItG8OE=
42bu1hnaok1jqn0ogqbg7vpdkuec9gp4.surgery.	3600	in	nsec3	1 1 0 73 4AATMJAQN2R859OLK0QH2ICMNC14O27V NS DS RRSIG
42bu1hnaok1jqn0ogqbg7vpdkuec9gp4.surgery.	3600	in	rrsig	NSEC3 8 2 3600 20260122161027 20260101151027 19869 surgery. G4AjYkH+ZVMWDot5qDi0Drqh4DkUIJmfTtWivV36f71k/ii+mg1idcKjw0Kw4Omy9TB9pU+aAE7oMD77CD0IqNwe3aeDLVDNMgAl1BaZyfpZiTAQXkOaLmvpaHheK/EjrGeo1J1y3orz8VWkWU4FVtV5eDlQpmStCTqgKzpoHKo=
4aatmjaqn2r859olk0qh2icmnc14o27v.surgery.	3600	in	nsec3	1 1 0 73 5AK03I5O4JOFN35S38OA17CVFA4VVA0M NS DS RRSIG
