scot.	900	in	soa	anycast9.irondns.net. dnsmaster.corenic.org. 2601060025 7200 7200 604800 900
00on6pbo0dajg9tm6elact9f8i06lvfc.scot.	43200	in	rrsig	NSEC3 10 2 43200 20260115215700 20260101215700 21663 scot. XqlAqLR9fiQWtWwJX/HhFqwNAjeqlCa0oZtyqPgIGgxlpplqw8kX1EsyczLhyWwFBaWy6IqxfWop+0IypC/b775LPOgVyNeFdN467x/0N9NthlYfOV1gQEmNF8L+XclXI9PIfCfg2iqDY7DwlZ57Vna8nn4wjXtUMLoiSIeLKylmRams+5a8N0K4NQSxvffAFxzwLsixxmIKEc+tEZF9QA==
00op5p6ji8i75cluckeulf637onmn95i.scot.	43200	in	nsec3	1 0 0 - 00RG36HGDH0M1531J0LPF8M6E1SH93KI NS
00op5p6ji8i75cluckeulf637onmn95i.scot.	43200	in	rrsig	NSEC3 10 2 43200 20260115215700 20260101215700 21663 scot. r+VHsnpZGwuQV3XXzlT5C0ojQ3LObeoJittvPzXutNE5+FZdbGVfkPDV2acOqPKHKnaWF06KODHGFFR23o1pl+zIqAgesV3F/YFNtTXY6y18p2to0xmFo+pm0k2ZXKUTp87aEMONN+LJVtz+dNI1z5ObDUWHLfBfFt+C3ctT8yGBQTZT6WIS+dxRmkuiy04d93tDbuH0ovnem6qza0DmmA==
00rg36hgdh0m1531j0lpf8m6e1sh93ki.scot.	43200	in	nsec3	1 0 0 - 00RQP2DMNGSUHR9942EPVGU16T1TTL3C NS
00rg36hgdh0m1531j0lpf8m6e1sh93ki.scot.	43200	in	rrsig	NSEC3 10 2 43200 20260115215700 20260101215700 21663 scot. Te8PVwkcqzLU8BuXj1nuWfHd0kC2UjW934i5Z4QqY/FhRZMPTBblQRfWEeLl1lWObIXATBgXF8nIJONePeeNTfdbhl45SUg9EyOGRGRq9FtvrQtqB5sfU8i34DlqYVtqaqmAD780CcL8Of36LgaEorebxp329q6GYYZYBSItjXb0IwWDD5xRcn/F2AMqHhegiFX2xlv7GwnVihvCSVwcDQ==
00rqp2dmngsuhr9942epvgu16t1ttl3c.scot.	43200	in	nsec3	1 0 0 - 00UGH25PE2S4HCUD32T9HE0ENB7FF7F4 NS
00rqp2dmngsuhr9942epvgu16t1ttl3c.scot.	43200	in	rrsig	NSEC3 10 2 43200 20260115215700 20260101215700 21663 scot. sjQyFG8heqKbIkeiv1AlrxmC628xGTOGbY99G+ila2nIulirHYTXmnrDqL7iJ8L1g4ZF7nva0KRD+0wA8qw9QnzZt08B379dBB0NufOoECBi21kV9OBxuG3uuJHfH+O6Ij/Pq99v3b+CrK5+CevZRD6r1zh6YXNiSCpxK39a7qYAMavUTiVJw3dMMtfbMDObwV9eMJ8uhUsOIaCcuIUDyA==
00ugh25pe2s4hcud32t9he0enb7ff7f4.scot.	43200	in	nsec3	1 0 0 - 015KPDS69P6CQIFS4GT969O2F74G7OCS NS
00ugh25pe2s4hcud32t9he0enb7ff7f4.scot.	43200	in	rrsig	NSEC3 10 2 43200 20260115215700 20260101215700 21663 scot. IMBX6sOdR9bne8IVS7fNDeAttkIPmIMytZ/6aMxA6/awgxZlkLfw5J1o2vkOkNrqKn4nUfRXNL+l6HtwJn7vZGbij6d4IzDHKI9gwTppcz3QLG3oJ0z5KCRQ3+lEKrEb/6CAmF+hBg7hJAr0jlHOlVSP+BHWisT6hJKZata0eMkZ9lt9Li+DSKpjQypHQX0IxH0SH0FE9ylCqfGw1g5yuw==
015kpds69p6cqifs4gt969o2f74g7ocs.scot.	43200	in	nsec3	1 0 0 - 015TDM599D7GFUIJO1TDG7JLD2JM1FFO NS
015kpds69p6cqifs4gt969o2f74g7ocs.scot.	43200	in	rrsig	NSEC3 10 2 43200 20260115215700 20260101215700 21663 scot. x8h6oR7mUU8whvDvzOTftIopc81+NNZ5luTneiPXr/mCuo8rgCARXedbYN7ztWZWvm/m5kgSd49V7FLWhWF14SeB/P0XvYRMDejhzopet2K2wZAesiMTtI4qEPq56VcRHyl+ssnUM7iG/LM6RSQOMn5cUl+T0WydNABhpZ56DA+15AfRb3WMLs9ocwWmF268jbVO7igDfp/lHt3Xzcur6w==
015tdm599d7gfuijo1tdg7jld2jm1ffo.scot.	43200	in	nsec3	1 0 0 - 01DG0T4K8NGA66JDF1MCEAQKHV23TMOK NS
015tdm599d7gfuijo1tdg7jld2jm1ffo.scot.	43200	in	rrsig	NSEC3 10 2 43200 20260115215700 20260101215700 21663 scot. o/OSOIj/DHK2xP3II/CVYYdtFfPzC+ksuqkhByJOcVoBW61coz/xr1IzRGjJD9eYFpCNqqeV/HBGlvumWBmPLHE98XhKDRaRGVKyZfsBC3RzEsmkB31R0qsompHX7YozWo2huAPmPaU930JLCP8u48GWOn7u8qOiNbFWcTy2YBH6a7aoXMjvxtEZgOnCk35qpsxMzkKU8vDKuUxDBC3vZQ==
01dg0t4k8nga66jdf1mceaqkhv23tmok.scot.	43200	in	nsec3	1 0 0 - 01EHVLR4414C6J5L9AD8NQJKB7SGNFIU NS
01dg0t4k8nga66jdf1mceaqkhv23tmok.scot.	43200	in	rrsig	NSEC3 10 2 43200 20260115215700 20260101215700 21663 scot. Qyw+5v7YzesGuNigDTCW57Fl7uN0Ox9WEOMwixuuq4XBRlexFsWoDwjb3k0RPeZ8IuxmAKPhuqTEKY4zDacQQIh2MQhVlPeIEBqZ2FEFCh7625mOCVD2eYjM6Pr/NzAIsP++snwRd2T8Io6VGDRSkCQCfPFhdes2AXgh3Rq/mpneZxpStGlHw8swDLFhv6GyIyCif9Yo8beJpy9m1IEbVw==
01ehvlr4414c6j5l9ad8nqjkb7sgnfiu.scot.	43200	in	nsec3	1 0 0 - 01EUJETUVT4S69NKINCMGH13J1ECHR34 NS
01ehvlr4414c6j5l9ad8nqjkb7sgnfiu.scot.	43200	in	rrsig	NSEC3 10 2 43200 20260115215700 20260101215700 21663 scot. n5RY8wSPE80JVdYwDNoqeSZIID160h2HjNLPXJG/34BlidK/2iM6JviAxyZjaLMVtMyg9KGFc1V/d0GfuAcKexxvHfai6clCC46i/KQ5pymA5gZgiDRjnDl8fjT9F4fUpx+o/2DCqyz30MgFLbLXjjGqIyLP8ZS47YhK2QShYlfz3/tLDCcKdwOW8D2seAbuq3OrcO6S6uZ7EvriUqhjtw==
01eujetuvt4s69nkincmgh13j1echr34.scot.	43200	in	nsec3	1 0 0 - 01M6N1SM5MU447K2BJTKA6R0JKK1CFCG NS
01eujetuvt4s69nkincmgh13j1echr34.scot.	43200	in	rrsig	NSEC3 10 2 43200 20260115215700 20260101215700 21663 scot. qSvrFe+g/ildPzwPSI1awfJFxRkrZkJkQjgdElH4eQzjJ3IODgVxDtLEh2YpGzlm6PPGE+3J5AszAUc27gsWGQ2dAH24QE2PHlywTmRJp6Njge9vqCF4KszH5hsUldezMwGBbUIf7h/bf+W/4v+B8fYEB2aDCCszWxy0eGQRkF+gVESXcKti2rSYlURFDYXJ7QaWuLdNq0icPhZxbtAiSQ==
01m6n1sm5mu447k2bjtka6r0jkk1cfcg.scot.	43200	in	nsec3	1 0 0 - 01M6QAKM04OTJ7S390S6GJ0J34RCANQ2 NS
01m6n1sm5mu447k2bjtka6r0jkk1cfcg.scot.	43200	in	rrsig	NSEC3 10 2 43200 20260115215700 20260101215700 21663 scot. qBurvfAGwilIjqM0U7Y/w8Rp41GJPiUwaRu+tBJFcvSb5QK2cGx6h+GQnZ8ncGMevofCD8L5Blp5fFppFgFlPIO6GQS/BBNJeyjtj2B3Rcq18W+vqY8IkOHL9JVKQ6/JkEeCw+kbN+3OgRHNOIykIV9ikL9Dn8vhctIAMwIiQLHZUoVheFSKJiOIFqBvOI2gkmD3yEeuezZzeSXD9c+hkQ==
01m6qakm04otj7s390s6gj0j34rcanq2.scot.	43200	in	nsec3	1 0 0 - 01QPJU1TJA2AQQ445VQMU1G8C0UOB4LH NS
01m6qakm04otj7s390s6gj0j34rcanq2.scot.	43200	in	rrsig	NSEC3 10 2 43200 20260115215700 20260101215700 21663 scot. KYstMZcskLpZirN5YeiGXPpMZoP450g0+IsfDTfVeOn6Q2VAevC7rZs2JCMDqudReMbLfGtz4P0PadFiOv38PBmzaGcnVxrhYT9hchn4ifkcs8VaRwy1phOQ6lTfltgoNri+/4bFhQ0+p/uVFD7t1NR8ZmUw4HtbkFTJm/Sa4LRSU3JsNN/2hbJ/ENzKUTCjA7G9B7QYZb+D8T7IfEFNQQ==
01qpju1tja2aqq445vqmu1g8c0uob4lh.scot.	43200	in	nsec3	1 0 0 - 01S2B23JK2C24H36V6DNRVBBFQ3BTINN NS
01qpju1tja2aqq445vqmu1g8c0uob4lh.scot.	43200	in	rrsig	NSEC3 10 2 43200 20260115215700 20260101215700 21663 scot. F9YYxNEBW422a+AqLg+sZ5ibjk5MAVlqzSbDfCNQUtqc0bEk9QtQvDjd9HGfjm9CXyQDZmih1qf4Q+KwsCW9hS2kW1q1CimnxD35a64MdjehZEDqsE1FDMX7Gf1uahSUDo17QVvN5wchqFOywgK6VLDmVZN+1i1x4G0O7cMEkcprJMAaC9PBZusuWaoLA5EYXw4PMSHqPXFMfqCQOJ8aBw==
01s2b23jk2c24h36v6dnrvbbfq3btinn.scot.	43200	in	nsec3	1 0 0 - 01TGPIGV7IFMOT4QLHB9IBR5FK8I8NE9 NS
01s2b23jk2c24h36v6dnrvbbfq3btinn.scot.	43200	in	rrsig	NSEC3 10 2 43200 20260115215700 20260101215700 21663 scot. Sx4qxNM3fvuP/uicofLRF5g2J+bGGVexw0l5QzUmo6yAcOQwGP4eBGbjPofAiILU9F5QYY6lmwos+TICw2YkkPFpvgf1LR+5swQi7+GAos0abVQmo6me+h6u1zvasTIyuQ64sxydrwoX1/66xdVmbJgzTVXQemPuuQdCkh88wTpOLAyl2R1TkW3IB6qMUfq6h16hZ1x4xWqSUN5dIQgXjw==
01tgpigv7ifmot4qlhb9ibr5fk8i8ne9.scot.	43200	in	nsec3	1 0 0 - 01TGTKR5S6ODMEQDIOMI8IHGRUT860C6 NS
01tgpigv7ifmot4qlhb9ibr5fk8i8ne9.scot.	43200	in	rrsig	NSEC3 10 2 43200 20260115215700 20260101215700 21663 scot. flTCBH1hLjDILfA8GX8KrjXT0sSXD/z21rdSK5I58fOPSV5jV3lDnNR7/6fY6bTGK7/G3oachBbkbM35AkJJUL6G2idvlioFdTMuRk2P4BrBkTdvEDIxCilT094F4zWsgsKuA6MXjFyHkorO64Yf9zAP5jh7aievTKIFfUeAkdPl1bkgx0XEsOkycOrlSyfzjMYblC5dlHbkkHCfdJzDzQ==
01tgtkr5s6odmeqdiomi8ihgrut860c6.scot.	43200	in	nsec3	1 0 0 - 01V4A63UKAAK4H8PL27GTDHQJ44PJ2NV NS
01tgtkr5s6odmeqdiomi8ihgrut860c6.scot.	43200	in	rrsig	NSEC3 10 2 43200 20260115215700 20260101215700 21663 scot. UTTSHlMs4D/8h6TeJRt5oQolQmeF2B+0y4FJFblXxIg6umVPU3zUi/PSP2NqzzPAM8YVzsuGDGW4c/7GMmSIqofzY+GKr6NIH4NaK0s5oo7u3dGk81fhiwNwrhCbhCg6WffTKD6/WD6eADNNVypPkz/hMK3LKxqGQFHQur/cIYoyNBSp0uTP6/Bk6TBpGC95jfaqUYpaqO/HwSrUVJmMyQ==
