swiss.	900	in	soa	anycast9.irondns.net. dnsmaster.corenic.org. 2601060059 7200 7200 604800 900
00fh85k5e7elotd1at0if00p6a60h0j3.swiss.	43200	in	rrsig	NSEC3 10 2 43200 20260114215222 20251231215222 11583 swiss. cyr4wCMnimafrat3uk/l8Jb0Q3xhCj+QMNc/LbqqpbqFkZWmQgsaBuDfUNtKY7A9BmS9oxlS9evN8kitNWSdgosUsKhv3uN67EFe4hMxQV4vaenYrEH6pH0RrJUvjFgKfJTWI2EkB6IQrjLAQTFpMYeSX68u8W+AZEwyN3oGxn4Ao3hi4mE+RtJYWrLlN9ZpoMPPrrO56Um/V0/19F9c3A==
00fm68daae7rgkdm07miuv4b5aovso4c.swiss.	43200	in	nsec3	1 0 0 - 00HVICT957A1PDL7P4GR898OBICOCBHV NS
00fm68daae7rgkdm07miuv4b5aovso4c.swiss.	43200	in	rrsig	NSEC3 10 2 43200 20260114215222 20251231215222 11583 swiss. hlBqYGsu/sOCXWmX9iNOwDBa76/XYbN0/hdDLJokXXQT+guFYYSswcrq8V5VWgY+wuJJeTso59Eea31ZyklXPmeWo8zsUd0D3NZBcsUUj2RAll31WB/QbBuxhX6/nvS0gahSW1ALp1gvla2EoMazDf0X65O+OoIu90B+AJxGvxuuz2nGWo4KP3n9uiRVKBD2IS9NU4+ed353TgO54dGWow==
00hvict957a1pdl7p4gr898obicocbhv.swiss.	43200	in	nsec3	1 0 0 - 00I7RLEKOUIK9MCH8NP72H784EUVFEQ3 NS
00hvict957a1pdl7p4gr898obicocbhv.swiss.	43200	in	rrsig	NSEC3 10 2 43200 20260114215222 20251231215222 11583 swiss. bhsMS/t8V4NLKRGwwpBbyCAboNy1Rzi33hKPH2kMM45bLhAzqGMobcEMoKkVUcwAF+TiaCgZso+tn47WPftjys5D0y18h/pVpoOUPR2hwJh4tgVV+IY5Ve8AjfFbs7io+qwW0JXE9oy/f2ktfrHPgb7uJXzITKnpFzRqxLpWMdlsImyzPxie9UzeKOfbZWrSPIgesRpsZyR/zY9LMj9tYA==
00i7rlekouik9mch8np72h784euvfeq3.swiss.	43200	in	nsec3	1 0 0 - 00J80UPQMKAT0PPF5K503SNED1S5E4D3 NS DS RRSIG
00i7rlekouik9mch8np72h784euvfeq3.swiss.	43200	in	rrsig	NSEC3 10 2 43200 20260114215222 20251231215222 11583 swiss. Dlurtd2B/PSqIjx5zk4xQicVtVrC5U4ulv1rcduCk1bqm9/ZzmdtbOglZy82V3ULe3XrrcRIvd90df66jNNxpljF43zqwObBeL77q9ivMOml5n1lW3YKXLr7bC7Tvc8koBkZte65bJg/mQjZ5TYMLLGUwAgMgH8wR0zP/2hS+Oub8nYhahQ0MoLC39U9pUyKIasEXX7Rai+ZWrb5icFcIA==
00j80upqmkat0ppf5k503sned1s5e4d3.swiss.	43200	in	nsec3	1 0 0 - 00L30I1UM94TSH0RPLT46CV654BLAMDA NS
00j80upqmkat0ppf5k503sned1s5e4d3.swiss.	43200	in	rrsig	NSEC3 10 2 43200 20260114215222 20251231215222 11583 swiss. c7ngyr2BrzOLdwKK6glp4nSt0AVLZnOtKDtEC3bITIf05XH8sY9Ns5j4UF+IkF4SvmTEa+GOMja553xshfyvrf6/G9hqg5dUuiY4WbXOicN8BQOFLJdY1zBKtjJCikJCBs7F/A9ptztle6rk/Zk/3AAavLhwdkxg2Xz26vc7FrZRaCni0hd0zvaUs5jcsgU7WLElnC0fneDqALypsgqFEQ==
00l30i1um94tsh0rplt46cv654blamda.swiss.	43200	in	nsec3	1 0 0 - 00MNFU08ONSKIDPJO73K338KJFFPCSE0 NS
