122trg0tgmbtmqhg6nqdn76o3mo91upl.glass.	3600	in	rrsig	NSEC3 8 2 3600 20250916154623 20250826144623 55269 glass. SQqT3JJQSTuoChILCKz0uhRNX2zH0QDln36CE5Ecu0Vm61qfaDgnegVTcfoGHTjujtK+3VIY1WaSHsp1Uj3wOxw+SMPezcqLVUTYf3LBqLvbSW1Vt8YLrV+1y84VcwhWoSLEbvikWF3c7LEbyQbmoOvUpcGCqzWZ+MOlWSd3bis=
123b.glass.	3600	in	ns	abdullah.ns.cloudflare.com.
123b.glass.	3600	in	ns	sandy.ns.cloudflare.com.
12oz.glass.	3600	in	ns	dns1.registrar-servers.com.
12oz.glass.	3600	in	ns	dns2.registrar-servers.com.
132.glass.	3600	in	ns	ns73.domaincontrol.com.
132.glass.	3600	in	ns	ns74.domaincontrol.com.
14c38k6jfpg7nsbf89onoavsgsc9ce0g.glass.	3600	in	nsec3	1 1 0 73 15Q1261HJAISUSI5UJ85SF34J6RF8S68 NS DS RRSIG
14c38k6jfpg7nsbf89onoavsgsc9ce0g.glass.	3600	in	rrsig	NSEC3 8 2 3600 20250916154623 20250826144623 55269 glass. XoVO/s4uXaTRa1KX6GqMNN4OD5ZAtUeRxSnSzrCCIHtT8OrXSMoEKL9jfDjsKPNCvdCH3l4NxlVnFUnhDEJzPnCsjIKjvOI9TwYSpWPbC5MJwVp58rocXDlfDAil6CpwlmdHgKakwj422W3Ju1/evvBu0NFRNuvY2yUMSQl1X9Q=
15q1261hjaisusi5uj85sf34j6rf8s68.glass.	3600	in	nsec3	1 1 0 73 16M3DGU3HS0QQ0P0KN3CVDO1CC84GBOB NS DS RRSIG
15q1261hjaisusi5uj85sf34j6rf8s68.glass.	3600	in	rrsig	NSEC3 8 2 3600 20250916154623 20250826144623 55269 glass. K8q4gtfhUuaBb8sWq0xfnYv4C7rPzi6wltVnLUqAlwbe4i2vYpvITuKWVJ+sI72+wT+gwu6IpIFT7ww/fTYEg5te5jur2QRt51WT3377FsjjIuUw2oMj4mrnwFeU5l5OQMKL6lYbkZlko7E3gcr0R4ypPEG3Uq9Kh2e+1ZQ1jjA=
16m3dgu3hs0qq0p0kn3cvdo1cc84gbob.glass.	3600	in	nsec3	1 1 0 73 16P1L49NC0BKRPHUDOEVKVNJJ7DBMGPQ NS DS RRSIG
16m3dgu3hs0qq0p0kn3cvdo1cc84gbob.glass.	3600	in	rrsig	NSEC3 8 2 3600 20250916154623 20250826144623 55269 glass. ANQ1WHfhuAOED6Kaxy4UxkxOGTARzScbcAgqV9tVQCHUk3g0a85CHSAyNwRuxvP1ZVQo/lpog/EU186nxYyUnQMiaoxiJqaaAeyIJV6KCU3tAB5JN/J44UTaVwhHrpt2bpVyAi9jXdx+ixtPmUFQ956WDi7T38R8qYg5JrnXblw=
16p1l49nc0bkrphudoevkvnjj7dbmgpq.glass.	3600	in	nsec3	1 1 0 73 17FI5PKKQRG3FJC5FPLH6779NTEVG69M NS DS RRSIG
