0x41.garden.	3600	in	rrsig	DS 8 2 3600 20250920215610 20250906210653 7590 garden. MFDSd8cw6+mgHR4Wy6DeEb1FM6hDogp5KHvWsB7wxsqET2bLekp1RiMldEaTmTZQOrGKivd2HnCcDncSMmm5aSJpz2q+VjCv8al+0lt2sAr1QdvRrKjzkE+llN4/a9PQ5WsXiK2vuaFLXANr34I8nJL8C2Z7s2tTi/12sDrfhzfV0UKBaNhZ6yluVTmifwgz7TRIV2dhoCSD9/VPoebK0g==
1.garden.	3600	in	ns	ns1.bodis.com.
1.garden.	3600	in	ns	ns2.bodis.com.
100.garden.	3600	in	ns	ns1201.serverpe.com.
100.garden.	3600	in	ns	ns1202.serverpe.com.
1128.garden.	3600	in	ns	ns-rs1.gmoserver.jp.
1128.garden.	3600	in	ns	ns-rs2.gmoserver.jp.
11th.garden.	3600	in	ns	curitiba.ns.porkbun.com.
11th.garden.	3600	in	ns	fortaleza.ns.porkbun.com.
11th.garden.	3600	in	ns	maceio.ns.porkbun.com.
11th.garden.	3600	in	ns	salvador.ns.porkbun.com.
123.garden.	3600	in	ds	25926 13 2 95CA94847F7A96F84276C1CA9922DED34CEC6A5F4A45D2FF46EB11F1F767FCC6
123.garden.	3600	in	ns	launch1.spaceship.net.
123.garden.	3600	in	ns	launch2.spaceship.net.
123.garden.	3600	in	rrsig	DS 8 2 3600 20250919082523 20250905082000 7590 garden. Bwk4OvVf2AzAWCHN3PWJJlNHwxtvAKoRWkpPL3qEIToJWrs9J/X73Jg/E24chYtWMtIyhZxloCPwEDWMxxuJtRV91RQREPKcsepHfdXihpGDgZ+VJQazQt2iaeVeUFvl3Ef1IMGsB3vqycrw+/wSg8tPwwwtlXi4Kx7Ib4AzUMRZB2R7ODwjVAVyvfvkBa5wyJsxMXlqdr9eXI5yzgBQCg==
123b.garden.	3600	in	ns	henry.ns.cloudflare.com.
123b.garden.	3600	in	ns	nia.ns.cloudflare.com.
123movies.garden.	3600	in	ns	fatima.ns.cloudflare.com.
123movies.garden.	3600	in	ns	terin.ns.cloudflare.com.
123win.garden.	3600	in	ns	jocelyn.ns.cloudflare.com.
123win.garden.	3600	in	ns	tom.ns.cloudflare.com.
12bet.garden.	3600	in	ns	jacob.ns.cloudflare.com.
12bet.garden.	3600	in	ns	paige.ns.cloudflare.com.
13k.garden.	3600	in	ns	failed-whois-verification.namecheap.com.
13k.garden.	3600	in	ns	verify-contact-details.namecheap.com.
15oaqd36tgpg3dr8046cub3rlpftsj80.garden.	900	in	nsec3	1 1 0 - 17LAJ11UCS4OREK633KELOGLPDCHC1P7 NS DS RRSIG
15oaqd36tgpg3dr8046cub3rlpftsj80.garden.	900	in	rrsig	NSEC3 8 2 900 20250922020136 20250908015950 7590 garden. fig51YV/Ii7exzKzaMUaTZUt0/cAzbF6pqo716bPSKKdFFzWkZK/EU5Aa6t8i43uLT/MYplv9zhvDErGHNS9DMAZCnRN1pmRuokgF0zFowRK7kUoXOQcVsvvyu1/eQGLYYmlErQ4j+0TTPM03HKwPuOiTBcbUsD2e3WtHsZ2V9ythhKuS7fqdy5/deK66twmlqGE/LuqyFbTGgLuyj80iQ==
