9kkiqgvqtroikul1j327gst065d21psr.durban.	28800	in	rrsig	NSEC3 8 2 28800 20250910010328 20250826233328 2055 durban. Q6jZ+BwGpGWGCslT7uILYQbRI5UZ8iEzFR8kSdd5pNUt4uu53yi0P/dTfbOJOkQqEEZ4/w211p+KfXAzy8yztlkSDvWyriwiVCYWYAmbdKyrRNDyFN/1AntJTPkX6/QIsU+t3WUkp8F5XPHrO68EyukreiM+l/CCP8Id0W0BuOU=
9sk5n17f7uo60ia4nu7ei9h45b0v7uoc.durban.	28800	in	nsec3	1 1 0 - G525FE4O8UBJD301NQAAMH2R7OIMPINN NS DS RRSIG
9sk5n17f7uo60ia4nu7ei9h45b0v7uoc.durban.	28800	in	rrsig	NSEC3 8 2 28800 20250910010328 20250826233328 2055 durban. uuTQbGGIjxy2W35QPm4Mk4Qzy/TjHj4+tvI4dW0S3hU08om1z+f69HKuKSshv/n76T3oFa/L/bwyJeOoQwYPLHLymG3pHmmLPjAlhFe4Uxs4R6pK+lhw3h5zAyAH1Np9VN50KG4Pw9w3pqBHYEdyMqxtEsT9z210sh3uLvIVBsY=
abattoir.durban.	7200	in	ns	ns1.hostednameservers.com.
abattoir.durban.	7200	in	ns	ns2.hostednameservers.net.
abattoir.durban.	7200	in	ns	ns3.hostednameservers.com.
abattoir.durban.	7200	in	ns	ns4.hostednameservers.net.
abbeyroadinstitute.durban.	7200	in	ns	ns-1044.awsdns-02.org.
abbeyroadinstitute.durban.	7200	in	ns	ns-1738.awsdns-25.co.uk.
abbeyroadinstitute.durban.	7200	in	ns	ns-331.awsdns-41.com.
abbeyroadinstitute.durban.	7200	in	ns	ns-918.awsdns-50.net.
abby.durban.	7200	in	ns	ns1.markmonitor.com.
abby.durban.	7200	in	ns	ns2.markmonitor.com.
abby.durban.	7200	in	ns	ns3.markmonitor.com.
abby.durban.	7200	in	ns	ns4.markmonitor.com.
abby.durban.	7200	in	ns	ns5.markmonitor.com.
abby.durban.	7200	in	ns	ns6.markmonitor.com.
abby.durban.	7200	in	ns	ns7.markmonitor.com.
abc.durban.	7200	in	ns	braelyn.ns.cloudflare.com.
abc.durban.	7200	in	ns	jason.ns.cloudflare.com.
abigail.durban.	7200	in	ns	ns1.markmonitor.com.
abigail.durban.	7200	in	ns	ns2.markmonitor.com.
abigail.durban.	7200	in	ns	ns3.markmonitor.com.
abigail.durban.	7200	in	ns	ns4.markmonitor.com.
abigail.durban.	7200	in	ns	ns5.markmonitor.com.
abigail.durban.	7200	in	ns	ns6.markmonitor.com.
abigail.durban.	7200	in	ns	ns7.markmonitor.com.
abortionclinic.durban.	7200	in	ns	ns.dns1.co.za.
