americasnorth.rugby.	3600	in	ns	ns3.get.rugby.
americasnorth.rugby.	3600	in	ns	ns4.get.rugby.
an99.rugby.	3600	in	ns	ns1.dyna-ns.net.
an99.rugby.	3600	in	ns	ns2.dyna-ns.net.
artenika.rugby.	3600	in	ns	ns1.netim.net.
artenika.rugby.	3600	in	ns	ns2.netim.net.
artenika.rugby.	3600	in	ns	ns3.netim.net.
aspire.rugby.	3600	in	ns	ns1.webhostingserver.nl.
aspire.rugby.	3600	in	ns	ns2.webhostingserver.nl.
aspire.rugby.	3600	in	ns	ns3.webhostingserver.nl.
atlanticcoast.rugby.	3600	in	ns	ns1.get.rugby.
atlanticcoast.rugby.	3600	in	ns	ns2.get.rugby.
atlanticcoast.rugby.	3600	in	ns	ns3.get.rugby.
atlanticcoast.rugby.	3600	in	ns	ns4.get.rugby.
au7s.rugby.	3600	in	ns	ns1.get.rugby.
au7s.rugby.	3600	in	ns	ns2.get.rugby.
au7s.rugby.	3600	in	ns	ns3.get.rugby.
au7s.rugby.	3600	in	ns	ns4.get.rugby.
auckland.rugby.	3600	in	ns	ns1.get.rugby.
auckland.rugby.	3600	in	ns	ns2.get.rugby.
auckland.rugby.	3600	in	ns	ns3.get.rugby.
auckland.rugby.	3600	in	ns	ns4.get.rugby.
augusta.rugby.	3600	in	ns	curitiba.ns.porkbun.com.
augusta.rugby.	3600	in	ns	fortaleza.ns.porkbun.com.
augusta.rugby.	3600	in	ns	maceio.ns.porkbun.com.
augusta.rugby.	3600	in	ns	salvador.ns.porkbun.com.
augustau.rugby.	3600	in	ns	curitiba.ns.porkbun.com.
augustau.rugby.	3600	in	ns	fortaleza.ns.porkbun.com.
augustau.rugby.	3600	in	ns	maceio.ns.porkbun.com.
augustau.rugby.	3600	in	ns	salvador.ns.porkbun.com.
aurora.rugby.	3600	in	ns	ns1.get.rugby.
aurora.rugby.	3600	in	ns	ns2.get.rugby.
aurora.rugby.	3600	in	ns	ns3.get.rugby.
aurora.rugby.	3600	in	ns	ns4.get.rugby.
aus.rugby.	3600	in	ns	ns1.get.rugby.
aus.rugby.	3600	in	ns	ns2.get.rugby.
aus.rugby.	3600	in	ns	ns3.get.rugby.
aus.rugby.	3600	in	ns	ns4.get.rugby.
ausplayers.rugby.	3600	in	ns	ns1.get.rugby.
ausplayers.rugby.	3600	in	ns	ns2.get.rugby.
ausplayers.rugby.	3600	in	ns	ns3.get.rugby.
ausplayers.rugby.	3600	in	ns	ns4.get.rugby.
australia.rugby.	3600	in	ns	ns1.get.rugby.
australia.rugby.	3600	in	ns	ns2.get.rugby.
australia.rugby.	3600	in	ns	ns3.get.rugby.
australia.rugby.	3600	in	ns	ns4.get.rugby.
australia2027-29.rugby.	3600	in	ns	ns1.get.rugby.
australia2027-29.rugby.	3600	in	ns	ns2.get.rugby.
australia2027-29.rugby.	3600	in	ns	ns3.get.rugby.
australia2027-29.rugby.	3600	in	ns	ns4.get.rugby.
australia2027.rugby.	3600	in	ns	ns1.get.rugby.
australia2027.rugby.	3600	in	ns	ns2.get.rugby.
australia2027.rugby.	3600	in	ns	ns3.get.rugby.
australia2027.rugby.	3600	in	ns	ns4.get.rugby.
autumn-internationals.rugby.	3600	in	ns	curitiba.ns.porkbun.com.
autumn-internationals.rugby.	3600	in	ns	fortaleza.ns.porkbun.com.
autumn-internationals.rugby.	3600	in	ns	maceio.ns.porkbun.com.
autumn-internationals.rugby.	3600	in	ns	salvador.ns.porkbun.com.
