05928ttqm42uuqt4ncs0qu1pgl3fat52.yokohama.	3600	in	rrsig	NSEC3 8 2 3600 20250902142917 20250826014522 735 yokohama. L+ePyATkg4OsUb5m/0O0iGFZ7P/DODMyCgNqlziYRXLyEp+YMSaemtKDWo7Zcgs8yZeM1G2hb7LeIE/YBTDhDDQ8y5Wmeg7Xz7B7xCsGVN+kE46LVeEiAXIhk6EdGdwxt7dtlSBKsDFlUqSjT4XBIPNjShiaSVzrCLovrjZfsMQ=
05og0nf39astft317755to7e3t5tapgv.yokohama.	3600	in	nsec3	1 0 0 - 05OVROL41C9SUSIU0B2GI8JAB9V1T84K NS
05og0nf39astft317755to7e3t5tapgv.yokohama.	3600	in	rrsig	NSEC3 8 2 3600 20250902052539 20250826014522 735 yokohama. sm0nbAs3u+wYWic7EDPMzKigQpm76eMepQomHaTTkod3EH4dLrkAG4UC6TPAw9hm1k6i9bEfMsbM5wgKcHL6saKUpeYwUM9aq1F8JqdG7H+XIgu3FkDOB6mB6S6Kc6bIkRulOxvF+zQkeZfYeU4Mc+O3j6VwidcBUqWJ4/rJkOU=
05ovrol41c9susiu0b2gi8jab9v1t84k.yokohama.	3600	in	nsec3	1 0 0 - 05T8D5RS7VB7A5D7UHV0EH9RTA435JRP NS
05ovrol41c9susiu0b2gi8jab9v1t84k.yokohama.	3600	in	rrsig	NSEC3 8 2 3600 20250902053219 20250826014522 735 yokohama. e6p1a6OZ8/gUh0HI72WCknRp6y2ynFO+2jtfuZ9Q8Wo5J+Mf5cet7FbuY9tXtTVjx01jvgpuBpbrHZA70LoH9LaE/XCjPDJBCmm9JInBUAwUk5oEnx9UpELSn7tu3dw51BmD9oSBOvnwk6tzI332Pf/xXppWd6kNC9O7ka/loPs=
05t8d5rs7vb7a5d7uhv0eh9rta435jrp.yokohama.	3600	in	nsec3	1 0 0 - 061U91QOI1PSJ8TVMT534DN4RP3F7OQQ NS
05t8d5rs7vb7a5d7uhv0eh9rta435jrp.yokohama.	3600	in	rrsig	NSEC3 8 2 3600 20250902094328 20250826014522 735 yokohama. Tv2NrfFl5LXeNxK4T6H7yNDV+j9CaoNc5xC/+XZOIYsjB2NA5kkQwalHt5icH0mBVDd+JcRMCZgBDihL1SN7ZXOZs76BSEcDt3dodxJzeI5B3cwFWvQNcZvjxKIP1QSD/GQtEzupvdVc4F7+GFQAdkNNyed9vTFltPrEqWw9vZY=
061u91qoi1psj8tvmt534dn4rp3f7oqq.yokohama.	3600	in	nsec3	1 0 0 - 06BC2B5NLAPNT9U1E3GHQFVG7AV36LAI NS
061u91qoi1psj8tvmt534dn4rp3f7oqq.yokohama.	3600	in	rrsig	NSEC3 8 2 3600 20250901182312 20250826014522 735 yokohama. J+LAuGeaca+oez1q648mLxUQ9W8lHU/tgTei6j4RMqF+8+cU82iplT5xQ62Z8JPFn911XIBfyhuDEA8DGCDd7/WVe5GqzwMd1NTPwe00YrdtygELN8EMxZpimBArU51VcO8gAs4c9PH06OkrNK9Am2BMf5/dy77bnYms06qilyQ=
06240.yokohama.	86400	in	ns	a.dnspod.com.
