000ooo.ooo.	3600	in	rrsig	DS 8 2 3600 20260216161246 20260117144246 1930 ooo. V53BIK2qIYNHLCjmQBJVKDChkbR05g/J4rckprJx9D9xl+fTg1hqxHp63jUCGlswBl5kKLiWMAx0kopYNIGnLbW5g0i4p9nmpLBFF/G43Q/pgiKj1n2ai5ow/60qt6rdEZuHe8hyrsgAa+Rrgrh8ECp4mPs4/D1qJeVYmY/xczI=
000ooo000.ooo.	3600	in	ns	ns.inwx.de.
000ooo000.ooo.	3600	in	ns	ns2.inwx.de.
000ooo000.ooo.	3600	in	ns	ns3.inwx.eu.
001.ooo.	3600	in	ns	ns1.ht-systems.ru.
001.ooo.	3600	in	ns	ns2.ht-systems.ru.
0011.ooo.	3600	in	ds	51818 13 2 94F39A311D4882AC37ED82CCE1304D23A45696FF84E8ED7FA2AC5E0687DD1F99
0011.ooo.	3600	in	ns	dns1.cloudns.net.
0011.ooo.	3600	in	ns	dns2.cloudns.net.
0011.ooo.	3600	in	ns	dns5.cloudns.net.
0011.ooo.	3600	in	ns	dns6.cloudns.net.
0011.ooo.	3600	in	rrsig	DS 8 2 3600 20260216161246 20260117144246 1930 ooo. GZ2dmNjweLXi7IgSPnYwwE1aqNfUqiovZ1qupQe7ViMF3lR9c6d+NvdfcF6HIkeYCxjb5m/jRHVm/xTAerwJTRVPAqYuDVPMvgamsrVjLATvqpVnuGoYHUn0DTgB04mV1Ucnym2820JrxAA25okKIR0f9yPivu+A8mfWqp+EmEk=
00110.ooo.	3600	in	ds	48390 13 2 D35D94644494E05D5C67848C632B6C31500D039842DFEBA9092B0CAD7B0FD5DC
00110.ooo.	3600	in	ds	48390 13 4 96059F05222BD051C2ABC69AAB02233680669D628A383BBBD47F64BFC49B4F450DDD3C55614FD31425AAA61ED7323C15
00110.ooo.	3600	in	ns	ns1.simply.com.
00110.ooo.	3600	in	ns	ns2.simply.com.
00110.ooo.	3600	in	ns	ns3.simply.com.
00110.ooo.	3600	in	ns	ns4.simply.com.
00110.ooo.	3600	in	rrsig	DS 8 2 3600 20260216161246 20260117144246 1930 ooo. nlBbqpzakA9/oprUUHy8sYFpK0s1H80fnBKZJalx7XlVE6HvMnz9nED/k1gxRj9QcWKXkJbJN69BiNlabH13u7IkGWldK3pFPExJq0iK3Og7hU6dbkFSXgpIq/ngA2SuLEIfzP6TbQ7+jLMmyz6Fp89JyJT8ahU1hJsxR0MepAw=
00133.ooo.	3600	in	ns	adele.ns.cloudflare.com.
00133.ooo.	3600	in	ns	yisroel.ns.cloudflare.com.
00166.ooo.	3600	in	ns	a6.share-dns.com.
00166.ooo.	3600	in	ns	b6.share-dns.net.
002.ooo.	3600	in	ds	8027 8 2 AB678D15A03813EA45C56B4648B2ADF0ECFD203C79F661F3F5562A6F50FD5494
002.ooo.	3600	in	ns	dns200.anycast.me.
002.ooo.	3600	in	ns	ns200.anycast.me.
002.ooo.	3600	in	rrsig	DS 8 2 3600 20260220050619 20260121033619 1930 ooo. ik6lR4eyjG9PnaYfRZ5eTrdUi+Plk2lJuYDeF0NGXuC5dRxGAmKQ/0lZYo11Uyj93QOS6seu5adf24g1Q2MdtVsk9NGQoEwWQuIGw/j1pePYBQSIYglHtugCIcw+Lo+LdXExkTSBZYpg44OcGhMDma0Uz+QxA9qrWTk4V/hEJ5E=
00212.ooo.	3600	in	ns	mcgrory.ns.cloudflare.com.
00212.ooo.	3600	in	ns	stevie.ns.cloudflare.com.
00358.ooo.	3600	in	ns	n1.xundns.com.
00358.ooo.	3600	in	ns	n2.xundns.com.
007.ooo.	3600	in	ds	6160 13 2 CBBF537F9287A69C634F984BFB4397B9E20C7CE9C29BDC0ECD8D382A9D01AE12
007.ooo.	3600	in	ns	ns1.3dns.box.
007.ooo.	3600	in	ns	ns2.3dns.box.
007.ooo.	3600	in	rrsig	DS 8 2 3600 20260216161246 20260117144246 1930 ooo. RHJ3njGiHXvFst1rw3vmizZYZJBGQa/u5T8eFtW6Q6OaDttwkdnXSsXLVvOHVhs9x+Gntej68wYK1YWPx59g1Fhzp2LPYZSaHjN0x5ups14Ep+5pGrbS4B2SVikc2c/pHyHBm2670ixol19dghbhihhDoXb1ve1fJ/RioHhKZV0=
00729.ooo.	3600	in	ns	ns1.dnsip.com.
00729.ooo.	3600	in	ns	ns2.dnsip.com.
008.ooo.	3600	in	ns	ns1.1233dns.com.
008.ooo.	3600	in	ns	ns2.951dns.com.
00853.ooo.	3600	in	ns	ns1.dyna-ns.net.
00853.ooo.	3600	in	ns	ns2.dyna-ns.net.
00929.ooo.	3600	in	ns	n1.xundns.com.
00929.ooo.	3600	in	ns	n2.xundns.com.
00l630h7e7rnvist1vf9pcm2c293k91s.ooo.	900	in	nsec3	1 1 0 - 029DO28M96OBMRN5K0209C2RH99AR1HI NS DS RRSIG
00l630h7e7rnvist1vf9pcm2c293k91s.ooo.	900	in	rrsig	NSEC3 8 2 900 20260214195613 20260115182613 1930 ooo. Kacia4GnDAZ4se3VlaTSEeQvpmLnYjB9umOhjiHXd6Tl8O84fniPXlr0ed80pmwHKLVqNFH7d652lBSPLhzLuRRfuMvxQzOqzo8jr4vQP7aOIco6KPQiLNkUcRK4l4+tPzV6A7rQrDQ9ixcFxhwbR096BpbEhRMikpz+w+AEdEY=
00oo.ooo.	3600	in	ns	ns5.myhostadmin.net.
00oo.ooo.	3600	in	ns	ns6.myhostadmin.net.
010.ooo.	3600	in	ns	dns102.ovh.net.
010.ooo.	3600	in	ns	ns102.ovh.net.
01059.ooo.	3600	in	ns	ns1.dyna-ns.net.
01059.ooo.	3600	in	ns	ns2.dyna-ns.net.
01101111.ooo.	3600	in	ns	ns1.kolbi.dev.
01101111.ooo.	3600	in	ns	ns2.kolbi.dev.
0111.ooo.	3600	in	ns	dns1.bigrock.in.
0111.ooo.	3600	in	ns	dns2.bigrock.in.
0111.ooo.	3600	in	ns	dns3.bigrock.in.
0111.ooo.	3600	in	ns	dns4.bigrock.in.
01167.ooo.	3600	in	ns	ns1.dnsip.com.
01167.ooo.	3600	in	ns	ns2.dnsip.com.
012.ooo.	3600	in	ns	brodie.ns.cloudflare.com.
012.ooo.	3600	in	ns	evelyn.ns.cloudflare.com.
0123.ooo.	3600	in	ns	ns1.dyna-ns.net.
0123.ooo.	3600	in	ns	ns2.dyna-ns.net.
012345.ooo.	3600	in	ns	ns1.dyna-ns.net.
012345.ooo.	3600	in	ns	ns2.dyna-ns.net.
01244.ooo.	3600	in	ns	ns1.dyna-ns.net.
01244.ooo.	3600	in	ns	ns2.dyna-ns.net.
01547.ooo.	3600	in	ns	n1.xundns.com.
01547.ooo.	3600	in	ns	n2.xundns.com.
01757.ooo.	3600	in	ns	jaziel.ns.cloudflare.com.
01757.ooo.	3600	in	ns	raegan.ns.cloudflare.com.
01855.ooo.	3600	in	ns	ns1.dnsip.com.
01855.ooo.	3600	in	ns	ns2.dnsip.com.
01917.ooo.	3600	in	ns	ns1.dnsip.com.
01917.ooo.	3600	in	ns	ns2.dnsip.com.
01s.ooo.	3600	in	ns	curitiba.ns.porkbun.com.
01s.ooo.	3600	in	ns	fortaleza.ns.porkbun.com.
01s.ooo.	3600	in	ns	maceio.ns.porkbun.com.
01s.ooo.	3600	in	ns	salvador.ns.porkbun.com.
020.ooo.	3600	in	ns	ns1.netsto.net.
020.ooo.	3600	in	ns	ns2.netsto.net.
02112.ooo.	3600	in	ns	n1.xundns.com.
02112.ooo.	3600	in	ns	n2.xundns.com.
022.ooo.	3600	in	ns	ns1.jbdit.com.bd.
022.ooo.	3600	in	ns	ns2.jbdit.com.bd.
02224.ooo.	3600	in	ns	alina.ns.cloudflare.com.
02224.ooo.	3600	in	ns	newt.ns.cloudflare.com.
02405.ooo.	3600	in	ns	jaziel.ns.cloudflare.com.
02405.ooo.	3600	in	ns	raegan.ns.cloudflare.com.
02424.ooo.	3600	in	ns	faye.ns.cloudflare.com.
02424.ooo.	3600	in	ns	rocky.ns.cloudflare.com.
02453.ooo.	3600	in	ns	ns1.dnsip.com.
