nic.xn--nqv7f.	3600	in	rrsig	DS 8 2 3600 20260122161324 20260101151324 35349 xn--nqv7f. xPYw3uF5VvHa9O+lyGOn7/1IZ3F+6FSx5kiaqxjzA+1kvPADLheEQE+006ksI2p8oeM+ENK4VrppPaEcqDhSaXmi1iygR+ai81y2xDi9mdEKaGMwJPn9nS+SAUXQpJihCxyjbib4kxOV2up2igFBtgAgazd84WUnkKkcFuxKhRM=
ns1.xn--evv35d.xn--nqv7f.	3600	in	a	5.45.107.138
ns1.xn--evv35d.xn--nqv7f.	3600	in	aaaa	2a03:4000:0006:1222:0000:ab01:11f7:0053
xn--0zwm56d.xn--nqv7f.	3600	in	ns	a.icann-servers.net.
xn--0zwm56d.xn--nqv7f.	3600	in	ns	b.icann-servers.net.
xn--0zwm56d.xn--nqv7f.	3600	in	ns	c.icann-servers.net.
xn--0zwm56d.xn--nqv7f.	3600	in	ns	ns.icann.org.
xn--11xv5x.xn--nqv7f.	3600	in	ns	pdns91.ultradns.biz.
xn--11xv5x.xn--nqv7f.	3600	in	ns	pdns91.ultradns.com.
xn--11xv5x.xn--nqv7f.	3600	in	ns	pdns91.ultradns.net.
xn--11xv5x.xn--nqv7f.	3600	in	ns	pdns91.ultradns.org.
xn--14q851f1s1a.xn--nqv7f.	3600	in	ns	ns1.gxkjdns.com.
xn--14q851f1s1a.xn--nqv7f.	3600	in	ns	ns2.gxkjdns.com.
xn--15qp75f.xn--nqv7f.	3600	in	ns	arya.ns.cloudflare.com.
xn--15qp75f.xn--nqv7f.	3600	in	ns	jaxson.ns.cloudflare.com.
xn--1iuv6inyfq60a.xn--nqv7f.	3600	in	ns	ns1.gxkjdns.com.
xn--1iuv6inyfq60a.xn--nqv7f.	3600	in	ns	ns2.gxkjdns.com.
xn--1jqv55e.xn--nqv7f.	3600	in	ns	ns1.dnsgulf.net.
xn--1jqv55e.xn--nqv7f.	3600	in	ns	ns2.dnsgulf.net.
xn--1lq90i.xn--nqv7f.	3600	in	ns	ns1.parkingcrew.net.
xn--1lq90i.xn--nqv7f.	3600	in	ns	ns2.parkingcrew.net.
xn--1lq90ixutezz.xn--nqv7f.	3600	in	ns	ns1.dnsgulf.net.
xn--1lq90ixutezz.xn--nqv7f.	3600	in	ns	ns2.dnsgulf.net.
xn--1lqv5bd0dg8r.xn--nqv7f.	3600	in	ns	dns5.parkpage.foundationapi.com.
xn--1lqv5bd0dg8r.xn--nqv7f.	3600	in	ns	dns6.parkpage.foundationapi.com.
xn--1lqy2bx2dces89cey3a2qa.xn--nqv7f.	3600	in	ns	ns1.dnsgulf.net.
xn--1lqy2bx2dces89cey3a2qa.xn--nqv7f.	3600	in	ns	ns2.dnsgulf.net.
xn--1qq214e.xn--nqv7f.	3600	in	ns	ns1.dnsgulf.net.
xn--1qq214e.xn--nqv7f.	3600	in	ns	ns2.dnsgulf.net.
xn--2f1aw8y0c.xn--nqv7f.	3600	in	ns	ns-1319.awsdns-36.org.
xn--2f1aw8y0c.xn--nqv7f.	3600	in	ns	ns-1635.awsdns-12.co.uk.
xn--2f1aw8y0c.xn--nqv7f.	3600	in	ns	ns-424.awsdns-53.com.
xn--2f1aw8y0c.xn--nqv7f.	3600	in	ns	ns-955.awsdns-55.net.
xn--2h2a43s.xn--nqv7f.	3600	in	ns	lovisa.ns.cloudflare.com.
xn--2h2a43s.xn--nqv7f.	3600	in	ns	yew.ns.cloudflare.com.
xn--2os22esu8c.xn--nqv7f.	3600	in	ns	a.ns.apple.com.
xn--2os22esu8c.xn--nqv7f.	3600	in	ns	b.ns.apple.com.
xn--2os22esu8c.xn--nqv7f.	3600	in	ns	c.ns.apple.com.
xn--2os22esu8c.xn--nqv7f.	3600	in	ns	d.ns.apple.com.
xn--2qqufy9k70p5xow6ozvd606bmwv.xn--nqv7f.	3600	in	ns	ns1.gxkjdns.com.
xn--2qqufy9k70p5xow6ozvd606bmwv.xn--nqv7f.	3600	in	ns	ns2.gxkjdns.com.
xn--2ryzkt03f46b.xn--nqv7f.	3600	in	ns	ns1.dnsgulf.net.
xn--2ryzkt03f46b.xn--nqv7f.	3600	in	ns	ns2.dnsgulf.net.
xn--30rr7y.xn--nqv7f.	3600	in	ns	ns.nagor.cn.
xn--30rr7y.xn--nqv7f.	3600	in	ns	ns.nagor.com.cn.
xn--30rr7y.xn--nqv7f.	3600	in	ns	ns1.dnsnw.com.
xn--30rr7y.xn--nqv7f.	3600	in	ns	ns2.dnsnw.com.
xn--3bs35yfl6bn8a.xn--nqv7f.	3600	in	ns	ns1.gxkjdns.com.
xn--3bs35yfl6bn8a.xn--nqv7f.	3600	in	ns	ns2.gxkjdns.com.
xn--3bsr12esqmlvjmhg.xn--nqv7f.	3600	in	ns	ns1.dnsgulf.net.
xn--3bsr12esqmlvjmhg.xn--nqv7f.	3600	in	ns	ns2.dnsgulf.net.
xn--44q594d0wz.xn--nqv7f.	3600	in	ns	dns1.cscdns.net.
xn--44q594d0wz.xn--nqv7f.	3600	in	ns	dns2.cscdns.net.
xn--48s74udmrjsu.xn--nqv7f.	3600	in	ns	ns1.dnsgulf.net.
xn--48s74udmrjsu.xn--nqv7f.	3600	in	ns	ns2.dnsgulf.net.
xn--49s20h0yz.xn--nqv7f.	3600	in	ns	ns1.lemarit.de.
xn--49s20h0yz.xn--nqv7f.	3600	in	ns	ns1.lemarit.net.
xn--49s20h0yz.xn--nqv7f.	3600	in	ns	ns2.lemarit.de.
xn--49s20h0yz.xn--nqv7f.	3600	in	ns	ns2.lemarit.net.
xn--49s20h0yz.xn--nqv7f.	3600	in	ns	ns3.lemarit.de.
xn--4gq0d38mlsci1dqa094j7x3b1towuc.xn--nqv7f.	3600	in	ns	ns1.dnsgulf.net.
xn--4gq0d38mlsci1dqa094j7x3b1towuc.xn--nqv7f.	3600	in	ns	ns2.dnsgulf.net.
xn--4gq15ar83celaz34i.xn--nqv7f.	3600	in	ns	a.ns.apple.com.
xn--4gq15ar83celaz34i.xn--nqv7f.	3600	in	ns	b.ns.apple.com.
xn--4gq15ar83celaz34i.xn--nqv7f.	3600	in	ns	c.ns.apple.com.
xn--4gq15ar83celaz34i.xn--nqv7f.	3600	in	ns	d.ns.apple.com.
xn--4gqa515jd88b.xn--nqv7f.	3600	in	ns	ns1.dnsgulf.net.
xn--4gqa515jd88b.xn--nqv7f.	3600	in	ns	ns2.dnsgulf.net.
xn--4gqa7ky47a53iw15cnnv.xn--nqv7f.	3600	in	ns	ns1.gxkjdns.com.
xn--4gqa7ky47a53iw15cnnv.xn--nqv7f.	3600	in	ns	ns2.gxkjdns.com.
xn--4gqri.xn--nqv7f.	3600	in	ns	daniella.ns.cloudflare.com.
xn--4gqri.xn--nqv7f.	3600	in	ns	lars.ns.cloudflare.com.
xn--4kr120au6a.xn--nqv7f.	3600	in	ns	nsgbr.comlaude.co.uk.
xn--4kr120au6a.xn--nqv7f.	3600	in	ns	nssui.comlaude.ch.
xn--4kr120au6a.xn--nqv7f.	3600	in	ns	nsusa.comlaude.net.
xn--4qr79iu6i.xn--nqv7f.	3600	in	ns	a.ns.apple.com.
xn--4qr79iu6i.xn--nqv7f.	3600	in	ns	b.ns.apple.com.
xn--4qr79iu6i.xn--nqv7f.	3600	in	ns	c.ns.apple.com.
xn--4qr79iu6i.xn--nqv7f.	3600	in	ns	d.ns.apple.com.
xn--4rrx74a.xn--nqv7f.	3600	in	ns	us2.earth.orderbox-dns.com.
xn--4rrx74a.xn--nqv7f.	3600	in	ns	us2.mars.orderbox-dns.com.
xn--4rrx74a.xn--nqv7f.	3600	in	ns	us2.mercury.orderbox-dns.com.
xn--4rrx74a.xn--nqv7f.	3600	in	ns	us2.venus.orderbox-dns.com.
xn--4rrx74a4oi6ss38o.xn--nqv7f.	3600	in	ns	ns1.markmonitor.com.
xn--4rrx74a4oi6ss38o.xn--nqv7f.	3600	in	ns	ns3.markmonitor.com.
xn--4rrx74a4oi6ss38o.xn--nqv7f.	3600	in	ns	ns5.markmonitor.com.
xn--54qu12c.xn--nqv7f.	3600	in	ns	ns1.dyna-ns.net.
xn--54qu12c.xn--nqv7f.	3600	in	ns	ns2.dyna-ns.net.
xn--55qx5dhydkvg07qkuk8l6cclm3odgd.xn--nqv7f.	3600	in	ns	ns1.dnsgulf.net.
xn--55qx5dhydkvg07qkuk8l6cclm3odgd.xn--nqv7f.	3600	in	ns	ns2.dnsgulf.net.
xn--55qx5dy1kgwmtjf4nf898dpep.xn--nqv7f.	3600	in	ns	ns1.dnsgulf.net.
xn--55qx5dy1kgwmtjf4nf898dpep.xn--nqv7f.	3600	in	ns	ns2.dnsgulf.net.
xn--5brq5od9kj2p.xn--nqv7f.	3600	in	ns	ns1.gxkjdns.com.
xn--5brq5od9kj2p.xn--nqv7f.	3600	in	ns	ns2.gxkjdns.com.
xn--5krwnw5k7sg66dxyj.xn--nqv7f.	3600	in	ns	ns1.dnsgulf.net.
xn--5krwnw5k7sg66dxyj.xn--nqv7f.	3600	in	ns	ns2.dnsgulf.net.
xn--5nq25db5jvvvz23bwum.xn--nqv7f.	3600	in	ns	ns1.dnsgulf.net.
xn--5nq25db5jvvvz23bwum.xn--nqv7f.	3600	in	ns	ns2.dnsgulf.net.
xn--5nqt41doltvml.xn--nqv7f.	3600	in	ns	a.ns.apple.com.
xn--5nqt41doltvml.xn--nqv7f.	3600	in	ns	b.ns.apple.com.
xn--5nqt41doltvml.xn--nqv7f.	3600	in	ns	c.ns.apple.com.
xn--5nqt41doltvml.xn--nqv7f.	3600	in	ns	d.ns.apple.com.
xn--618-w48dtz.xn--nqv7f.	3600	in	ns	ns1.dnsgulf.net.
xn--618-w48dtz.xn--nqv7f.	3600	in	ns	ns2.dnsgulf.net.
xn--6frx5rq87a0tj.xn--nqv7f.	3600	in	ns	ns1.gxkjdns.com.
xn--6frx5rq87a0tj.xn--nqv7f.	3600	in	ns	ns2.gxkjdns.com.
xn--6frz82g.xn--nqv7f.	3600	in	ns	ns1.dyna-ns.net.
xn--6frz82g.xn--nqv7f.	3600	in	ns	ns2.dyna-ns.net.
xn--6mwv1m.xn--nqv7f.	3600	in	ns	kate.ns.cloudflare.com.
xn--6mwv1m.xn--nqv7f.	3600	in	ns	merlin.ns.cloudflare.com.
xn--6myy79aa.xn--nqv7f.	3600	in	ns	ns1.dyna-ns.net.
xn--6myy79aa.xn--nqv7f.	3600	in	ns	ns2.dyna-ns.net.
xn--6nq640dz3h62g.xn--nqv7f.	3600	in	ns	ns1.bodis.com.
xn--6nq640dz3h62g.xn--nqv7f.	3600	in	ns	ns2.bodis.com.
xn--6nq989ajlg5st.xn--nqv7f.	3600	in	ns	ns1.bodis.com.
xn--6nq989ajlg5st.xn--nqv7f.	3600	in	ns	ns2.bodis.com.
xn--6oq581ah4cky7afvcsr6d.xn--nqv7f.	3600	in	ns	ns1.dnszw.com.
xn--6oq581ah4cky7afvcsr6d.xn--nqv7f.	3600	in	ns	ns2.dnszw.com.
xn--74q035i.xn--nqv7f.	3600	in	ns	ns1.markmonitor.com.
xn--74q035i.xn--nqv7f.	3600	in	ns	ns2.markmonitor.com.
xn--74q035i.xn--nqv7f.	3600	in	ns	ns3.markmonitor.com.
xn--74q035i.xn--nqv7f.	3600	in	ns	ns4.markmonitor.com.
xn--74q035i.xn--nqv7f.	3600	in	ns	ns5.markmonitor.com.
xn--74q035i.xn--nqv7f.	3600	in	ns	ns6.markmonitor.com.
xn--74q035i.xn--nqv7f.	3600	in	ns	ns7.markmonitor.com.
xn--74q812ahlg.xn--nqv7f.	3600	in	ns	dns1.cscdns.net.
xn--74q812ahlg.xn--nqv7f.	3600	in	ns	dns2.cscdns.net.
xn--74qp40q.xn--nqv7f.	3600	in	ns	ns1.brandshelter.com.
xn--74qp40q.xn--nqv7f.	3600	in	ns	ns2.brandshelter.de.
xn--74qp40q.xn--nqv7f.	3600	in	ns	ns3.brandshelter.info.
xn--74qp40q.xn--nqv7f.	3600	in	ns	ns4.brandshelter.net.
xn--74qp40q.xn--nqv7f.	3600	in	ns	ns5.brandshelter.us.
xn--74qu5at18g.xn--nqv7f.	3600	in	ds	56775 13 2 95B20F836C1C49658B67D36B75D6A91372620147DA295B2CAD49AD5E96804200
xn--74qu5at18g.xn--nqv7f.	3600	in	ns	ns1.eurodns.com.
xn--74qu5at18g.xn--nqv7f.	3600	in	ns	ns2.eurodns.com.
xn--74qu5at18g.xn--nqv7f.	3600	in	ns	ns3.eurodns.com.
xn--74qu5at18g.xn--nqv7f.	3600	in	ns	ns4.eurodns.com.
xn--74qu5at18g.xn--nqv7f.	3600	in	rrsig	DS 8 2 3600 20260122161324 20260101151324 35349 xn--nqv7f. mvRMPxQIZFxcx2cKgbfSBJ9faTQVesqsQf3kwoyynYFiIWf6j8iNRk7GIMqfngyHsiuBZdWsGKdTgEZuoQ//K1+QgFA5BHmkJpC8a0FfmHClkBfYRLdYkap3wn0dJ2fEtkBBF/dtOqIPvFq00m6t5w5mqiGYj8nUqMD9Y8dWmD8=
xn--7ou293a8ry.xn--nqv7f.	3600	in	ns	ns1.gxkjdns.com.
xn--7ou293a8ry.xn--nqv7f.	3600	in	ns	ns2.gxkjdns.com.
xn--8ey10as41bnifgpg.xn--nqv7f.	3600	in	ns	ns1.dnsgulf.net.
xn--8ey10as41bnifgpg.xn--nqv7f.	3600	in	ns	ns2.dnsgulf.net.
xn--8eyn03bs6d7qf.xn--nqv7f.	3600	in	ns	ns1.dnsgulf.net.
xn--8eyn03bs6d7qf.xn--nqv7f.	3600	in	ns	ns2.dnsgulf.net.
xn--8pvqjr92c6nh1kl.xn--nqv7f.	3600	in	ns	a.ns.apple.com.
xn--8pvqjr92c6nh1kl.xn--nqv7f.	3600	in	ns	b.ns.apple.com.
xn--8pvqjr92c6nh1kl.xn--nqv7f.	3600	in	ns	c.ns.apple.com.
xn--8pvqjr92c6nh1kl.xn--nqv7f.	3600	in	ns	d.ns.apple.com.
xn--8uqp1hn9h94cx10fa2890aq3h.xn--nqv7f.	3600	in	ns	ns1.dnsgulf.net.
xn--8uqp1hn9h94cx10fa2890aq3h.xn--nqv7f.	3600	in	ns	ns2.dnsgulf.net.
xn--9iq50nn06bj0l.xn--nqv7f.	3600	in	ns	ns-1418.awsdns-49.org.
xn--9iq50nn06bj0l.xn--nqv7f.	3600	in	ns	ns-1912.awsdns-47.co.uk.
xn--9iq50nn06bj0l.xn--nqv7f.	3600	in	ns	ns-446.awsdns-55.com.
xn--9iq50nn06bj0l.xn--nqv7f.	3600	in	ns	ns-601.awsdns-11.net.
