fox.	900	in	soa	ns1.dns.nic.fox. admin.tldns.godaddy. 1756222625 1800 300 604800 1800
devanalytics.fox.	3600	in	ns	dns4.p06.nsone.net.
devgru.fox.	3600	in	ds	48553 13 2 012A29AB713865E0C3F088CE1C9C812E3D5C6AD4C6ABED2D75074F7DA407442C
devgru.fox.	3600	in	ns	ns01.dns.fox.
devgru.fox.	3600	in	ns	ns01.foxdoua.com.
devgru.fox.	3600	in	ns	ns02.dns.fox.
devgru.fox.	3600	in	ns	ns02.foxdoua.com.
devgru.fox.	3600	in	ns	ns03.dns.fox.
devgru.fox.	3600	in	ns	ns03.foxdoua.com.
devgru.fox.	3600	in	ns	ns04.dns.fox.
devgru.fox.	3600	in	ns	ns04.foxdoua.com.
devgru.fox.	3600	in	rrsig	DS 8 2 3600 20250905013143 20250822004800 39369 fox. RsPkFGHrWnjN7ynsjmWkwFeRtWZ9zFIcronIZZxNAekzqPO9LJ66zOfp9puLIXlhJe1DMXF4pbtyTdyyrw1epUIREg6rCTCqV2bXDsJ3v+h/TiW8yDnafaba+MXvIS3/bsOlKBj6nIOOLDRLz5MtT7udavL81Dzk9cgz1H5r4O2KhcgXJ3t+V6Y5m01kr2UhejjvdivLFjt3xr0+fpXhCg==
devjaws.fox.	3600	in	ds	48553 13 2 BB033201D414A60A4429B9385A278285C895FBB8047542570339323359FD7147
devjaws.fox.	3600	in	ns	ns01.dns.fox.
devjaws.fox.	3600	in	ns	ns01.foxdoua.com.
devjaws.fox.	3600	in	ns	ns02.dns.fox.
devjaws.fox.	3600	in	ns	ns02.foxdoua.com.
devjaws.fox.	3600	in	ns	ns03.dns.fox.
devjaws.fox.	3600	in	ns	ns03.foxdoua.com.
devjaws.fox.	3600	in	ns	ns04.dns.fox.
devjaws.fox.	3600	in	ns	ns04.foxdoua.com.
devjaws.fox.	3600	in	rrsig	DS 8 2 3600 20250905013143 20250822004800 39369 fox. FbxWeGDutwX50234wbc5wgW1hD7kh7aiSnebpSqyu/80T2Ool9ZdHoWYIhfiPKgVSaqIDlODnUMdCMcgnIrGB55amLGIBPmSLQcispTv0PPhfq7UNn6qvpKjJ+Jn7283Q+zyoiRyWWJMIawSYW0/Fk8/SPmjO17pm9ENCK+l7L0NdmbvMCTH/WETR6uMWEkoKcjjD7a/psBCLzy/Hn+lWw==
di9njfelk7d7kfb92ip1ugn3vrrepuj1.fox.	900	in	nsec3	1 1 0 - DM81132A5OT3AAB0MSV6SP6RT6MIF09V NS DS RRSIG
di9njfelk7d7kfb92ip1ugn3vrrepuj1.fox.	900	in	rrsig	NSEC3 8 2 900 20250905023458 20250822015120 39369 fox. nmMXApjz5lDbY4xO5G7WL8/e2Vh1YD99xrWiaCII7pWfT58HQZTlu586A0h8CAvqg5xiOt8ZxGWiHnIkDOHRodmlDSYJQmUJzeKXxwwaTBTWPdrUZNijspWcACoKW0dIPZmli2r+FBDD15qDH5889FhHuj2zIAjGePcHzIWNvC2Wvu7UGXkUnWq82rnDcWJ43sMg6rF1oXpG+I8UOEaC2A==
distributionengine.fox.	3600	in	ds	48553 13 2 BA7A9A5B1DC9B30F42E1EA9303E65FD2DCA2A8081EC42AA49D94E8154AB0C74B
distributionengine.fox.	3600	in	ns	ns01.dns.fox.
distributionengine.fox.	3600	in	ns	ns01.foxdoua.com.
distributionengine.fox.	3600	in	ns	ns02.dns.fox.
distributionengine.fox.	3600	in	ns	ns02.foxdoua.com.
distributionengine.fox.	3600	in	ns	ns03.dns.fox.
distributionengine.fox.	3600	in	ns	ns03.foxdoua.com.
distributionengine.fox.	3600	in	ns	ns04.dns.fox.
distributionengine.fox.	3600	in	ns	ns04.foxdoua.com.
distributionengine.fox.	3600	in	rrsig	DS 8 2 3600 20250905013143 20250822004800 39369 fox. Yj1jKHVOZ8vffDzEJ0OHBKcnTD4VYArmGN5FPCAQOHUwNQ2pVO8tapDZTs6sJiLIK4bvUt0A2pejsxyKOdNxER7GMhuuLxtcye2tW+te4d0/4bgVUfzdh1d6O2EMQJz8tq6poyLVGtBqZbJ7f1j9OwoIjHvlyVXqz2SXUD5UUHCBBVBpTkMm4Fh4DgtbEpRIMK1AzA+BXbPY5Yi19mlvpA==
dm81132a5ot3aab0msv6sp6rt6mif09v.fox.	900	in	nsec3	1 1 0 - DNHP18FC91RLJVKN2DKNE3FR76B4JNJC NS DS RRSIG
dm81132a5ot3aab0msv6sp6rt6mif09v.fox.	900	in	rrsig	NSEC3 8 2 900 20250905023458 20250822015120 39369 fox. B8WFnTjEmP2DhAEmJql475LU98d1nhWtb6mqSADK9Zp/LOWScA+uC1Uc3kVTuwfORX+e046ZjQHs38be/OeEIDTR9UtY/tqneYPsUWFeBEZVuwk35lzCZKBUN9vNYqVIetQ8TAysAdE5+sZ2uWrSboQpyQ1470ChAwYR2CzS1Pz8PArt2NuMsbuJ4Tcmv2vAYaUePD02s+nNVHxC8wEhWw==
dnhp18fc91rljvkn2dkne3fr76b4jnjc.fox.	900	in	nsec3	1 1 0 - DTIJD090SIU5ELD8VBVHF2RMNPISA69I NS DS RRSIG
dnhp18fc91rljvkn2dkne3fr76b4jnjc.fox.	900	in	rrsig	NSEC3 8 2 900 20250905023458 20250822015120 39369 fox. iZFdt720/wKIbFnRDPPJivyrlxB7fw5O3b+u38NGQO5cfSlRadK3cQyTnazcf6vQcEUrQ13rfrfPt/SQ4JiksIk7ijxOi82iFBbxGkGWT1dQxYCaG0xVA5zBsSt/Gq+fLETW+De3t9rndnHgTvbIHVGsqwff0j49Nvc9UU31zlI94iYvvEjUR/TT4lwbtNmkjFdoqZ9CGWKWXnu4x6THuQ==
dnr.fox.	3600	in	ds	48553 13 2 5B1D4381751E3245D4C173EAC6F3E27064A52B99CE39589F86DF598E05B53870
dnr.fox.	3600	in	ns	ns01.dns.fox.
dnr.fox.	3600	in	ns	ns01.foxdoua.com.
dnr.fox.	3600	in	ns	ns02.dns.fox.
dnr.fox.	3600	in	ns	ns02.foxdoua.com.
dnr.fox.	3600	in	ns	ns03.dns.fox.
dnr.fox.	3600	in	ns	ns03.foxdoua.com.
dnr.fox.	3600	in	ns	ns04.dns.fox.
dnr.fox.	3600	in	ns	ns04.foxdoua.com.
dnr.fox.	3600	in	rrsig	DS 8 2 3600 20250905013143 20250822004800 39369 fox. W/u5t+5l4CSOsg49kZ3JQtCOtAvi32c9kC6IsNwEXb6mb8/61LI3kK9xsQDEikNat9v0OH1N2Om2mBaX8z5+sCLLyG08f2QrEpsgsQPFK75VrCehrj4xBvKFXHn1LpDDSKiE7pjzzoowmYMGAt1CMM1tXL93iHowdDwXncsolZbhVpq8u42nGjvtG28snF/xXhxinkZ+IHlJfTVdehEYqA==
dnrdcd.fox.	3600	in	ds	48553 13 2 3B8B1465D40FD39A90D811A1B2EBBE7FCC1AA5C97BCF31227C801E7BB3AF7F76
dnrdcd.fox.	3600	in	ns	ns01.dns.fox.
dnrdcd.fox.	3600	in	ns	ns01.foxdoua.com.
dnrdcd.fox.	3600	in	ns	ns02.dns.fox.
dnrdcd.fox.	3600	in	ns	ns02.foxdoua.com.
dnrdcd.fox.	3600	in	ns	ns03.dns.fox.
dnrdcd.fox.	3600	in	ns	ns03.foxdoua.com.
dnrdcd.fox.	3600	in	ns	ns04.dns.fox.
dnrdcd.fox.	3600	in	ns	ns04.foxdoua.com.
dnrdcd.fox.	3600	in	rrsig	DS 8 2 3600 20250904215016 20250821210800 39369 fox. PXD9AdmULJoxbPXCIWa+kSBute3wqz31GyV6RVQj+tnDYRi6HzWseoPDWaioRMK6NjWjN7ommZHt/2vJ+BzF6bfeWSJNi/FVT4RnmAOBK8Qjjvr5lr7tQES2QqXuW5KFGX1rSw3kaat5a94d6FH/16beb6n7JEhHbu/+gNESKsojQwhAa3w6ug3ItLYFVt38WtC8m5HaFo8f/57ItIYSIA==
dnrnyd.fox.	3600	in	ds	48553 13 2 44C1656A13D54563A0BDECE9B1323E530C750DD277018AAC7F9E7EC3A85E01CE
dnrnyd.fox.	3600	in	ns	ns01.dns.fox.
dnrnyd.fox.	3600	in	ns	ns01.foxdoua.com.
dnrnyd.fox.	3600	in	ns	ns02.dns.fox.
dnrnyd.fox.	3600	in	ns	ns02.foxdoua.com.
dnrnyd.fox.	3600	in	ns	ns03.dns.fox.
dnrnyd.fox.	3600	in	ns	ns03.foxdoua.com.
dnrnyd.fox.	3600	in	ns	ns04.dns.fox.
dnrnyd.fox.	3600	in	ns	ns04.foxdoua.com.
dnrnyd.fox.	3600	in	rrsig	DS 8 2 3600 20250905013143 20250822004800 39369 fox. t8Wmli7oHQyPzocc9r5SemGdbT/arvHcQGvwHVZW80r7SpU5Txi7mqCoXVHlnyWGWCxfrkigM+DDGa/0XPtfjNYK8X3TinP1X1BI0xg1DZdR4j+OIrqy19oRc0OZ3JcMQf+zuGcTq0NPsrEQCls31eqMwLmpCEtW3sctN9qQrZmTtqBOlmCoXvCJe6rksYsvL4+/wYU97vUMRdkVvoZl/w==
dns.fox.	3600	in	ds	48553 13 2 8824752F7CC08D4F5550DA19C74902AF11B400CA540A45EC24840C7781B00DE6
dns.fox.	3600	in	ns	dns1.p06.nsone.net.
dns.fox.	3600	in	ns	dns2.p06.nsone.net.
dns.fox.	3600	in	ns	dns3.p06.nsone.net.
dns.fox.	3600	in	ns	dns4.p06.nsone.net.
dns.fox.	3600	in	rrsig	DS 8 2 3600 20250905013143 20250822004800 39369 fox. unJMvzQQDf+xifdSLFE8nw7Xd6HsayoePabP1sv0dUF6swhqZTxA8qTKR/okuUQL5OkCn1bo5qDkUpdgKzP+w1UJp6biOLdS4ndydIg+75ToQlqGZeQXP2MjFVuvaK/agkSRbEos9nYj9PG/2PAfRNO03uC9m6vWwlMYdvd1gtcSv6m6EwUqUTCARVSKo4NdVbf2gL4wMbfGyjJI4KXEyw==
domains.fox.	3600	in	ds	48553 13 2 70C018A1A6597EDD117EA12F10F4BF3C2481F8D5C0F31DECB2E30FCC839736F3
domains.fox.	3600	in	ns	ns01.dns.fox.
domains.fox.	3600	in	ns	ns01.foxdoua.com.
domains.fox.	3600	in	ns	ns02.dns.fox.
domains.fox.	3600	in	ns	ns02.foxdoua.com.
domains.fox.	3600	in	ns	ns03.dns.fox.
domains.fox.	3600	in	ns	ns03.foxdoua.com.
domains.fox.	3600	in	ns	ns04.dns.fox.
domains.fox.	3600	in	ns	ns04.foxdoua.com.
domains.fox.	3600	in	rrsig	DS 8 2 3600 20250905013143 20250822004800 39369 fox. Vt5hp9OW84xuHupk28m01bjd5ftCfWjWjDj1iCCm5lMKVox29BBA5DnAA3ps56hz730tLXTXi8zHhgD0c7ViUTX6OOJE1P8nB+Ew+D0IOu/tYU1PXVL5tbDaylpcEcNORSbV7XFW8REx8IrlZFcBkqZkgT3mfNxO7l62zdT0RPJBGXF6uZus5urVAf+/q2Va3s3NT59OSxG3/x2+kXF3RQ==
dt.fox.	3600	in	ds	48553 13 2 4583D925ADB229C8B4111B6B76818AF21F753EB552829011CA6294DAAD0BC413
dt.fox.	3600	in	ns	ns01.dns.fox.
dt.fox.	3600	in	ns	ns01.foxdoua.com.
dt.fox.	3600	in	ns	ns02.dns.fox.
dt.fox.	3600	in	ns	ns02.foxdoua.com.
dt.fox.	3600	in	ns	ns03.dns.fox.
dt.fox.	3600	in	ns	ns03.foxdoua.com.
dt.fox.	3600	in	ns	ns04.dns.fox.
dt.fox.	3600	in	ns	ns04.foxdoua.com.
dt.fox.	3600	in	rrsig	DS 8 2 3600 20250905013143 20250822004800 39369 fox. qMUUAhTBoXY8MCJvmTx/+3Ny/1KzTkLTW3pm/NTe4pA7QeSq/wZJIbd8idcUtbfK01/m974kznSw2TT6FpFcXRKqTUn+sexYCOI6+89/LOGVJ5rqUonW8miSzgN1LqD21rvr/KOSF2IgbbdlK8toIrEHORzJtvlLnccfzkdbuqGai+Oe+R02zIIlXDhY/0ptBXcmU0sw59lGyXwB9AF5mw==
dtijd090siu5eld8vbvhf2rmnpisa69i.fox.	900	in	nsec3	1 1 0 - E91UE0OGR7EJKO4MHLG3OMAOUNU3V2UN NS DS RRSIG
dtijd090siu5eld8vbvhf2rmnpisa69i.fox.	900	in	rrsig	NSEC3 8 2 900 20250905023458 20250822015120 39369 fox. YZ7ADstY2HtrMGCbPGsEA9Gwwy1MFoi+ISbdNXAg9pTpGYOLikcQuno016DjtXh5HStgCBBGMBiR+N3DafW9NAB6StI8ErMmNTX4Uet093ML5cTLa4GIZI8Is5yc7rPkFoAuBXE/eDVGvbr0Eo+eYjs4W1VBf4hWTA5IUk0N60RV19JBvltEtoYiid8izg0nn+LwG61zMOwvcrqvG2V7Sg==
e91ue0ogr7ejko4mhlg3omaounu3v2un.fox.	900	in	nsec3	1 1 0 - E9GN8BQUVUMMAJOO0LFO263P56926GMJ NS DS RRSIG
e91ue0ogr7ejko4mhlg3omaounu3v2un.fox.	900	in	rrsig	NSEC3 8 2 900 20250907150436 20250824143843 39369 fox. okpjRAYkEwm6vk32n4n1MOhy7H79++pdIhXodrBf9NyAxJn5dn6yyD2taRXzRCODw/Fc2NyS2caF2J9WvNIB3+v05x6Ki9C0XcIcuNM5Ly47+FmStXgAfISWZ1iLSYtXvrFKNYuDpVPAYp26t7S1Nthtq0Q8PuhG4z6E333lXkqkcA58/yY27VyFCnHNmn3Y0UKNtjwGWmRQwf5I+3xKTA==
e9gn8bquvummajoo0lfo263p56926gmj.fox.	900	in	nsec3	1 1 0 - EK7TQEV2OL48G7ANO6BRUVJ78H4V94OL NS DS RRSIG
e9gn8bquvummajoo0lfo263p56926gmj.fox.	900	in	rrsig	NSEC3 8 2 900 20250907150436 20250824143843 39369 fox. mCylwKReJv0DhQi0SW1DJIyYdVHOcbI8hJG1+De03Gm/unJtL3faUTWj8QLamVrHmoUA3cPs+P16OWFU5eNHCwuNn1iWHv26HTxl+pouNBWIifD/+30jXX/8yLnZYq92da+RwQ/tD/BjCOR8Bvx8sDX7esWYTJzxqXJZHVVwtuh4f+5kwaruOWMHvgrTr++EBxewKmccRIuFn+POU2VFFg==
ek7tqev2ol48g7ano6bruvj78h4v94ol.fox.	900	in	nsec3	1 1 0 - EO2OPI3E6M0RTJQMSA4SCKLLCQ8O3VGV NS DS RRSIG
ek7tqev2ol48g7ano6bruvj78h4v94ol.fox.	900	in	rrsig	NSEC3 8 2 900 20250905023458 20250822015120 39369 fox. JWN1x1pVw2iP1v1y3yFoGlRCWl/LjzxoEQUkM+Ii6poZA1Y8NYtN7+7e1yGhIPDD4X+WpRsYxvFqdSbPkyW+7Bq/0GPbLt25dZ+tWnUe6FjFfCilD8+8+n0S1/Duls/f8lkB4CcdeWk892h1YauLy82YbmAwXt5moPjeEXyT8TjoDoeN0wuMv0knFvurim6FVHw40Xz7dA73jLgSqJj0RA==
elements.fox.	3600	in	ds	48553 13 2 DCCDA08ABA8E0D511993D2D25D4D763033BA9C38103C5AEF0B8A41DDF945146B
elements.fox.	3600	in	ns	ns01.dns.fox.
elements.fox.	3600	in	ns	ns01.foxdoua.com.
elements.fox.	3600	in	ns	ns02.dns.fox.
elements.fox.	3600	in	ns	ns02.foxdoua.com.
elements.fox.	3600	in	ns	ns03.dns.fox.
elements.fox.	3600	in	ns	ns03.foxdoua.com.
elements.fox.	3600	in	ns	ns04.dns.fox.
elements.fox.	3600	in	ns	ns04.foxdoua.com.
elements.fox.	3600	in	rrsig	DS 8 2 3600 20250905013143 20250822004800 39369 fox. NuJqUvjl1vaYfdTJKgeqix+ofE0rkI2fH1vCEPJrMutg1ewmdpUWDH53EowpqiTqoI/z1SjZTDzfLXpOtyW/LjiqrdLfSgRcw9EdGqq7n+UQ+ifKt/Fkmh4jDmt+m9YdJAjOTt14l05xcYWRUokwzXt0T+bOkjxiTzfRR1bdwvZIMPkGaAS8D6XNeXWnUCPVHvogL1bG9og8r9p74SPdhg==
emailhelp.fox.	3600	in	ds	48553 13 2 260C698662D23642745C9AFAD44ECF8C225E5684B9F4455D699704ED450F58F5
emailhelp.fox.	3600	in	ns	ns01.dns.fox.
emailhelp.fox.	3600	in	ns	ns01.foxdoua.com.
emailhelp.fox.	3600	in	ns	ns02.dns.fox.
emailhelp.fox.	3600	in	ns	ns02.foxdoua.com.
emailhelp.fox.	3600	in	ns	ns03.dns.fox.
emailhelp.fox.	3600	in	ns	ns03.foxdoua.com.
emailhelp.fox.	3600	in	ns	ns04.dns.fox.
emailhelp.fox.	3600	in	ns	ns04.foxdoua.com.
emailhelp.fox.	3600	in	rrsig	DS 8 2 3600 20250905013143 20250822004800 39369 fox. Zv3mxX764eeMwuaKgNc0BWQC8fTh2lVrdNMx8riRKLe0/PZM7cGfEtHL+yzDS18kty61a6WdcL1rks4yTPz9BzbVHp3PlLJK0XM0Ae3OnnXBL7Ejvo6QJbVpbkTP5DYKaoawpPgiCJWbfCpr3bEewIR24+Nlisd7ulGu6SiosvFwJx+3KS0wv5gnTDZHR42LDStfViN4YZ702WlgvjVfVA==
emmys.fox.	3600	in	ds	48553 13 2 4D33A87D1BB04534A639D0CC44A0B7D763CE049B3CF763E0176F532A366DC73B
emmys.fox.	3600	in	ns	ns01.dns.fox.
emmys.fox.	3600	in	ns	ns01.foxdoua.com.
emmys.fox.	3600	in	ns	ns02.dns.fox.
emmys.fox.	3600	in	ns	ns02.foxdoua.com.
emmys.fox.	3600	in	ns	ns03.dns.fox.
emmys.fox.	3600	in	ns	ns03.foxdoua.com.
emmys.fox.	3600	in	ns	ns04.dns.fox.
emmys.fox.	3600	in	ns	ns04.foxdoua.com.
emmys.fox.	3600	in	rrsig	DS 8 2 3600 20250905013143 20250822004800 39369 fox. aOtQwByABDdgFCCF4UCm3VoaKQJqQKGIGyUuJSxaL+OORmpy/C9pLXCLUoR9sf5fD2wVTFrBIuUMO0BKhSGBYp8a31VxrkDQ9Rs9NNI98p417Ghp/DgUVC8zCXw1UHqSINWmCW3ZvyUVR10Tw7+8VcHc1pTYFmYQXXPF79wKvD96ZP8FiFRx6giiSd5za+zT9M+xq/m5ENpOwTDTDhOiNg==
eng.fox.	3600	in	ns	ns-1220.awsdns-24.org.
eng.fox.	3600	in	ns	ns-1843.awsdns-38.co.uk.
eng.fox.	3600	in	ns	ns-387.awsdns-48.com.
eng.fox.	3600	in	ns	ns-789.awsdns-34.net.
ent.fox.	3600	in	ds	48553 13 2 80587C75BB876C23D8A8D7DD9510906249B290B5D38E70814C23DBD27C660FFF
ent.fox.	3600	in	ns	ns01.dns.fox.
ent.fox.	3600	in	ns	ns01.foxdoua.com.
ent.fox.	3600	in	ns	ns02.dns.fox.
ent.fox.	3600	in	ns	ns02.foxdoua.com.
ent.fox.	3600	in	ns	ns03.dns.fox.
ent.fox.	3600	in	ns	ns03.foxdoua.com.
ent.fox.	3600	in	ns	ns04.dns.fox.
ent.fox.	3600	in	ns	ns04.foxdoua.com.
ent.fox.	3600	in	rrsig	DS 8 2 3600 20250904225714 20250821220848 39369 fox. k0ZYBme2ACnnJqMBa5I64jd0NijfE121bC7NSxj1vJ+2gHooC+V2Pqr2v3PBTp3ZahlK5FEXOXM5NhlgXLGxy2flzW/MSi9zg2Z4W+AXxdhqFIZkLOFhSl5+JpqrYFSrilAy43/WaCXQyaEuqxBTaRwR9/1Ajfqctrkm+QehoXz2HpSWqZLRfTpw/Qpmgrm9lqkXibLAyb5UC3kRQsxfxw==
entertainment.fox.	3600	in	ds	48553 13 2 3A2FCD4E5CE6B62CE31B4C0BF87B31AB799B62D5A7FBA71437F9380A75BDA30A
entertainment.fox.	3600	in	ns	ns01.dns.fox.
entertainment.fox.	3600	in	ns	ns01.foxdoua.com.
entertainment.fox.	3600	in	ns	ns02.dns.fox.
entertainment.fox.	3600	in	ns	ns02.foxdoua.com.
entertainment.fox.	3600	in	ns	ns03.dns.fox.
entertainment.fox.	3600	in	ns	ns03.foxdoua.com.
entertainment.fox.	3600	in	ns	ns04.dns.fox.
entertainment.fox.	3600	in	ns	ns04.foxdoua.com.
entertainment.fox.	3600	in	rrsig	DS 8 2 3600 20250905013143 20250822004800 39369 fox. DYxAebr+9RiOZG88nZYmUBRu42TcFVsauvbXsSQDM438Pi57W2DD5EH4f2ZFM+1MR5C94adJm8SF/UQYguf6KNIP7/Zfw25OBHVyXME8y97vgEOY8OF0NqPFkKLsEUUJz/IoWe7vNhz3h5LOPA0azjn0Li8gcT7NsBiI/H8NVQNuSi2umyQGm/E/GviEuDp9o9yg0R/ECaHEoVnHXzSokw==
eo2opi3e6m0rtjqmsa4sckllcq8o3vgv.fox.	900	in	nsec3	1 1 0 - EOBUASJ96MP79G08Q1SJCO7MQL56917P NS DS RRSIG
eo2opi3e6m0rtjqmsa4sckllcq8o3vgv.fox.	900	in	rrsig	NSEC3 8 2 900 20250905023458 20250822015120 39369 fox. NywAxyNiMzTEjNk6sBRRQgkv8F4PAiD/P2C+2nBVLxHpu0MkzIlSYmLmeA/1hfV7OmRmYH2sxsm6rB1GnRngD0vW1Ewq0eSM3er8roBYNMv9QzXlUM4AA9lrwc+13jWeirdD8CLqisxqE/pHl/BrNCZjjwOzF/WH1C/APNy+z2BH1Lms0JeGoaDy9yxb9R4EMk1hX1Sc0jflvwhr+O3aRA==
eobuasj96mp79g08q1sjco7mql56917p.fox.	900	in	nsec3	1 1 0 - EQM22BTVPGN1RQ8V29PH0OMUM9A77I8K NS DS RRSIG
eobuasj96mp79g08q1sjco7mql56917p.fox.	900	in	rrsig	NSEC3 8 2 900 20250905023458 20250822015120 39369 fox. C+VBDtcbUr4FUSeaPUJOw2M6amlWyTWyW7C6JuzvovrnSeL3uz0QjL6AsmwFxkMsPDFXRYhdNJMRTKcMicx3FmC3NA42rcimwOXxuAIyg/XTRPlJ2BYp8V9KlTsEGc162hvxdln01vQNxLtCu8yBaiBSQVhRi0A2KTBObIrkjRDRhYYAWQ0ViphKfyaQ2dSQvcxowK/nGvo6096tEb6fLQ==
eqm22btvpgn1rq8v29ph0omum9a77i8k.fox.	900	in	nsec3	1 1 0 - F0BL3LMHSH8UVU12D1G658PM4TJEACBE NS DS RRSIG
eqm22btvpgn1rq8v29ph0omum9a77i8k.fox.	900	in	rrsig	NSEC3 8 2 900 20250908110800 20250825105538 39369 fox. YzKQUirh1UdmWjUewx/NxNKNx9KujZLeLQZCKFPHxsK/3z5fOpkCT7fT01RO+XRB5vRwgGZD/uoW0ohtLe4cB+m3J3KEDkz3ZwEk4LHJAEGOxgHV/gBWzHr1FWLy3QOx/RTxWK/Qus5N+PWZMhxfRpO4qE2ikDq2pkdSj4cWynPY6su7Bjr8CN7/IyZfUZstD44EckuqBSF8imEow3XzLg==
et-sandbox.fox.	3600	in	ns	ns01.dns.fox.
et-sandbox.fox.	3600	in	ns	ns02.dns.fox.
et-sandbox.fox.	3600	in	ns	ns03.dns.fox.
et-sandbox.fox.	3600	in	ns	ns04.dns.fox.
et.fox.	3600	in	ds	48553 13 2 AFC5586DCA49CFEEDDA48F93E63C6FE14646B4E95DDBC48A407A917DC0167CB2
et.fox.	3600	in	ns	ns01.dns.fox.
et.fox.	3600	in	ns	ns01.foxdoua.com.
et.fox.	3600	in	ns	ns02.dns.fox.
et.fox.	3600	in	ns	ns02.foxdoua.com.
et.fox.	3600	in	ns	ns03.dns.fox.
et.fox.	3600	in	ns	ns03.foxdoua.com.
et.fox.	3600	in	ns	ns04.dns.fox.
et.fox.	3600	in	ns	ns04.foxdoua.com.
et.fox.	3600	in	rrsig	DS 8 2 3600 20250905013143 20250822004800 39369 fox. OewEKbQM42dV3BrleA1LHdp8xSQO9uSdjMrZyjPLfTqLXv2HX8mpmz/UZ2zlpEta/3gHNr8dhjxjdo+5r+JruakJykUVOnhsZVte+NzcoojzDpoHc+QWp+siuDa0ir0MpfrUxIPdKpd66CR888VMcu6BrU6U1ul8T1cAE6QE8ysav6W4FOawYxPSZs6/RciJS0U10uXv4c/t0QOGKH29Mw==
ethelp.fox.	3600	in	ds	48553 13 2 C507EF15AF2E9B9A63A29E5E5431DE8D6B354D9F43D18179541565A1CB16DFE5
ethelp.fox.	3600	in	ns	ns01.dns.fox.
ethelp.fox.	3600	in	ns	ns01.foxdoua.com.
ethelp.fox.	3600	in	ns	ns02.dns.fox.
ethelp.fox.	3600	in	ns	ns02.foxdoua.com.
ethelp.fox.	3600	in	ns	ns03.dns.fox.
ethelp.fox.	3600	in	ns	ns03.foxdoua.com.
ethelp.fox.	3600	in	ns	ns04.dns.fox.
ethelp.fox.	3600	in	ns	ns04.foxdoua.com.
ethelp.fox.	3600	in	rrsig	DS 8 2 3600 20250905013143 20250822004800 39369 fox. tiRl8Pluwav592UhcdaDreL2bye7D8Hbhm4lhmaNJKrK5ZIO62VWzDlZiA6d4nhZbHpzMJRLN7FZSq1hVBFvuMzBc8U4tA6+3atOwqDheBgJ4j48BG9DY5t7N+maZPTajDwLmy2yv3/kHa8dMXQzTyIUtGzXRsg6mautMbF5oMQcjA3vxEdsKjdMmbBrwOyRDLJ1rjyaLJYTsN6BDach4A==
ethics.fox.	3600	in	ns	ns09.gcd-dns.com.
ethics.fox.	3600	in	ns	ns10.gcd-dns.com.
events.fox.	3600	in	ds	48553 13 2 EB1F1AFB9DF6D038FDA55DCD5FC869562062048B5495ECB7717CC0253ADE48A2
events.fox.	3600	in	ns	ns01.dns.fox.
events.fox.	3600	in	ns	ns01.foxdoua.com.
events.fox.	3600	in	ns	ns02.dns.fox.
events.fox.	3600	in	ns	ns02.foxdoua.com.
events.fox.	3600	in	ns	ns03.dns.fox.
events.fox.	3600	in	ns	ns03.foxdoua.com.
events.fox.	3600	in	ns	ns04.dns.fox.
events.fox.	3600	in	ns	ns04.foxdoua.com.
events.fox.	3600	in	rrsig	DS 8 2 3600 20250905013143 20250822004800 39369 fox. v3mly2ypg36HK5QsJH5mk1e3dN82t+exZiAgoHfaFa1YxRCuZ22lbPYDnLNnvoeJpPSU/uu0msdYEYpQD8iFTTUIpQX9LWI0mRhPAiQTiSQ5rHKzotzITyPIICAHZVKcY2LGGmp9f3eraEaDDVKGeR/OXTAORRT4apG1QhspeB3c7PAmoIJOX7dEfol/O8ppDKtIEsUTsQgPZXrgS/4Cxw==
ext.fox.	3600	in	ds	48553 13 2 A1B320A7BB1D3A918CC0FFD02FDBB178DB17D79B2EEA15E3B47FC3E387E22207
ext.fox.	3600	in	ns	ns01.dns.fox.
ext.fox.	3600	in	ns	ns01.foxdoua.com.
ext.fox.	3600	in	ns	ns02.dns.fox.
ext.fox.	3600	in	ns	ns02.foxdoua.com.
ext.fox.	3600	in	ns	ns03.dns.fox.
ext.fox.	3600	in	ns	ns03.foxdoua.com.
ext.fox.	3600	in	ns	ns04.dns.fox.
ext.fox.	3600	in	ns	ns04.foxdoua.com.
ext.fox.	3600	in	rrsig	DS 8 2 3600 20250905013143 20250822004800 39369 fox. wpMFCptLE0YUdY6K1LFf9JRgaa8GWobmHECoNlQqugupyPEHKRvrRJHfpoqpTTt2WKXzcOgtvfmGGUQRMALVu25gxoBgi22qhrnslBitQ50r/8sQz2RYdV30VOKLCWcN9mEv2S1Gqlaj52DkWNLa3iojxGeYR+h5yhPoaV3Js3oNDdWIn4nNEJyK44a/d0yFrOTV3NlZxnad0IjnXexJpA==
f0bl3lmhsh8uvu12d1g658pm4tjeacbe.fox.	900	in	nsec3	1 1 0 - F44L4M8SPS6IUKNAICSUIBOTB5KMITJJ NS DS RRSIG
