fox.	900	in	soa	ns1.dns.nic.fox. admin.tldns.godaddy. 1756222625 1800 300 604800 1800
21rhilk5j3nhj51l28j4n71rpv0idqeo.fox.	900	in	nsec3	1 1 0 - 26728HDPEK5JKF1U57FDOQOQF6NCAHFL NS DS RRSIG
21rhilk5j3nhj51l28j4n71rpv0idqeo.fox.	900	in	rrsig	NSEC3 8 2 900 20250909205040 20250826201243 39369 fox. mNTuYmNuoKINJagn8d+OyIH6NMKfKr+ujNNVnpQVprubu1mrSgib491z1N9nD55y5H22ONBhDlkt0VbKuPdeH3wdYL2OBQVSlVbjHkwm4fhtqqGov4hqEhs/wqzmuLCyK/oaU9jHn7poQkgtDp+i3WsBZpVNOmjSHLiPT/lm3Ov16Wvxt3auKtNxqwH03mNWei30GsELG117D2WP1kVGTA==
26728hdpek5jkf1u57fdoqoqf6ncahfl.fox.	900	in	nsec3	1 1 0 - 276NQBPLEDPJB5JOEDVB0F2OMJ0BVNJ8 NS DS RRSIG
26728hdpek5jkf1u57fdoqoqf6ncahfl.fox.	900	in	rrsig	NSEC3 8 2 900 20250905023458 20250822015120 39369 fox. K0hWhs23biUPz4aaGYjjwjN1jFxLUnQmiu4NbG2pgnj0P0G8Ypu++QQfKcLGOzqy4auOiKXIEkpYuHOf6ArNH8QpL9tZol09bsEHW+uRlYeWeX9jSBFIGaK6EE0K+s1vx247t2oQZLrHiAUcPOIFuxUDqoi93XdwFDbQOWbjoFOmavF5dlVm75+i2UxEK10/BEA/lySi+RgK7r4BFAqBbw==
276nqbpledpjb5joedvb0f2omj0bvnj8.fox.	900	in	nsec3	1 1 0 - 2ACR38DFIP4JD3HU1NFT76T7R9I9R5MA NS DS RRSIG
276nqbpledpjb5joedvb0f2omj0bvnj8.fox.	900	in	rrsig	NSEC3 8 2 900 20250905023458 20250822015120 39369 fox. UQJgkoAt6LvOQ8tgsWnfN0wpnAt+ftM73DRVR2BrbmnGbhjszv9WJaSq2OsAbubYEUmF1siI46LvKv3vCrfATW72xx9Ltd1p8uc1G6FqLsjUwMSlQHyA9XrAYingzkklQdriGyXNcvDlHjruo5WG1zRBiLDc8hsoLLAvegUPtBHudoIfV0rx98/l8sDqCzKP9xFB4AnG3+MXmNflNL9NZg==
2acr38dfip4jd3hu1nft76t7r9i9r5ma.fox.	900	in	nsec3	1 1 0 - 2B63ABM5A1GKS22JD2LKE2JJ5P6NV203 NS DS RRSIG
2acr38dfip4jd3hu1nft76t7r9i9r5ma.fox.	900	in	rrsig	NSEC3 8 2 900 20250905023458 20250822015120 39369 fox. rggMYC36rjSmdL/ZXZTLBcXaFRqZi2uKyRC5EdemtPAA0Wo8jBh7Ea+D+zdiCjzN7yNH2fciVcfWiLcHBTg7L89y80hR60Oinhzr1CwFlvZuHSq47WlNA4vnAsfNwvTHFFo9aZ5muh0FQyZ7HMwXj+tQeFSpQC44UjW5medERMdfyJsf/PxjNL/rtGzCpv8xOjBLnAWrfj8rL/2imjgmqw==
2b63abm5a1gks22jd2lke2jj5p6nv203.fox.	900	in	nsec3	1 1 0 - 2BMQSGQSH3IBHRFTIFQEECVHHN6MT352 NS DS RRSIG
2b63abm5a1gks22jd2lke2jj5p6nv203.fox.	900	in	rrsig	NSEC3 8 2 900 20250905023458 20250822015120 39369 fox. m5sj6oYrglsJqynnj3E/hTJLMpJZnCdmUFD7j+aaM1/L3gzTBectEKM4z3ZFaS/j1RHwnqs+N+GbGCWFn4jAmiTOqvHA9+bWPZPaprYDGdRAgOusr/jjpzrcjYgoWXDwziSmJ5T1NQn5zQ0Pf06F5qYhrpULEkRsf21xfNt7c8rjsPAbprj/DE0WDqxmnrZFDqyRGAQW2k6xddasYHZxSw==
