0p42p14sa5d756t37inutn4pdq0sbkhk.fail.	3600	in	rrsig	NSEC3 8 2 3600 20260207152638 20260117142638 37773 fail. RtzRhZ5v28UWuUabviOfYu+dtAnkus4vOAIlEdDgpY2OG3LLQvnjKbPawX88MnkLtKKGW0ZPzoPwJFYwRmEN1G7UsZBH0/LLYZ5rQ8T9q3r+28GwKhkWwG432i/fbBbfanSaezVbuISxWRZMsyjrJon7aDp5vasQJaeshlBaA08=
0s9ek9l2a38t52jjmjonc875r07fb26i.fail.	3600	in	nsec3	1 1 0 73 0VC3L3G30GJ1DNTEOM7VEK54FFTFKJSK NS DS RRSIG
0s9ek9l2a38t52jjmjonc875r07fb26i.fail.	3600	in	rrsig	NSEC3 8 2 3600 20260207152638 20260117142638 37773 fail. u2YInNCDeu9aJ5Ze1U1qwqlnIuZp3ze6pPwT3ux5ftNSBJnS5pMNXkbF8yyPj0W7X4PHtxq75jBTFH4ZinVMCu2u22JjDg/RkeBeTPmj3antirfnrnKPrMRFWjO7PyQ4aMLmfnKmshDDZWbyOza9G2TfOxU9FEexGGrM+3kxu5k=
0vc3l3g30gj1dnteom7vek54fftfkjsk.fail.	3600	in	nsec3	1 1 0 73 0VQ8DORC3EG6Q6EGFJK9AM3E7SLN2AMB NS DS RRSIG
0vc3l3g30gj1dnteom7vek54fftfkjsk.fail.	3600	in	rrsig	NSEC3 8 2 3600 20260207152638 20260117142638 37773 fail. PVzGsHUlHPj+MxuWAgZiY9Bk+970Bk1c4w/5NZlD0NvPQTAtWHQZ+GxvFlpbWjvRDdoNvPy4FEOOW+cPlv8we3dK999IksnPjz1qTE6azyHDIM1bWZGllE4w1c0mIbK169KcRSLtjPFXn+KNs+uV/aDwrg3qgokOAPY3eu5UWfA=
0vq8dorc3eg6q6egfjk9am3e7sln2amb.fail.	3600	in	nsec3	1 1 0 73 10PHG5JD9EBIT3F59L3RA954EIE6DGLT NS DS RRSIG
0vq8dorc3eg6q6egfjk9am3e7sln2amb.fail.	3600	in	rrsig	NSEC3 8 2 3600 20260207152638 20260117142638 37773 fail. Ns9T8zz8XbhEMUSUAAgFxmzcpocZ0usTUoCK9kNBM+wDwMM68auzwPDRKGsZ6GIK+It2YMAHtzAuh7MePu9Xl1GFcY7vFPEbegZUWiMbdS8HS/9c3CN6kmmOztSK2/ip+JJrJeXJ5iiEdQwiQXiKXbI8rduRggxUIgrfN5y6JkQ=
0x0.fail.	3600	in	ns	ns1.jusoft.org.
0x0.fail.	3600	in	ns	ns2.jusoft.org.
0x88.fail.	3600	in	ns	olof.ns.cloudflare.com.
0x88.fail.	3600	in	ns	zainab.ns.cloudflare.com.
1-800-baskets.fail.	3600	in	ns	dns1.cscdns.net.
