vegas.	3600	in	soa	a0.nic.vegas. hostmaster.donuts.email. 1769304332 7200 900 1209600 3600
123b.vegas.	3600	in	ns	stephane.ns.cloudflare.com.
123b6.vegas.	3600	in	ns	simon.ns.cloudflare.com.
123b6.vegas.	3600	in	ns	stephane.ns.cloudflare.com.
123bet.vegas.	3600	in	ns	amalia.ns.cloudflare.com.
123bet.vegas.	3600	in	ns	noah.ns.cloudflare.com.
123go2.vegas.	3600	in	ns	ns23.domaincontrol.com.
123go2.vegas.	3600	in	ns	ns24.domaincontrol.com.
123lasvegas.vegas.	3600	in	ns	ns1.zxcs.nl.
123lasvegas.vegas.	3600	in	ns	ns2.zxcs.nl.
123lasvegas.vegas.	3600	in	ns	ns3.zxcs.nl.
123win.vegas.	3600	in	ns	jocelyn.ns.cloudflare.com.
123win.vegas.	3600	in	ns	tom.ns.cloudflare.com.
12steps.vegas.	3600	in	ns	dalns3.masterns.com.
12steps.vegas.	3600	in	ns	dalns4.masterns.com.
138.vegas.	3600	in	ns	ns1.dyna-ns.net.
138.vegas.	3600	in	ns	ns2.dyna-ns.net.
138vegas.vegas.	3600	in	ns	duke.ns.cloudflare.com.
138vegas.vegas.	3600	in	ns	paige.ns.cloudflare.com.
13jb4qsm29c44bqa7vno6armp6lsvmaf.vegas.	3600	in	nsec3	1 1 0 73 1472F1IJ1SF7LB7ED29BRPGO42VN1SC7 NS DS RRSIG
13jb4qsm29c44bqa7vno6armp6lsvmaf.vegas.	3600	in	rrsig	NSEC3 8 2 3600 20260207155919 20260117145919 8685 vegas. F59TaVHfvodpxjavizmKcRjQAVPL4cqIJmm0nGUSwPA0ufEMPkKkC123dfCuMFOGiwmf1QVFFoCrQKmXq/wbiDMRwxpuxr6e6JF4MV0/Hvom8llXB0VOmUmZT4n38EXFu8RcvzGjws5dmZ8owaxKPkSctOJCs60e+s3fYupExAY=
13win.vegas.	3600	in	ns	garrett.ns.cloudflare.com.
13win.vegas.	3600	in	ns	lisa.ns.cloudflare.com.
1472f1ij1sf7lb7ed29brpgo42vn1sc7.vegas.	3600	in	nsec3	1 1 0 73 14RE617SLEE7Q0GDV3UGJ7Q4AFRN7B52 NS DS RRSIG
1472f1ij1sf7lb7ed29brpgo42vn1sc7.vegas.	3600	in	rrsig	NSEC3 8 2 3600 20260207155919 20260117145919 8685 vegas. SX8TbEJvDX4TTA5Gk8WNvT+pZMQAUUYeLShYWcxTcF3Il4O8dVFYQHvW1rduWqbcZvBSXp11KDAViBVtX8C/C7kMceGUN68R4t/ekxv/A/bjAsJJndytH7BcLd8CZosRNYwkIUBfONv7li4th/FBlUC3W91BRgkb7j7mC+e3MKs=
14re617slee7q0gdv3ugj7q4afrn7b52.vegas.	3600	in	nsec3	1 1 0 73 14SDGQ25E2N167GFFIM75EBVI6NFJ9QV NS DS RRSIG
14re617slee7q0gdv3ugj7q4afrn7b52.vegas.	3600	in	rrsig	NSEC3 8 2 3600 20260207155919 20260117145919 8685 vegas. Puqz6WfqAN6/rqHX5uFx8pTAUTFRg5V8XYucXWpyKCmPlpEQDgmFwoR8KALelg4V8yOkieL7qRibV/IppjpsQhvRkUEOzu55iQ8WnvpAr5B2WfOpHtrCxOYwXG1Jz+x4HlRDkasA3qWs2Yxpnk/ICKEXqX+lH8MhpdZ8BaPk43Q=
14sdgq25e2n167gffim75ebvi6nfj9qv.vegas.	3600	in	nsec3	1 1 0 73 1ITEFUIBUSPVEGD5GVKFBVUO1MTA5OC7 NS DS RRSIG
14sdgq25e2n167gffim75ebvi6nfj9qv.vegas.	3600	in	rrsig	NSEC3 8 2 3600 20260207155919 20260117145919 8685 vegas. 5TfW4Y98gYZZTGkq3dHPnqwGOKBvV6GoIU2bpjM1v1xo46ory5imyf/fSToVTFlL//QxS3rqbveRF09YNjAKjHjbJ7x8e7gqBrgjspyCMtU17NGsLS3Q9RrUuEpR5KOH7sONioacxFTOFA7yJiFFMsn5Tm7TS8ku00OUjIlcF5s=
1800flowers.vegas.	3600	in	ns	dns1.cscdns.net.
1800flowers.vegas.	3600	in	ns	dns2.cscdns.net.
1800nofault.vegas.	3600	in	ns	ns11.domaincontrol.com.
1800nofault.vegas.	3600	in	ns	ns12.domaincontrol.com.
1864wineandspirits.vegas.	3600	in	ns	ns59.domaincontrol.com.
1864wineandspirits.vegas.	3600	in	ns	ns60.domaincontrol.com.
188bet.vegas.	3600	in	ns	pdns95.ultradns.biz.
188bet.vegas.	3600	in	ns	pdns95.ultradns.com.
188bet.vegas.	3600	in	ns	pdns95.ultradns.net.
188bet.vegas.	3600	in	ns	pdns95.ultradns.org.
188v.vegas.	3600	in	ns	vicente.ns.cloudflare.com.
188v.vegas.	3600	in	ns	ximena.ns.cloudflare.com.
18b.vegas.	3600	in	ns	ns75.domaincontrol.com.
18b.vegas.	3600	in	ns	ns76.domaincontrol.com.
18fremont.vegas.	3600	in	ns	ns33.domaincontrol.com.
18fremont.vegas.	3600	in	ns	ns34.domaincontrol.com.
1925.vegas.	3600	in	ns	dns1.registrar-servers.com.
1925.vegas.	3600	in	ns	dns2.registrar-servers.com.
1gom.vegas.	3600	in	ns	hank.ns.cloudflare.com.
1gom.vegas.	3600	in	ns	sky.ns.cloudflare.com.
1itefuibuspvegd5gvkfbvuo1mta5oc7.vegas.	3600	in	nsec3	1 1 0 73 1M6A9TCBS3GM03VR5HTA2D2PM6TAAQDD NS DS RRSIG
