1282026.xn--tckwe.	172800	in	ns	ns2.dyna-ns.net.
1309752.xn--tckwe.	172800	in	ns	ns1.dyna-ns.net.
1309752.xn--tckwe.	172800	in	ns	ns2.dyna-ns.net.
1385930.xn--tckwe.	172800	in	ns	ns1.dyna-ns.net.
1385930.xn--tckwe.	172800	in	ns	ns2.dyna-ns.net.
1403341.xn--tckwe.	172800	in	ns	ns1.dyna-ns.net.
1403341.xn--tckwe.	172800	in	ns	ns2.dyna-ns.net.
1452066.xn--tckwe.	172800	in	ns	ns1.dyna-ns.net.
1452066.xn--tckwe.	172800	in	ns	ns2.dyna-ns.net.
1529746.xn--tckwe.	172800	in	ns	ns1.dyna-ns.net.
1529746.xn--tckwe.	172800	in	ns	ns2.dyna-ns.net.
15453909.xn--tckwe.	172800	in	ns	ns1.dyna-ns.net.
15453909.xn--tckwe.	172800	in	ns	ns2.dyna-ns.net.
1560066.xn--tckwe.	172800	in	ns	ns1.dyna-ns.net.
1560066.xn--tckwe.	172800	in	ns	ns2.dyna-ns.net.
1639371.xn--tckwe.	172800	in	ns	ns1.dyna-ns.net.
1639371.xn--tckwe.	172800	in	ns	ns2.dyna-ns.net.
1664.xn--tckwe.	172800	in	ns	ns1.brandshelter.com.
1664.xn--tckwe.	172800	in	ns	ns2.brandshelter.de.
1664.xn--tckwe.	172800	in	ns	ns3.brandshelter.info.
1664.xn--tckwe.	172800	in	ns	ns4.brandshelter.net.
1664.xn--tckwe.	172800	in	ns	ns5.brandshelter.us.
17739049.xn--tckwe.	172800	in	ns	ns1.dyna-ns.net.
17739049.xn--tckwe.	172800	in	ns	ns2.dyna-ns.net.
1800flowers.xn--tckwe.	172800	in	ns	dns1.cscdns.net.
1800flowers.xn--tckwe.	172800	in	ns	dns2.cscdns.net.
1812641.xn--tckwe.	172800	in	ns	ns1.dyna-ns.net.
1812641.xn--tckwe.	172800	in	ns	ns2.dyna-ns.net.
1818.xn--tckwe.	172800	in	ns	dns1.onamae.com.
1818.xn--tckwe.	172800	in	ns	dns2.onamae.com.
18702225.xn--tckwe.	172800	in	ns	ns1.dyna-ns.net.
18702225.xn--tckwe.	172800	in	ns	ns2.dyna-ns.net.
1889423.xn--tckwe.	172800	in	ns	ns1.dyna-ns.net.
1889423.xn--tckwe.	172800	in	ns	ns2.dyna-ns.net.
1937795.xn--tckwe.	172800	in	ns	ns1.dyna-ns.net.
1937795.xn--tckwe.	172800	in	ns	ns2.dyna-ns.net.
1984073.xn--tckwe.	172800	in	ns	ns1.dyna-ns.net.
1984073.xn--tckwe.	172800	in	ns	ns2.dyna-ns.net.
1ii.xn--tckwe.	172800	in	ns	ns1.ndsplitter.com.
1ii.xn--tckwe.	172800	in	ns	ns2.ndsplitter.com.
1ii.xn--tckwe.	172800	in	ns	ns3.ndsplitter.com.
2.xn--tckwe.	172800	in	ns	ns1.101domain.com.
2.xn--tckwe.	172800	in	ns	ns2.101domain.com.
2133057.xn--tckwe.	172800	in	ns	ns1.dyna-ns.net.
2133057.xn--tckwe.	172800	in	ns	ns2.dyna-ns.net.
2138.xn--tckwe.	172800	in	ns	n1.xundns.com.
2138.xn--tckwe.	172800	in	ns	n2.xundns.com.
2145999.xn--tckwe.	172800	in	ns	ns1.dyna-ns.net.
2145999.xn--tckwe.	172800	in	ns	ns2.dyna-ns.net.
2151048.xn--tckwe.	172800	in	ns	ns1.dyna-ns.net.
2151048.xn--tckwe.	172800	in	ns	ns2.dyna-ns.net.
2169860.xn--tckwe.	172800	in	ns	ns1.dyna-ns.net.
2169860.xn--tckwe.	172800	in	ns	ns2.dyna-ns.net.
22n0uurfpskqq3nnpd62jb4u6tfeias8.xn--tckwe.	86400	in	nsec3	1 1 0 - 2EVLUI36MBRGNCJ4C5S3MPUQTLKOJ7R7 NS DS RRSIG
22n0uurfpskqq3nnpd62jb4u6tfeias8.xn--tckwe.	86400	in	rrsig	NSEC3 8 2 86400 20250901142406 20250825142406 21585 xn--tckwe. n/75aRy5lN5l4e8gY+ISB7/OO5JQNPptIi9n+LrLNiZMib/bHtgSdUfWVjyLsyJEMGVJiQ4Z2i5pTJ7ZNr7/4/rY5Ag/JWwiaPzXB8tWYF6LYJhLFwGQSUQkRnvLu54y3F/T9SqFs8jhxCH/bpQOd+hcm3+1l5q8vBPhTnrxaoSvTQ9VDSrcOjMSQBVA7cVfCSbl47t6X4aFeFbQ1um9Mg==
2305241.xn--tckwe.	172800	in	ns	ns1.dyna-ns.net.
2305241.xn--tckwe.	172800	in	ns	ns2.dyna-ns.net.
2364109.xn--tckwe.	172800	in	ns	ns1.dyna-ns.net.
2364109.xn--tckwe.	172800	in	ns	ns2.dyna-ns.net.
237156.xn--tckwe.	172800	in	ns	n1.xundns.com.
237156.xn--tckwe.	172800	in	ns	n2.xundns.com.
2397222.xn--tckwe.	172800	in	ns	ns1.dyna-ns.net.
