0epb40fjp534p252kd53su5nmfle5pb7.estate.	3600	in	rrsig	NSEC3 8 2 3600 20250916153442 20250826143442 24168 estate. S9no/JbIbxT9WyxLLTWsxsjb5Ou4y5mk34pgv9ZtL2HEsPs06UmGVkLFc7yDu8d8Z5JuBEPqKuBcTPdAifUNzjBF8Bq8d+xxdEpwrEgRpx0OXBenAmzFWtZkV8WoCL4of2c/D7TtodmumijoJEQ438OG71TtI3WkRfEC2KAQV+4=
0gd2afh5eclj22a6gduitrmcad89eff2.estate.	3600	in	nsec3	1 1 0 73 0NKURJG0N9664VJBQU8HV8QO0F4AA6SR NS DS RRSIG
0gd2afh5eclj22a6gduitrmcad89eff2.estate.	3600	in	rrsig	NSEC3 8 2 3600 20250916153442 20250826143442 24168 estate. rU4et5SBS51C5uldkiARtqgQ+5fGvjnGqPn9jeJ56ufVjw0oIIrwxLBVh8da5Kf/QFU1alxy4Y6DE5Ze1PndHh8bO/izIehJhBDKGkiEBl8wjiZsDGte3nmpKheRQBJA0RRyWo7QR9LawiYAvoHA5pq1iyaiqrzVem68I31CzUY=
0juiwdmld3rd.estate.	3600	in	ns	ns1.dyna-ns.net.
0juiwdmld3rd.estate.	3600	in	ns	ns2.dyna-ns.net.
0nkurjg0n9664vjbqu8hv8qo0f4aa6sr.estate.	3600	in	nsec3	1 1 0 73 0NLVQCNC47R7AN89FEFTRCC6G8BV41V9 NS DS RRSIG
0nkurjg0n9664vjbqu8hv8qo0f4aa6sr.estate.	3600	in	rrsig	NSEC3 8 2 3600 20250916153442 20250826143442 24168 estate. fTz7DklxNtHYpXmJgVHkmKd9tVmFEGAn57z0kn28FI4cFx6b/D9QOACg9Hyvt7W7iC+8RkadQxptVbg3CgnkbNvkrlVsA6/815ItkRYXf6+YNLr6m1sHN7kbXTfZBlBYbJsRB2DT5F5OWhLyAASFRbg5fIL7ou83MpMeJDCZhI4=
0nlvqcnc47r7an89feftrcc6g8bv41v9.estate.	3600	in	nsec3	1 1 0 73 0OG59VD5FF2AM7TT0R5O1SNAJIN7MQ6K NS DS RRSIG
0nlvqcnc47r7an89feftrcc6g8bv41v9.estate.	3600	in	rrsig	NSEC3 8 2 3600 20250916153442 20250826143442 24168 estate. aJ6fuyUDwYJPp50tAWKDy5xLJ1QBGb2q/VrbLkqzDSUsCf8mTLkHZEH0nh1UbSnBksh/RdL+zTPxxroLxxSx7R0a6ifj8uChMVu/jAGBvUn71uJLjqPX5ow32e1lX6DyQfv5mVdJi9X4C2lH9rEkfoJsz2/yO6Luurlq/hmpgaM=
0og59vd5ff2am7tt0r5o1snajin7mq6k.estate.	3600	in	nsec3	1 1 0 73 0ORBSH3KGDPLHG8JLRM08HIAJAEIIV5V NS DS RRSIG
0og59vd5ff2am7tt0r5o1snajin7mq6k.estate.	3600	in	rrsig	NSEC3 8 2 3600 20250916153442 20250826143442 24168 estate. fasGAzxzqREuXUiIKTyld3oCTi0M32QwIc1T45jAzzFxUkHW6GQfqtyVpyTVmlVjNMDRwWc71UZHD/MrMC5akuKy/3n52QiwgBLpknyABv3G/eE5x+CuhRGkKunlzB57wShDA+AL2yZfQ1RqOOwcessaK7ymsLq3jHDp8qdSgMA=
0orbsh3kgdplhg8jlrm08hiajaeiiv5v.estate.	3600	in	nsec3	1 1 0 73 0PBOCN9CBVTL818S46ODASN69B4NVA9I NS DS RRSIG
0orbsh3kgdplhg8jlrm08hiajaeiiv5v.estate.	3600	in	rrsig	NSEC3 8 2 3600 20250916153442 20250826143442 24168 estate. bTlcJJGNQi3c0J6f6kFsDLk51/uoC4z+1baf1Cpt0kCZ57nFXKJP+EU/+2TgBf6u16VnXDOk3dnr3d4blKSkBZ4Ng+QbgxUp8LkUxBBvdBhEyO8WXA8f3uI4YWpAsCdB2FrKRPAxG1M+ParIyQfPUn0pOcfvxXEcCTRS9JnzzuQ=
0pbocn9cbvtl818s46odasn69b4nva9i.estate.	3600	in	nsec3	1 1 0 73 0Q9FRKVBIIDA99UUL0SD3N5LCM6PE0JN NS DS RRSIG
0pbocn9cbvtl818s46odasn69b4nva9i.estate.	3600	in	rrsig	NSEC3 8 2 3600 20250916153442 20250826143442 24168 estate. Xd+RXwHntGo4pe5HFXpmDttXETbJyGsER4LAmesS4chwuQVQ/GMv7QqOhewR2T7eprwjhofuB20QvYxN3/x7l+OmfImRBrZfyILKkrWS38020WyTMQ1KIyofb1XBCkiN23GiViRWosG6LFKqCexB2BR2/go7ijgdzjIXoJmZUxg=
0q9frkvbiida99uul0sd3n5lcm6pe0jn.estate.	3600	in	nsec3	1 1 0 73 0V6MQD7IARHK322STFMTDJPKSEME8MKQ NS DS RRSIG
0q9frkvbiida99uul0sd3n5lcm6pe0jn.estate.	3600	in	rrsig	NSEC3 8 2 3600 20250916153442 20250826143442 24168 estate. qIgr2eO2PBE5zH3VRLK66KN6mJoSRj/czw3Pz501BvJdzz9pyQI0tWBSgtD9NTe0wBbo8lUSuTR5+wsHkkvHleJc16KPXrUk2U0pdo2bJ56EY34kqgQ+Cg6Y7Wdq5AAWRtgqgOwY+fBvnojxownD8QHfoTNaESylmz49L9PKwjo=
0v6mqd7iarhk322stfmtdjpkseme8mkq.estate.	3600	in	nsec3	1 1 0 73 0VCLKCVTCFQFFVBLJ54HVM4MV245MR84 NS DS RRSIG
0v6mqd7iarhk322stfmtdjpkseme8mkq.estate.	3600	in	rrsig	NSEC3 8 2 3600 20250916153442 20250826143442 24168 estate. e2u+kLis9aD88HZOchl8Y11UNnzLewHXElmXyHeOKVojvUgNouDeEoCRXb+IEIVKyEAzRenpSBHKn3q+93E5/RMld2AhghiZ/FEhujaq0lwufefN27feXN5kpzvi56bA3tO3i8GNpcQnYmJnGGubP6Equ3hyXql/ewlf1AFi9A4=
0vclkcvtcfqffvblj54hvm4mv245mr84.estate.	3600	in	nsec3	1 1 0 73 10SRDAUIDTJ17I2EAQR97SCRE1ABRK1I NS DS RRSIG
0vclkcvtcfqffvblj54hvm4mv245mr84.estate.	3600	in	rrsig	NSEC3 8 2 3600 20250916153442 20250826143442 24168 estate. ZXVTdtLOYCuHaSuMVLO0bSjcK9D2uoa++k9h+LvH61OF/DMpLuq1ye8jujMGsVP/xRFUdu/Y9jGw1A2I5p8QZfc2hWlfPUMfA6hFydQ26JuW+x1dQ2n6YZkMQSJRVAENSwxt7+qHA7Uz+OqTXCwOGwmIS66kzRmgsY1/bC9evMQ=
0x.estate.	3600	in	ds	16367 13 2 68C4F82836EB7D3BE4D9398122AA682E07C20EFFC2686FF64D21354AE232670A
0x.estate.	3600	in	ns	launch1.spaceship.net.
0x.estate.	3600	in	ns	launch2.spaceship.net.
0x.estate.	3600	in	rrsig	DS 8 2 3600 20250916153442 20250826143442 24168 estate. az0eOSmsjQvq18h3OwmF04pOUsEbXnUlduCALng9/+ZCsi4DRe7/bJqg0vovt8LLhKe4HEgOoqEhqWRwRYn15zaVfgErl6WN4iqzonKUkZPAwJ7pH5r3qABD9s9x1jDWqXkCV/73HS9wCxp3soY/+VnmUkAgsAUsMV1K3wY5vYo=
1000.estate.	3600	in	ns	ns-de.1and1-dns.biz.
1000.estate.	3600	in	ns	ns-de.1and1-dns.com.
1000.estate.	3600	in	ns	ns-de.1and1-dns.de.
1000.estate.	3600	in	ns	ns-de.1and1-dns.org.
1000000.estate.	3600	in	ns	ns11.domaincontrol.com.
1000000.estate.	3600	in	ns	ns12.domaincontrol.com.
1001-dulcie.estate.	3600	in	ds	59057 8 2 044A91FDD09158DEAA0D6A43E030B0C524FF2D8A33938DEAADED0EB6719E9CC5
1001-dulcie.estate.	3600	in	ns	ns-cloud-a1.googledomains.com.
1001-dulcie.estate.	3600	in	ns	ns-cloud-a2.googledomains.com.
1001-dulcie.estate.	3600	in	ns	ns-cloud-a3.googledomains.com.
1001-dulcie.estate.	3600	in	ns	ns-cloud-a4.googledomains.com.
1001-dulcie.estate.	3600	in	rrsig	DS 8 2 3600 20250916153442 20250826143442 24168 estate. kKL0tvZ1yvZR2Rk3EEgMlyCxfRJLZvaN9NO/VQIJoP1jlJZsIT2MFkhc/uVMC1jOXOvGKm+uPN/hegoF1NBAOiywZ3VMIh5PXgZ0Gz9QD/Fh1uunb4FLaTcuOihLRRJZRSxTUIJOFZOhOMeZta7YKG+YX75Ohpl88Pjpa6znGbc=
100ww.estate.	3600	in	ds	32300 8 2 36EB4AB1941BBCCD102CF0A214F3E701B72A2ABFF541C48D1733E0F502BDFACF
100ww.estate.	3600	in	ns	ns-cloud-b1.googledomains.com.
100ww.estate.	3600	in	ns	ns-cloud-b2.googledomains.com.
100ww.estate.	3600	in	ns	ns-cloud-b3.googledomains.com.
100ww.estate.	3600	in	ns	ns-cloud-b4.googledomains.com.
100ww.estate.	3600	in	rrsig	DS 8 2 3600 20250916153442 20250826143442 24168 estate. FYLq4Qu/HOEzZhwsBiixzLherMyEoZ6MlYGvbnh5Ny1PryPsgCOzHTId8svHyR8v75sAMrRQO6sZX+8bFO1PNOtYKNjBKj9lk8YZ5vl0LMcmnwAjQkgXX/lUGIF4DKckY1bQqjY+DqTJricWrexvzowDIMKJw4R0WkYmTyZTI88=
101.estate.	3600	in	ns	ns57.domaincontrol.com.
101.estate.	3600	in	ns	ns58.domaincontrol.com.
101real.estate.	3600	in	ns	ns57.domaincontrol.com.
101real.estate.	3600	in	ns	ns58.domaincontrol.com.
1031exchange.estate.	3600	in	ns	ns19.domaincontrol.com.
1031exchange.estate.	3600	in	ns	ns20.domaincontrol.com.
10srdauidtj17i2eaqr97scre1abrk1i.estate.	3600	in	nsec3	1 1 0 73 12G2P6F7PHH7IQFD7BUQ3S7MPI49PBGP NS DS RRSIG
10srdauidtj17i2eaqr97scre1abrk1i.estate.	3600	in	rrsig	NSEC3 8 2 3600 20250916153442 20250826143442 24168 estate. WCydncYmbIFC7dS4C0I+0NvI6NFr1pYnDT/7v/FUk9XeOa5ayeX2VvHCnBpqgvEaixnzw5a3XKXhT6iCRtvHhBWmSu/HKxY6If3B9rVsuTL17KU9KjeSanq5fNCvcOiBzTqNubqSmyEpBv+ieMO6HiS41b9kSe1+HLuiVPy0fOE=
11.estate.	3600	in	ns	dns1.registrar-servers.com.
11.estate.	3600	in	ns	dns2.registrar-servers.com.
111.estate.	3600	in	ns	dns101.registrar-servers.com.
111.estate.	3600	in	ns	dns102.registrar-servers.com.
1111.estate.	3600	in	ns	ns1024.ui-dns.com.
1111.estate.	3600	in	ns	ns1104.ui-dns.de.
1111.estate.	3600	in	ns	ns1111.ui-dns.biz.
1111.estate.	3600	in	ns	ns1114.ui-dns.org.
1111cellars.estate.	3600	in	ns	dns1.registrar-servers.com.
1111cellars.estate.	3600	in	ns	dns2.registrar-servers.com.
1131sport.estate.	3600	in	ns	leanna.ns.cloudflare.com.
1131sport.estate.	3600	in	ns	lennox.ns.cloudflare.com.
123.estate.	3600	in	ns	ns1.dyna-ns.net.
123.estate.	3600	in	ns	ns2.dyna-ns.net.
123b.estate.	3600	in	ns	khalid.ns.cloudflare.com.
123b.estate.	3600	in	ns	margot.ns.cloudflare.com.
123real.estate.	3600	in	ns	ns1.aa-ha.com.
123real.estate.	3600	in	ns	ns2.aa-ha.com.
126.estate.	3600	in	ns	ns75.domaincontrol.com.
126.estate.	3600	in	ns	ns76.domaincontrol.com.
12bet.estate.	3600	in	ns	colin.ns.cloudflare.com.
12bet.estate.	3600	in	ns	jade.ns.cloudflare.com.
12g2p6f7phh7iqfd7buq3s7mpi49pbgp.estate.	3600	in	nsec3	1 1 0 73 1352DRU98G1SA45H3048H6I7NKBNUH7K NS DS RRSIG
12g2p6f7phh7iqfd7buq3s7mpi49pbgp.estate.	3600	in	rrsig	NSEC3 8 2 3600 20250916153442 20250826143442 24168 estate. AljSzfa8PkMIgv+jhNWL1XkjnWgoLOo3V7X+/1+bwlkjVff5NuH01g80KFKO8yHHv80QoccgR088cFPI4qMVXzG/AqKOSk+WD8IsVPEVT4BUevHs/NGeP2o0dUPifYW1GEqDE538xnJSzHaiG78tsoZV+uUTCvjs+NMhMoJMRf8=
1337.estate.	3600	in	ns	ns1.webglobe.cz.
1337.estate.	3600	in	ns	ns2.webglobe.cz.
1337.estate.	3600	in	ns	ns3.webglobe.com.
1352dru98g1sa45h3048h6i7nkbnuh7k.estate.	3600	in	nsec3	1 1 0 73 13IG1E3N055GPUGGHGEGC7SQBASBG66S NS DS RRSIG
1352dru98g1sa45h3048h6i7nkbnuh7k.estate.	3600	in	rrsig	NSEC3 8 2 3600 20250916153442 20250826143442 24168 estate. CfB+sExzHg6mOMNQUVHlq5b2HZEOQvlV1HscqXG5fp2zWy7azWhs6//oeUzxcSfQyZ9MIX+U0xV+pGR3BMZghqqY6kYmym5Sxdyp3uzcRw5GH1+CIkYlg3l8xgiCoUqUsPtP3pb09InLFRLBMSx8Z9aueIW/SNJMdfVoiaZXkWs=
13ig1e3n055gpugghgegc7sqbasbg66s.estate.	3600	in	nsec3	1 1 0 73 14TSOF49FK2CC0J7AK97FQ2BO66LM6RN NS DS RRSIG
13ig1e3n055gpugghgegc7sqbasbg66s.estate.	3600	in	rrsig	NSEC3 8 2 3600 20250916153442 20250826143442 24168 estate. qdhsc2zupMy62tDFrZdqFjs6bTO8rIKkYDmwB5WwNMjPnkyHZqMFR+h4qHaW+rg/LpWBW1BXx0Yl7ykn0EyV5mA7f/fhv77HOrWWH7IFPDqslRFPj2EklSX/oo0JKrOxuFF9bv/gJquOXkUU38dkf1QUdKmZbI8SRiqHK04LusU=
14tsof49fk2cc0j7ak97fq2bo66lm6rn.estate.	3600	in	nsec3	1 1 0 73 15FDKBFHBL1HM18H1759TVSBUUCFL29U NS DS RRSIG
14tsof49fk2cc0j7ak97fq2bo66lm6rn.estate.	3600	in	rrsig	NSEC3 8 2 3600 20250916153442 20250826143442 24168 estate. M+wy/YsQNFmh3FvPpdjaOTerORrM+pKhZfYtSfv197NJ2LQdXx0tdljRoDYM8mk0Lg37v8Jlwk73pgcIeKdjYnfD+OHjUNrOJ5oEpkAMcUKTe5nnjIhHwGOXFKyOGTnbcoclDvHUu4tC9dsDm1uPa6CW7NQ+wVt84em9PK+UkVM=
15fdkbfhbl1hm18h1759tvsbuucfl29u.estate.	3600	in	nsec3	1 1 0 73 160BGHFPD5KFJ4N6JSMVKQQSVB90ILI7 NS DS RRSIG
15fdkbfhbl1hm18h1759tvsbuucfl29u.estate.	3600	in	rrsig	NSEC3 8 2 3600 20250916153442 20250826143442 24168 estate. Jajq/FPqHNe7hh3+IHJiLb0NTOD3lpS2yYiKLBH+XGbqq8V752mrwyT71xgAMpC9ucwoFYdgK3CNAM1jxKVHYJTn8nkbLXpHxbYMbyjZAmOuFWxU8PpjbEbrUsYO3ZPCFNlNEggMul50C3uZv8KbFszSjiI9SvgEIh5PoUj/ZRs=
160bghfpd5kfj4n6jsmvkqqsvb90ili7.estate.	3600	in	nsec3	1 1 0 73 16IA7TN71FE7D6MEIOBC0KGPPFFIQFGS NS DS RRSIG
160bghfpd5kfj4n6jsmvkqqsvb90ili7.estate.	3600	in	rrsig	NSEC3 8 2 3600 20250916153442 20250826143442 24168 estate. E5JSj8UYcyt2LI+fJLGXLHn4y2cZKytl4lpal4OvAjiu+0EfTlT8dIoc6OEr+gsBkmzBbd2XimyQ+dZVCSp/hMrHRlWmAhyFkyN6li56W4Wibr3Asr+CPT0gIlAJVXds7kl5RPCENnAe+HQPM+zz5q1t7D9zMqwcTWRIrL23h1M=
167.estate.	3600	in	ns	ns45.domaincontrol.com.
167.estate.	3600	in	ns	ns46.domaincontrol.com.
168.estate.	3600	in	ns	ns37.domaincontrol.com.
168.estate.	3600	in	ns	ns38.domaincontrol.com.
1688.estate.	3600	in	ns	ns1.sedoparking.com.
1688.estate.	3600	in	ns	ns2.sedoparking.com.
16ia7tn71fe7d6meiobc0kgppffiqfgs.estate.	3600	in	nsec3	1 1 0 73 19HJFJC5LBLOKURDPBIBA2A5OL2LIVGT NS DS RRSIG
16ia7tn71fe7d6meiobc0kgppffiqfgs.estate.	3600	in	rrsig	NSEC3 8 2 3600 20250916153442 20250826143442 24168 estate. ev2QyO5WZvSZmmHckmFUhXeT4yJF6WcJ0XjDXJJMCIxbFhMZ3n/3czqK2sDypKacKCvz2/lRkX3n3dbfr0MJs8D+6HesBZnHkfNqq5BmCBDxD2yOwOR/oXU9cwAu8l+7MEy3yNb91aOhL/8Vm8DCJ2pNRLSc3ORNtbbXcr8yYik=
1800.estate.	3600	in	ns	curitiba.ns.porkbun.com.
1800.estate.	3600	in	ns	fortaleza.ns.porkbun.com.
1800.estate.	3600	in	ns	maceio.ns.porkbun.com.
1800.estate.	3600	in	ns	salvador.ns.porkbun.com.
188bet.estate.	3600	in	ns	brodie.ns.cloudflare.com.
188bet.estate.	3600	in	ns	veronica.ns.cloudflare.com.
1927.estate.	3600	in	ns	ns.dandomain.dk.
1927.estate.	3600	in	ns	ns2.dandomain.dk.
1957.estate.	3600	in	ns	ns-cloud-e1.googledomains.com.
1957.estate.	3600	in	ns	ns-cloud-e2.googledomains.com.
1957.estate.	3600	in	ns	ns-cloud-e3.googledomains.com.
1957.estate.	3600	in	ns	ns-cloud-e4.googledomains.com.
1990wine.estate.	3600	in	ns	pdns07.domaincontrol.com.
