00772.academy.	3600	in	ns	ns7.alidns.com.
00772.academy.	3600	in	ns	ns8.alidns.com.
00775.academy.	3600	in	ns	ns1.1233dns.com.
00775.academy.	3600	in	ns	ns2.951dns.com.
00819.academy.	3600	in	ns	ns1.dnsip.com.
00819.academy.	3600	in	ns	ns2.dnsip.com.
008198.academy.	3600	in	ns	n1.xundns.com.
008198.academy.	3600	in	ns	n2.xundns.com.
00823.academy.	3600	in	ns	ns1.dns.com.
00823.academy.	3600	in	ns	ns2.dns.com.
008h1vgshcmsn05l3d2ut7jnn72h79ih.academy.	3600	in	nsec3	1 1 0 73 00HDE4AV3VQV6R5VKJOL9KCEQN2GAK3N NS DS RRSIG
008h1vgshcmsn05l3d2ut7jnn72h79ih.academy.	3600	in	rrsig	NSEC3 8 2 3600 20251022152207 20251001142207 21243 academy. jolbRLT2o1oStm+ErVXOMJYfT+/wLM7qQb81xGeUer6owzeuIHPPBkLLxWLQLKGVsfhowF9WhHPxr+0dIhHKsVbGtr7P06zZh/FtuT3kzn0HCX72mlfdKLik7iLf769g/ot6MnV5nQ1uQY/scGrDPmMqvo2XWAUB092xm5CIn2o=
00948.academy.	3600	in	ns	n1.xundns.com.
00948.academy.	3600	in	ns	n2.xundns.com.
00962.academy.	3600	in	ns	ns1.dnsip.com.
00962.academy.	3600	in	ns	ns2.dnsip.com.
00985.academy.	3600	in	ns	ns1.dnsip.com.
00985.academy.	3600	in	ns	ns2.dnsip.com.
00996.academy.	3600	in	ns	n1.xundns.com.
00996.academy.	3600	in	ns	n2.xundns.com.
00hde4av3vqv6r5vkjol9kceqn2gak3n.academy.	3600	in	nsec3	1 1 0 73 00MJVLBESORMBMNDGMH6CS6BJJD2D28I NS DS RRSIG
00hde4av3vqv6r5vkjol9kceqn2gak3n.academy.	3600	in	rrsig	NSEC3 8 2 3600 20251022152207 20251001142207 21243 academy. ki2Lu7rlsyfjh4jgQi5HZHNxMrkUgx3DCIytzh/Qx1wHzeI47a4Dp6XmX0sxWhz87KohEMnxKB2CXU7qVgFbQe/ms1Rudr9Ie0cBFml55y8YvMc7IehgOqymv8BL5wp6lNgdXmnY6N9NEXjbRI+hrpkNj8vANheGYntroHfkSkQ=
00mjvlbesormbmndgmh6cs6bjjd2d28i.academy.	3600	in	nsec3	1 1 0 73 00OJQAMQ9ABVNR8RAF0H8ONU3DDU28KQ NS DS RRSIG
00mjvlbesormbmndgmh6cs6bjjd2d28i.academy.	3600	in	rrsig	NSEC3 8 2 3600 20251022152207 20251001142207 21243 academy. TYAxl8C+LQi2jEizSeYwtfHN4ZFu3yZh1CKoru3DNzakOJn2N+aZD2JAWw6H04a68QRHSQGYmfYk0J6ESvB62H6vJmokX39qT5xomTLjjiaH9//NbuwGsYtlLaqNLuf/Eg2052CjnkdQANZRZxF1mHNLBAZu4yInfgoPo2BPx20=
00ojqamq9abvnr8raf0h8onu3ddu28kq.academy.	3600	in	nsec3	1 1 0 73 00PMIDNA9MHVU0B5EGU8T78KUA9K9J24 NS DS RRSIG
00ojqamq9abvnr8raf0h8onu3ddu28kq.academy.	3600	in	rrsig	NSEC3 8 2 3600 20251022152207 20251001142207 21243 academy. HzvkaK1VHcjMfcCZv9IrUb+hNgGPOUNNpbsz12XJYObfCTM6tkSLKpVUP0jys1Wx0a+OCCIiclSXied5BLhkoaRWZ9HZC6j6lsrZWrehqGTEKFbYoeMZq//xxWh6Dnx1mdDly46tW3gwv4IxzQv0tZ2EtlWBkTh/gac59QNSo5M=
00pmidna9mhvu0b5egu8t78kua9k9j24.academy.	3600	in	nsec3	1 1 0 73 0101I7LFI5Q3PPIH4571I3J5QQDJURBD NS DS RRSIG
00pmidna9mhvu0b5egu8t78kua9k9j24.academy.	3600	in	rrsig	NSEC3 8 2 3600 20251022152207 20251001142207 21243 academy. Wkxx6cpgzdKUV8v670WpDFzuwD9bIsVvt57l6QfHBYVig8HY7K5UnE2lMZlfgwuyc8emVBOAb4/8CzDwZOVpB2ap4GC/rzVBu9CbUELC0CzTB1GoPw835mJwkMylR9BV7I7E14eN7iujP5peocmTOPYNFHTjM0/XeQGII5ktiwo=
0100.academy.	3600	in	ns	dns1.registrar-servers.com.
0100.academy.	3600	in	ns	dns2.registrar-servers.com.
0101i7lfi5q3ppih4571i3j5qqdjurbd.academy.	3600	in	nsec3	1 1 0 73 01AFUST5HVAVLR3J7FSI1Q3DFJOU64HF NS DS RRSIG
0101i7lfi5q3ppih4571i3j5qqdjurbd.academy.	3600	in	rrsig	NSEC3 8 2 3600 20251022152207 20251001142207 21243 academy. AS+CuKiPafczCZWl5OodqmDiKVmF8cGB4T5dY5x22zV4eMabSDxjY3brRNSEAQggZU4UlKCx7RO6FA/0pNCBvwroF76OAXaFviGRivmRFyGG7ftVpbqtMv6LDKgHeOCI0nJpL6QAZA5N/dvXrF3I+y0t+eebgmgjjqMG/TABWc4=
01029.academy.	3600	in	ns	ns7.alidns.com.
01029.academy.	3600	in	ns	ns8.alidns.com.
01035.academy.	3600	in	ns	ns1.netsto.net.
01035.academy.	3600	in	ns	ns2.netsto.net.
01041.academy.	3600	in	ns	n1.xundns.com.
01041.academy.	3600	in	ns	n2.xundns.com.
01065.academy.	3600	in	ns	ns1.dnsip.com.
01065.academy.	3600	in	ns	ns2.dnsip.com.
010874.academy.	3600	in	ns	jakub.ns.cloudflare.com.
010874.academy.	3600	in	ns	ophelia.ns.cloudflare.com.
01098.academy.	3600	in	ns	ns1.dnsip.com.
01098.academy.	3600	in	ns	ns2.dnsip.com.
01146.academy.	3600	in	ns	ns1.dns.com.
01146.academy.	3600	in	ns	ns2.dns.com.
01180.academy.	3600	in	ns	ns1.dnsip.com.
01180.academy.	3600	in	ns	ns2.dnsip.com.
01182.academy.	3600	in	ns	n1.xundns.com.
01182.academy.	3600	in	ns	n2.xundns.com.
01193.academy.	3600	in	ns	ns1.dnsip.com.
01193.academy.	3600	in	ns	ns2.dnsip.com.
01198.academy.	3600	in	ns	n1.xundns.com.
01198.academy.	3600	in	ns	n2.xundns.com.
012.academy.	3600	in	ns	n1.xundns.com.
012.academy.	3600	in	ns	n2.xundns.com.
01241.academy.	3600	in	ns	ns1.dns.com.
01241.academy.	3600	in	ns	ns2.dns.com.
01248.academy.	3600	in	ns	ns1.dyna-ns.net.
01248.academy.	3600	in	ns	ns2.dyna-ns.net.
01289.academy.	3600	in	ns	ns1.dnsip.com.
01289.academy.	3600	in	ns	ns2.dnsip.com.
013695.academy.	3600	in	ns	ns1.1233dns.com.
013695.academy.	3600	in	ns	ns2.951dns.com.
01410.academy.	3600	in	ns	ns1.dnsip.com.
01410.academy.	3600	in	ns	ns2.dnsip.com.
01448.academy.	3600	in	ns	n1.xundns.com.
01448.academy.	3600	in	ns	n2.xundns.com.
01512.academy.	3600	in	ns	ns1.dns.com.
01512.academy.	3600	in	ns	ns2.dns.com.
01519.academy.	3600	in	ns	ns1.1233dns.com.
01519.academy.	3600	in	ns	ns2.951dns.com.
01548.academy.	3600	in	ns	ns1.dnsip.com.
01548.academy.	3600	in	ns	ns2.dnsip.com.
015487.academy.	3600	in	ns	ns1.dyna-ns.net.
015487.academy.	3600	in	ns	ns2.dyna-ns.net.
01552.academy.	3600	in	ns	ns1.dnsip.com.
01552.academy.	3600	in	ns	ns2.dnsip.com.
01563.academy.	3600	in	ns	ns1.dyna-ns.net.
01563.academy.	3600	in	ns	ns2.dyna-ns.net.
01585.academy.	3600	in	ns	a.dnspod.com.
01585.academy.	3600	in	ns	b.dnspod.com.
01585.academy.	3600	in	ns	c.dnspod.com.
01634.academy.	3600	in	ns	n1.xundns.com.
01634.academy.	3600	in	ns	n2.xundns.com.
01658.academy.	3600	in	ns	ns7.alidns.com.
01658.academy.	3600	in	ns	ns8.alidns.com.
01665.academy.	3600	in	ns	ns1.dns.com.
01665.academy.	3600	in	ns	ns2.dns.com.
01674.academy.	3600	in	ns	ns7.alidns.com.
01674.academy.	3600	in	ns	ns8.alidns.com.
01682.academy.	3600	in	ns	ns1.netsto.net.
01682.academy.	3600	in	ns	ns2.netsto.net.
01701.academy.	3600	in	ns	n1.xundns.com.
01701.academy.	3600	in	ns	n2.xundns.com.
01714.academy.	3600	in	ns	ns1.1233dns.com.
01714.academy.	3600	in	ns	ns2.951dns.com.
01717.academy.	3600	in	ns	ns7.alidns.com.
01717.academy.	3600	in	ns	ns8.alidns.com.
