0f1cornudevhrk5lm9uvf2oq5s1uq528.haus.	3600	in	nsec3	1 1 0 73 0FSB81K0RRL09CVES21CEOPEJF1H4JL8 NS DS RRSIG
0f1cornudevhrk5lm9uvf2oq5s1uq528.haus.	3600	in	rrsig	NSEC3 8 2 3600 20250922155936 20250901145936 38901 haus. DEfbKofhwaSMBH6HLpqao+6xLYtZlX/a2zXkQjflao0v5nOl1apLHTDQbNElMrwiyUIahbLL/EwUnP4MY9Ii7CtCKU64SeTrPhlxo3oeviJYxq9gsDIi3tXu/bbiMHb4A5qTC9e6Wk+03CyxTW9qGZ8m5uLEcUwLJBIlUD5pCk4=
0fsb81k0rrl09cves21ceopejf1h4jl8.haus.	3600	in	nsec3	1 1 0 73 0IRGNRA3OSUKTF104FPJ4PSGQBQK422H NS DS RRSIG
0fsb81k0rrl09cves21ceopejf1h4jl8.haus.	3600	in	rrsig	NSEC3 8 2 3600 20250922155936 20250901145936 38901 haus. A2azoDS+gB5whCPbZQf6oe/Kmkgfzj5J73w5ZJElNmVMYynPojS6TAqCaJpnSE9cYay72JFoP8htC3limQc5QQ0xCqA5C5UZplpdSVbSRDP3H3YuUWXA7lNymy0JKlc/cJbqW3T7z+JhULE4prfycokp+ku658raDlPan3v/9Ag=
0irgnra3osuktf104fpj4psgqbqk422h.haus.	3600	in	nsec3	1 1 0 73 0J7DH9UN0Q9OG6B1HFMO9V6MRN1JDIR3 NS DS RRSIG
0irgnra3osuktf104fpj4psgqbqk422h.haus.	3600	in	rrsig	NSEC3 8 2 3600 20250922155936 20250901145936 38901 haus. AiE8EgGvH5h8ky9+NrYf9cfNUVrh/7G3jRzYLMwpnxrg1ByRpxWjjWEkhKLL7WK4BXWsqLm5+7sI9EgPHTjF/5MzFQT7xj9Ffq7mzQKydQ1kyLr+oomCUb/BEbrN9rM6t1sJ3jfViWKvGKxvgGxPlZKpMpGfhPsJLUDMZo/0PNw=
0j7dh9un0q9og6b1hfmo9v6mrn1jdir3.haus.	3600	in	nsec3	1 1 0 73 0LJSRLJH9B9FJD0G64O8C4L3IH0ME0KL NS DS RRSIG
0j7dh9un0q9og6b1hfmo9v6mrn1jdir3.haus.	3600	in	rrsig	NSEC3 8 2 3600 20250922155936 20250901145936 38901 haus. a0VHZ8iswST/nsDS3vYMqGjaCIIzahgUj6LVMSyhZMddIT3qjsARM+V0tUrMu1zRnKUu+qpXfVbClN0GtNfepmAZl68CR/Xu02Bj37Sgvo8ArummXR0TMsAMoIOUS79c5Ub5FDBLUm4i9JeyBvNF3L+thhX8QLD0Q1K3jE65J/w=
0ljsrljh9b9fjd0g64o8c4l3ih0me0kl.haus.	3600	in	nsec3	1 1 0 73 0MVMDAKRPNLF2B8OICQN0THO851TDPKL NS DS RRSIG
0ljsrljh9b9fjd0g64o8c4l3ih0me0kl.haus.	3600	in	rrsig	NSEC3 8 2 3600 20250922155936 20250901145936 38901 haus. TxeFF3/Gd9pmsI4kmTLWjZxBa2mPEv3weCxZxXG2YZT2Dv6M2H+bDba8VHPzvWMP+1pdSR9tVRPoxmpxHsWU1K46TN4kqWIglO0w6ML+4LjG3KQIOsz1/v9H4qS6sfEV8g4a+SIkT/uAicO+mVWvJaIqIkoAzhyScB4WpTTMWd4=
0lux.haus.	3600	in	ns	ns5.kasserver.com.
0lux.haus.	3600	in	ns	ns6.kasserver.com.
0mvmdakrpnlf2b8oicqn0tho851tdpkl.haus.	3600	in	nsec3	1 1 0 73 0NC3Q5JMHMRDBPFDI94MUA9LVIG7EAJG NS DS RRSIG
0mvmdakrpnlf2b8oicqn0tho851tdpkl.haus.	3600	in	rrsig	NSEC3 8 2 3600 20250922155936 20250901145936 38901 haus. efZQP/LopcGlie8BBuyJb/zyNdbXjjIqBo5Drr2jA7hJ+LGskRo+E8R976xd8249HFW2c9VWkjvzQTfxuuAhgy9iVcem4A6e0GiBwDm+dokkmEb+DqIiokvrA9HXnsaAL79tFPIKkdmLvxcuhcmJ1tt9NJW6Y2sxCaucv0pHKBc=
0nc3q5jmhmrdbpfdi94mua9lvig7eajg.haus.	3600	in	nsec3	1 1 0 73 0OJC0E88A3VPI5RQ49LF5BG7MS1Q0GDV NS DS RRSIG
0nc3q5jmhmrdbpfdi94mua9lvig7eajg.haus.	3600	in	rrsig	NSEC3 8 2 3600 20250922155936 20250901145936 38901 haus. dBXSTxJYANRCJ3bQtIzc55b/eoA3hxcEFb76Rbw9FYSdklaDrGuzt5vflXqY4lkHr8FWGLJ+jv9/t6yH6kxLR82X4ZXDN8KoJ16oU4q/1DFXp6WT3MkxI7L2/s71CYKAwcXWyCy8uP0ZyjQhZRxSRkTceyFBZIFTnocWPkQ4y1s=
0ojc0e88a3vpi5rq49lf5bg7ms1q0gdv.haus.	3600	in	nsec3	1 1 0 73 0OOC9VBD38BF4I4FMAHIKK29MFLO2UIP NS DS RRSIG
0ojc0e88a3vpi5rq49lf5bg7ms1q0gdv.haus.	3600	in	rrsig	NSEC3 8 2 3600 20250922155936 20250901145936 38901 haus. FnIElGwE81UsCSz2QXwmoRMYc3kZkCgKMdrLGhjWnpyAR3Hq4r3PJqkqWWe/S1z2hjJLJ6xXSX7VTE3f6a36FTkzlDK8f9ztFMg6iyRisgrUJceR5fUFc5MyQXm3ApdmebnaSTAcSmnC+vlO6AaC0OVDgX6uAQSMpQgMd1AVPzo=
0ooc9vbd38bf4i4fmahikk29mflo2uip.haus.	3600	in	nsec3	1 1 0 73 0OUG358A38JC827HNOCAR5BO6K7ETDMC NS DS RRSIG
0ooc9vbd38bf4i4fmahikk29mflo2uip.haus.	3600	in	rrsig	NSEC3 8 2 3600 20250922155936 20250901145936 38901 haus. AHFxbZX4fHHUO714b8jFnveBE4PwEnRzsjPjbH43XAQKNip1haFvGFoGRUwBWqTPlEus2U+nqF0nOCzawWmnK+RPwSeQpdfCX87VEf2TRX+LqxXMeb+/7FdOeagV1fmR77mJFICLY547cI19FP4vLNfdr1k/gARcb1vssxrSOD8=
0oug358a38jc827hnocar5bo6k7etdmc.haus.	3600	in	nsec3	1 1 0 73 0PNE6OCQRJVU3PSATI3FORMI4KI610AE NS DS RRSIG
0oug358a38jc827hnocar5bo6k7etdmc.haus.	3600	in	rrsig	NSEC3 8 2 3600 20250922155936 20250901145936 38901 haus. EcaKYix27BTZcmnVOipfZrxzD/0Xn4rK2+C9U/VPq4wmwOD6UfalbHSG4Hv0Rk0ByJvXzn5ZMXjp4J534lRWKTJexnmJPsZsahJmB6dbTq0Ew2w0JR2hjQpzr65FBkJ+V48lZVSKVxf5olMZ1/65xa5VTjUZ4S6z/71+SFyRO7w=
0pne6ocqrjvu3psati3formi4ki610ae.haus.	3600	in	nsec3	1 1 0 73 0Q5V0RM09O47Q9LM99L0AUR90R64761R NS DS RRSIG
0pne6ocqrjvu3psati3formi4ki610ae.haus.	3600	in	rrsig	NSEC3 8 2 3600 20250922155936 20250901145936 38901 haus. WL3tC9Xbhy0sebdZv3O9IZLziVdYM8mh2ciim6gzwUGPU95lVnM8bNurd7l3zLjVJp4DIw0tDNcqO22OnSPE27oDJb4eSwhPrpSxJq8GSwZNhELTlhA+acnlxiJTVKLqBdSIT3rOReioKztroXYDpdPFLFpKbAPtdnBfzTDp61U=
0q5v0rm09o47q9lm99l0aur90r64761r.haus.	3600	in	nsec3	1 1 0 73 0RI7J72PFCSB3FL1LD9008CL92I2DIKB NS DS RRSIG
0q5v0rm09o47q9lm99l0aur90r64761r.haus.	3600	in	rrsig	NSEC3 8 2 3600 20250922155936 20250901145936 38901 haus. aD3F0qvPz1nogus+1TWBIn7d7kdKP90c3ckPcmzMYcReejblEAy5rgNW3puOr6Cr0u75FFgCEgdEd6pg4gN0QWQ+KBIncSy91m4RVhrD8kn+y3uLNtplIE/D/x0AIwOmWwg/g9L/Cg8VHpwtj7gao/EmPEZtJxTHgD1KvGAhIVM=
0ri7j72pfcsb3fl1ld9008cl92i2dikb.haus.	3600	in	nsec3	1 1 0 73 0SKJEU4G19Q2O1SO6F34DBJ9000LBF4J NS DS RRSIG
