371196.gripe.	3600	in	ns	ns1.dyna-ns.net.
371196.gripe.	3600	in	ns	ns2.dyna-ns.net.
42.gripe.	3600	in	ds	2371 13 2 32D4DF03EAFF3952D6CD7B0FE84E993510A7C6982DD86A8D68962B2E014EBEFA
42.gripe.	3600	in	ns	curitiba.ns.porkbun.com.
42.gripe.	3600	in	ns	fortaleza.ns.porkbun.com.
42.gripe.	3600	in	ns	maceio.ns.porkbun.com.
42.gripe.	3600	in	ns	salvador.ns.porkbun.com.
42.gripe.	3600	in	rrsig	DS 8 2 3600 20260207154540 20260117144540 3183 gripe. HUuXNDxkr2Cy4nlNI1xCsSBlCvdQfKr393I6zd6JzLQYJLQnd3RnEyFosMVRjURn9nQ0f9vdemlaZ8nCBLlU9fXPU/PsNNknDxKK+XHEW5Uu58FBNrig40LRLTyBI3BSXyszmGPba1ac/aLiRE5pv232Z4kLET9Cs1tfdY8HHtQ=
456572.gripe.	3600	in	ns	ns1.dyna-ns.net.
456572.gripe.	3600	in	ns	ns2.dyna-ns.net.
4571ca0hnn313939sncu7ivl5o5tnhp9.gripe.	3600	in	nsec3	1 1 0 73 465RLT8TRGHEACKPQ5R0341FJ5UBJDOU NS DS RRSIG
4571ca0hnn313939sncu7ivl5o5tnhp9.gripe.	3600	in	rrsig	NSEC3 8 2 3600 20260207154540 20260117144540 3183 gripe. MFiUxO2gXZgrEpEKJDZqFRYYqA8hw5AeaGEdniFolC2eX8pkR7cO6OiZkLd1eSIsm9BaKzUZBZBjFMwlQQEo+JMgl8MQo7WX+UWqBFELwosDae9IQCV5naDScR4zDnSSUczs/6cDON44C8cs/SwbVZgDfsndGgBi9VS/TPkuJq8=
465rlt8trgheackpq5r0341fj5ubjdou.gripe.	3600	in	nsec3	1 1 0 73 4997C14SK5I4PP0UGG1PC73QMFRVAFS4 NS DS RRSIG
465rlt8trgheackpq5r0341fj5ubjdou.gripe.	3600	in	rrsig	NSEC3 8 2 3600 20260207154540 20260117144540 3183 gripe. js5h2hGiDWf6xyagixK6y5hHvcMDbJ3P4/eZbdqmdUWPNVntCSIn4iE+3ii4DDujufwO3srFe+XhSVnKeaBPgn+lwMKBwnVYIZLbKMGO1PSt4AAx8SMpfhS+in5/PRZDGpwYjm7Ktx8ZcntOTtxhkfUgw3P8a/BqoyZRGBLfL7M=
4997c14sk5i4pp0ugg1pc73qmfrvafs4.gripe.	3600	in	nsec3	1 1 0 73 4LOM4O9CFB50TNOH8I2UE6GMRF41P94N NS DS RRSIG
