1996.xn--io0a7i.	86400	in	ns	dns11.hichina.com.
1996.xn--io0a7i.	86400	in	ns	dns12.hichina.com.
1ccb.xn--io0a7i.	86400	in	ns	ns1.cnolnic.com.
1ccb.xn--io0a7i.	86400	in	ns	ns2.cnolnic.com.
2024.xn--io0a7i.	86400	in	ns	ns3.dns.com.
2024.xn--io0a7i.	86400	in	ns	ns4.dns.com.
22.xn--io0a7i.	86400	in	ns	ns1.22.cn.
22.xn--io0a7i.	86400	in	ns	ns2.22.cn.
222.xn--io0a7i.	86400	in	ns	ns1.22.cn.
222.xn--io0a7i.	86400	in	ns	ns2.22.cn.
301331.xn--io0a7i.	86400	in	ns	dns-ch.xinnet.com.
301331.xn--io0a7i.	86400	in	ns	dns-ch2.xinnet.com.
333.xn--io0a7i.	86400	in	ns	ns1.22.cn.
333.xn--io0a7i.	86400	in	ns	ns2.22.cn.
33333.xn--io0a7i.	86400	in	ns	ns3.dns.com.
33333.xn--io0a7i.	86400	in	ns	ns4.dns.com.
360.xn--io0a7i.	86400	in	ns	ns1.cnolnic.com.
360.xn--io0a7i.	86400	in	ns	ns2.cnolnic.com.
361.xn--io0a7i.	86400	in	ns	dns11.hichina.com.
361.xn--io0a7i.	86400	in	ns	dns12.hichina.com.
365.xn--io0a7i.	86400	in	ns	ns1.22.cn.
365.xn--io0a7i.	86400	in	ns	ns2.22.cn.
3721.xn--io0a7i.	86400	in	ns	ns1.myhostadmin.net.
3721.xn--io0a7i.	86400	in	ns	ns2.myhostadmin.net.
3721.xn--io0a7i.	86400	in	ns	ns3.myhostadmin.net.
3721.xn--io0a7i.	86400	in	ns	ns4.myhostadmin.net.
3721.xn--io0a7i.	86400	in	ns	ns5.myhostadmin.net.
3721.xn--io0a7i.	86400	in	ns	ns6.myhostadmin.net.
4000-000-000.xn--io0a7i.	86400	in	ns	dns10.hichina.com.
4000-000-000.xn--io0a7i.	86400	in	ns	dns9.hichina.com.
4000896528.xn--io0a7i.	86400	in	ns	ns.nagor.cn.
4000896528.xn--io0a7i.	86400	in	ns	ns.nagor.com.cn.
4000896528.xn--io0a7i.	86400	in	ns	ns1.dnsnw.com.
4000896528.xn--io0a7i.	86400	in	ns	ns2.dnsnw.com.
4001886789.xn--io0a7i.	86400	in	ns	v1s1.xundns.com.
4001886789.xn--io0a7i.	86400	in	ns	v1s2.xundns.com.
444.xn--io0a7i.	86400	in	ns	ns.nagor.cn.
444.xn--io0a7i.	86400	in	ns	ns.nagor.com.cn.
444.xn--io0a7i.	86400	in	ns	ns1.dnsnw.com.
444.xn--io0a7i.	86400	in	ns	ns2.dnsnw.com.
