01ds3moaenl6o7i0qbpmjj89qr5hk6ht.casa.	900	in	rrsig	NSEC3 8 2 900 20250913142912 20250830133153 36348 casa. pjG5jRWK1pBfadj2wBCUWuMCnuQ7WCnh7H1cHVdAg2uWtvpgFoVGA3cAjxa5ciP22N1nejwIizw/YxlSlCbA9Bk7na8JOFjYentFa6qWBLX5v5DRa8nx8MaLYWh/92+6bp95E0mhGlQhgheZovWPLnfPzaPsTiH6wnDikD1yy47P2JBUNvM1yDG8NtjOVs5ncyWbzKBQXGGLqirIr7UQiw==
01impl7buk64rrresiara0hd27kh7dak.casa.	900	in	nsec3	1 1 0 - 020TVSFNG3MG75FLD2V93EC5GD84G6SA NS DS RRSIG
01impl7buk64rrresiara0hd27kh7dak.casa.	900	in	rrsig	NSEC3 8 2 900 20250913024911 20250830220514 36348 casa. YZcuHdXm4+DYYmZwlXntZ80SG4HfItKa9AgS8xbFssGpHXGvxmRo/Bz7V/+7OQJoTWG5F+KeTDA886V0n1dYd5RN/i6Penf7zfoBr46SUV3NugQec78asF2oZeV/1MlbPOJh17WgHa4l8Fk605lnwvSDlnkJHyCwYvOUm81iCX8N5sGlcFBCPeerWLNvjFk7jGNOkvDWP2XT2clOIS6EHA==
01kitaslot777.casa.	3600	in	ns	heather.ns.cloudflare.com.
01kitaslot777.casa.	3600	in	ns	rex.ns.cloudflare.com.
020tvsfng3mg75fld2v93ec5gd84g6sa.casa.	900	in	nsec3	1 1 0 - 0221GLODO4PRFHTRJHLDS49NN3JTMMUO NS DS RRSIG
020tvsfng3mg75fld2v93ec5gd84g6sa.casa.	900	in	rrsig	NSEC3 8 2 900 20250913024911 20250830220514 36348 casa. fgdydE8hEZLi6UCF87/eofUpgNx9fvXlCcU8VPhPi3/dJlpidkgGGn432IMsSEGRgbfTtPyZGRJM45SAxYtiO1RN7xieEB/qs9OaB/09taTU+wBw578SQdvY6OwT5VFqhLR9loOE4phuuqB7o7p3kynzJ+KRRwKhBqK5DzjGtdo+xy/1EErsP4kqg+N5GYszvn7E3p6aPLs5OQuq9nF62g==
0221glodo4prfhtrjhlds49nn3jtmmuo.casa.	900	in	nsec3	1 1 0 - 02OMF523VKST048DL90KJEIJ1SJR7EHH NS DS RRSIG
0221glodo4prfhtrjhlds49nn3jtmmuo.casa.	900	in	rrsig	NSEC3 8 2 900 20250916064549 20250902054820 36348 casa. En0xFf76t8w8bFPFMfrp71a7ekVwBmdtad09oZRwUB3xj67MXXyjoY6aVeKL8upzYZy8ZArAxp9/adGZ67ONgspX3Ivn6NgE47lfsWFSu/CWO8AfDn8NW/bGCI1znux/qIs3RHFCng4SriCNeNiUgxzKsD1eJJSdS+RIerTwgtNa2khxT0RY8LsMlVsbYDSwGvwJBHf+TOga5yDmGM0FBw==
02omf523vkst048dl90kjeij1sjr7ehh.casa.	900	in	nsec3	1 1 0 - 037ROP1C0KK5BBILA4V07OSAOEQ40U3D NS DS RRSIG
02omf523vkst048dl90kjeij1sjr7ehh.casa.	900	in	rrsig	NSEC3 8 2 900 20250913230130 20250830225531 36348 casa. c9L+dO1Y0h+FLmwDS9jAkMB9MAqG8vahpZ3b+QfOuIXRglAzK3Jz5DsmvjEuKeToDbTU2P34obtGz5z1o4uUzI3bwFiii676iMoQzX3kEyTBXBSlC8K76PgMNyj5dP8hUezUmQ2g5Wus17xS2fmzhCRR8r+At5z9g3pXqHsJxV4C4oKx9BEpglj9wOX68OUeEI7z3wKqZVyOsdpyIZpTsA==
03235.casa.	3600	in	ns	ns1.dyna-ns.net.
03235.casa.	3600	in	ns	ns2.dyna-ns.net.
037rop1c0kk5bbila4v07osaoeq40u3d.casa.	900	in	nsec3	1 1 0 - 03BPK017O9V48HM2KJ23US4C897UADTE NS DS RRSIG
