place.	3600	in	soa	v0n0.nic.place. hostmaster.donuts.email. 1757034845 7200 900 1209600 3600
074iavu1odptvtt405h5bnhkltfqq9g2.place.	3600	in	nsec3	1 1 0 73 07H2UB9IQ12UALUOJ90E2P5KLSIPJ5LN NS DS RRSIG
074iavu1odptvtt405h5bnhkltfqq9g2.place.	3600	in	rrsig	NSEC3 8 2 3600 20250922152622 20250901142622 65154 place. IjvW9Mk/vIj+c4lUgxWSuHsksOQXpsFc6l+07xN8sOwW/pAhCK42jjhyhbmmAGvGE5qe1pL4VPkVyQL0KN1qaLBY9b/C3pD6xVIzUXdyd5jffntk3U0SkdSbibZ9jHsnqFLJLSsk2tg3DGAKsVf3vvqiGvkAH3gV5Q3wncY7u/4=
07h2ub9iq12ualuoj90e2p5klsipj5ln.place.	3600	in	nsec3	1 1 0 73 0ALMTKVITM55JLUIT2SMPBJ7NUIHD4NJ NS DS RRSIG
07h2ub9iq12ualuoj90e2p5klsipj5ln.place.	3600	in	rrsig	NSEC3 8 2 3600 20250922152622 20250901142622 65154 place. c1GiR3/IdiNV1y2xnQ66Ea62f5QHaECFrnhxBVyetHCK9SDJuHM9xqdmTWzUJKJ+3NK0GC2dFUyEG1MLQOQ3zJEZ1XRs6mbcGLKRaxCdHZTVmNb4ZRUJppEgZJTq38cMylrhCudhRzQD3T92GxAyqYoJxLN28uooT18laEL2Cx0=
0almtkvitm55jluit2smpbj7nuihd4nj.place.	3600	in	nsec3	1 1 0 73 0COEPUBR5G2A8JLHSOQL2654HAUPDM20 NS DS RRSIG
0almtkvitm55jluit2smpbj7nuihd4nj.place.	3600	in	rrsig	NSEC3 8 2 3600 20250922152622 20250901142622 65154 place. IA86SJ63KHSYdi7b0/eVw93Lx+2i+IwRreQAaIDMVWkNJ+o6GBbZAnJSXWSMzZwrtxC8SZMiraJ9m8KwR1ma7CFXLycQiIeYskh8YCsU6uaBT9zSU2ZtGio7XvECyyxsg6snHJeweUMk0/Ua/V7fZnRiXI0jaD5YvMH6N+/G41Y=
0coepubr5g2a8jlhsoql2654haupdm20.place.	3600	in	nsec3	1 1 0 73 0F4LNBBIC3DP9I4RC5QSTAHOP7D3JV3O NS DS RRSIG
0coepubr5g2a8jlhsoql2654haupdm20.place.	3600	in	rrsig	NSEC3 8 2 3600 20250922152622 20250901142622 65154 place. VJKO28TeDMepS38gT70SRKiLLO9t5xiYzZ+Nl5OHPZ83UW/1BHlig8ELn14zFwcc91pVv5vsuAalN3GTiSXNVumkLLaFFpdDQw57Q401xxdnrhzVibm9KSHYRzGlYpszrjqwIN1cYzENGFwONcmBPvWqMD8zKPk1nJhWL9Z1ww4=
0f4lnbbic3dp9i4rc5qstahop7d3jv3o.place.	3600	in	nsec3	1 1 0 73 0FE8TH2LLUS5KEDCEF3EDB2KGDUGLMB2 NS DS RRSIG
0f4lnbbic3dp9i4rc5qstahop7d3jv3o.place.	3600	in	rrsig	NSEC3 8 2 3600 20250922152622 20250901142622 65154 place. j04snVJVJFtU5VMIInbG7vCJq1POqeUGRXHFbQSnnXkxcsXofZgJ1sjXl9gN69t+99O6MS0ugtMEpIgSNIiwdG2moW2Z/IDPU6ob/ZWZ0iPR2mENlpND5XSm5KYY2wOSsQLujjHOFo0Ne+8O7xe01gOPuNzzPJ6XKoQh5yK6btk=
