place.	3600	in	soa	v0n0.nic.place. hostmaster.donuts.email. 1757034845 7200 900 1209600 3600
814imeusditomc05rujkc3jqbbr16063.place.	3600	in	nsec3	1 1 0 73 81GAA2KDF9RSUCAH857D3N9H74N567SP NS DS RRSIG
814imeusditomc05rujkc3jqbbr16063.place.	3600	in	rrsig	NSEC3 8 2 3600 20250922152622 20250901142622 65154 place. LkVI6VctWZXdIGH/0BR8E47NpYxzI0tBt2be80bJ4QRTkKs2fhC5SgBBWuULPQqQaTMq2HlaTiTKONI2AMU2AM37id34R3/PdVG96UGY5SnGcwDq8e4Byl6P3juKJxzyGxH47HhMZEM3fQSaN/Pfiq5+kkoYgV4hq1RItT4jQzc=
81gaa2kdf9rsucah857d3n9h74n567sp.place.	3600	in	nsec3	1 1 0 73 81NCMVOPAAGE42LOR6QUHK9B5QVEDEG1 NS DS RRSIG
81gaa2kdf9rsucah857d3n9h74n567sp.place.	3600	in	rrsig	NSEC3 8 2 3600 20250922152622 20250901142622 65154 place. Rt8YvNSktMeG5xcGcCZP8x6XZtUygbW0V7+qiUiswEwj3BWgHxxKHlQiVgSe/eWhGpXnDUgHMryFj5Hpr5nF/fJhD2RqdcyuOh1exC9VwAXz7+s0mkBvi2NjdHpJkisYQuGInXpL6kwZ7rcE+nt1KzVAX/vae+ZcTEgVFoIxV0k=
81ncmvopaage42lor6quhk9b5qvedeg1.place.	3600	in	nsec3	1 1 0 73 82EUDRPNMOBOVKS0RBTSSOA8R7Q9S9I8 NS DS RRSIG
81ncmvopaage42lor6quhk9b5qvedeg1.place.	3600	in	rrsig	NSEC3 8 2 3600 20250922152622 20250901142622 65154 place. niaL53EQoP+gRsvLABOmihvSFD4AyzJs0kvtQb5z/ojOncGU60wTd0fTfWJDB689xKfkrwSA+7XeNvpCvIaFBHu3B/ewriZlRLPy8WeYultdsO48Q/fepeMVHv92NNWyGUTsjBitSOEdrik4YZDKXE2u84f69s4VoH4PzQT+I5I=
826170.place.	3600	in	ns	a.share-dns.com.
826170.place.	3600	in	ns	b.share-dns.net.
82eudrpnmobovks0rbtssoa8r7q9s9i8.place.	3600	in	nsec3	1 1 0 73 83T5J4VECAKLJKEUH128F2A72K3KQ53B NS DS RRSIG
82eudrpnmobovks0rbtssoa8r7q9s9i8.place.	3600	in	rrsig	NSEC3 8 2 3600 20250922152622 20250901142622 65154 place. BtDGLORc4WliVZHSqQEX3lyANTB0hkZWSX/mvC3ocFxJoJXMBleV8dMekskQnNk2jxRh1lwJPcueKiClEXixhOndVNNg+lt1FAv22PK6cO29kHvnEqLHq2hwnBq+XT7TE/Jx9+J0fvIytkMLI3fES7nDdpLxUf+zyjgLBJVRgWI=
82market.place.	3600	in	ns	ns1.globaldomaingroup.com.
82market.place.	3600	in	ns	ns2.globaldomaingroup.com.
8333.place.	3600	in	ns	dns1.registrar-servers.com.
8333.place.	3600	in	ns	dns2.registrar-servers.com.
83t5j4vecakljkeuh128f2a72k3kq53b.place.	3600	in	nsec3	1 1 0 73 84M76GH610M8K3RTC7B38Q01LHMH2U5K NS DS RRSIG
83t5j4vecakljkeuh128f2a72k3kq53b.place.	3600	in	rrsig	NSEC3 8 2 3600 20250922152622 20250901142622 65154 place. ShEy63AetqRgsgXcy08I+jtKG6QdEb3tqAkdG54FD7NaxTiJxVGcLh3J1M2QqhYv4lHdrQ/eTBKdZiSaQPLtod13sscABIIa1KSGIVUXJFywGtpf3Jva4kr6DYqlKZKJat7rfvUO8YWiKOxNezBMabnIy73UbcZyzlG3NG7Wot4=
8481melrose.place.	3600	in	ns	dns1.p04.nsone.net.
8481melrose.place.	3600	in	ns	dns2.p04.nsone.net.
8481melrose.place.	3600	in	ns	dns3.p04.nsone.net.
8481melrose.place.	3600	in	ns	dns4.p04.nsone.net.
8481melrose.place.	3600	in	ns	ns01.squarespacedns.com.
8481melrose.place.	3600	in	ns	ns02.squarespacedns.com.
8481melrose.place.	3600	in	ns	ns03.squarespacedns.com.
8481melrose.place.	3600	in	ns	ns04.squarespacedns.com.
84m76gh610m8k3rtc7b38q01lhmh2u5k.place.	3600	in	nsec3	1 1 0 73 84T0MOH2CDM5TF9ECKDGHRN3V7V0QKDR NS DS RRSIG
84m76gh610m8k3rtc7b38q01lhmh2u5k.place.	3600	in	rrsig	NSEC3 8 2 3600 20250922152622 20250901142622 65154 place. aeaF8wY2F3Cc8FO4NP1nwoI0QhkL3cdKJWWd5iMI+61V49XmEs5CLDGxpGgobQKws9piW2pSlIeDWav8ozd/xVX4uZCxltZ6+Ihvu66NfcmE5E0YuwUhPT0W2VlLNBdBkhYrBc/6HvxoxiXYVJ4PC/ow53ukeMxQlPHVoFwKsOc=
84t0moh2cdm5tf9eckdghrn3v7v0qkdr.place.	3600	in	nsec3	1 1 0 73 85Q09RM0PV8D9UNVULIHQP66OC7DM1FF NS DS RRSIG
84t0moh2cdm5tf9eckdghrn3v7v0qkdr.place.	3600	in	rrsig	NSEC3 8 2 3600 20250922152622 20250901142622 65154 place. kHs3/8dfXyFE9w4VXu+dZbRUQwB4TQGRV3tqYsCqlq/y4kEEBQhhwyRkAMYXfPhZJHHm3L8Ax/8Gfwe4UFKIUB/Y/6OaymqCHpyR5CaOrdSourwrBymskJimGzIA0T6RN2J3tLP7GBvYwQfjfQNTJD8fQbwMs2O2YUpkav780TA=
85q09rm0pv8d9unvulihqp66oc7dm1ff.place.	3600	in	nsec3	1 1 0 73 882U832S481PUOORCVU21BPUR28KBLSV NS DS RRSIG
85q09rm0pv8d9unvulihqp66oc7dm1ff.place.	3600	in	rrsig	NSEC3 8 2 3600 20250922152622 20250901142622 65154 place. iL7h5vi2uIxwCSewqpI+ulfo24vmw5jAbvpu2OmcuU2hZKjYmr5UTYxA1fE6xrekzgTtE4QB9xhYoZgn981vOjI1gnv9pIqla297bMLAt8dDCA6aj1qVHLsgGUlFkZpwryhMjlYROS1fBfQ325Z05h0x2E4tlcA9qf6uJwseOJQ=
874520.place.	3600	in	ns	a.share-dns.com.
874520.place.	3600	in	ns	b.share-dns.net.
882u832s481puoorcvu21bpur28kblsv.place.	3600	in	nsec3	1 1 0 73 88HKU6QVT8F74M4GRK0K815B7UEGEEBS NS DS RRSIG
882u832s481puoorcvu21bpur28kblsv.place.	3600	in	rrsig	NSEC3 8 2 3600 20250922152622 20250901142622 65154 place. EtPyq6vy0ayUlj5EPwydc26zcaarp7wpo5G0ct8mz+TtV+1MfPhMH3VT//zNBw3LmW/lRrBcvzYSrIa8qN4mT7Twbf/aa8IKbxjQ51q2TYlPzhjsmxFkku5NaIlq+ehaPJ9uqfQjTBqSYR2uTJaZrs0xqm6NdQn7yyYspaS9h9Y=
888.place.	3600	in	ns	ns1.atom.com.
888.place.	3600	in	ns	ns2.atom.com.
8888.place.	3600	in	ds	38277 13 2 A986B3D1AD994ABCB175224FEA9A200F028944FA43A55F9C89C308FAE7EC7500
8888.place.	3600	in	ns	ns1.sawsells.com.
8888.place.	3600	in	ns	ns2.sawsells.com.
8888.place.	3600	in	rrsig	DS 8 2 3600 20250922152622 20250901142622 65154 place. aIY0kkheefjyf8wKTncqmn6+2/ZOvrllB4pxOQ7VJCRbr+JSObNZ53ff4IVxm524v3UHmoq+2021gAqbyzOWu+FIpV+Bic7I1OE3b1gwKCYU1F9tmrqozknFBTum9yy9jyFd1GGFprwdJMYtd4EcLY0LNPgvP0jDyOX+xBa5+2Q=
88clb.place.	3600	in	ns	dns101.registrar-servers.com.
88clb.place.	3600	in	ns	dns102.registrar-servers.com.
88golden.place.	3600	in	ns	ns49.domaincontrol.com.
88golden.place.	3600	in	ns	ns50.domaincontrol.com.
88hku6qvt8f74m4grk0k815b7uegeebs.place.	3600	in	nsec3	1 1 0 73 88QPH06D0LHA8RE6TJ95M200KQK0ID2A NS DS RRSIG
88hku6qvt8f74m4grk0k815b7uegeebs.place.	3600	in	rrsig	NSEC3 8 2 3600 20250922152622 20250901142622 65154 place. jAQODTnxI2xjKga+fQsGOhAEreb5R4nZcb8Z434Y2YiVm4L+65jBq5g8glECDd/F6DbJLP0u4UCaXdrW6epfB8usaT+bwF2D+M3NV+XH8jE7ugxIA1vYO2cqkA4A0SwuDCjqKnfubqFwZAJPtPSJRKcYRHXoy9SIa8AdNlaPlBE=
88i.place.	3600	in	ns	ns03.domaincontrol.com.
88i.place.	3600	in	ns	ns04.domaincontrol.com.
88m.place.	3600	in	ns	ns07.domaincontrol.com.
88m.place.	3600	in	ns	ns08.domaincontrol.com.
88qph06d0lha8re6tj95m200kqk0id2a.place.	3600	in	nsec3	1 1 0 73 88RD8RK8QHBQ8UL62O4U4KH6OLHLR6NN NS DS RRSIG
88qph06d0lha8re6tj95m200kqk0id2a.place.	3600	in	rrsig	NSEC3 8 2 3600 20250922152622 20250901142622 65154 place. H7x+HX4hjxUgA9th/Tiqmu1mVheEr6JAsSMoKssaXE+/XKL0YD9UPJPWJg511ApZwK36N8t0h8Lixwzi5Hc+5srn3gUzs8eJzxMJ3oVoqDjZxX9IIxXWqcB+73iXI7v277UWs6RBouRjd0zi1fZa6B2BgMorZ+qTYcVH76VcCOU=
88rd8rk8qhbq8ul62o4u4kh6olhlr6nn.place.	3600	in	nsec3	1 1 0 73 891PUIC0V5AMLO06PM96N44PO52U3331 NS DS RRSIG
88rd8rk8qhbq8ul62o4u4kh6olhlr6nn.place.	3600	in	rrsig	NSEC3 8 2 3600 20250922152622 20250901142622 65154 place. mV2uTyMS2zbEgl4PlJU7C6wdN83rTN0hZPI83NA8PklijB9QCPVlec2WtjfbBnvM71dnqzgPbfk8csPr8/pm57BsDrKECWXCdPmfi29WgPFMGJ/3LHhSAapTATh7p1o4LQQd7cPjNKU3zc2YWZ6GqzuHmFEB585VSne2dyW5hGM=
891puic0v5amlo06pm96n44po52u3331.place.	3600	in	nsec3	1 1 0 73 89ST98KPF5FCF92T7OOC4SU5B45Q4FSH NS DS RRSIG
891puic0v5amlo06pm96n44po52u3331.place.	3600	in	rrsig	NSEC3 8 2 3600 20250922152622 20250901142622 65154 place. mLpNtwB25ZVFetIXFuZ07SZ/lIhB+jxlMixGHdLEaGXRPE18gWXhwXBdTQr+2V43JabO9i1FIGYAaaPV1drOZWvlibME5vM2sCa1hF6kj501sw2NOeCclOChD8Yug8mZGgeUzC7qL6m5st1cWSoBuEfLcgCOPVsv6N6oN3zy60g=
89st98kpf5fcf92t7ooc4su5b45q4fsh.place.	3600	in	nsec3	1 1 0 73 8AJTBR6EQM4TT87DTMKD8NPHUU9SLVB3 NS DS RRSIG
89st98kpf5fcf92t7ooc4su5b45q4fsh.place.	3600	in	rrsig	NSEC3 8 2 3600 20250922152622 20250901142622 65154 place. nLusg1Pk+cRmWXxyRHGP1iKacWSyGPZhQ4JVC1GUtuevYsYUiP4BNI3N5SyHyuF6/6NODY3whTGxbWmoGdP4lD1GWUVoBfu4jy5ZGebNDvRELc92+9JJjtNSGBWw28PAYA0cZJXi+Bek7E2zURTYn19II9BJpxh7hixJmx/Vy4s=
8ajtbr6eqm4tt87dtmkd8nphuu9slvb3.place.	3600	in	nsec3	1 1 0 73 8B184299TP13D8DI3PITS637ONBJSM2R NS DS RRSIG
8ajtbr6eqm4tt87dtmkd8nphuu9slvb3.place.	3600	in	rrsig	NSEC3 8 2 3600 20250922152622 20250901142622 65154 place. kOytnCkZakZ4PE2wUGC1aQIh6D/XTuUhJVltNsHowlAHkIjdJ2PYouHe4qCgzo1c508ag03eZvdobyIPtBccorVJcDrOjjHeCOLjlJ5qKXUmuspE5udyhxH8Ltasp4WJ7UMutYmVycNYa0uIuumV5SxJeBwxY/MlXgnl+XRqsGI=
8b184299tp13d8di3pits637onbjsm2r.place.	3600	in	nsec3	1 1 0 73 8BHQENHU3Q466HDQJT2TP2VV2H7SRLQP NS DS RRSIG
8b184299tp13d8di3pits637onbjsm2r.place.	3600	in	rrsig	NSEC3 8 2 3600 20250922152622 20250901142622 65154 place. ArPZStiAFPnHiQbHSy5jjuaMBQNZj2fZxd+eIy23j91lVnwWPyS2Hwd9Ij2sVkOCch2hcll1e7a+ThEKg1WHVl0q0vk9kq3CAl7u1R8LGLd7yLrgwUFbIvFNg7WbpGQkjyS9czLZp3Cp+0g1T+9jsjy1OsDDC9ItBF67lZOO/Dk=
8bhqenhu3q466hdqjt2tp2vv2h7srlqp.place.	3600	in	nsec3	1 1 0 73 8BHSJCPU02205BAEC57IUFG8H5IQP3ES NS DS RRSIG
8bhqenhu3q466hdqjt2tp2vv2h7srlqp.place.	3600	in	rrsig	NSEC3 8 2 3600 20250922152622 20250901142622 65154 place. oiYwKKEePbb3epWn2h72Sqt1YBolPisBtq/1sXt5OjIKZ4JDmlGuLbZORY2t8CNLyAuxeoiVQOUZ8yuh9A2kM4d6EhKF+J0UFj17RE2HS7thIaf5lgmJRf/hXPdNs0giaYRMhVCWZ/icgF8OxWI+2kDsyvuPstbz5zHuHjTVnyg=
8bhsjcpu02205baec57iufg8h5iqp3es.place.	3600	in	nsec3	1 1 0 73 8BQ0J8UUA5AC8GPJEPVR0KDOKENTLU90 NS DS RRSIG
8bhsjcpu02205baec57iufg8h5iqp3es.place.	3600	in	rrsig	NSEC3 8 2 3600 20250922152622 20250901142622 65154 place. Z4gTQ9Tfvw5oXfPt9OPJlqVzQDrNoLwdAeP1tEZDdwQ9ORiAk2Qw9lMIWFykuyBB/kJRtQc2Cp1EiWVbn2FtwCM5+cATtAv63I6Zo8gjBOUFVeTSfZ7Eu58LuMDWBOlYvjfkpsuol/BlKM2vG2zfyjwGCaN4BF1PmyWmh9bvjv4=
8bq0j8uua5ac8gpjepvr0kdokentlu90.place.	3600	in	nsec3	1 1 0 73 8D2KGEDMO39OQTMIAU697ONTEN17IMFE NS DS RRSIG
8bq0j8uua5ac8gpjepvr0kdokentlu90.place.	3600	in	rrsig	NSEC3 8 2 3600 20250922152622 20250901142622 65154 place. hbFt3OquGV6Qgxtl5sxIxLV80mrTU1OshTpyDRt36v7kgIWukyYVvDQx6Y85+NLwoqU67R61U4uJGMO/3aYOHGUBcgTZCx4cxp4p5ahYASmfhICW+WGq1Tg/HvInJGwqOi8/mEnwc6Tg/oMPZOWWuoAkj1/IBeF1aqt/vdCaKqE=
8d2kgedmo39oqtmiau697onten17imfe.place.	3600	in	nsec3	1 1 0 73 8DES3NCFBFG5VR15Q37NJUQDPC8KLHCF NS DS RRSIG
8d2kgedmo39oqtmiau697onten17imfe.place.	3600	in	rrsig	NSEC3 8 2 3600 20250922152622 20250901142622 65154 place. nznJjtpx7IZN+8mvLX6EZ2jxF1HXJ03Ib5mPat9bV7ONITE03uT1oTrTDZC5/flIPyMA3hZ7ruhOpZx25V2yULKF1U+4Bo7VXcZHXWCk9G+ayUcE1/mCr3ac+Pt426QP+ZrATm67qI8cx6Nx8hhdRgjQsKu7Ov8xydE3+W7bq+I=
8day.place.	3600	in	ns	elijah.ns.cloudflare.com.
8day.place.	3600	in	ns	sneh.ns.cloudflare.com.
8des3ncfbfg5vr15q37njuqdpc8klhcf.place.	3600	in	nsec3	1 1 0 73 8F3CDMR4EAVMJAQ3H5TQBAIB5FF6QK46 NS DS RRSIG
8des3ncfbfg5vr15q37njuqdpc8klhcf.place.	3600	in	rrsig	NSEC3 8 2 3600 20250922152622 20250901142622 65154 place. BO/+ZnrFyPTpfN65YIcO0MPO5fjAf9Lc+6WZ9+xiVOeDnlmsAZsN5go51pLTVT7LFDgLDeHCPUlKfst/jeOA3l6rkXhxlQNWbQCPuhERG+Z/ndJJlJ9fO4yqlOxcTKa+b7vTOZISOf2h6/dWbfrSTALH10qLLHXSqVnNcB12n6w=
8f3cdmr4eavmjaq3h5tqbaib5ff6qk46.place.	3600	in	nsec3	1 1 0 73 8FCQO2I9NMS8ODMJMUTP4IQITLOQA36J NS DS RRSIG
8f3cdmr4eavmjaq3h5tqbaib5ff6qk46.place.	3600	in	rrsig	NSEC3 8 2 3600 20250922152622 20250901142622 65154 place. eacOyK6j62YufroBBwX/9emvlSifZ7082Bfhrcxa93tRvzXGkUHqhBFfxODentHfBXzx49KrSy7q3v8K50ReEXOB66UiM8nXP8bsIJuGhyIGyzjqJykNMMHtJHv3JxMOEljFyUaCwH3Z4m67qQvhXGnaf1UGfXBc7Uqfw3V21PM=
8fcqo2i9nms8odmjmutp4iqitloqa36j.place.	3600	in	nsec3	1 1 0 73 8FPQVQVM47G3IIG59LAUTQ4Q1PG3E1F0 NS DS RRSIG
8fcqo2i9nms8odmjmutp4iqitloqa36j.place.	3600	in	rrsig	NSEC3 8 2 3600 20250922152622 20250901142622 65154 place. dMHY8sKDK1BotEcrKFV0w9lBtVYbFe+6V5dzuL1q4h/TbbCPLHhDofEXNDs5IgkGtRIDTwlewNBaKVuRI1KhwZy4dIu9IjLvrNa5WTxi+vEGj+ru77SD3yFN964IDruDiNg+FyFETe6w9JHbEmfCl40FhXnmf+u5Gkec2L2Jd8I=
8fpqvqvm47g3iig59lautq4q1pg3e1f0.place.	3600	in	nsec3	1 1 0 73 8H5RB627CO99PONFMFRIADP3LCKAC7SA NS DS RRSIG
8fpqvqvm47g3iig59lautq4q1pg3e1f0.place.	3600	in	rrsig	NSEC3 8 2 3600 20250922152622 20250901142622 65154 place. hgkdAXLYUH542QiSKECM0VvO1whvQyJ8SPXOk4Jepd8bPHSreMD6cTDO2jfzvE01DUSy2CJ6ianKrhxW77nqM3rr4QRkFTWkFwqPacTouDBuwTpz6tS5FtHhTeYcBaFP+eUCGuI8f3DH0eB69BjMHG6ZNvT8Sh7tIhyHJaFKqUs=
8h5rb627co99ponfmfriadp3lckac7sa.place.	3600	in	nsec3	1 1 0 73 8J4K5LEAIMPP4299F6RMDP8VP0PH4K93 NS DS RRSIG
8h5rb627co99ponfmfriadp3lckac7sa.place.	3600	in	rrsig	NSEC3 8 2 3600 20250922152622 20250901142622 65154 place. RBKjKNOMnRvQubkSeVNGgjKr46yECdwaRJFgvwpGTu7EqQHU8yyOa1ty9KnHVBdWTIeTiKlwWhSwhK1unCi45aWG39o5HgKHlYH6AFJphYUoy+26UpqaGfoqDdME0ArtMvCAL8ycNcBXvQ2JjS4x9uJPTiPe/7q781yZzaYYbXM=
8j4k5leaimpp4299f6rmdp8vp0ph4k93.place.	3600	in	nsec3	1 1 0 73 8JH1Q0J28QKO53BQ9N3AK8CBU1RDI6Q6 NS DS RRSIG
8j4k5leaimpp4299f6rmdp8vp0ph4k93.place.	3600	in	rrsig	NSEC3 8 2 3600 20250922152622 20250901142622 65154 place. UDb7bLM+BJFaePUCn1bAYh7RD7jtBdPaE7wYInpurrYkFuCxk/zBdyFiHzMmKhchPyeK01KH0nYL/3kSBK5WnAU7AlwYwa3ci9XZlRqldOP66KuZDC8OjoiNQk/Ty9PG6QaixF3ZGfKzozQwrTnper3AY/vA7OaOarNeDes6Mfo=
8jh1q0j28qko53bq9n3ak8cbu1rdi6q6.place.	3600	in	nsec3	1 1 0 73 8JNJLD8BHRMEH4U9UUU0PFKMLUI57478 NS DS RRSIG
8jh1q0j28qko53bq9n3ak8cbu1rdi6q6.place.	3600	in	rrsig	NSEC3 8 2 3600 20250922152622 20250901142622 65154 place. e8ky/L8ENWK+MOEO+EZG1kjliGMOgwVLVNGVlufY//Z8VGRUYzqbBAsicRvhC8Shh/QCq+QH3H7kT4BTyczr4qHz8iky0j1uH4tm3MwROSmwVlC7rw1VHAHtzR5PIuCFhAbym4Qia+um62TtkWjMb+I4D1WWNAEZ2qYk27zpm6E=
8jnjld8bhrmeh4u9uuu0pfkmlui57478.place.	3600	in	nsec3	1 1 0 73 8L31MIJ97E3VMPJ6EAQ6BGGF4GSBQHSR NS DS RRSIG
8jnjld8bhrmeh4u9uuu0pfkmlui57478.place.	3600	in	rrsig	NSEC3 8 2 3600 20250922152622 20250901142622 65154 place. MvCQ79e6Q0TaGACH48a5iwMAmQW1FUjgQbdSzYMpwWfYuJtKUHKovdcsSIpEGHL3OQXly7sWsbf62ZXeHHXMKfrQQMKZFJccthetToiD7t+FNYlUc3VEWGWHIM6y8TVqHV1q5btlZqWN41h6rCTVgCDGP/SHeZyMI2rP4jtsrNk=
8k8.place.	3600	in	ns	pdns07.domaincontrol.com.
8k8.place.	3600	in	ns	pdns08.domaincontrol.com.
8kbet.place.	3600	in	ds	30915 13 2 C8DBD17AA0FD4CBC529C168DE99E90DAB64938B77938366FDFC57B38881BC953
8kbet.place.	3600	in	ns	launch1.spaceship.net.
8kbet.place.	3600	in	ns	launch2.spaceship.net.
8kbet.place.	3600	in	rrsig	DS 8 2 3600 20250922152622 20250901142622 65154 place. d7M0ALg30+NJWqR+Y2bMTiATgA1CeybMnjYT8k2hUCSjvxAHVile4HEc32RL9gQeUHy1RlsqMFj6TaixnPt60oQm6rx9K/7kS7K52aicPk1W33wptRnEjuJd27JdLK1eRXlIFvAVzg5aFeQsqZwzRhbJBpU4ryC9TFFEIGiWJ3A=
8l31mij97e3vmpj6eaq6bggf4gsbqhsr.place.	3600	in	nsec3	1 1 0 73 8M0BSU37ELPC7EMAF099CSD8EEQJ4KHQ NS DS RRSIG
8l31mij97e3vmpj6eaq6bggf4gsbqhsr.place.	3600	in	rrsig	NSEC3 8 2 3600 20250922152622 20250901142622 65154 place. UOSlg/6UtxNZtoBCINyxyWvCv3rmow32ZOmRrDu466Tya7BQMex4o001cQZJpV9cauOE14V+y1ylv03CsqIu1vBwzBtcK6w2Uu6u2FhkCYiznrqbB10r/bFqsfMbU3rpykQC66W+3aQ/RKrc8Xt+57cAvpJca9k//CwnzE2lELw=
8live.place.	3600	in	ns	leonard.ns.cloudflare.com.
8live.place.	3600	in	ns	susan.ns.cloudflare.com.
8m0bsu37elpc7emaf099csd8eeqj4khq.place.	3600	in	nsec3	1 1 0 73 8M3Q0GAI5FTMT8THQL82RO5SDH4NALOF NS DS RRSIG
8m0bsu37elpc7emaf099csd8eeqj4khq.place.	3600	in	rrsig	NSEC3 8 2 3600 20250922152622 20250901142622 65154 place. kRsX/QgZvAJetmFV5TIU/YTtBIcmgSSty0gtLylhCCnYMv9fXD0vB9PTbh4Phl0L/tm8T9PCQi9uhWuUH0kdsxp5cDya/E2CspJgrQiGtDCdfykccnLEysUwdLfM7cSEMBDxJ12q+E+Mb6qYwy+FT2lUSv0LPRgQqlmfYtNS2A0=
8m3q0gai5ftmt8thql82ro5sdh4nalof.place.	3600	in	nsec3	1 1 0 73 8O19GA3DPFR0PB5AMK6N3F2JFGGU6K7H NS DS RRSIG
8m3q0gai5ftmt8thql82ro5sdh4nalof.place.	3600	in	rrsig	NSEC3 8 2 3600 20250922152622 20250901142622 65154 place. L/drF6LiKunR/52xqzuSyDMS0/Dt8xiLjGLn17H1RCbPB0/X+NNeKUZTM/0Mqo9P8zwW4G7w6tM7FfjvePnNPjPG/14TkfvLqD6B8YfbvZKFZ0vvPDA6K04bc0NCaRAe9sBZ0n3T4UhBwAvsZKRt/5EEOj4KsYnZrIF2qFAv65s=
8o19ga3dpfr0pb5amk6n3f2jfggu6k7h.place.	3600	in	nsec3	1 1 0 73 8OFM0F881PU440LAH2U56Q1LJIPUQ9VL NS DS RRSIG
8o19ga3dpfr0pb5amk6n3f2jfggu6k7h.place.	3600	in	rrsig	NSEC3 8 2 3600 20250922152622 20250901142622 65154 place. WblC+6yqsJKN3xb370vfvS2lu4WKMCWROCVIQ+NpKPdtz2R9nmGHGCVwJoxxBCygzbc8J+SdHbngVTh1keHhyOL1RSzq2ygqciLmguYvg9EfqkrVhs9AzdnHhu2I4TzRmZSxjiz3mRSgdm9vLQNKPS80zg9LihGrFOh39KY9ndU=
8ofm0f881pu440lah2u56q1ljipuq9vl.place.	3600	in	nsec3	1 1 0 73 8P01TO1OHM63M26V7OG9B580I6OU78IR NS DS RRSIG
8ofm0f881pu440lah2u56q1ljipuq9vl.place.	3600	in	rrsig	NSEC3 8 2 3600 20250922152622 20250901142622 65154 place. omt9o4w6hYEIp29saIq2Od14ywAIFsbxmhOq8pLJ1IFclJlLXNWNg3EsR4oWF3cR1zgWs7jBqcDEdHNdtzQ1QBvV2o893k/VX2e2MSgW2LY4s4pPvrGw0xlnyB7TtVlXA0oj0dXhTqTRP2sitZaC3eBrKMoew2dyeZhGNuX0sZE=
8p01to1ohm63m26v7og9b580i6ou78ir.place.	3600	in	nsec3	1 1 0 73 8P2LDA784FPR4M2651SD09CP07L9OFMR NS DS RRSIG
8p01to1ohm63m26v7og9b580i6ou78ir.place.	3600	in	rrsig	NSEC3 8 2 3600 20250922152622 20250901142622 65154 place. Z/ae/7lireQ0RGhRW1uNpE5WBPBm9kl1BvKPkkQBwO5x068ZXGHb8ABmTeaJBxxHfRQ4MzveYL514MaU1NuZNX/TG+oAsCDuiRVR9coyLqGqhi3XO527ZgT3FaL3XtgQzFNEU4ZjG7JaU3Oflj3gi4CzlAu16x5VcVgX6PnSJ9c=
8p2lda784fpr4m2651sd09cp07l9ofmr.place.	3600	in	nsec3	1 1 0 73 8P4DAVCTHTFV08P4Q2H3KGGL1SBDO4IV NS DS RRSIG
8p2lda784fpr4m2651sd09cp07l9ofmr.place.	3600	in	rrsig	NSEC3 8 2 3600 20250922152622 20250901142622 65154 place. q+JL05taMeLoSGELzOS/aPgIFtymV2yhJHXrlwfStdd5wvh0iNwjU+IgtvUocLcp8kYZIpEcuQJGvrzrgfokvDavyILuGrjzz+9IPiAxoUSXIgsbKeRpMMAyLO/2tVldtZX9G6Et/lqWuyk8tf5jsDPg9JEkOHO90qZHcpLP8X4=
8p4davcthtfv08p4q2h3kggl1sbdo4iv.place.	3600	in	nsec3	1 1 0 73 8PCV5CM0CODND364EMJG93O34CT427UB NS DS RRSIG
8p4davcthtfv08p4q2h3kggl1sbdo4iv.place.	3600	in	rrsig	NSEC3 8 2 3600 20250922152622 20250901142622 65154 place. jSdNEK6dVHTY/Vs/0yKzKWCg3sG1wKTnas0lLLFN84awnlDJUz504USM33eNWLPOyXR3nZu9fwdmJKbJv5Ls8OkPydBvnrQfc0Z4dh1VcmklKRqVdEjY0tUFE6HCbkJJIcxksiIFCIj8/84LDSuzTiPJNbUGzN7/xmynrNcYzCw=
8pcv5cm0codnd364emjg93o34ct427ub.place.	3600	in	nsec3	1 1 0 73 8PTFLN1HG2B916AT7KS8RVQHG31C83J0 NS DS RRSIG
8pcv5cm0codnd364emjg93o34ct427ub.place.	3600	in	rrsig	NSEC3 8 2 3600 20250922152622 20250901142622 65154 place. Xi8OcKuo9WvZpm5vdqsTBm5lqo46Cwd+x5LoI3itlUcQ88nUcgbAGQNuVU/J5fWDkofF8BmhbnXUM+hssumEQda1UmpOTnAupb+WemXltAtF1JXa2YsMxtDTCJ2YPy1LOMxLosa5EtDHyw2O7aOo0Y3uSdjkj6fULKQetlHQgaU=
8pm.place.	3600	in	ns	ns-cloud-b1.googledomains.com.
8pm.place.	3600	in	ns	ns-cloud-b2.googledomains.com.
8pm.place.	3600	in	ns	ns-cloud-b3.googledomains.com.
8pm.place.	3600	in	ns	ns-cloud-b4.googledomains.com.
8ptfln1hg2b916at7ks8rvqhg31c83j0.place.	3600	in	nsec3	1 1 0 73 8QG3FMFJGN81T7IG2L30C119UL5T4GO8 NS DS RRSIG
8ptfln1hg2b916at7ks8rvqhg31c83j0.place.	3600	in	rrsig	NSEC3 8 2 3600 20250922152622 20250901142622 65154 place. Tsx5xV1JLD+V9jG2D+cIGfWAVU1B/9N3ToBtn9G3nuFIJT3f8P/Mz6Ur0YVEU/qRQp6P/auJfpxj7YXG9VyjAjgddzNXGWA4S1l1fZt+ERm7P9IqnZ9VOYXX6UOkwBG+zU77Ky44i8K7Hj43MwaOr5tcEg7cb7+ZEvw63SWsQvs=
