09gc4m7pdppdqcgugeg0anahf7jb8a0q.fan.	3600	in	rrsig	NSEC3 8 2 3600 20260122153621 20260101143621 3159 fan. FYTyaPWP5RKsQ7wltv41VpqJ6o65da/TN6TK0f5VCBiGkEd3sLTR53fdBlDgWj1MvirBVUdHkhjpxHV4Gg4qsQ8TjlLJjaN7XFbrMZ3EYuhJfCm3MkGdQ65HC+eaiatPmw9dTZPufpbz2uBL+bKBl71ymYDcirPPOzqDJ1Q3AzM=
0d8tse5f8go2hi9kmshddj8ld7b3suhn.fan.	3600	in	nsec3	1 1 0 73 0F3377NR1K3V79HLAIUFUS2MRU5RVJOO NS DS RRSIG
0d8tse5f8go2hi9kmshddj8ld7b3suhn.fan.	3600	in	rrsig	NSEC3 8 2 3600 20260122153621 20260101143621 3159 fan. WMxIeeQbGCFKj+vc0B62PdXtA5gQcrEh+mH3vaJ6hS5dzanKIR+zKQnHQDiThNQTwt1wL+Iu3tOdyvl+oG+UYKsCnv8upnKNeTJqLfov2TxdiiYNlI5NfK3shZvdfrUC2Ld2OtjNJX18K8/uxHuBV3JBLJNBR2tG0fK3ZAinoJQ=
0f3377nr1k3v79hlaiufus2mru5rvjoo.fan.	3600	in	nsec3	1 1 0 73 0FQ9NAP944G5RBUF2V4VSMHCQOTDQDSA NS DS RRSIG
0f3377nr1k3v79hlaiufus2mru5rvjoo.fan.	3600	in	rrsig	NSEC3 8 2 3600 20260122153621 20260101143621 3159 fan. hT+fDNGIWK/AGsDyXUd6tBhkM59Skng1eIPIuwuyuyTDQiKOWXMCvajK5Zrgn/WUx8elbgQLMrLIEeJgRGzmIVMraSd+8ADLsXAUIN8d4+V663FNMQZSTsISWudO83DhjO5V/nAM27HQ7NDRxLlCMEgb2eEOWXHPOElbOMiH9ic=
0fq9nap944g5rbuf2v4vsmhcqotdqdsa.fan.	3600	in	nsec3	1 1 0 73 0G2NFAP8165PI5J7PT8UCLV69L0ROKDA NS DS RRSIG
0fq9nap944g5rbuf2v4vsmhcqotdqdsa.fan.	3600	in	rrsig	NSEC3 8 2 3600 20260122153621 20260101143621 3159 fan. FA72TczKp9arQGvQNuamHhE1ShPI/jeMP8LedPgcS7T9yjlgKrNCcbv3TonPDSTt1AVMa5ktBii8fuSoBUJlL0scPeG6oU3NOjnywLl61yMNbwIJ5jHllpocbJaH4lsLBLHQS/hfRJMOEk2pPkZOw07RL80XVFcxazbwJFIi9IY=
0g.fan.	3600	in	ns	ns1.dyna-ns.net.
0g.fan.	3600	in	ns	ns2.dyna-ns.net.
0g2nfap8165pi5j7pt8uclv69l0rokda.fan.	3600	in	nsec3	1 1 0 73 0GM9U1PH6NOHH86H0O2684VDGT39HB2U NS DS RRSIG
0g2nfap8165pi5j7pt8uclv69l0rokda.fan.	3600	in	rrsig	NSEC3 8 2 3600 20260122153621 20260101143621 3159 fan. GbsetrkhUEjhEVN+qczGDkd2MSOJjOxsymYoarAI5niO1fjh+TWYwsiLD0SUp3OfV/YzzSsnliwsMQVVTHVftjSSuRd2iP7DEBtE8/DhMElxjxCC08dcK6dy6tzzf0+Op5lLuHXstFbRMfp/k+/wpklM0Ea7sPcS4Ecgwtszlts=
0gm9u1ph6nohh86h0o2684vdgt39hb2u.fan.	3600	in	nsec3	1 1 0 73 0GVGA4DSUPF9OK0AJFAPSRTNG4CD3F5Q NS DS RRSIG
0gm9u1ph6nohh86h0o2684vdgt39hb2u.fan.	3600	in	rrsig	NSEC3 8 2 3600 20260122153621 20260101143621 3159 fan. WLQO/MSF2myR6Ne3UQIy0U3L3iATUqimCdKhcyJH6C197QsTlNEdngKKEGspg1hvGbYBJm70rn+/121dPbXSyimygnogwRoqgg9RmUWYcunJndsFzsp1eJv+a+ngRTWLLUetnhiTDYHXpPcwIrGMYdgAphLsfhr3kLcDOU44WBU=
0gvga4dsupf9ok0ajfapsrtng4cd3f5q.fan.	3600	in	nsec3	1 1 0 73 0I5J1T0ABPIV13SAUNJ8FGJR409HU80U NS DS RRSIG
0gvga4dsupf9ok0ajfapsrtng4cd3f5q.fan.	3600	in	rrsig	NSEC3 8 2 3600 20260122153621 20260101143621 3159 fan. uMDJO6NxITJWkcbLQCQeZQe4nq8oC+9Ih/YfjA430QoeLke2ncj33iRsrGtHuAci6Qq6Xwrn53qzyS3ULkZCoW5WJ5YCnTWRHNxIRjdy6pXucQN9vkt+DhTZfPtqowBTNDbx0IaSLxrUtMYxUf9DEeDCmMeckkZtaoNNaSbFT18=
0i5j1t0abpiv13saunj8fgjr409hu80u.fan.	3600	in	nsec3	1 1 0 73 0K85SEGP3JQIBLULNSK5BI1J6HLNALTE NS DS RRSIG
