01754.cool.	3600	in	ns	n1.xundns.com.
01754.cool.	3600	in	ns	n2.xundns.com.
01959.cool.	3600	in	ns	n1.xundns.com.
01959.cool.	3600	in	ns	n2.xundns.com.
01win.cool.	3600	in	ns	jessica.ns.cloudflare.com.
01win.cool.	3600	in	ns	jobs.ns.cloudflare.com.
020.cool.	3600	in	ns	dns10.hichina.com.
020.cool.	3600	in	ns	dns9.hichina.com.
021.cool.	3600	in	ns	ns53.domaincontrol.com.
021.cool.	3600	in	ns	ns54.domaincontrol.com.
025.cool.	3600	in	ns	dns19.hichina.com.
025.cool.	3600	in	ns	dns20.hichina.com.
030.cool.	3600	in	ns	dns11.hichina.com.
030.cool.	3600	in	ns	dns12.hichina.com.
03194.cool.	3600	in	ns	n1.xundns.com.
03194.cool.	3600	in	ns	n2.xundns.com.
033.cool.	3600	in	ns	f1g1ns1.dnspod.net.
033.cool.	3600	in	ns	f1g1ns2.dnspod.net.
03562.cool.	3600	in	ns	n1.xundns.com.
03562.cool.	3600	in	ns	n2.xundns.com.
036.cool.	3600	in	ns	bayan.ns.cloudflare.com.
036.cool.	3600	in	ns	davina.ns.cloudflare.com.
0371.cool.	3600	in	ns	ns1.myhostadmin.net.
0371.cool.	3600	in	ns	ns2.myhostadmin.net.
0371.cool.	3600	in	ns	ns3.myhostadmin.net.
0371.cool.	3600	in	ns	ns4.myhostadmin.net.
0371.cool.	3600	in	ns	ns5.myhostadmin.net.
0371.cool.	3600	in	ns	ns6.myhostadmin.net.
03fssqul5ffvik7oibb7kt7r5d8d9fb4.cool.	3600	in	nsec3	1 1 0 73 04NQLAR72NUCH4E4QB9312TVDP4GORDJ NS DS RRSIG
03fssqul5ffvik7oibb7kt7r5d8d9fb4.cool.	3600	in	rrsig	NSEC3 8 2 3600 20250922154913 20250901144913 5538 cool. b/05pgKzu6/pkM2DJuKFFtA+r3tzmlcHQRaXhoOEA8WwNzK7tJpSOajTgcBAIPbkuAEvwfse5d/HugRkvUE8M9QMIWPusQJuRLccYjkrOoNDwZcz7t00rLST+erXQsq/Ibqvw+Pz9cZ5aKPVkcwg8r5DxZ8k4vX/ILmUHVd23ug=
04nqlar72nuch4e4qb9312tvdp4gordj.cool.	3600	in	nsec3	1 1 0 73 053F7NET86HMDBU33TD1QIR6MHNCDDC2 NS DS RRSIG
04nqlar72nuch4e4qb9312tvdp4gordj.cool.	3600	in	rrsig	NSEC3 8 2 3600 20250922154913 20250901144913 5538 cool. DMoX4ubtCPgJbdix9yaorFdm34ISymZ0hfiYD37IVxrUgGSvlLhuxeTMeYrGe9TkdNzInXihpls1Hf2W5mmBbbhnQXrSYLDCCjQG54jzAvbRthbtqxqhah7uufLCtbVU+NRv0Jo6pM8LJ0zzCd9sR5buhlMsjnWR9yNR2Ejc5wA=
0511.cool.	3600	in	ns	ns11.xincache.com.
0511.cool.	3600	in	ns	ns12.xincache.com.
053f7net86hmdbu33td1qir6mhncddc2.cool.	3600	in	nsec3	1 1 0 73 084I6CV9C3CM1J3QVKNPHRCQ49AF8KOT NS DS RRSIG
053f7net86hmdbu33td1qir6mhncddc2.cool.	3600	in	rrsig	NSEC3 8 2 3600 20250922154913 20250901144913 5538 cool. NV9EDgSe1zwJ/dCeV0+JB/ek1hzkO7R2TW3RuQnZrBSDy6+soGyHqCv1V+PKhZnT1SfnyV5WNknEXianK7d1E4gFzC/pXNFNT++t7AnQnnsbkPKERHxNmYwUFx6hSoB7UJ6xufjovTxuEU4rfu6GvPqFNNQq4TeiDQz/rEAoFAs=
0577.cool.	3600	in	ns	dns29.hichina.com.
0577.cool.	3600	in	ns	dns30.hichina.com.
0579.cool.	3600	in	ns	dns1.hichina.com.
0579.cool.	3600	in	ns	dns2.hichina.com.
0612.cool.	3600	in	ns	dns29.hichina.com.
0612.cool.	3600	in	ns	dns30.hichina.com.
069420.cool.	3600	in	ns	dns1.registrar-servers.com.
069420.cool.	3600	in	ns	dns2.registrar-servers.com.
0755.cool.	3600	in	ns	dns31.hichina.com.
0755.cool.	3600	in	ns	dns32.hichina.com.
0759.cool.	3600	in	ns	candice.dnspod.net.
0759.cool.	3600	in	ns	gopher.dnspod.net.
0776.cool.	3600	in	ns	dns31.hichina.com.
0776.cool.	3600	in	ns	dns32.hichina.com.
0815.cool.	3600	in	ns	ns1035.ui-dns.org.
0815.cool.	3600	in	ns	ns1106.ui-dns.biz.
0815.cool.	3600	in	ns	ns1116.ui-dns.de.
0815.cool.	3600	in	ns	ns1122.ui-dns.com.
084i6cv9c3cm1j3qvknphrcq49af8kot.cool.	3600	in	nsec3	1 1 0 73 08SKLU0GJS3L8RF7PP17OLJQ2482G769 NS DS RRSIG
084i6cv9c3cm1j3qvknphrcq49af8kot.cool.	3600	in	rrsig	NSEC3 8 2 3600 20250922154913 20250901144913 5538 cool. bhFgz2M4/yY6eoD3i+6MRXPTjB64rcB1Qf8DDfuBsUMyWUNNx8vsT7lbD/DPUMEtOzsN+vUQKD7CfiZOPTCvm240NwYbkAPgJXv8kPJzE9ohls/9nWE+rFCmAS/L72jjY5AQV8JUfpLj6CuGH5pRmuviboYum79XhKctNVBcWfg=
086.cool.	3600	in	ns	belinda.dnspod.net.
086.cool.	3600	in	ns	gigot.dnspod.net.
08sklu0gjs3l8rf7pp17oljq2482g769.cool.	3600	in	nsec3	1 1 0 73 08T5VA45AMKH33J44R89UIHUBPN4EF5P NS DS RRSIG
08sklu0gjs3l8rf7pp17oljq2482g769.cool.	3600	in	rrsig	NSEC3 8 2 3600 20250922154913 20250901144913 5538 cool. pOFvPSjkS+L7yvlcOlFC6zSc3bVBdiyrAqpUWUYk4Ykr9kRduHXcci0mGCJP0Mf/o2Vn/M2dyT+J1/Afmm/yT+wkNIjMk/8C+AwY/2inAoxyzNmAszneKqfVMGzbejYMIScy2vITzwrNrlzbd1FSSE1WaQnR9yog6viVamHaSFc=
08t5va45amkh33j44r89uihubpn4ef5p.cool.	3600	in	nsec3	1 1 0 73 0917TIT7SIKLUV0VHAVS3S9HK21HFLUS NS DS RRSIG
08t5va45amkh33j44r89uihubpn4ef5p.cool.	3600	in	rrsig	NSEC3 8 2 3600 20250922154913 20250901144913 5538 cool. gmLYgHZ/s7inpNg+IoFHximHwbGfAOuToQY3SQmfWr0pGLO7DSHDrgGqAi5F9o48DQgzwtepsr2Ever2Y8rjlSZlBkQfIWxEblpD7Vgh4zUpLJsCVao58QVSECUJOLhZuheczwSPA5DF9h1HuhTn7qEd+UbZVaFN7xCY1pOFcp0=
0904.cool.	3600	in	ns	dns29.hichina.com.
0904.cool.	3600	in	ns	dns30.hichina.com.
0917tit7sikluv0vhavs3s9hk21hflus.cool.	3600	in	nsec3	1 1 0 73 094MBVHJRDNEIE8L7FR15DHUTTV14R5K NS DS RRSIG
0917tit7sikluv0vhavs3s9hk21hflus.cool.	3600	in	rrsig	NSEC3 8 2 3600 20250922154913 20250901144913 5538 cool. U8HTmVs8PAh+Js/IXyNdB1lHUqEewQZk5Zb6OvgYFk/KnU9BZih+heRurEzQ7YiYR5EheJQ8c+V0cAQvsV4+hYy/3cRfAXpPZw9Wf3S+9ZVAD+MLm5ea6xHoxsOtRJ31xRnHcrnH2TrjhPq5+BJguYpuG+H0bQDPvi135Gv6nOc=
094mbvhjrdneie8l7fr15dhuttv14r5k.cool.	3600	in	nsec3	1 1 0 73 09M058S5NK3TI49GQVFM16SP8EIJLROQ NS DS RRSIG
094mbvhjrdneie8l7fr15dhuttv14r5k.cool.	3600	in	rrsig	NSEC3 8 2 3600 20250922154913 20250901144913 5538 cool. HHZcdZgJuTqhaFwAlO0r/2YnK6VKmpLCLGW1tZKZDouxVZL3axstdLqdhZ37Cqcm9l2OScLMO4i/wbu/exLKan0vxbYSEY/Vga5+JtSybpaKjrvFALKZFR1sx2zAV49DOAX5rPy/ZpHwePxkbZNupu+vey3Eg7NtVGF26NrX45E=
09m058s5nk3ti49gqvfm16sp8eijlroq.cool.	3600	in	nsec3	1 1 0 73 0BING5NQM9E7488NQPOLL7LKPVJQ87TT NS DS RRSIG
