saxo.	3600	in	soa	v0n0.nic.saxo. hostmaster.donuts.email. 1767661854 7200 900 1209600 3600
bonjour.saxo.	3600	in	ns	edns4.ultradns.biz.
bonjour.saxo.	3600	in	ns	edns4.ultradns.com.
bonjour.saxo.	3600	in	ns	edns4.ultradns.net.
bonjour.saxo.	3600	in	ns	edns4.ultradns.org.
bonjour.saxo.	3600	in	ns	ns0106.secondary.cloudflare.com.
bonjour.saxo.	3600	in	ns	ns0219.secondary.cloudflare.com.
brandportal.saxo.	3600	in	ns	edns4.ultradns.biz.
brandportal.saxo.	3600	in	ns	edns4.ultradns.com.
brandportal.saxo.	3600	in	ns	edns4.ultradns.net.
brandportal.saxo.	3600	in	ns	edns4.ultradns.org.
brandportal.saxo.	3600	in	ns	ns0106.secondary.cloudflare.com.
brandportal.saxo.	3600	in	ns	ns0219.secondary.cloudflare.com.
careers.saxo.	3600	in	ns	edns4.ultradns.biz.
careers.saxo.	3600	in	ns	edns4.ultradns.com.
careers.saxo.	3600	in	ns	edns4.ultradns.net.
careers.saxo.	3600	in	ns	edns4.ultradns.org.
careers.saxo.	3600	in	ns	ns0106.secondary.cloudflare.com.
careers.saxo.	3600	in	ns	ns0219.secondary.cloudflare.com.
cddev.saxo.	3600	in	ns	edns4.ultradns.biz.
cddev.saxo.	3600	in	ns	edns4.ultradns.com.
cddev.saxo.	3600	in	ns	edns4.ultradns.net.
cddev.saxo.	3600	in	ns	edns4.ultradns.org.
cddev.saxo.	3600	in	ns	ns0106.secondary.cloudflare.com.
cddev.saxo.	3600	in	ns	ns0219.secondary.cloudflare.com.
cdprod.saxo.	3600	in	ns	edns4.ultradns.biz.
cdprod.saxo.	3600	in	ns	edns4.ultradns.com.
cdprod.saxo.	3600	in	ns	edns4.ultradns.net.
cdprod.saxo.	3600	in	ns	edns4.ultradns.org.
cdprod.saxo.	3600	in	ns	ns0106.secondary.cloudflare.com.
cdprod.saxo.	3600	in	ns	ns0219.secondary.cloudflare.com.
cf.saxo.	3600	in	ns	ns1-04.azure-dns.com.
cf.saxo.	3600	in	ns	ns2-04.azure-dns.net.
cf.saxo.	3600	in	ns	ns3-04.azure-dns.org.
cf.saxo.	3600	in	ns	ns4-04.azure-dns.info.
clientservice.saxo.	3600	in	ns	edns4.ultradns.biz.
clientservice.saxo.	3600	in	ns	edns4.ultradns.com.
clientservice.saxo.	3600	in	ns	edns4.ultradns.net.
clientservice.saxo.	3600	in	ns	edns4.ultradns.org.
clientservice.saxo.	3600	in	ns	ns0106.secondary.cloudflare.com.
clientservice.saxo.	3600	in	ns	ns0219.secondary.cloudflare.com.
cmdev.saxo.	3600	in	ns	edns4.ultradns.biz.
cmdev.saxo.	3600	in	ns	edns4.ultradns.com.
cmdev.saxo.	3600	in	ns	edns4.ultradns.net.
cmdev.saxo.	3600	in	ns	edns4.ultradns.org.
cmdev.saxo.	3600	in	ns	ns0106.secondary.cloudflare.com.
cmdev.saxo.	3600	in	ns	ns0219.secondary.cloudflare.com.
collection.saxo.	3600	in	ns	edns4.ultradns.biz.
collection.saxo.	3600	in	ns	edns4.ultradns.com.
collection.saxo.	3600	in	ns	edns4.ultradns.net.
collection.saxo.	3600	in	ns	edns4.ultradns.org.
collection.saxo.	3600	in	ns	ns0106.secondary.cloudflare.com.
collection.saxo.	3600	in	ns	ns0219.secondary.cloudflare.com.
complexe-aandelen-nl-nl.saxo.	3600	in	ns	edns4.ultradns.biz.
complexe-aandelen-nl-nl.saxo.	3600	in	ns	edns4.ultradns.com.
complexe-aandelen-nl-nl.saxo.	3600	in	ns	edns4.ultradns.net.
complexe-aandelen-nl-nl.saxo.	3600	in	ns	edns4.ultradns.org.
complexe-aandelen-nl-nl.saxo.	3600	in	ns	ns0106.secondary.cloudflare.com.
complexe-aandelen-nl-nl.saxo.	3600	in	ns	ns0219.secondary.cloudflare.com.
connect.saxo.	3600	in	ns	edns4.ultradns.biz.
connect.saxo.	3600	in	ns	edns4.ultradns.com.
connect.saxo.	3600	in	ns	edns4.ultradns.net.
connect.saxo.	3600	in	ns	edns4.ultradns.org.
connect.saxo.	3600	in	ns	ns0106.secondary.cloudflare.com.
connect.saxo.	3600	in	ns	ns0219.secondary.cloudflare.com.
data-in.saxo.	3600	in	ns	edns4.ultradns.biz.
data-in.saxo.	3600	in	ns	edns4.ultradns.com.
data-in.saxo.	3600	in	ns	edns4.ultradns.net.
data-in.saxo.	3600	in	ns	edns4.ultradns.org.
data-in.saxo.	3600	in	ns	ns0106.secondary.cloudflare.com.
data-in.saxo.	3600	in	ns	ns0219.secondary.cloudflare.com.
developer.saxo.	3600	in	ns	edns4.ultradns.biz.
developer.saxo.	3600	in	ns	edns4.ultradns.com.
developer.saxo.	3600	in	ns	edns4.ultradns.net.
developer.saxo.	3600	in	ns	edns4.ultradns.org.
developer.saxo.	3600	in	ns	ns0106.secondary.cloudflare.com.
developer.saxo.	3600	in	ns	ns0219.secondary.cloudflare.com.
digitaldevelopment.saxo.	3600	in	ns	edns4.ultradns.biz.
digitaldevelopment.saxo.	3600	in	ns	edns4.ultradns.com.
digitaldevelopment.saxo.	3600	in	ns	edns4.ultradns.net.
digitaldevelopment.saxo.	3600	in	ns	edns4.ultradns.org.
digitaldevelopment.saxo.	3600	in	ns	ns0106.secondary.cloudflare.com.
digitaldevelopment.saxo.	3600	in	ns	ns0219.secondary.cloudflare.com.
documenten-fr-be.saxo.	3600	in	ns	edns4.ultradns.biz.
documenten-fr-be.saxo.	3600	in	ns	edns4.ultradns.com.
documenten-fr-be.saxo.	3600	in	ns	edns4.ultradns.net.
documenten-fr-be.saxo.	3600	in	ns	edns4.ultradns.org.
documenten-fr-be.saxo.	3600	in	ns	ns0106.secondary.cloudflare.com.
documenten-fr-be.saxo.	3600	in	ns	ns0219.secondary.cloudflare.com.
documenten-nl-be.saxo.	3600	in	ns	edns4.ultradns.biz.
documenten-nl-be.saxo.	3600	in	ns	edns4.ultradns.com.
documenten-nl-be.saxo.	3600	in	ns	edns4.ultradns.net.
documenten-nl-be.saxo.	3600	in	ns	edns4.ultradns.org.
documenten-nl-be.saxo.	3600	in	ns	ns0106.secondary.cloudflare.com.
documenten-nl-be.saxo.	3600	in	ns	ns0219.secondary.cloudflare.com.
documenten-nl-nl.saxo.	3600	in	ns	edns4.ultradns.biz.
documenten-nl-nl.saxo.	3600	in	ns	edns4.ultradns.com.
documenten-nl-nl.saxo.	3600	in	ns	edns4.ultradns.net.
documenten-nl-nl.saxo.	3600	in	ns	edns4.ultradns.org.
documenten-nl-nl.saxo.	3600	in	ns	ns0106.secondary.cloudflare.com.
documenten-nl-nl.saxo.	3600	in	ns	ns0219.secondary.cloudflare.com.
documents-fr-fr.saxo.	3600	in	ns	edns4.ultradns.biz.
documents-fr-fr.saxo.	3600	in	ns	edns4.ultradns.com.
documents-fr-fr.saxo.	3600	in	ns	edns4.ultradns.net.
documents-fr-fr.saxo.	3600	in	ns	edns4.ultradns.org.
documents-fr-fr.saxo.	3600	in	ns	ns0106.secondary.cloudflare.com.
documents-fr-fr.saxo.	3600	in	ns	ns0219.secondary.cloudflare.com.
documents.saxo.	3600	in	ns	edns4.ultradns.biz.
documents.saxo.	3600	in	ns	edns4.ultradns.com.
documents.saxo.	3600	in	ns	edns4.ultradns.net.
documents.saxo.	3600	in	ns	edns4.ultradns.org.
eam.saxo.	3600	in	ns	edns4.ultradns.biz.
eam.saxo.	3600	in	ns	edns4.ultradns.com.
eam.saxo.	3600	in	ns	edns4.ultradns.net.
eam.saxo.	3600	in	ns	edns4.ultradns.org.
eam.saxo.	3600	in	ns	ns0106.secondary.cloudflare.com.
eam.saxo.	3600	in	ns	ns0219.secondary.cloudflare.com.
electronic-id.saxo.	3600	in	ns	edns4.ultradns.biz.
electronic-id.saxo.	3600	in	ns	edns4.ultradns.com.
electronic-id.saxo.	3600	in	ns	edns4.ultradns.net.
electronic-id.saxo.	3600	in	ns	edns4.ultradns.org.
electronic-id.saxo.	3600	in	ns	ns0106.secondary.cloudflare.com.
electronic-id.saxo.	3600	in	ns	ns0219.secondary.cloudflare.com.
family-offices.saxo.	3600	in	ns	edns4.ultradns.biz.
family-offices.saxo.	3600	in	ns	edns4.ultradns.com.
family-offices.saxo.	3600	in	ns	edns4.ultradns.net.
family-offices.saxo.	3600	in	ns	edns4.ultradns.org.
family-offices.saxo.	3600	in	ns	ns0106.secondary.cloudflare.com.
family-offices.saxo.	3600	in	ns	ns0219.secondary.cloudflare.com.
financialadvisors.saxo.	3600	in	ns	edns4.ultradns.biz.
financialadvisors.saxo.	3600	in	ns	edns4.ultradns.com.
financialadvisors.saxo.	3600	in	ns	edns4.ultradns.net.
financialadvisors.saxo.	3600	in	ns	edns4.ultradns.org.
financialadvisors.saxo.	3600	in	ns	ns0106.secondary.cloudflare.com.
financialadvisors.saxo.	3600	in	ns	ns0219.secondary.cloudflare.com.
fxprimebrokerage.saxo.	3600	in	ns	edns4.ultradns.biz.
fxprimebrokerage.saxo.	3600	in	ns	edns4.ultradns.com.
fxprimebrokerage.saxo.	3600	in	ns	edns4.ultradns.net.
fxprimebrokerage.saxo.	3600	in	ns	edns4.ultradns.org.
fxprimebrokerage.saxo.	3600	in	ns	ns0106.secondary.cloudflare.com.
fxprimebrokerage.saxo.	3600	in	ns	ns0219.secondary.cloudflare.com.
go.saxo.	3600	in	ns	edns4.ultradns.biz.
go.saxo.	3600	in	ns	edns4.ultradns.com.
go.saxo.	3600	in	ns	edns4.ultradns.net.
go.saxo.	3600	in	ns	edns4.ultradns.org.
go.saxo.	3600	in	ns	ns0106.secondary.cloudflare.com.
go.saxo.	3600	in	ns	ns0219.secondary.cloudflare.com.
go2.saxo.	3600	in	ns	edns4.ultradns.biz.
go2.saxo.	3600	in	ns	edns4.ultradns.com.
go2.saxo.	3600	in	ns	edns4.ultradns.net.
go2.saxo.	3600	in	ns	edns4.ultradns.org.
go2.saxo.	3600	in	ns	ns0106.secondary.cloudflare.com.
go2.saxo.	3600	in	ns	ns0219.secondary.cloudflare.com.
goto.saxo.	3600	in	ns	edns4.ultradns.biz.
goto.saxo.	3600	in	ns	edns4.ultradns.com.
goto.saxo.	3600	in	ns	edns4.ultradns.net.
goto.saxo.	3600	in	ns	edns4.ultradns.org.
goto.saxo.	3600	in	ns	ns0106.secondary.cloudflare.com.
goto.saxo.	3600	in	ns	ns0219.secondary.cloudflare.com.
grow.saxo.	3600	in	ns	edns4.ultradns.biz.
grow.saxo.	3600	in	ns	edns4.ultradns.com.
grow.saxo.	3600	in	ns	edns4.ultradns.net.
grow.saxo.	3600	in	ns	edns4.ultradns.org.
grow.saxo.	3600	in	ns	ns0106.secondary.cloudflare.com.
grow.saxo.	3600	in	ns	ns0219.secondary.cloudflare.com.
hallo.saxo.	3600	in	ns	edns4.ultradns.biz.
hallo.saxo.	3600	in	ns	edns4.ultradns.com.
hallo.saxo.	3600	in	ns	edns4.ultradns.net.
hallo.saxo.	3600	in	ns	edns4.ultradns.org.
hedge-funds.saxo.	3600	in	ns	edns4.ultradns.biz.
hedge-funds.saxo.	3600	in	ns	edns4.ultradns.com.
hedge-funds.saxo.	3600	in	ns	edns4.ultradns.net.
hedge-funds.saxo.	3600	in	ns	edns4.ultradns.org.
help.saxo.	3600	in	ns	edns4.ultradns.biz.
help.saxo.	3600	in	ns	edns4.ultradns.com.
help.saxo.	3600	in	ns	edns4.ultradns.net.
help.saxo.	3600	in	ns	edns4.ultradns.org.
help.saxo.	3600	in	ns	ns0106.secondary.cloudflare.com.
help.saxo.	3600	in	ns	ns0219.secondary.cloudflare.com.
home.saxo.	3600	in	ns	edns4.ultradns.biz.
home.saxo.	3600	in	ns	edns4.ultradns.com.
home.saxo.	3600	in	ns	edns4.ultradns.net.
home.saxo.	3600	in	ns	edns4.ultradns.org.
home.saxo.	3600	in	ns	ns0106.secondary.cloudflare.com.
home.saxo.	3600	in	ns	ns0219.secondary.cloudflare.com.
imaction.saxo.	3600	in	ns	edns4.ultradns.biz.
imaction.saxo.	3600	in	ns	edns4.ultradns.com.
imaction.saxo.	3600	in	ns	edns4.ultradns.net.
imaction.saxo.	3600	in	ns	edns4.ultradns.org.
infra.saxo.	3600	in	ns	edns4.ultradns.biz.
infra.saxo.	3600	in	ns	edns4.ultradns.com.
infra.saxo.	3600	in	ns	edns4.ultradns.net.
infra.saxo.	3600	in	ns	edns4.ultradns.org.
institutional.saxo.	3600	in	ns	edns4.ultradns.biz.
institutional.saxo.	3600	in	ns	edns4.ultradns.com.
institutional.saxo.	3600	in	ns	edns4.ultradns.net.
institutional.saxo.	3600	in	ns	edns4.ultradns.org.
institutional.saxo.	3600	in	ns	ns0106.secondary.cloudflare.com.
institutional.saxo.	3600	in	ns	ns0219.secondary.cloudflare.com.
int.saxo.	3600	in	ns	ns1-02.azure-dns.com.
int.saxo.	3600	in	ns	ns2-02.azure-dns.net.
int.saxo.	3600	in	ns	ns3-02.azure-dns.org.
int.saxo.	3600	in	ns	ns4-02.azure-dns.info.
internal.saxo.	3600	in	ns	edns4.ultradns.biz.
internal.saxo.	3600	in	ns	edns4.ultradns.com.
internal.saxo.	3600	in	ns	edns4.ultradns.net.
internal.saxo.	3600	in	ns	edns4.ultradns.org.
invest.saxo.	3600	in	ns	edns4.ultradns.biz.
invest.saxo.	3600	in	ns	edns4.ultradns.com.
invest.saxo.	3600	in	ns	edns4.ultradns.net.
invest.saxo.	3600	in	ns	edns4.ultradns.org.
investing.saxo.	3600	in	ns	edns4.ultradns.biz.
investing.saxo.	3600	in	ns	edns4.ultradns.com.
investing.saxo.	3600	in	ns	edns4.ultradns.net.
investing.saxo.	3600	in	ns	edns4.ultradns.org.
investor.saxo.	3600	in	ns	edns4.ultradns.biz.
investor.saxo.	3600	in	ns	edns4.ultradns.com.
investor.saxo.	3600	in	ns	edns4.ultradns.net.
investor.saxo.	3600	in	ns	edns4.ultradns.org.
investors.saxo.	3600	in	ns	edns4.ultradns.biz.
investors.saxo.	3600	in	ns	edns4.ultradns.com.
investors.saxo.	3600	in	ns	edns4.ultradns.net.
investors.saxo.	3600	in	ns	edns4.ultradns.org.
leadership.saxo.	3600	in	ns	edns4.ultradns.biz.
leadership.saxo.	3600	in	ns	edns4.ultradns.com.
leadership.saxo.	3600	in	ns	edns4.ultradns.net.
leadership.saxo.	3600	in	ns	edns4.ultradns.org.
localpresence.saxo.	3600	in	ns	edns4.ultradns.biz.
localpresence.saxo.	3600	in	ns	edns4.ultradns.com.
localpresence.saxo.	3600	in	ns	edns4.ultradns.net.
localpresence.saxo.	3600	in	ns	edns4.ultradns.org.
login.saxo.	3600	in	ns	edns4.ultradns.biz.
login.saxo.	3600	in	ns	edns4.ultradns.com.
login.saxo.	3600	in	ns	edns4.ultradns.net.
login.saxo.	3600	in	ns	edns4.ultradns.org.
login.saxo.	3600	in	ns	ns0106.secondary.cloudflare.com.
login.saxo.	3600	in	ns	ns0219.secondary.cloudflare.com.
ltdt.saxo.	3600	in	ns	edns4.ultradns.biz.
ltdt.saxo.	3600	in	ns	edns4.ultradns.com.
ltdt.saxo.	3600	in	ns	edns4.ultradns.net.
ltdt.saxo.	3600	in	ns	edns4.ultradns.org.
lufax.saxo.	3600	in	ns	edns4.ultradns.biz.
lufax.saxo.	3600	in	ns	edns4.ultradns.com.
lufax.saxo.	3600	in	ns	edns4.ultradns.net.
lufax.saxo.	3600	in	ns	edns4.ultradns.org.
mail.saxo.	3600	in	ns	edns4.ultradns.biz.
mail.saxo.	3600	in	ns	edns4.ultradns.com.
mail.saxo.	3600	in	ns	edns4.ultradns.net.
mail.saxo.	3600	in	ns	edns4.ultradns.org.
mail.saxo.	3600	in	ns	ns0106.secondary.cloudflare.com.
mail.saxo.	3600	in	ns	ns0219.secondary.cloudflare.com.
marketing.saxo.	3600	in	ns	edns4.ultradns.biz.
marketing.saxo.	3600	in	ns	edns4.ultradns.com.
marketing.saxo.	3600	in	ns	edns4.ultradns.net.
marketing.saxo.	3600	in	ns	edns4.ultradns.org.
marketing.saxo.	3600	in	ns	ns0106.secondary.cloudflare.com.
marketing.saxo.	3600	in	ns	ns0219.secondary.cloudflare.com.
markets.saxo.	3600	in	ns	edns4.ultradns.biz.
markets.saxo.	3600	in	ns	edns4.ultradns.com.
markets.saxo.	3600	in	ns	edns4.ultradns.net.
markets.saxo.	3600	in	ns	edns4.ultradns.org.
markets.saxo.	3600	in	ns	ns0106.secondary.cloudflare.com.
markets.saxo.	3600	in	ns	ns0219.secondary.cloudflare.com.
meeting.saxo.	3600	in	ns	edns4.ultradns.biz.
meeting.saxo.	3600	in	ns	edns4.ultradns.com.
meeting.saxo.	3600	in	ns	edns4.ultradns.net.
meeting.saxo.	3600	in	ns	edns4.ultradns.org.
meeting.saxo.	3600	in	ns	ns0106.secondary.cloudflare.com.
meeting.saxo.	3600	in	ns	ns0219.secondary.cloudflare.com.
mindset.saxo.	3600	in	ns	edns4.ultradns.biz.
mindset.saxo.	3600	in	ns	edns4.ultradns.com.
mindset.saxo.	3600	in	ns	edns4.ultradns.net.
mindset.saxo.	3600	in	ns	edns4.ultradns.org.
mindset.saxo.	3600	in	ns	ns0106.secondary.cloudflare.com.
mindset.saxo.	3600	in	ns	ns0219.secondary.cloudflare.com.
morningcall.saxo.	3600	in	ns	edns4.ultradns.biz.
morningcall.saxo.	3600	in	ns	edns4.ultradns.com.
morningcall.saxo.	3600	in	ns	edns4.ultradns.net.
morningcall.saxo.	3600	in	ns	edns4.ultradns.org.
multicharts.saxo.	3600	in	ns	edns4.ultradns.biz.
multicharts.saxo.	3600	in	ns	edns4.ultradns.com.
multicharts.saxo.	3600	in	ns	edns4.ultradns.net.
multicharts.saxo.	3600	in	ns	edns4.ultradns.org.
multicharts.saxo.	3600	in	ns	ns0106.secondary.cloudflare.com.
multicharts.saxo.	3600	in	ns	ns0219.secondary.cloudflare.com.
myinvestment.saxo.	3600	in	ns	edns4.ultradns.biz.
myinvestment.saxo.	3600	in	ns	edns4.ultradns.com.
myinvestment.saxo.	3600	in	ns	edns4.ultradns.net.
myinvestment.saxo.	3600	in	ns	edns4.ultradns.org.
myinvestments.saxo.	3600	in	ns	edns4.ultradns.biz.
myinvestments.saxo.	3600	in	ns	edns4.ultradns.com.
myinvestments.saxo.	3600	in	ns	edns4.ultradns.net.
myinvestments.saxo.	3600	in	ns	edns4.ultradns.org.
nic.saxo.	3600	in	ds	40017 8 2 9238A058D2E332B45160C7C02309ADDD65A6544D5847D31526EA3FF17B0F22CA
nic.saxo.	3600	in	ns	v0n0.nic.saxo.
nic.saxo.	3600	in	ns	v0n1.nic.saxo.
nic.saxo.	3600	in	ns	v0n2.nic.saxo.
nic.saxo.	3600	in	ns	v0n3.nic.saxo.
nic.saxo.	3600	in	ns	v2n0.nic.saxo.
nic.saxo.	3600	in	ns	v2n1.nic.saxo.
nic.saxo.	3600	in	rrsig	DS 8 2 3600 20260122155723 20260101145723 39384 saxo. KnViyv2oZuTfcj8Easn0MC/47hLQCFEd7O8vVvmX/11N2P07FQScGnF8oWYtTbfPJF+7C2phDHp4h6/r8rarxUKEzrlPtFooIc6p/bU7O9WtLvr6NEVrC46FSCubI+/0yUugkOYIw6RXwime7WskK+aRGYiY5I2Rhs44te1q0Os=
partners.saxo.	3600	in	ns	edns4.ultradns.biz.
partners.saxo.	3600	in	ns	edns4.ultradns.com.
partners.saxo.	3600	in	ns	edns4.ultradns.net.
partners.saxo.	3600	in	ns	edns4.ultradns.org.
partners.saxo.	3600	in	ns	ns0106.secondary.cloudflare.com.
partners.saxo.	3600	in	ns	ns0219.secondary.cloudflare.com.
platforms.saxo.	3600	in	ns	edns4.ultradns.biz.
platforms.saxo.	3600	in	ns	edns4.ultradns.com.
platforms.saxo.	3600	in	ns	edns4.ultradns.net.
platforms.saxo.	3600	in	ns	edns4.ultradns.org.
podcast.saxo.	3600	in	ns	edns4.ultradns.biz.
podcast.saxo.	3600	in	ns	edns4.ultradns.com.
podcast.saxo.	3600	in	ns	edns4.ultradns.net.
podcast.saxo.	3600	in	ns	edns4.ultradns.org.
podcasts.saxo.	3600	in	ns	edns4.ultradns.biz.
podcasts.saxo.	3600	in	ns	edns4.ultradns.com.
podcasts.saxo.	3600	in	ns	edns4.ultradns.net.
podcasts.saxo.	3600	in	ns	edns4.ultradns.org.
portfolio.saxo.	3600	in	ns	edns4.ultradns.biz.
portfolio.saxo.	3600	in	ns	edns4.ultradns.com.
portfolio.saxo.	3600	in	ns	edns4.ultradns.net.
portfolio.saxo.	3600	in	ns	edns4.ultradns.org.
portfolio.saxo.	3600	in	ns	ns0106.secondary.cloudflare.com.
portfolio.saxo.	3600	in	ns	ns0219.secondary.cloudflare.com.
privatbank.saxo.	3600	in	ns	edns4.ultradns.biz.
privatbank.saxo.	3600	in	ns	edns4.ultradns.com.
privatbank.saxo.	3600	in	ns	edns4.ultradns.net.
privatbank.saxo.	3600	in	ns	edns4.ultradns.org.
private.saxo.	3600	in	ns	edns4.ultradns.biz.
private.saxo.	3600	in	ns	edns4.ultradns.com.
private.saxo.	3600	in	ns	edns4.ultradns.net.
private.saxo.	3600	in	ns	edns4.ultradns.org.
pro.saxo.	3600	in	ns	edns4.ultradns.biz.
pro.saxo.	3600	in	ns	edns4.ultradns.com.
pro.saxo.	3600	in	ns	edns4.ultradns.net.
pro.saxo.	3600	in	ns	edns4.ultradns.org.
pro.saxo.	3600	in	ns	ns0106.secondary.cloudflare.com.
