saxo.	3600	in	soa	v0n0.nic.saxo. hostmaster.donuts.email. 1767661854 7200 900 1209600 3600
pro.saxo.	3600	in	ns	ns0219.secondary.cloudflare.com.
publications.saxo.	3600	in	ns	edns4.ultradns.biz.
publications.saxo.	3600	in	ns	edns4.ultradns.com.
publications.saxo.	3600	in	ns	edns4.ultradns.net.
publications.saxo.	3600	in	ns	edns4.ultradns.org.
publications.saxo.	3600	in	ns	ns0106.secondary.cloudflare.com.
publications.saxo.	3600	in	ns	ns0219.secondary.cloudflare.com.
pulse.saxo.	3600	in	ns	edns4.ultradns.biz.
pulse.saxo.	3600	in	ns	edns4.ultradns.com.
pulse.saxo.	3600	in	ns	edns4.ultradns.net.
pulse.saxo.	3600	in	ns	edns4.ultradns.org.
recessionwatch.saxo.	3600	in	ns	edns4.ultradns.biz.
recessionwatch.saxo.	3600	in	ns	edns4.ultradns.com.
recessionwatch.saxo.	3600	in	ns	edns4.ultradns.net.
recessionwatch.saxo.	3600	in	ns	edns4.ultradns.org.
recordingserver.saxo.	3600	in	ns	edns4.ultradns.biz.
recordingserver.saxo.	3600	in	ns	edns4.ultradns.com.
recordingserver.saxo.	3600	in	ns	edns4.ultradns.net.
recordingserver.saxo.	3600	in	ns	edns4.ultradns.org.
refer.saxo.	3600	in	ns	edns4.ultradns.biz.
refer.saxo.	3600	in	ns	edns4.ultradns.com.
refer.saxo.	3600	in	ns	edns4.ultradns.net.
refer.saxo.	3600	in	ns	edns4.ultradns.org.
refer.saxo.	3600	in	ns	ns0106.secondary.cloudflare.com.
refer.saxo.	3600	in	ns	ns0219.secondary.cloudflare.com.
salesportal.saxo.	3600	in	ns	edns4.ultradns.biz.
salesportal.saxo.	3600	in	ns	edns4.ultradns.com.
salesportal.saxo.	3600	in	ns	edns4.ultradns.net.
salesportal.saxo.	3600	in	ns	edns4.ultradns.org.
saxo.	3600	in	dnskey	256 3 8 AwEAAceJaGf+d0Q8Zysok+Pzh18fWSkAzBj19egtp5pxPUw96qF753CQB7omgDdZZIOzT0qpFMB8a23OzXGLl+c0Nf7qF2l0QcfRWSiif3t5jfzhjwnSqGMUK7iLLr370SQqUl8yuU/Vftz7VfKZPj8ZKW7dy973NUHffmDfa9CUtABThswOKbpSzMmjZ1/sR2QJqe160v88BCr4XlokvdV3HN8=
saxo.	3600	in	dnskey	256 3 8 AwEAAczj2ALNqfzaLD5830bq9vjCqE6rxgV17SvFQ0pNUxErY9P7B54LTW85VSkV9EUhdiT98A1ZgOqF1HnEIzfJNEgZgXo53vdM9wYZyfRfI9jI4eOvdRjS1YF08nNsCJ7t2XXWy+NittzccQpqxm/MaLRIgTTMvcuycMS9gTMG9GsZ
saxo.	3600	in	dnskey	257 3 8 AwEAAa6d+WKsBzWszzcgh9Z50ExAvlzuIMDtD4nhIVweCY7GJ4kO/oPDF71N7mUDLs8muPwVeDABoZN3dMawji0Bx7upHa3e6X9YL8eZqV4DprIrY5C36y+aBTWnjR2+mdKk/eO5jXvabQO+gBapjCfEg5JNVnTP8Y3cCtBbJI+Y+pk5s3uyhvc+FpacUNIGTU63JnH/rEwSeXo99S/a0HzYBvYUph58OeW72RZs04R4v0iOeudeF0rvSHlbdUzFN1K0v0Q5vKApxl2Zm/YSJWW5RAzqj5/BHd8VgL9jNSdPYzcjgwLK0SKH4WtnsBCS8oKlModSYSVTfNflvb1Xh7G4+yE=
saxo.	3600	in	dnskey	257 3 8 AwEAAcOrrxfL91yPDTB0GEopc7Gu2VR0WA9bZJYXkVtlWiEnu8ArhKgSjaSEjAGDNSBKHL0Cu7iu4W0kH8ajLZR5xSVqz/NV/cG8l2Q0fZz0NECwstBURE0CRxGaxYBkjfP2Sz+UNyt0IOeYlJmpd9BhWG1av7m+CCdtEL3MqzD4qaUrHa2txdnvTYswJKNLCmZMgKV+pKyHddMf6hXq8vBU5vZMHCwtRfPIexggFHSYf5GiAKQICvd97jLHZ/501AY+pySd8IF0X7te9g9IEzd6XbKIaBTDogkPCMvwQVpoAD4GcVUfcWEZEjtyu/3Kmpn9yo+UVEB4DVM8mb5CDnYS+vM=
saxo.	3600	in	dnskey	257 3 8 AwEAAeRErP6PBwUyuu8FeKjAHZODarlkgAmnvflG4xn8cwGcYpcWn+Y9Pt8YJXPH1IaB+CT8l7OVSTfQsopnWWgBsodV87nPSTl5NIyJHLcIS21koqKhyS+FGBmknBb4uoqHTOkheGXF+2VYXi8Bqy3fgyESuyP+m+pBqyCSMfZ6Z0nKLDCo+MBZT/4zhxMOKxqRLoLAA4iyfraSs0O3BK0CN/5ocbq0gC9ruO3bo2Y3JcslrSDhxM3YZQQisUZEQ+q1dAPhV3WO+Cz1NNar1rCk/xaIg65eSi7kvZ6QLw+YSqFXaP0s+9B4pyxwKezqy9Wph/LtakyFnXPAi5nPaW5Bc7U=
saxo.	3600	in	ns	v0n0.nic.saxo.
saxo.	3600	in	ns	v0n1.nic.saxo.
saxo.	3600	in	ns	v0n2.nic.saxo.
saxo.	3600	in	ns	v0n3.nic.saxo.
saxo.	3600	in	ns	v2n0.nic.saxo.
saxo.	3600	in	ns	v2n1.nic.saxo.
saxo.	3600	in	nsec3param	1 0 0 73
saxo.	3600	in	rrsig	DNSKEY 8 1 3600 20260122155723 20260101145723 60076 saxo. D3YkTuFUVBk+iDPmgLnJV0aSPlIut4onY+q02JDigsrfJ0Bq6j91kzv0q+35HxM6jH94wuJdde0U6r4t9WZMIHXhbZFAcMPtcpeKU2WbRoeo9U9UmIL8McJk6ek85YVtAIFKb/buVPS1ksCHfeQSzCBt4tocj4XcuW71LTiZYViGDki1rkGYh+C7vAJqqccbsub0Oxny69KxQqiTpEDieseM2pmqVz1dq5q32kpbnksA0r0VbenyH+HFxNMR/sm1++8Zd9T3TEbSUwug34Y4VvfXgJARoG9W2TcF9d+r721GPmi5eTQCkn+ZWFVjyzFkY+mO6xLR4shHlg/2KcplUA==
saxo.	3600	in	rrsig	NS 8 1 3600 20260122155723 20260101145723 39384 saxo. yl/vZ3skGJW9WaQR9ICPWsRkwUJct01d8cc2PNc3zHr8+SAWvX7PPKIWT4wCLUaBk6CO6MqeLTB895n3UegcknfQThL60eh0z4lsJEaxjyTvH0GA7U9A/5hh8E1GOyHIJFUPVMbN+vpimwhGtF72ktnQNMqt2jgkvV8L9KjJAFA=
saxo.	3600	in	rrsig	NSEC3PARAM 8 1 3600 20260122155723 20260101145723 39384 saxo. i7B3KrnR71ey6LrA3+cXz77ClLvtydwkqaE9FuhCvPiZfGaqzbcA+XEptOVlp+X3gMo71dyORxp0wcBmhGUInW2Y9yO7FvhxYsV8hfNJD5kdai0nySnyN7gVq3fI7PjemKw3PrmqnXg/ZA4+sRymZY9GO/AyhailGUqZWNzWfSI=
saxo.	3600	in	rrsig	SOA 8 1 3600 20260127011531 20260106001531 39384 saxo. JZCLLeI0CAeZWFAjIIv9NkAgL5W3Eo9QXjVFDmgAjPk5XLbt7+iibpOf5vgmuI3hi9HvrUVF7YKhzzU13XH6d3jmaXuQPl3fuVnYq9yJQKzH6YGsynTMcOvvcHy6/wGXLfwl5HL/bMpRvqFAvBVhcFAPsrZ+MBpx4DOnw/juNIA=
saxomarkets.saxo.	3600	in	ns	edns4.ultradns.biz.
saxomarkets.saxo.	3600	in	ns	edns4.ultradns.com.
saxomarkets.saxo.	3600	in	ns	edns4.ultradns.net.
saxomarkets.saxo.	3600	in	ns	edns4.ultradns.org.
sitecoredev.saxo.	3600	in	ns	edns4.ultradns.biz.
sitecoredev.saxo.	3600	in	ns	edns4.ultradns.com.
sitecoredev.saxo.	3600	in	ns	edns4.ultradns.net.
sitecoredev.saxo.	3600	in	ns	edns4.ultradns.org.
social.saxo.	3600	in	ns	edns4.ultradns.biz.
social.saxo.	3600	in	ns	edns4.ultradns.com.
social.saxo.	3600	in	ns	edns4.ultradns.net.
social.saxo.	3600	in	ns	edns4.ultradns.org.
structured-products.saxo.	3600	in	ns	edns4.ultradns.biz.
structured-products.saxo.	3600	in	ns	edns4.ultradns.com.
structured-products.saxo.	3600	in	ns	edns4.ultradns.net.
structured-products.saxo.	3600	in	ns	edns4.ultradns.org.
structured-products.saxo.	3600	in	ns	ns0106.secondary.cloudflare.com.
structured-products.saxo.	3600	in	ns	ns0219.secondary.cloudflare.com.
tech.saxo.	3600	in	ns	edns4.ultradns.biz.
tech.saxo.	3600	in	ns	edns4.ultradns.com.
tech.saxo.	3600	in	ns	edns4.ultradns.net.
tech.saxo.	3600	in	ns	edns4.ultradns.org.
tradesignals.saxo.	3600	in	ns	edns4.ultradns.biz.
tradesignals.saxo.	3600	in	ns	edns4.ultradns.com.
tradesignals.saxo.	3600	in	ns	edns4.ultradns.net.
tradesignals.saxo.	3600	in	ns	edns4.ultradns.org.
tradingtalents.saxo.	3600	in	ns	edns4.ultradns.biz.
tradingtalents.saxo.	3600	in	ns	edns4.ultradns.com.
tradingtalents.saxo.	3600	in	ns	edns4.ultradns.net.
tradingtalents.saxo.	3600	in	ns	edns4.ultradns.org.
tradingview.saxo.	3600	in	ns	edns4.ultradns.biz.
tradingview.saxo.	3600	in	ns	edns4.ultradns.com.
tradingview.saxo.	3600	in	ns	edns4.ultradns.net.
tradingview.saxo.	3600	in	ns	edns4.ultradns.org.
tradingview.saxo.	3600	in	ns	ns0106.secondary.cloudflare.com.
tradingview.saxo.	3600	in	ns	ns0219.secondary.cloudflare.com.
v0n0.nic.saxo.	3600	in	a	65.22.108.27
v0n0.nic.saxo.	3600	in	aaaa	2a01:8840:006a:0000:0000:0000:0000:0027
v0n1.nic.saxo.	3600	in	a	65.22.109.27
v0n1.nic.saxo.	3600	in	aaaa	2a01:8840:006b:0000:0000:0000:0000:0027
v0n2.nic.saxo.	3600	in	a	65.22.110.27
v0n2.nic.saxo.	3600	in	aaaa	2a01:8840:006c:0000:0000:0000:0000:0027
v0n3.nic.saxo.	3600	in	a	161.232.32.27
v0n3.nic.saxo.	3600	in	aaaa	2a01:8840:0108:0000:0000:0000:0000:0027
v2n0.nic.saxo.	3600	in	a	65.22.111.27
v2n0.nic.saxo.	3600	in	aaaa	2a01:8840:006d:0000:0000:0000:0000:0027
v2n1.nic.saxo.	3600	in	a	161.232.33.27
v2n1.nic.saxo.	3600	in	aaaa	2a01:8840:0109:0000:0000:0000:0000:0027
vcc.saxo.	3600	in	ns	edns4.ultradns.biz.
vcc.saxo.	3600	in	ns	edns4.ultradns.com.
vcc.saxo.	3600	in	ns	edns4.ultradns.net.
vcc.saxo.	3600	in	ns	edns4.ultradns.org.
video.saxo.	3600	in	ns	edns4.ultradns.biz.
video.saxo.	3600	in	ns	edns4.ultradns.com.
video.saxo.	3600	in	ns	edns4.ultradns.net.
video.saxo.	3600	in	ns	edns4.ultradns.org.
vip.saxo.	3600	in	ns	edns4.ultradns.biz.
vip.saxo.	3600	in	ns	edns4.ultradns.com.
vip.saxo.	3600	in	ns	edns4.ultradns.net.
vip.saxo.	3600	in	ns	edns4.ultradns.org.
webinars.saxo.	3600	in	ns	edns4.ultradns.biz.
webinars.saxo.	3600	in	ns	edns4.ultradns.com.
webinars.saxo.	3600	in	ns	edns4.ultradns.net.
webinars.saxo.	3600	in	ns	edns4.ultradns.org.
welkom.saxo.	3600	in	ns	edns4.ultradns.biz.
welkom.saxo.	3600	in	ns	edns4.ultradns.com.
welkom.saxo.	3600	in	ns	edns4.ultradns.net.
welkom.saxo.	3600	in	ns	edns4.ultradns.org.
whitelabel.saxo.	3600	in	ns	edns4.ultradns.biz.
whitelabel.saxo.	3600	in	ns	edns4.ultradns.com.
whitelabel.saxo.	3600	in	ns	edns4.ultradns.net.
whitelabel.saxo.	3600	in	ns	edns4.ultradns.org.
worksmarter.saxo.	3600	in	ns	edns4.ultradns.biz.
worksmarter.saxo.	3600	in	ns	edns4.ultradns.com.
worksmarter.saxo.	3600	in	ns	edns4.ultradns.net.
worksmarter.saxo.	3600	in	ns	edns4.ultradns.org.
www.saxo.	3600	in	ns	edns4.ultradns.biz.
www.saxo.	3600	in	ns	edns4.ultradns.com.
www.saxo.	3600	in	ns	edns4.ultradns.net.
www.saxo.	3600	in	ns	edns4.ultradns.org.
saxo.	3600	in	soa	v0n0.nic.saxo. hostmaster.donuts.email. 1767661854 7200 900 1209600 3600
