8gov0via65e8u64d8jfqol0n9sucikql.compare.	900	in	rrsig	NSEC3 8 2 900 20250916213724 20250902204146 7680 compare. gCDRi4iWJlajbVpzy+WTk0ukirxQokELhqSKMobWpKTb9EEQlF6O5BPgFgYzbfL83ILpZlkr5VYvdgh9LtOz1C0EhMKw7saGNn7A/zlbWwEPR/etUG4wj+MB4ZAkOF7pRqPMBRY1BrFOt7K8EZldMcUtf5hfTr2cAR3gj1pzT3aaASkZeFHMb740e+3MfDsJqm7RDav/RZxuT7zxpgBxlw==
8xbet.compare.	3600	in	ns	celine.ns.cloudflare.com.
8xbet.compare.	3600	in	ns	huxley.ns.cloudflare.com.
_forcedupdate.compare.	300	in	rrsig	TXT 8 2 300 20250913071539 20250903193703 7680 compare. iMt0h+cBS6MYHJDd6HC81RHs63Izs97/JGSL9GJ5gaqS4TSczhACufN6FSjkMfGlFeNHzpH2Ov2kJm/cDqyHIGZ67J/3W7ytFHg1lfxeTEKwXibBNEJGJO1KjbnrZg3UKC/YTF19NpvGiefjc/Q/ABYBqmelSIlzvbI/M5p64sOX4NsE+q6kmB4vsEKvg+sf6RpoTm9aB5s0jlrlgr6B4Q==
_forcedupdate.compare.	300	in	txt	"1756931822"
a.nic.compare.	172800	in	a	37.209.192.9
a.nic.compare.	3600	in	aaaa	2001:0dcd:0001:0000:0000:0000:0000:0009
a6ftfj0dopd1p2mtunestakv4qov2g4r.compare.	900	in	nsec3	1 1 0 - B7OMP1MLL7R8BE407HEU5FMT9Q9C7NSR NS DS RRSIG
a6ftfj0dopd1p2mtunestakv4qov2g4r.compare.	900	in	rrsig	NSEC3 8 2 900 20250916135232 20250902134438 7680 compare. Ke/jYC5THB2gwYkD1jtiM215L1BvkX8Cef0YSzbqF1zkNp8L5Sdt/wkwxXaeatY/MwfZISGCLVerHwDaGdgUmdVSC1JZCi4ZPc/vAWb5rlbZJ5YlLQpiUOjX31h3caNyAUSu22tAjHdh7sWR/v1VsXAR7gXgS98whe3NDnLwVmhIZtSLlIn2Uey1UTQ55mXKscis0cajeZfmjJRSeAFejQ==
abebooks.compare.	3600	in	ns	nsgbr.comlaude.co.uk.
abebooks.compare.	3600	in	ns	nssui.comlaude.ch.
abebooks.compare.	3600	in	ns	nsusa.comlaude.net.
accounting-software.compare.	3600	in	ns	ns49.domaincontrol.com.
accounting-software.compare.	3600	in	ns	ns50.domaincontrol.com.
admiral.compare.	3600	in	ns	ns0.phase8.net.
admiral.compare.	3600	in	ns	ns1.phase8.net.
admiral.compare.	3600	in	ns	ns2.phase8.net.
admiralgroup.compare.	3600	in	ns	ns0.phase8.net.
admiralgroup.compare.	3600	in	ns	ns1.phase8.net.
admiralgroup.compare.	3600	in	ns	ns2.phase8.net.
adobe.compare.	3600	in	ns	ns1.digitalocean.com.
adobe.compare.	3600	in	ns	ns2.digitalocean.com.
adobe.compare.	3600	in	ns	ns3.digitalocean.com.
adsense.compare.	3600	in	ns	ns1.googledomains.com.
adsense.compare.	3600	in	ns	ns2.googledomains.com.
adsense.compare.	3600	in	ns	ns3.googledomains.com.
adsense.compare.	3600	in	ns	ns4.googledomains.com.
adultvideos18.compare.	3600	in	ns	ns1.afternic.com.
adultvideos18.compare.	3600	in	ns	ns2.afternic.com.
agency.compare.	3600	in	ns	jerome.ns.cloudflare.com.
agency.compare.	3600	in	ns	violet.ns.cloudflare.com.
agent.compare.	3600	in	ns	ns21.domaincontrol.com.
agent.compare.	3600	in	ns	ns22.domaincontrol.com.
agentic.compare.	3600	in	ns	curitiba.ns.porkbun.com.
agentic.compare.	3600	in	ns	fortaleza.ns.porkbun.com.
agentic.compare.	3600	in	ns	maceio.ns.porkbun.com.
agentic.compare.	3600	in	ns	salvador.ns.porkbun.com.
agents.compare.	3600	in	ns	curitiba.ns.porkbun.com.
agents.compare.	3600	in	ns	fortaleza.ns.porkbun.com.
agents.compare.	3600	in	ns	maceio.ns.porkbun.com.
agents.compare.	3600	in	ns	salvador.ns.porkbun.com.
agi-systems.compare.	3600	in	ns	ns31.domaincontrol.com.
agi-systems.compare.	3600	in	ns	ns32.domaincontrol.com.
agilent.compare.	3600	in	ns	dns1.p05.nsone.net.
agilent.compare.	3600	in	ns	dns2.p05.nsone.net.
agilent.compare.	3600	in	ns	dns3.p05.nsone.net.
agilent.compare.	3600	in	ns	dns4.p05.nsone.net.
agoda.compare.	3600	in	ns	ns1.markmonitor.com.
agoda.compare.	3600	in	ns	ns2.markmonitor.com.
agoda.compare.	3600	in	ns	ns3.markmonitor.com.
agoda.compare.	3600	in	ns	ns4.markmonitor.com.
agoda.compare.	3600	in	ns	ns5.markmonitor.com.
agoda.compare.	3600	in	ns	ns6.markmonitor.com.
agoda.compare.	3600	in	ns	ns7.markmonitor.com.
aiagent.compare.	3600	in	ns	ns47.domaincontrol.com.
aiagent.compare.	3600	in	ns	ns48.domaincontrol.com.
aianimation.compare.	3600	in	ns	ns05.domaincontrol.com.
aianimation.compare.	3600	in	ns	ns06.domaincontrol.com.
aibot.compare.	3600	in	ns	ns09.domaincontrol.com.
aibot.compare.	3600	in	ns	ns10.domaincontrol.com.
aidata.compare.	3600	in	ns	ns65.domaincontrol.com.
aidata.compare.	3600	in	ns	ns66.domaincontrol.com.
aimedigap.compare.	3600	in	ns	ns49.domaincontrol.com.
aimedigap.compare.	3600	in	ns	ns50.domaincontrol.com.
aiphotos.compare.	3600	in	ns	ns75.domaincontrol.com.
aiphotos.compare.	3600	in	ns	ns76.domaincontrol.com.
airco.compare.	3600	in	ns	ns-164-b.gandi.net.
airco.compare.	3600	in	ns	ns-172-a.gandi.net.
airco.compare.	3600	in	ns	ns-221-c.gandi.net.
airobot.compare.	3600	in	ns	ns75.domaincontrol.com.
airobot.compare.	3600	in	ns	ns76.domaincontrol.com.
airobots.compare.	3600	in	ns	ns57.domaincontrol.com.
airobots.compare.	3600	in	ns	ns58.domaincontrol.com.
airpods.compare.	3600	in	ns	a.ns.apple.com.
airpods.compare.	3600	in	ns	b.ns.apple.com.
airpods.compare.	3600	in	ns	c.ns.apple.com.
airpods.compare.	3600	in	ns	d.ns.apple.com.
airportparking.compare.	3600	in	ns	ns1.sedoparking.com.
airportparking.compare.	3600	in	ns	ns2.sedoparking.com.
aitexts.compare.	3600	in	ns	ns71.domaincontrol.com.
aitexts.compare.	3600	in	ns	ns72.domaincontrol.com.
aitools.compare.	3600	in	ns	curitiba.ns.porkbun.com.
aitools.compare.	3600	in	ns	fortaleza.ns.porkbun.com.
aitools.compare.	3600	in	ns	maceio.ns.porkbun.com.
aitools.compare.	3600	in	ns	salvador.ns.porkbun.com.
aitraining.compare.	3600	in	ns	ns27.domaincontrol.com.
aitraining.compare.	3600	in	ns	ns28.domaincontrol.com.
alexa.compare.	3600	in	ns	nsgbr.comlaude.co.uk.
alexa.compare.	3600	in	ns	nssui.comlaude.ch.
alexa.compare.	3600	in	ns	nsusa.comlaude.net.
aliens.compare.	3600	in	ds	46752 13 2 EB1D85586F206FCF55E466D35B9022EE26D4329C5C0E39CE8ABA06539E166B60
aliens.compare.	3600	in	ns	launch1.spaceship.net.
aliens.compare.	3600	in	ns	launch2.spaceship.net.
aliens.compare.	3600	in	rrsig	DS 8 2 3600 20250916213724 20250902204146 7680 compare. Y2NgdnGDfTKY6G9k3kAMp2VMfCdxEp1o2N3NNiO+QTUZ9mnidK5BjAAmkS8OA4N8C+8g34jsHwbG8orhoZZfW8KJjWFwIcWIRtAKvLF9yqw+sArnysfJSowXjHjpTz15AKAURE+Ycx06QaMGGH4ezdtcW6eeJNm2y3slSPnTFzFb9oYz5g79SEF9EW7vKsMHNyqkNGNG3Ic8NybLiDTYcg==
allura.compare.	3600	in	ns	ns59.domaincontrol.com.
allura.compare.	3600	in	ns	ns60.domaincontrol.com.
alphabet.compare.	3600	in	ns	ns1.googledomains.com.
alphabet.compare.	3600	in	ns	ns2.googledomains.com.
alphabet.compare.	3600	in	ns	ns3.googledomains.com.
alphabet.compare.	3600	in	ns	ns4.googledomains.com.
amazon.compare.	3600	in	ns	nsgbr.comlaude.co.uk.
amazon.compare.	3600	in	ns	nssui.comlaude.ch.
amazon.compare.	3600	in	ns	nsusa.comlaude.net.
amazonalexa.compare.	3600	in	ns	nsgbr.comlaude.co.uk.
amazonalexa.compare.	3600	in	ns	nssui.comlaude.ch.
amazonalexa.compare.	3600	in	ns	nsusa.comlaude.net.
amazonecho.compare.	3600	in	ns	nsgbr.comlaude.co.uk.
amazonecho.compare.	3600	in	ns	nssui.comlaude.ch.
amazonecho.compare.	3600	in	ns	nsusa.comlaude.net.
amazonprime.compare.	3600	in	ns	nsgbr.comlaude.co.uk.
amazonprime.compare.	3600	in	ns	nssui.comlaude.ch.
amazonprime.compare.	3600	in	ns	nsusa.comlaude.net.
americanexpress.compare.	3600	in	ns	dns1.cscdns.net.
americanexpress.compare.	3600	in	ns	dns2.cscdns.net.
americanfamily.compare.	3600	in	ns	ns1.101domain.com.
americanfamily.compare.	3600	in	ns	ns2.101domain.com.
americanfamilyinsurance.compare.	3600	in	ns	ns1.101domain.com.
americanfamilyinsurance.compare.	3600	in	ns	ns2.101domain.com.
americastire.compare.	3600	in	ns	dns1.cscdns.net.
americastire.compare.	3600	in	ns	dns2.cscdns.net.
amfam.compare.	3600	in	ns	ns1.101domain.com.
amfam.compare.	3600	in	ns	ns2.101domain.com.
amzn.compare.	3600	in	ns	nsgbr.comlaude.co.uk.
amzn.compare.	3600	in	ns	nssui.comlaude.ch.
amzn.compare.	3600	in	ns	nsusa.comlaude.net.
an99.compare.	3600	in	ns	ns1.dyna-ns.net.
an99.compare.	3600	in	ns	ns2.dyna-ns.net.
android.compare.	3600	in	ns	ns1.googledomains.com.
android.compare.	3600	in	ns	ns2.googledomains.com.
android.compare.	3600	in	ns	ns3.googledomains.com.
android.compare.	3600	in	ns	ns4.googledomains.com.
antes.compare.	3600	in	ns	dns3002a.trouble-free.net.
antes.compare.	3600	in	ns	dns3002b.trouble-free.net.
apartments.compare.	3600	in	ns	ns37.domaincontrol.com.
apartments.compare.	3600	in	ns	ns38.domaincontrol.com.
apple.compare.	3600	in	ns	a.ns.apple.com.
apple.compare.	3600	in	ns	b.ns.apple.com.
apple.compare.	3600	in	ns	c.ns.apple.com.
apple.compare.	3600	in	ns	d.ns.apple.com.
applecare.compare.	3600	in	ns	a.ns.apple.com.
applecare.compare.	3600	in	ns	b.ns.apple.com.
applecare.compare.	3600	in	ns	c.ns.apple.com.
applecare.compare.	3600	in	ns	d.ns.apple.com.
applemusic.compare.	3600	in	ns	a.ns.apple.com.
applemusic.compare.	3600	in	ns	b.ns.apple.com.
applemusic.compare.	3600	in	ns	c.ns.apple.com.
applemusic.compare.	3600	in	ns	d.ns.apple.com.
applenews.compare.	3600	in	ns	a.ns.apple.com.
applenews.compare.	3600	in	ns	b.ns.apple.com.
applenews.compare.	3600	in	ns	c.ns.apple.com.
applenews.compare.	3600	in	ns	d.ns.apple.com.
applepay.compare.	3600	in	ns	a.ns.apple.com.
applepay.compare.	3600	in	ns	b.ns.apple.com.
applepay.compare.	3600	in	ns	c.ns.apple.com.
applepay.compare.	3600	in	ns	d.ns.apple.com.
applestore.compare.	3600	in	ns	a.ns.apple.com.
applestore.compare.	3600	in	ns	b.ns.apple.com.
applestore.compare.	3600	in	ns	c.ns.apple.com.
applestore.compare.	3600	in	ns	d.ns.apple.com.
appletv.compare.	3600	in	ns	a.ns.apple.com.
appletv.compare.	3600	in	ns	b.ns.apple.com.
appletv.compare.	3600	in	ns	c.ns.apple.com.
appletv.compare.	3600	in	ns	d.ns.apple.com.
applewatch.compare.	3600	in	ns	a.ns.apple.com.
applewatch.compare.	3600	in	ns	b.ns.apple.com.
applewatch.compare.	3600	in	ns	c.ns.apple.com.
applewatch.compare.	3600	in	ns	d.ns.apple.com.
apps365.compare.	3600	in	ns	ns63.domaincontrol.com.
apps365.compare.	3600	in	ns	ns64.domaincontrol.com.
appstore.compare.	3600	in	ns	a.ns.apple.com.
appstore.compare.	3600	in	ns	b.ns.apple.com.
appstore.compare.	3600	in	ns	c.ns.apple.com.
appstore.compare.	3600	in	ns	d.ns.apple.com.
archive.compare.	3600	in	ns	curitiba.ns.porkbun.com.
archive.compare.	3600	in	ns	fortaleza.ns.porkbun.com.
archive.compare.	3600	in	ns	maceio.ns.porkbun.com.
archive.compare.	3600	in	ns	salvador.ns.porkbun.com.
artificialintelligence.compare.	3600	in	ns	ns45.domaincontrol.com.
artificialintelligence.compare.	3600	in	ns	ns46.domaincontrol.com.
asurion.compare.	3600	in	ns	ns02.asurion.com.
asurion.compare.	3600	in	ns	ns03.asurion.com.
audible.compare.	3600	in	ns	nsgbr.comlaude.co.uk.
audible.compare.	3600	in	ns	nssui.comlaude.ch.
audible.compare.	3600	in	ns	nsusa.comlaude.net.
autoglass.compare.	3600	in	ns	dns1.cscdns.net.
autoglass.compare.	3600	in	ns	dns2.cscdns.net.
autolease.compare.	3600	in	ns	ns1.101domain.com.
autolease.compare.	3600	in	ns	ns2.101domain.com.
automate.compare.	3600	in	ns	ns41.domaincontrol.com.
automate.compare.	3600	in	ns	ns42.domaincontrol.com.
automated.compare.	3600	in	ns	ns71.domaincontrol.com.
automated.compare.	3600	in	ns	ns72.domaincontrol.com.
automatic.compare.	3600	in	ns	ns53.domaincontrol.com.
automatic.compare.	3600	in	ns	ns54.domaincontrol.com.
automation.compare.	3600	in	ns	ns63.domaincontrol.com.
automation.compare.	3600	in	ns	ns64.domaincontrol.com.
autoverzekering.compare.	3600	in	ns	ns-2-a.gandi.net.
autoverzekering.compare.	3600	in	ns	ns-248-b.gandi.net.
autoverzekering.compare.	3600	in	ns	ns-252-c.gandi.net.
avaira-vitality.compare.	3600	in	ns	ns1.markmonitor.com.
avaira-vitality.compare.	3600	in	ns	ns2.markmonitor.com.
avaira-vitality.compare.	3600	in	ns	ns3.markmonitor.com.
avaira-vitality.compare.	3600	in	ns	ns4.markmonitor.com.
avaira-vitality.compare.	3600	in	ns	ns5.markmonitor.com.
avaira-vitality.compare.	3600	in	ns	ns6.markmonitor.com.
avaira-vitality.compare.	3600	in	ns	ns7.markmonitor.com.
avaya.compare.	3600	in	ns	ns1.markmonitor.com.
avaya.compare.	3600	in	ns	ns2.markmonitor.com.
avaya.compare.	3600	in	ns	ns3.markmonitor.com.
avaya.compare.	3600	in	ns	ns4.markmonitor.com.
awesome.compare.	3600	in	ns	ns1.aftermarket.com.
awesome.compare.	3600	in	ns	ns2.aftermarket.com.
aws.compare.	3600	in	ns	nsgbr.comlaude.co.uk.
aws.compare.	3600	in	ns	nssui.comlaude.ch.
aws.compare.	3600	in	ns	nsusa.comlaude.net.
axa.compare.	3600	in	ns	dns1.cscdns.net.
axa.compare.	3600	in	ns	dns2.cscdns.net.
azki.compare.	3600	in	ns	directi1.irandns.com.
azki.compare.	3600	in	ns	directi2.irandns.com.
b.nic.compare.	172800	in	a	37.209.194.9
b.nic.compare.	3600	in	aaaa	2001:0dcd:0002:0000:0000:0000:0000:0009
b7omp1mll7r8be407heu5fmt9q9c7nsr.compare.	900	in	nsec3	1 1 0 - B7T6T7CCRRU9F620DUKCKRSB0AJ7SUPV NS DS RRSIG
