02orojhf9a7865ecl75pvbi5kthjivuh.school.	3600	in	nsec3	1 1 0 73 02U0Q9F8A9B8SJJIL5TQUQH6TTEBUSJP NS DS RRSIG
02orojhf9a7865ecl75pvbi5kthjivuh.school.	3600	in	rrsig	NSEC3 8 2 3600 20260122160728 20260101150728 48651 school. Px8hwXpxq7oOnMBhErTcnrc3XZKH8UviYRG76GAGeMKZYOkG0vo3xfMyeSZP6ME/qJj4on7Es+4HHJqIOwZ9QmasbMYoTBBXa3gBSALP5y6Kz2OcznzLHRdwsVB/eQIjeyHq76dRgz0EG7cEapSDBYMQa49e0iM15+Sq0qw8K5o=
02u0q9f8a9b8sjjil5tquqh6ttebusjp.school.	3600	in	nsec3	1 1 0 73 032PHK69HAMAELQQJQH7KPE3K2F5VF85 NS DS RRSIG
02u0q9f8a9b8sjjil5tquqh6ttebusjp.school.	3600	in	rrsig	NSEC3 8 2 3600 20260122160728 20260101150728 48651 school. bzgqNFhg+EnG1Kx/YmIGtDF+D+Qz/luUH4HeiqnEJhWvVn/ZuR5+tRflFBnm0VqpEhJs1+RVz9so+BnlfxyXPzUx/Jvot6kJ3LKrBnsoKL8gIaMZ36h4PlriNcyMllCV7pNlaiR3P6RZk4Aw33xjnoV2VI3RUgAwiomkZoiuKSQ=
032phk69hamaelqqjqh7kpe3k2f5vf85.school.	3600	in	nsec3	1 1 0 73 032SVDAEV4L59MIJVE7E2EVA6P0EDVD4 NS DS RRSIG
032phk69hamaelqqjqh7kpe3k2f5vf85.school.	3600	in	rrsig	NSEC3 8 2 3600 20260122160728 20260101150728 48651 school. Yzp5kpfitRhZCqcqzN9SDgn+Rtprs4lp+jKS5iHxs8fBPDUtR8yi5CUXP4pmacXUsjM0TrMg/5slxxj6bR+F0d1y4J4U5waYUD3yRas0eHJJscrbrAWQmrQoWI/n9TwIvni7TAbSYk/pFwk08jWfkDj59d0wSfuO4eSX2cof8tc=
032svdaev4l59mijve7e2eva6p0edvd4.school.	3600	in	nsec3	1 1 0 73 03CM7JIMV3RBBRL9LSKO94RTG992H082 NS DS RRSIG
032svdaev4l59mijve7e2eva6p0edvd4.school.	3600	in	rrsig	NSEC3 8 2 3600 20260122160728 20260101150728 48651 school. Dd5YLvJkMfmiGqSFmFcHBQzXmcWAiNM1qZKuzj153jagm7NqXSAY/FpyNoCIKG6oYG3cqNyYM1doWJs9YcGf6aIHAlxpJlQLEXgCfnFM3y1gZu5tshhYj+DcirYBpFf6LcLidYUc6orArIZ4AKsUqs7Zs87QWsW5NnV8RY+v+lk=
03cm7jimv3rbbrl9lsko94rtg992h082.school.	3600	in	nsec3	1 1 0 73 03LCOQ0NRHM766DJKCI4QO1DTNITM3GI NS DS RRSIG
03cm7jimv3rbbrl9lsko94rtg992h082.school.	3600	in	rrsig	NSEC3 8 2 3600 20260122160728 20260101150728 48651 school. nYP5JflTJshdtF8byLKJAm/10H/gVN0SzmCQ5xeNd7zBYtDVRY/wT0YSVisTjmhZScHBxxIR6WGdYGhWCcavWOvtAgocRpHvHkktbAIzqpmgKdTHZGUZu9xn2traTMnkEr3RkHAuUOVepGGMM+HMIZZ+DaFuAdjXBFhEugfubeg=
03lcoq0nrhm766djkci4qo1dtnitm3gi.school.	3600	in	nsec3	1 1 0 73 04T3DM04OPEG9G9EDK4O0CHQ79TNSNV2 NS DS RRSIG
