01212.food.	900	in	ns	ns1.dnsip.com.
01212.food.	900	in	ns	ns2.dnsip.com.
01228.food.	900	in	ns	ns1.dnsip.com.
01228.food.	900	in	ns	ns2.dnsip.com.
01230.food.	900	in	ns	perla.ns.cloudflare.com.
01230.food.	900	in	ns	porter.ns.cloudflare.com.
01231.food.	900	in	ns	perla.ns.cloudflare.com.
01231.food.	900	in	ns	porter.ns.cloudflare.com.
01232.food.	900	in	ns	perla.ns.cloudflare.com.
01232.food.	900	in	ns	porter.ns.cloudflare.com.
01233.food.	900	in	ns	perla.ns.cloudflare.com.
01233.food.	900	in	ns	porter.ns.cloudflare.com.
01234.food.	900	in	ns	perla.ns.cloudflare.com.
01234.food.	900	in	ns	porter.ns.cloudflare.com.
01235.food.	900	in	ns	perla.ns.cloudflare.com.
01235.food.	900	in	ns	porter.ns.cloudflare.com.
01236.food.	900	in	ns	perla.ns.cloudflare.com.
01236.food.	900	in	ns	porter.ns.cloudflare.com.
01237.food.	900	in	ns	perla.ns.cloudflare.com.
01237.food.	900	in	ns	porter.ns.cloudflare.com.
01238.food.	900	in	ns	perla.ns.cloudflare.com.
01238.food.	900	in	ns	porter.ns.cloudflare.com.
01251.food.	900	in	ns	ns1.1233dns.com.
01251.food.	900	in	ns	ns2.951dns.com.
01255.food.	900	in	ns	ns1.dnsip.com.
01255.food.	900	in	ns	ns2.dnsip.com.
01272.food.	900	in	ns	n1.xundns.com.
01272.food.	900	in	ns	n2.xundns.com.
01322.food.	900	in	ns	a9.share-dns.com.
01322.food.	900	in	ns	b9.share-dns.net.
01336.food.	900	in	ns	a12.share-dns.com.
01336.food.	900	in	ns	b12.share-dns.net.
01466.food.	900	in	ns	n1.xundns.com.
01466.food.	900	in	ns	n2.xundns.com.
01520.food.	900	in	ns	n1.xundns.com.
01520.food.	900	in	ns	n2.xundns.com.
01623.food.	900	in	ns	ns7.alidns.com.
01623.food.	900	in	ns	ns8.alidns.com.
0165hea.food.	900	in	ns	ns1.dyna-ns.net.
0165hea.food.	900	in	ns	ns2.dyna-ns.net.
01849.food.	900	in	ns	ns1.1233dns.com.
01849.food.	900	in	ns	ns2.951dns.com.
01853.food.	900	in	ns	alexia.ns.cloudflare.com.
01853.food.	900	in	ns	dante.ns.cloudflare.com.
01915.food.	900	in	ns	ns1.dnsip.com.
01915.food.	900	in	ns	ns2.dnsip.com.
01jk.food.	900	in	ns	curitiba.ns.porkbun.com.
01jk.food.	900	in	ns	fortaleza.ns.porkbun.com.
01jk.food.	900	in	ns	maceio.ns.porkbun.com.
01jk.food.	900	in	ns	salvador.ns.porkbun.com.
0206.food.	900	in	ns	n1.xundns.com.
0206.food.	900	in	ns	n2.xundns.com.
02199.food.	900	in	ns	a12.share-dns.com.
02199.food.	900	in	ns	b12.share-dns.net.
02213.food.	900	in	ns	ns1.dnsip.com.
