b2b.globo.	86400	in	ns	ns04.globo.com.
bastidores.globo.	86400	in	ns	ns01.oghost.com.br.
bastidores.globo.	86400	in	ns	ns02.oghost.com.br.
bastidores.globo.	86400	in	ns	ns03.oghost.com.br.
bastidores.globo.	86400	in	ns	ns04.oghost.com.br.
blackfriday.globo.	86400	in	ns	ns-1260.awsdns-29.org.
blackfriday.globo.	86400	in	ns	ns-2045.awsdns-63.co.uk.
blackfriday.globo.	86400	in	ns	ns-74.awsdns-09.com.
blackfriday.globo.	86400	in	ns	ns-756.awsdns-30.net.
brasileirao.globo.	86400	in	ns	ns01.globo.com.
brasileirao.globo.	86400	in	ns	ns02.globo.com.
brasileirao.globo.	86400	in	ns	ns03.globo.com.
brasileirao.globo.	86400	in	ns	ns04.globo.com.
carnaval.globo.	86400	in	ns	ns01.globo.com.
carnaval.globo.	86400	in	ns	ns02.globo.com.
carnaval.globo.	86400	in	ns	ns03.globo.com.
carnaval.globo.	86400	in	ns	ns04.globo.com.
ciencia.globo.	86400	in	ns	ns01.globo.com.
ciencia.globo.	86400	in	ns	ns02.globo.com.
ciencia.globo.	86400	in	ns	ns03.globo.com.
ciencia.globo.	86400	in	ns	ns04.globo.com.
cloud.globo.	86400	in	ns	ns01.oghost.com.br.
cloud.globo.	86400	in	ns	ns02.oghost.com.br.
cloud.globo.	86400	in	ns	ns03.oghost.com.br.
cloud.globo.	86400	in	ns	ns04.oghost.com.br.
combate.globo.	86400	in	ns	ns01.oghost.com.br.
combate.globo.	86400	in	ns	ns02.oghost.com.br.
combate.globo.	86400	in	ns	ns03.oghost.com.br.
combate.globo.	86400	in	ns	ns04.oghost.com.br.
comunidade.globo.	86400	in	ns	ns01.globo.com.
comunidade.globo.	86400	in	ns	ns02.globo.com.
comunidade.globo.	86400	in	ns	ns03.globo.com.
comunidade.globo.	86400	in	ns	ns04.globo.com.
conecta.globo.	86400	in	ns	ns-1355.awsdns-41.org.
conecta.globo.	86400	in	ns	ns-1564.awsdns-03.co.uk.
conecta.globo.	86400	in	ns	ns-398.awsdns-49.com.
conecta.globo.	86400	in	ns	ns-874.awsdns-45.net.
conta.globo.	86400	in	ns	ns01.globo.com.
conta.globo.	86400	in	ns	ns02.globo.com.
conta.globo.	86400	in	ns	ns03.globo.com.
conta.globo.	86400	in	ns	ns04.globo.com.
conteudoglobo.globo.	86400	in	ns	ns01.globo.com.
conteudoglobo.globo.	86400	in	ns	ns02.globo.com.
conteudoglobo.globo.	86400	in	ns	ns03.globo.com.
conteudoglobo.globo.	86400	in	ns	ns04.globo.com.
corp.globo.	86400	in	ns	ns01.globo.com.
corp.globo.	86400	in	ns	ns02.globo.com.
corp.globo.	86400	in	ns	ns03.globo.com.
corp.globo.	86400	in	ns	ns04.globo.com.
csirt.globo.	86400	in	ns	ns01.globo.com.
csirt.globo.	86400	in	ns	ns02.globo.com.
csirt.globo.	86400	in	ns	ns03.globo.com.
csirt.globo.	86400	in	ns	ns04.globo.com.
dados.globo.	86400	in	ns	ns01.oghost.com.br.
dados.globo.	86400	in	ns	ns02.oghost.com.br.
dados.globo.	86400	in	ns	ns03.oghost.com.br.
dados.globo.	86400	in	ns	ns04.oghost.com.br.
dev.globo.	86400	in	ns	ns01.oghost.com.br.
dev.globo.	86400	in	ns	ns02.oghost.com.br.
dev.globo.	86400	in	ns	ns03.oghost.com.br.
dev.globo.	86400	in	ns	ns04.oghost.com.br.
devops.globo.	86400	in	ns	ns-1022.awsdns-63.net.
devops.globo.	86400	in	ns	ns-1449.awsdns-53.org.
devops.globo.	86400	in	ns	ns-1751.awsdns-26.co.uk.
devops.globo.	86400	in	ns	ns-343.awsdns-42.com.
diadomidianaglobo.globo.	86400	in	ns	ns-1237.awsdns-26.org.
diadomidianaglobo.globo.	86400	in	ns	ns-1714.awsdns-22.co.uk.
diadomidianaglobo.globo.	86400	in	ns	ns-38.awsdns-04.com.
diadomidianaglobo.globo.	86400	in	ns	ns-994.awsdns-60.net.
digital.globo.	86400	in	ns	ns01.oghost.com.br.
digital.globo.	86400	in	ns	ns02.oghost.com.br.
digital.globo.	86400	in	ns	ns03.oghost.com.br.
digital.globo.	86400	in	ns	ns04.oghost.com.br.
docedemae.globo.	86400	in	ns	ns01.globo.com.
docedemae.globo.	86400	in	ns	ns02.globo.com.
docedemae.globo.	86400	in	ns	ns03.globo.com.
docedemae.globo.	86400	in	ns	ns04.globo.com.
dropz.globo.	86400	in	ns	ns01.oghost.com.br.
