02nin06cd9m8kg53hnv77f4n38q9fim0.house.	3600	in	nsec3	1 1 0 73 02RHRRGKDVN6J3O93KTNBL572O7NJDNI NS DS RRSIG
02nin06cd9m8kg53hnv77f4n38q9fim0.house.	3600	in	rrsig	NSEC3 8 2 3600 20260122153823 20260101143823 49353 house. jlOCaDjlesBX22l82u+a2Z4S6W0HowN3xqtQCXK2ASf07RrXXNNgVOt3vtbty97ezvFNoorVzK6MacUJdNqyt0auoYcq2XdnwnSj8mrxN5AvY+0XeXQdyZk29lVgpkOT0HvFrqM/XuXXc8wm+VeosQ6uLhFQ2GYtrQVg136rw9s=
02rhrrgkdvn6j3o93ktnbl572o7njdni.house.	3600	in	nsec3	1 1 0 73 03PRQMEF8LD8I0DMQ07C3HV3HCAT48JO NS DS RRSIG
02rhrrgkdvn6j3o93ktnbl572o7njdni.house.	3600	in	rrsig	NSEC3 8 2 3600 20260122153823 20260101143823 49353 house. T05COrYZXMuGDIX139iTYOrrkdHMrSkcoh9AggXSsINqslfhjbTFD0zzspxL7AoAuB/+h906Rk1mFtGzkk+ji058qp9/BnjzR6kPUV/jGrip/GgWn6ggUc452Nqw9GcZMryuHlpxuajxqNRfeBVFtpkmkSR5az43ZrvS/3uglT8=
03.house.	3600	in	ns	dns100.ovh.net.
03.house.	3600	in	ns	ns100.ovh.net.
03prqmef8ld8i0dmq07c3hv3hcat48jo.house.	3600	in	nsec3	1 1 0 73 03Q3MO51T9ORN5CTSIH9KAU8L096PN45 NS DS RRSIG
03prqmef8ld8i0dmq07c3hv3hcat48jo.house.	3600	in	rrsig	NSEC3 8 2 3600 20260122153823 20260101143823 49353 house. XW155H9d0motFl0COuZhZ9zooY880ttgJR46XbYdcwQi1xe2ShaowT/ro9TlvqqcSjIQEg+eS6t3v6s6nhaKdgQ3YysZeaxVk6ryGKQUHkuDI9hWN7gYLrbzcRQKCJcKb2oidjiNu/3omNc8BIEqLsE/kTfK3GXjAgD39iabPJo=
03q3mo51t9orn5ctsih9kau8l096pn45.house.	3600	in	nsec3	1 1 0 73 043HOQREHUCRQH240PHT480G2GVGQ8AG NS DS RRSIG
03q3mo51t9orn5ctsih9kau8l096pn45.house.	3600	in	rrsig	NSEC3 8 2 3600 20260122153823 20260101143823 49353 house. nuc4kSKQxY+MBFEYKB7GvIAb4nN3iaBMTRNq+o367gRl4cGuBJ5FENS/EvGlYvz4IuP72+7dZiWVhmMQPtJRhIJBS8cfC8JvyDqEWa50T2CD0cuYXpP/tA0QNm4UBB9ZXn/01bYeOkdrqt5m/3iUrg7M8u77nErfv98M+4AWvgA=
043hoqrehucrqh240pht480g2gvgq8ag.house.	3600	in	nsec3	1 1 0 73 04MCV9O8F8FVF16JPTBS6F4442QL23IF NS DS RRSIG
043hoqrehucrqh240pht480g2gvgq8ag.house.	3600	in	rrsig	NSEC3 8 2 3600 20260122153823 20260101143823 49353 house. nvk1Tg80X4L8EdgplRcOPd3E6Pt71WqRZP07lgyf9ep/Q0rQQ4dgdxVsGjUEAn/LmM5KeCHf1VmBjf9Qkb4VTtHjID+UX8zeJyWdZ3ITGEsqYwNkuzydeLdHKpNlnqFy1+UOLOngu/SNAcf7JQwcPAIgRr8kLBPyfqadk7RQGek=
04mcv9o8f8fvf16jptbs6f4442ql23if.house.	3600	in	nsec3	1 1 0 73 04N5L4OOE5D3TLJ4U597M4GUTAM3LI3O NS DS RRSIG
04mcv9o8f8fvf16jptbs6f4442ql23if.house.	3600	in	rrsig	NSEC3 8 2 3600 20260122153823 20260101143823 49353 house. CkqbK/BmUEly4T0XIGKCkgCmgAJL9qB2I+PYjJZnrNQA2fgKlbKTVqLQIrvsJscMTPBKS038fbJlQrehnblqNHpxu0W3auW7PaAy1NrcIAfwQpBUehkJCPXjUO3h4ETYrYmG5W4SuZyMIc0kwqory2HBmxLe64buGJKD+Fggi58=
04n5l4ooe5d3tlj4u597m4gutam3li3o.house.	3600	in	nsec3	1 1 0 73 05EMGMFTIG5T7P0E5FKP9PBB9QM7D6TJ NS DS RRSIG
04n5l4ooe5d3tlj4u597m4gutam3li3o.house.	3600	in	rrsig	NSEC3 8 2 3600 20260122153823 20260101143823 49353 house. PcchWgs6mOs7pdA+KyBlfsZF1wTHcHO4Rhbq5wDQH9bvrc7QvcFvxGUQ5DY7K4Emn91v9WyadKXvSDtQLTwPnfD0tZjV/zDIhpdtERJzNeSRM8+3Bpai/B0oC+zLu5BJT/kzKZxPwg4/45GTtJsZ02Jzcj8OsxM96vtSVQr3wqc=
05.house.	3600	in	ns	ns1.reg.ru.
05.house.	3600	in	ns	ns2.reg.ru.
05emgmftig5t7p0e5fkp9pbb9qm7d6tj.house.	3600	in	nsec3	1 1 0 73 05V86OACEQRJT18BF0FHUASEBAJJ4EQS NS DS RRSIG
