0v3k6tv94j31ve4gla0uv5ti8357726o.delivery.	3600	in	rrsig	NSEC3 8 2 3600 20250922154823 20250901144823 2469 delivery. vZV6T5wPBJDCD/JBHMQabXsPpLDe4bBZnYEycQTOaqccIr2xdA1Ezdx1h7YwSUMP+MpHNCsuAfhluJSsUhhp2f5Dv+ZL28lXy9cOeyyBXMZnFZ+YWGNINEIyIHXzpX86jUjIqQ8B8/mGvmfrgcdOtDKFsuLkmTJorgSt9UkVjqE=
0velgfrrnl1v4fkpq1nqhk3gleg8ssh6.delivery.	3600	in	nsec3	1 1 0 73 10UN3TPKPMTAUPHKK087U3N6A79HSMAI NS DS RRSIG
0velgfrrnl1v4fkpq1nqhk3gleg8ssh6.delivery.	3600	in	rrsig	NSEC3 8 2 3600 20250922154823 20250901144823 2469 delivery. Niv19MoSM4lVBzLKn8pPfgNMPCEH/QfnfKSuulcpuS/WX7wybaAhxGdOh7RyeT4oSiw+mUGXbF5Zoot1g+Yhy0Q/Gm/iMYQZUxzGjlIdnJtTUdnB3mMVsLRSDJmVyju7SuDQ3qzobICo9nnx+UIJJ9FeczAofnDJgIn5bVQM0EI=
0x.delivery.	3600	in	ns	dns100.ovh.net.
0x.delivery.	3600	in	ns	ns100.ovh.net.
10.delivery.	3600	in	ns	ns1.afternic.com.
10.delivery.	3600	in	ns	ns2.afternic.com.
101mail.delivery.	3600	in	ns	ns1.101mail.delivery.
101mail.delivery.	3600	in	ns	ns2.101mail.delivery.
1099.delivery.	3600	in	ns	ns13.domaincontrol.com.
1099.delivery.	3600	in	ns	ns14.domaincontrol.com.
10min.delivery.	3600	in	ns	pdns11.domaincontrol.com.
10min.delivery.	3600	in	ns	pdns12.domaincontrol.com.
10minute.delivery.	3600	in	ns	dns1.registrar-servers.com.
10minute.delivery.	3600	in	ns	dns2.registrar-servers.com.
10un3tpkpmtauphkk087u3n6a79hsmai.delivery.	3600	in	nsec3	1 1 0 73 11CL7LMQQ9PBBV6CJ1EAH5D0L4AOUTDO NS DS RRSIG
10un3tpkpmtauphkk087u3n6a79hsmai.delivery.	3600	in	rrsig	NSEC3 8 2 3600 20250922154823 20250901144823 2469 delivery. LOVQe73CcVEwy3dSQW3wTgeSFki3aSAqZp/8T4oiZjaKBXVl0Nr/dPMAvU90Kprb22Ci5kP0kInyamosPSEvHVYg42qJJxh/a1ccYi8YhtyzW6zFT3jUAS0mhbMKXpHYpOq+wUIbqCd1i4mXItQTFIu8s6kLfPkxg/UfPZbzaTo=
10x.delivery.	3600	in	ns	alla.ns.cloudflare.com.
10x.delivery.	3600	in	ns	matt.ns.cloudflare.com.
11.delivery.	3600	in	ns	alec.ns.cloudflare.com.
11.delivery.	3600	in	ns	tani.ns.cloudflare.com.
112.delivery.	3600	in	ns	park1.dccdns.com.
112.delivery.	3600	in	ns	park2.dccdns.com.
112.delivery.	3600	in	ns	park3.dccdns.com.
112.delivery.	3600	in	ns	park4.dccdns.com.
11cl7lmqq9pbbv6cj1eah5d0l4aoutdo.delivery.	3600	in	nsec3	1 1 0 73 11P9MQSERQ4KPSDSMM8RFIQ7243C2SUH NS DS RRSIG
11cl7lmqq9pbbv6cj1eah5d0l4aoutdo.delivery.	3600	in	rrsig	NSEC3 8 2 3600 20250922154823 20250901144823 2469 delivery. bilFWkxNg6wfs5jvqhbtbN6NjyNjS9tQfgFeWemJRz58R7mptIkrJicXsoeIbP0UtkIOj82cQVvApQOVdUOqCMHw+o94F1GN7zfPoc8hLo5aIlPmK4oK72n9/T9xvmPQPi5VEvfmka+ASYf/5ClTSpZG0VO21/O+EtF30fUxftc=
11p9mqserq4kpsdsmm8rfiq7243c2suh.delivery.	3600	in	nsec3	1 1 0 73 139730VTG5NN8QTA3F30OB2NG0IRS3TJ NS DS RRSIG
