baidu.xn--1qqw23a.	86400	in	ns	ns2.brandshelter.de.
baidu.xn--1qqw23a.	86400	in	ns	ns3.brandshelter.info.
baidu.xn--1qqw23a.	86400	in	ns	ns4.brandshelter.net.
baidu.xn--1qqw23a.	86400	in	ns	ns5.brandshelter.us.
blogger.xn--1qqw23a.	86400	in	ns	ns1.googledomains.com.
blogger.xn--1qqw23a.	86400	in	ns	ns2.googledomains.com.
blogger.xn--1qqw23a.	86400	in	ns	ns3.googledomains.com.
blogger.xn--1qqw23a.	86400	in	ns	ns4.googledomains.com.
cctv1.xn--1qqw23a.	86400	in	ns	dns17.hichina.com.
cctv1.xn--1qqw23a.	86400	in	ns	dns18.hichina.com.
chat.xn--1qqw23a.	86400	in	ns	dns15.hichina.com.
chat.xn--1qqw23a.	86400	in	ns	dns16.hichina.com.
chrome.xn--1qqw23a.	86400	in	ns	ns1.googledomains.com.
chrome.xn--1qqw23a.	86400	in	ns	ns2.googledomains.com.
chrome.xn--1qqw23a.	86400	in	ns	ns3.googledomains.com.
chrome.xn--1qqw23a.	86400	in	ns	ns4.googledomains.com.
collove.xn--1qqw23a.	86400	in	ns	dns1.hichina.com.
collove.xn--1qqw23a.	86400	in	ns	dns2.hichina.com.
com.xn--1qqw23a.	86400	in	ns	dns25.hichina.com.
com.xn--1qqw23a.	86400	in	ns	dns26.hichina.com.
dayi.xn--1qqw23a.	86400	in	ns	dns29.hichina.com.
dayi.xn--1qqw23a.	86400	in	ns	dns30.hichina.com.
deepseek.xn--1qqw23a.	86400	in	ns	dns11.hichina.com.
deepseek.xn--1qqw23a.	86400	in	ns	dns12.hichina.com.
deepseekcn.xn--1qqw23a.	86400	in	ns	dns13.hichina.com.
deepseekcn.xn--1qqw23a.	86400	in	ns	dns14.hichina.com.
deepseekpay.xn--1qqw23a.	86400	in	ns	dns23.hichina.com.
deepseekpay.xn--1qqw23a.	86400	in	ns	dns24.hichina.com.
edu.xn--1qqw23a.	86400	in	ns	dns27.hichina.com.
edu.xn--1qqw23a.	86400	in	ns	dns28.hichina.com.
electricwheelchair.xn--1qqw23a.	86400	in	ns	dns23.hichina.com.
electricwheelchair.xn--1qqw23a.	86400	in	ns	dns24.hichina.com.
emeis.xn--1qqw23a.	86400	in	ns	dns1.cscdns.net.
emeis.xn--1qqw23a.	86400	in	ns	dns2.cscdns.net.
face.xn--1qqw23a.	86400	in	ns	dns27.hichina.com.
face.xn--1qqw23a.	86400	in	ns	dns28.hichina.com.
fstc.xn--1qqw23a.	86400	in	ns	expirens3.hichina.com.
fstc.xn--1qqw23a.	86400	in	ns	expirens4.hichina.com.
gmail.xn--1qqw23a.	86400	in	ns	ns1.googledomains.com.
gmail.xn--1qqw23a.	86400	in	ns	ns2.googledomains.com.
gmail.xn--1qqw23a.	86400	in	ns	ns3.googledomains.com.
gmail.xn--1qqw23a.	86400	in	ns	ns4.googledomains.com.
google.xn--1qqw23a.	86400	in	ns	ns1.googledomains.com.
google.xn--1qqw23a.	86400	in	ns	ns2.googledomains.com.
google.xn--1qqw23a.	86400	in	ns	ns3.googledomains.com.
google.xn--1qqw23a.	86400	in	ns	ns4.googledomains.com.
guanmei.xn--1qqw23a.	86400	in	ns	dns11.hichina.com.
guanmei.xn--1qqw23a.	86400	in	ns	dns12.hichina.com.
icecream.xn--1qqw23a.	86400	in	ns	dns25.hichina.com.
icecream.xn--1qqw23a.	86400	in	ns	dns26.hichina.com.
kejinshou.xn--1qqw23a.	86400	in	ns	dns15.hichina.com.
kejinshou.xn--1qqw23a.	86400	in	ns	dns16.hichina.com.
lxl.xn--1qqw23a.	86400	in	ns	vip1.alidns.com.
lxl.xn--1qqw23a.	86400	in	ns	vip2.alidns.com.
maker.xn--1qqw23a.	86400	in	ns	dns13.hichina.com.
maker.xn--1qqw23a.	86400	in	ns	dns14.hichina.com.
manus.xn--1qqw23a.	86400	in	ns	dns23.hichina.com.
manus.xn--1qqw23a.	86400	in	ns	dns24.hichina.com.
markmonitor.xn--1qqw23a.	86400	in	ns	ns1.markmonitor.com.
markmonitor.xn--1qqw23a.	86400	in	ns	ns2.markmonitor.com.
markmonitor.xn--1qqw23a.	86400	in	ns	ns3.markmonitor.com.
markmonitor.xn--1qqw23a.	86400	in	ns	ns4.markmonitor.com.
markmonitor.xn--1qqw23a.	86400	in	ns	ns5.markmonitor.com.
markmonitor.xn--1qqw23a.	86400	in	ns	ns6.markmonitor.com.
markmonitor.xn--1qqw23a.	86400	in	ns	ns7.markmonitor.com.
merck.xn--1qqw23a.	86400	in	ns	dns21.hichina.com.
merck.xn--1qqw23a.	86400	in	ns	dns22.hichina.com.
microsoft.xn--1qqw23a.	86400	in	ns	ns1-04.azure-dns.com.
microsoft.xn--1qqw23a.	86400	in	ns	ns2-04.azure-dns.net.
microsoft.xn--1qqw23a.	86400	in	ns	ns3-04.azure-dns.org.
microsoft.xn--1qqw23a.	86400	in	ns	ns4-04.azure-dns.info.
mini.xn--1qqw23a.	86400	in	ns	dns7.hichina.com.
mini.xn--1qqw23a.	86400	in	ns	dns8.hichina.com.
mvs.xn--1qqw23a.	86400	in	ns	dns10.hichina.com.
mvs.xn--1qqw23a.	86400	in	ns	dns9.hichina.com.
nic.xn--1qqw23a.	86400	in	ds	44374 8 2 DE3504BAA003FC0A3739BF313E5110854381CDC83326EFB64FCC2E3A2F58D2BD
nic.xn--1qqw23a.	86400	in	ns	ta.ngtld.cn.
nic.xn--1qqw23a.	86400	in	ns	tb.ngtld.cn.
nic.xn--1qqw23a.	86400	in	ns	tc.ngtld.cn.
nic.xn--1qqw23a.	86400	in	ns	td.ngtld.cn.
nic.xn--1qqw23a.	86400	in	ns	te.ngtld.cn.
nic.xn--1qqw23a.	86400	in	rrsig	DS 8 2 86400 20260209184205 20260110183314 17151 xn--1qqw23a. BSwPSODTck3r/mh0eYHXM1ad3GhgP+LsKwE+hoC7TCWCM4liM0Wd2hlm4EfdrgfOB9a3NGzKY5e6G0GvgIwPcOpmkNa+gWe0us1qz1I1+T/yHsuVdCAl87wbKN+N/O+29nXRczYryNrDcShr7B51Nvwcr5XVNPEoplb5izt6Cmw=
oculus.xn--1qqw23a.	86400	in	ns	a.ns.facebook.com.
oculus.xn--1qqw23a.	86400	in	ns	b.ns.facebook.com.
oculus.xn--1qqw23a.	86400	in	ns	c.ns.facebook.com.
oculus.xn--1qqw23a.	86400	in	ns	d.ns.facebook.com.
oculusrift.xn--1qqw23a.	86400	in	ns	a.ns.facebook.com.
oculusrift.xn--1qqw23a.	86400	in	ns	b.ns.facebook.com.
oculusrift.xn--1qqw23a.	86400	in	ns	c.ns.facebook.com.
oculusrift.xn--1qqw23a.	86400	in	ns	d.ns.facebook.com.
oculusvr.xn--1qqw23a.	86400	in	ns	a.ns.facebook.com.
oculusvr.xn--1qqw23a.	86400	in	ns	b.ns.facebook.com.
oculusvr.xn--1qqw23a.	86400	in	ns	c.ns.facebook.com.
oculusvr.xn--1qqw23a.	86400	in	ns	d.ns.facebook.com.
penghe.xn--1qqw23a.	86400	in	ns	dns25.hichina.com.
penghe.xn--1qqw23a.	86400	in	ns	dns26.hichina.com.
quantum.xn--1qqw23a.	86400	in	ns	dns11.hichina.com.
