bayern.	86400	in	soa	anycast9.irondns.net. dnsmaster.irondns.net. 2509120103 7200 7200 604800 7200
0081mlfvlec3qj5m508633l9sjvbsiph.bayern.	43200	in	rrsig	NSEC3 8 2 43200 20250924085857 20250910085857 25116 bayern. FNL0WufmSjWLNfHja96cZKa3o+hlNHTQOJOeiWs7ydNB4d7mK4KkRFc5q/eMDXoN4CYrIo+XeILF99q8cPvlR1euJGqbQL/lcS2EknMMs1A9BgvV8WcJ2m9oZ2U1v+F2/bVW6Hiz3nlqxKawkb6GQzJpV0oe1eSmzCEPumyjoJmhRvtSbzTj/K1zD/qdX2bcnww9rZhylsoYHKzhc0ZgKQ==
00846bmbh82ovq0n1kr78jc97c3dhh7e.bayern.	43200	in	nsec3	1 0 0 - 009A705PTM7DFI1UK37KFMKP5DQEC1LO NS
00846bmbh82ovq0n1kr78jc97c3dhh7e.bayern.	43200	in	rrsig	NSEC3 8 2 43200 20250924085857 20250910085857 25116 bayern. Euw44gnXk3E0w4m5pSqAE8avbYiacTrfo6dkjG6VFTDlrNvIGhRO2IkPTuQrLkLl+edMO75YwQpuGnB0bYVxKvAUzvHJ7zJdAm7ivCY1Pz4L3mtHN+D8kGlFEbMuEDXAi93g3pfG/jyWxjtuvkCPR9djttdxnkd1NhBUcqVdHZs9wG7PxmI+qzLg9nwtn0PWXf8HOTRyB7iFhHIkW1vQxQ==
009a705ptm7dfi1uk37kfmkp5dqec1lo.bayern.	43200	in	nsec3	1 0 0 - 00A71OS7JA4MRJCG32HVS4TCGEPHTHPR NS
009a705ptm7dfi1uk37kfmkp5dqec1lo.bayern.	43200	in	rrsig	NSEC3 8 2 43200 20250924085857 20250910085857 25116 bayern. dKCi1F5oOJ1Pr/jgV+5QMMIzV5ARJaXA4yckKf+BJOjFCkWBI2ka6ziZFrFWOHVEcQYE89f7H55aFCBMmgnqH/U1PHiyV1++hIOWMo13BJMthwbG/h5vQFRvVxIP+3Xh/8yuusMS9rJ140WxNO+xcxF57zcN12Qo1toorXTHDUnBZRtui9semhBD158tmjKYiM34gJGT/6KoqwWpbPBECg==
00a71os7ja4mrjcg32hvs4tcgephthpr.bayern.	43200	in	nsec3	1 0 0 - 00AMV24RASUDPCOJ4DDNIQUJF4QD00HA NS
00a71os7ja4mrjcg32hvs4tcgephthpr.bayern.	43200	in	rrsig	NSEC3 8 2 43200 20250924085857 20250910085857 25116 bayern. V3DVQc+m3uJDAy1bARqc1WlE3Z2Pxc6dRMic2ShCZo4W/q1B84w/YqEflE81lW7adJGqrcM+Y6ARvCWzCX1xpL9r9t1VPwHfdtOVd9t1NNu4+Gq7vkgokisbhAUqPc/Mp1L3NSRpYn6RPVzZuL9VZicXdLBfBnbXY4acH1y+TvoTW2CnC/qPlX1/CsE4f3t4wEgW/sU62SyKqFEw2mlBIg==
00amv24rasudpcoj4ddniqujf4qd00ha.bayern.	43200	in	nsec3	1 0 0 - 00B8JV3GS972INAD2CIPM20GQVOHMN0V NS
00amv24rasudpcoj4ddniqujf4qd00ha.bayern.	43200	in	rrsig	NSEC3 8 2 43200 20250924085857 20250910085857 25116 bayern. iRcwrfvceHH8adSck7iq7FNtlITSrMlLpzadQ5ZaJkrlLbL0XLw52BLaEMfuOOhGpCczRMIXzqTXEfDV9XrrmAolVo4VqLi1i4NEbcgzuaKXtUdalJxdFjZPNMRr0oUt0UAA/115VrFIFswFfOU9Q1HVBzRxbEQXs6ORatrxp+PlWHA1rW8Leb4hAqsmH6Wab1WRtsqffujZ8HQGi0t8RQ==
00b8jv3gs972inad2cipm20gqvohmn0v.bayern.	43200	in	nsec3	1 0 0 - 00BU3LVU54AFR3EGPLOJRPAMQU4ONHCK NS
00b8jv3gs972inad2cipm20gqvohmn0v.bayern.	43200	in	rrsig	NSEC3 8 2 43200 20250924085857 20250910085857 25116 bayern. eFkFd/HpfDl1s5V4Qxc7EcLWD6Z+sFk1cf0f5F0pLto3UCsUOIeH3WYH8dOap9tY5HW9l1IaLJQX91i+f9iPoQrRnEU7KlDMHqAYcV/Eh67S3RwBs8yAKh7hd0NtwcuEsQoItF+ppptDljRIMZVBub7pyhRhazrS4SNignK5Ffi1mdkkkrl4oZNx8odIzMMTfkDtMAeSy3qMeA7kqI0Ghw==
00bu3lvu54afr3egplojrpamqu4onhck.bayern.	43200	in	nsec3	1 0 0 - 00CLCM817V8SRA5AQPCRU0U8T5LRCJTI NS
00bu3lvu54afr3egplojrpamqu4onhck.bayern.	43200	in	rrsig	NSEC3 8 2 43200 20250924085857 20250910085857 25116 bayern. D83UBhPS5Ui6T0PZ7mMNBJUXfQVcc6hTounMG0zysDc9l1tuAcpIQybjj4sXVyguEYLwJ4i2wyuTAaQOfWVilrjNh/uY9mv+OGsLj0cv6aaIqFL51voK6FiU01TjnCoRy8HT1xUXbUdwxEL7IMQoXV7q5ws+qS+AlHP97GMox16aBen4kY5B7PoVKV9+RTxXvCwjqLdpv62T2JPGbsP2Og==
00clcm817v8sra5aqpcru0u8t5lrcjti.bayern.	43200	in	nsec3	1 0 0 - 00DFKKJFMHPQLL6LADJS3TQLPAQHUIJC NS
00clcm817v8sra5aqpcru0u8t5lrcjti.bayern.	43200	in	rrsig	NSEC3 8 2 43200 20250924085857 20250910085857 25116 bayern. Gcq0lfVy+krPQ3QHKkrenEYWwuu5RNGPJPjIvcLW0+leT8HjbwESkMnpKvpJ7ywvNbKgrXKNwvWBap2yH6HVtnPSQOSRLkxejIYHlGkgWPXgxGT2aJgY6QUFRX5xnbHQ1jxS6BtkYL7TB1flPBrEOkRb8YZIZw0iOek/RCcQ6WWvlNuQ0a7cSEbYwQc7cCt2yGELw3oEFuhS0mJCYmwWkA==
00dfkkjfmhpqll6ladjs3tqlpaqhuijc.bayern.	43200	in	nsec3	1 0 0 - 00EIQIJ0C5H1N0U0HMDDPLMLD77ON38R NS
00dfkkjfmhpqll6ladjs3tqlpaqhuijc.bayern.	43200	in	rrsig	NSEC3 8 2 43200 20250924085857 20250910085857 25116 bayern. f0cy5VoH+wplc7/G92QyRC1QY9PRaMY7pF/4MGPb8xWTmsQAgGrpQlS2jIPZSMatByQJqubUu401xvsndHGbC8805uwRDRR86WG7DyDebl27Oy8StQbPFUK8Yxarqslp0v2yyExmaqzQBUhRIzl54jlxFbsMUZcEQvJQtR0uTDSkTHsIjRjUdz8vqXgAaSZiDx2m7ntA1WCT+PJPs8qKMQ==
00eiqij0c5h1n0u0hmddplmld77on38r.bayern.	43200	in	nsec3	1 0 0 - 00ESPNKVP4OHDQ7DM35O7V4PO4RPM4BP NS
00eiqij0c5h1n0u0hmddplmld77on38r.bayern.	43200	in	rrsig	NSEC3 8 2 43200 20250924085857 20250910085857 25116 bayern. E2ndx6Xm6nN67HPh7k0Q5sSYduro9msoLNCgLJmCOBn6IgQVj5vbwR+Uqi4hj2B9veESzOZoguD7SCLbsXuBWlCnBOQ/jlQOhnA+IagyLomvD2vYrx/6vCu6fqSmRWinvAtdVYTrziCcGh4pThWD46oQdCP0IlungcgwSmM8ZLVN5Y3HLRxB7lpgQv8iMKdwbgCC3BYBT9MI+J01O2bNIw==
00espnkvp4ohdq7dm35o7v4po4rpm4bp.bayern.	43200	in	nsec3	1 0 0 - 00F2N0S19MQN3S34IJ3RPNJU85ARFTH8 NS
00espnkvp4ohdq7dm35o7v4po4rpm4bp.bayern.	43200	in	rrsig	NSEC3 8 2 43200 20250924085857 20250910085857 25116 bayern. XjdxmVuzVhbNUgrzlb4SKNcqvCMqdRG0bZl6HrozEBRmVLRzDyGqL1V+a7KwAybFffAoq8Mh0DjvYg3SFrdQzNkuKK7W6g+Bsw0OIwmsKtHUWkhuEHSm9nkD6R439sRo9BKleRjcf0ODjudWKrSmo5eKWf79dd+j8rsN7Ng7OAhnHKXMRRR3kusVBp1FG08nd50hlsbndZYLyVURtF14yg==
00f2n0s19mqn3s34ij3rpnju85arfth8.bayern.	43200	in	nsec3	1 0 0 - 00H41JTHN6GG9CK5G7GTD6K890OCTS4R NS
00f2n0s19mqn3s34ij3rpnju85arfth8.bayern.	43200	in	rrsig	NSEC3 8 2 43200 20250924085857 20250910085857 25116 bayern. EfZXl/XKmzYkgK4HYnWTn0KBJxX0w5O1R86uzw8oALUaVnf1mme+9kerK5f19Uu8O+7X7lQTN+2w6ZqZsfYjLw45c3vQHE1Tt0jq8JCHI9sN5TpTVQkJa2ulJd8i6KBXDvofQs4oNxxZQ1GPFIKAbdvTeBbFumChNEglGeRP1GKkCiB4Dm8S40uuIjqQW0pzweLCffh5VI4m6gkNUPHb7w==
00h41jthn6gg9ck5g7gtd6k890octs4r.bayern.	43200	in	nsec3	1 0 0 - 00J6TMMUMVS6R4GPPC8VPEDVVI3S7MOA NS
00h41jthn6gg9ck5g7gtd6k890octs4r.bayern.	43200	in	rrsig	NSEC3 8 2 43200 20250924085857 20250910085857 25116 bayern. eYy4Xd/B6fQJqKF4As/KBAoWU6oyOgux8aKDIYqrOrsR2PaieTHZaDmXVA9gUULGm9Q0mi/YNwAv+WlXomoJyDTrlFmzF1aK5H42Lnl0hHF0kgKg3iwFYQyLqqCzyeYuXgZSGS/+9UZVBxtuQ9yFmeVKjJgs2YiWHLYwc41/+fmbOP98DWYXXcwhtn30LLJ7v2gxXRHFfL8s9dJ4k7VEOw==
00j6tmmumvs6r4gppc8vpedvvi3s7moa.bayern.	43200	in	nsec3	1 0 0 - 00K94QB5KDKERMHU4VUPT21S1KSU4M1D NS
00j6tmmumvs6r4gppc8vpedvvi3s7moa.bayern.	43200	in	rrsig	NSEC3 8 2 43200 20250924085857 20250910085857 25116 bayern. QzUYwoBxABk5qWu+KOyoewFUTGecHCoqzbV37ZEN6oZLN5osnOmH52K8fP1sgfRZKt+wwYAGmEQRcCpxDNizHkLNFZsmKzjrhBCabF4HNljG4lHPllFCMDu3wkPNMkDxqrFDrTp14vv3QZZ69r5TNNqiB5l4Tiuh4mECOp2Ud5HwEFdPdmKrP/d9hkWCzxJWchwRq6+2Ci2h2X/t3FZihQ==
00k94qb5kdkermhu4vupt21s1ksu4m1d.bayern.	43200	in	nsec3	1 0 0 - 00P1HFP4L5OJH7D33BMD4TDUGI6K0KVO NS
00k94qb5kdkermhu4vupt21s1ksu4m1d.bayern.	43200	in	rrsig	NSEC3 8 2 43200 20250924085857 20250910085857 25116 bayern. DTIaz8fHvBLYmja1kdYyayTvwZGlO5lS8IZhg7X223gMR956RicSBBiFXX70jqR9HzudgOPzJkx9oxXgYq7qLCQg6m5P1EkwoQrrNG44n0PtmSUsk6rTQhmQBYa4dVASgFSdtbYiW/c4eeYZYHwOmxB2arRBscWHsrQv/MuX3Yx1fInYHHgKNFFZkxT26zilZak7cRBEjIzoK0c/bqG2zA==
00p1hfp4l5ojh7d33bmd4tdugi6k0kvo.bayern.	43200	in	nsec3	1 0 0 - 00P2I87M6A4FEK93ASM1UR0GOHL8H92S NS
00p1hfp4l5ojh7d33bmd4tdugi6k0kvo.bayern.	43200	in	rrsig	NSEC3 8 2 43200 20250924085857 20250910085857 25116 bayern. IUGKaXzgMp01zwwvwyVQi+bLstQB+7p/NoT/y6uFASb9BQV86HviTMejuK+6wfe2toai00inR6N/j9TasMXFIeQuJVyHvVP1wZIZR37kyx2beVxGZIeutlKsmsQnvPL+/cdcBUiGmkrgMr0uLsYZnDGq6IzDTEJOORwayuwe2YZgu/+orsOLwQBCdrGaaNbl7tDgoo4yRa5QA65DgpPvVA==
00p2i87m6a4fek93asm1ur0gohl8h92s.bayern.	43200	in	nsec3	1 0 0 - 00P93VHR49OFJCBEDTAMKS35H2QN3GVF NS
00p2i87m6a4fek93asm1ur0gohl8h92s.bayern.	43200	in	rrsig	NSEC3 8 2 43200 20250924085857 20250910085857 25116 bayern. duI11WfOKY9d+UgKGneeLOhJo6oyAj+KIhHzYGZC5f5KMXhpkuJf6CYItHqvaX61zwF2DU65rDdVBheNtvV10iYTg3Lolr5fhpx5NAbTfiiaRsdHHVBbcvhKq6ju6ZLJ7v8lxavB6iibEhs7tMSuzvpB6sNxGhUn1Rw/p0lCfD/riv60uvi6zJyI1m1p95mMFjQMinZy0YV7c1jZOY8ZLQ==
00p93vhr49ofjcbedtamks35h2qn3gvf.bayern.	43200	in	nsec3	1 0 0 - 00RGH6D608T2J7APR2T98HJH5KJ5L753 NS
00p93vhr49ofjcbedtamks35h2qn3gvf.bayern.	43200	in	rrsig	NSEC3 8 2 43200 20250924085857 20250910085857 25116 bayern. XNt/2LcdY9I5tYcZlrqE2KF8To8QNCIjTnBIvVTs+bbMOAJMItJmHHD2oV6XZRfLO+V0i10nZwbDL8pk3D25fto5u93CmDZSFl/N269J2r2uHyD2f0jYOlSGfIyrDYJHokMqWNRaB6uU/X5ybBgOFXT/vyDSDIwhaDmB3IrcHESI3hjgOLEdftWjcG1CE6v+hGDOuqgqkMnUJPCtllxfwQ==
00rgh6d608t2j7apr2t98hjh5kj5l753.bayern.	43200	in	nsec3	1 0 0 - 00RH73JI96K3S7CDGQ91AKAMPUA4APHJ NS
00rgh6d608t2j7apr2t98hjh5kj5l753.bayern.	43200	in	rrsig	NSEC3 8 2 43200 20250924085857 20250910085857 25116 bayern. d0rDf+80yh8jy0+QxQG4bOSJKQUqvi/itcKJ0Hw1LPudQT7WrQUGXmPoHDlCAyKmeUUXoJUxJVxtrzppmb7SOQOD48UMFDw3ID40RHpK1/CA9wgKvyTm0x4sRS+25cQUKKR0dPwV3cEZPFF4FWjEyQjzEC790iM+9Q7/SrJs5UJ9AjNHAHUsZ2/PVD7MMnk6vWyyG/2nm0LC5YUMg3D4/Q==
00rh73ji96k3s7cdgq91akampua4aphj.bayern.	43200	in	nsec3	1 0 0 - 00S0IVPRODGJUKHOQ6H1NLHLHV89NJVJ NS
00rh73ji96k3s7cdgq91akampua4aphj.bayern.	43200	in	rrsig	NSEC3 8 2 43200 20250924085857 20250910085857 25116 bayern. d5QfY7YKCfg7wpS6YfWov7sja0oJp5cbzzuJ3xBlOcAkL5/c4qe6pz8c13w4kRiPnOU9fUZKNa/28GD6VT98j/Ep1tw8wFS+wJ34Ggp6LW/6yYNeWG7Mn48Jmg4svDK4tdDfiJGPNeTgi8w2YMvhxL8MBZ5emJREQTTr7OupACVWYEYhXSMV3BBbTnFfi8ez5VP2YZxxgv3c6Oc8LhW4yg==
00s0ivprodgjukhoq6h1nlhlhv89njvj.bayern.	43200	in	nsec3	1 0 0 - 00S27VSIPEK9BSQ9H43G663IJ1SE45N5 NS
00s0ivprodgjukhoq6h1nlhlhv89njvj.bayern.	43200	in	rrsig	NSEC3 8 2 43200 20250924085857 20250910085857 25116 bayern. Zugj2C4mGQ9MrZEiCiSNKNhzeZju20WUaBc2fT5HN4Etk4hRYevNz9GDJeoIw45HlYH1JEtaCZz/ZlWTvccGszT+jG5ddgc0IOyNoCbXOFLJg2E7T/GMghDaTxywSLnVrjYjhRC8rIcINB41YCWJlKvA231FruoF+syeecFdzx3CerbJZkv3o4EJehMAcfrREJsxrgxYZrQwSacR8HsJWg==
00s27vsipek9bsq9h43g663ij1se45n5.bayern.	43200	in	nsec3	1 0 0 - 00U9TPFP660F54UIOONQAVSHR7TPJLUT NS
00s27vsipek9bsq9h43g663ij1se45n5.bayern.	43200	in	rrsig	NSEC3 8 2 43200 20250924085857 20250910085857 25116 bayern. e0pl/rYIU9gbryG0p+BscjJrDMj+gWvtR9tgMJrOd3Anvv2jBM2J9+anbnIih6YHowTWgvrLzSWS2urKkyhbNPaVyExEaBDdNj2cl28Z8o1lcf2TvSdCm1ZwhEUx6DyAw5TmdgLnZVTbeNQz1QbRX3aibu69CkSZVUKtmQTcXZEdJ6Xr1BuDl8SKp5TvULe/oRi/Ju4dDY440LEG+AJ4ZQ==
00u9tpfp660f54uioonqavshr7tpjlut.bayern.	43200	in	nsec3	1 0 0 - 00VBHIF9K6MECGORG525J2S6P7PG9TA2 NS
00u9tpfp660f54uioonqavshr7tpjlut.bayern.	43200	in	rrsig	NSEC3 8 2 43200 20250924085857 20250910085857 25116 bayern. VPZj4ogl5w3RvMSN8lZBa0UT6wMAjWWBBQct4oZWB3qbI5jFGo6Gjorq3GmUfkA/WL3JlwQpnF9/nw6L/ZxN+X46qzYeG9HVMMVgDdPXyM2R1CY1G7h92NQ7LegggUh3o7wrktXtZUcgPcJrfMJepQz/uYi8xzaki2iKMCKvPPlSFw26ZXjESqgT05QbIb/544DM6pLe4Li4Wc/0NsO2vQ==
00vbhif9k6mecgorg525j2s6p7pg9ta2.bayern.	43200	in	nsec3	1 0 0 - 00VBU5IS35FENKTCVRV0UI1U60JAAHMQ NS
00vbhif9k6mecgorg525j2s6p7pg9ta2.bayern.	43200	in	rrsig	NSEC3 8 2 43200 20250924085857 20250910085857 25116 bayern. lNT5v2Q+oaZXyxWiy0J3Q9hXicsj6SJ9anXr2aOlUXO63+/1Mej/P3xxvCsyKwuH1NRaBHpHLXmoehu3yRPiQBe5/gx8rYrTJvwAWRaPhH+RF8UYkGlu7hzlukl5RbA2vRspeTpQUH//8wKnswQd/GQzD6gnO96ZA+RvYHVG2CCq3e0EFkjbYFeJ3gAOKTEI/nYb5ErYlfuFNh2K2VE8oA==
00vbu5is35fenktcvrv0ui1u60jaahmq.bayern.	43200	in	nsec3	1 0 0 - 0136A66ICTUQK5AAOBEB7CL111386KU7 NS
00vbu5is35fenktcvrv0ui1u60jaahmq.bayern.	43200	in	rrsig	NSEC3 8 2 43200 20250924085857 20250910085857 25116 bayern. GxPRbYWQNdi0BceFcLjFdPISz/GtZH+Rnz0ld7hFF6rzWwZXz7r9uY7dHQpReKO6XwALGAQM8UEIBaqIKL/qMCK6CkENYQI6gv5yeLdJC44R/T/tavDcw7kxhkhn6DG9Nrwb0CcLbHRG+psQpp24gbXF8pm8w1FjH+OSfm31icsPNZs0/CwyuuUWneS6qDqKt/goE6XUPEqKWEDJQOMSzQ==
0136a66ictuqk5aaobeb7cl111386ku7.bayern.	43200	in	nsec3	1 0 0 - 013HVHU699P14V34HS5O12FVN5MTQKEP NS
0136a66ictuqk5aaobeb7cl111386ku7.bayern.	43200	in	rrsig	NSEC3 8 2 43200 20250924085857 20250910085857 25116 bayern. RVWVfxcC6CJ/2q2x55OubwlwEnMTnSJx0yzBFDE4UFSU6baBr1z/s+h6HwdhU+CtfuvFwgXHplIDEtD8kfB7VKQDOzS7My8sqlODghIrZGhWtGaJJvrFvfM6lCScTCZxU9+o4moKLAbNSeKObI9ZrnhhrxWgsCorIZWbc05RAiGwesXQy9gKunRGdk6WXlts8pT/sVfRU0DYJHG1FsMrxw==
013hvhu699p14v34hs5o12fvn5mtqkep.bayern.	43200	in	nsec3	1 0 0 - 014P71825C275MF94LUL8ANHNJCVEDO3 NS DS RRSIG
013hvhu699p14v34hs5o12fvn5mtqkep.bayern.	43200	in	rrsig	NSEC3 8 2 43200 20250924085857 20250910085857 25116 bayern. Yy0KQxS0S9ZUHaS+cbE8yjrShEWn3kZRH+i7jmcyRpMQ4LKH7LExiyys6znyG/IO+1kaYfRT5XruqoxshYCEZ8Pg+dABJ8ofEAezQRt6B+hv0WLb0EL8uRfeiYBsX2eimeQaOZbpX9A9+wG8L/CxY97BoEC9U40R6wnwE8DbhhfM7emuSSctpAh43OQpQPvwz71tne5uN8Aiwr/2YPlR5g==
014p71825c275mf94lul8anhnjcvedo3.bayern.	43200	in	nsec3	1 0 0 - 0158QHVQFVVVCM2I6H8C18UHUOBP109V NS
014p71825c275mf94lul8anhnjcvedo3.bayern.	43200	in	rrsig	NSEC3 8 2 43200 20250924085857 20250910085857 25116 bayern. Z8BI+9qrmHy4MDtPe8sTJjWce4aT6zftg4awlAKeqPfz1KNiSlIQVJeJ/TCRgd1fA/siK2KQqrlwDASFIK71fINaGtL1WGsuWtoSzzzRhTxw59GSz4WRj7Y6wXe7A3TiNQJefbrTpwsEAJy4dO0wKR/TceAEUVrs59MHrm22mbYc4dPRzjAIK8Udg7Et6DdYIQ8kNNoj7LVmeG7eRPNm7w==
0158qhvqfvvvcm2i6h8c18uhuobp109v.bayern.	43200	in	nsec3	1 0 0 - 015G71BGM77GDCD8A5CIVAHKEA5Q77LQ NS
0158qhvqfvvvcm2i6h8c18uhuobp109v.bayern.	43200	in	rrsig	NSEC3 8 2 43200 20250924085857 20250910085857 25116 bayern. dKVkcwsVD5oUZhA2LReLNIU5YeHqN+1NkX5Ew+StQnNVU7HlWHmgBHBeTl276IKD6MN/hlryTbqBnP8ldo8T2Z7gNfKZFvTl1mHwH5WstjPwOzBFSq3H+QJfQWMOuaNvyT/6JVyZBt1vNCDDM7DM5BZdNJIfccwZLpZVcT23uwFslohQQR4G71btTjqFe0Ks+UOBqkhCcK6fhN/aD02ZYw==
015g71bgm77gdcd8a5civahkea5q77lq.bayern.	43200	in	nsec3	1 0 0 - 016856D4R8N1HM03AS83L82N5DS4JR3P NS
015g71bgm77gdcd8a5civahkea5q77lq.bayern.	43200	in	rrsig	NSEC3 8 2 43200 20250924085857 20250910085857 25116 bayern. nr04ySs7CMLM2QyJBkdrqQpmx5Am4trDaLZwtWyXW6h1JM/k4h6hIg58Jn5hmWiUzU8kwsFNrz1GcIMLkndqrvLGLz8f+RMrvs9I1r/YeZOc9rvufWO5SpeelB57uL4XOBxLsixGQLzbG61rcfwdkKke7JvA3AnlbsYgtxevw7RJR4vGp9bNTX895yT67tJTBJAX7thxCprO5uI4xIBtpA==
016856d4r8n1hm03as83l82n5ds4jr3p.bayern.	43200	in	nsec3	1 0 0 - 019E6AP5A0DH0BF4QTOGH559PEFVAOK0 NS
