directory.	3600	in	soa	v0n0.nic.directory. hostmaster.donuts.email. 1756256407 7200 900 1209600 3600
0j6ljpvusmg7bpb201bhp7n62iutk0l8.directory.	3600	in	rrsig	NSEC3 8 2 3600 20250916154040 20250826144040 57105 directory. aFcWEQGNNzLioLqTPE7SrluSevmr89mQB2hgM6Mvf0ExL3Thh9bOoP1qya5Jfoz6lzGqlaO5cHShas3izPdJdnWTOIDrm2W28ePjWJd/BlhcqK0iOloTbkgNAAf8OCii9k7PTYadOA/G7uG6PpP1hPtKIoUG3KH/Jc/WtsfnlqE=
0llsmkdcn9jkoct2ejva289athhjdpp8.directory.	3600	in	nsec3	1 1 0 73 0MDQGK22LGVBVII0J0G9AJG9F94NV3VF NS DS RRSIG
0llsmkdcn9jkoct2ejva289athhjdpp8.directory.	3600	in	rrsig	NSEC3 8 2 3600 20250916154040 20250826144040 57105 directory. QowM+5goKYwqShASSS7oS7dgLnL1TXSRSwLGmYtfT3ABJ0j3YT6/DqSeptlJ3fl+yBykGCHxOs6/rhMrxQFnSgiJI+Hw630FmCd7v6Bv/6Clg+rQM4gKI+pg0Nyg7Bmyt5Ui3+QKFK7k4GnndGgTIBaBbl2P0oQvI9fRoOKg78I=
0mdqgk22lgvbvii0j0g9ajg9f94nv3vf.directory.	3600	in	nsec3	1 1 0 73 0ORB7JMCTFUVCJMCLGO40SI13MCTBTPL NS DS RRSIG
0mdqgk22lgvbvii0j0g9ajg9f94nv3vf.directory.	3600	in	rrsig	NSEC3 8 2 3600 20250916154040 20250826144040 57105 directory. ku3J+TNInWS+uedZsC/ozkFdj58B4X5m34pSx0AtIwBUQjqoFNukwQuuU7ntfLsWXGVXg2XJ+wAOixg4mnCyLkmhAjNsTlYW46xml0W5CSf1b9l6u4iTDhTil8ta4aZPesU9c2JUEoRxLDH7knouVORosV/5q+xTtrWy0nrp9dU=
0orb7jmctfuvcjmclgo40si13mctbtpl.directory.	3600	in	nsec3	1 1 0 73 0TOD83ST4UR70SU8S02C2EH0C1TKNOFN NS DS RRSIG
0orb7jmctfuvcjmclgo40si13mctbtpl.directory.	3600	in	rrsig	NSEC3 8 2 3600 20250916154040 20250826144040 57105 directory. En4DZSA8y9h59rol44OI0LQOTrQQaJXI715ZcznePckDsOv8O5jhAvYaVSS6PmlkfH7uNyaBHrtu3vvDgN5T1p2E4dqthGZmPpyGSBIXjFZC7WIl5hL1HVXcvW9MzGq9HcWqCYCZuDtnD6tSuA78JUNT6CRU9nKucX/mqLyjz58=
0tod83st4ur70su8s02c2eh0c1tknofn.directory.	3600	in	nsec3	1 1 0 73 0UC8VJM586VPH7BOLAHQUTKAE3O1E9QK NS DS RRSIG
0tod83st4ur70su8s02c2eh0c1tknofn.directory.	3600	in	rrsig	NSEC3 8 2 3600 20250916154040 20250826144040 57105 directory. BSJe9VkYWkHea1x8CGxb/u3Z8CypJJ9+dQxDr/VCGtAMT9MW5WXhOXyw7gTIHH8WdFb5IOHwWnoLgrgBxOpLOwVGDG+z6konzqEP0AOQex3QifJ61YJx3L0FP2U/lIO1JjmPugnBFz4rh4pZecHWGeJ96K59Y1W0gMoBafE1qVc=
0uc8vjm586vph7bolahqutkae3o1e9qk.directory.	3600	in	nsec3	1 1 0 73 12RN1PLDJD34J8PDRN9P2DPSSOKB37OG NS DS RRSIG
