16su4s610eremlp6r4upse20kmc06kol.futbol.	3600	in	rrsig	NSEC3 8 2 3600 20260122151925 20260101141925 56679 futbol. TUTemUQhtxBGwy+MrkfEvSo/81jF0pdh9I/hodyEtORJXa0cNqxns+FTwBsqE+N3al1ay23hnp7kTppOmo1VuCLbwRvO83rh8yGosdHV903zXcJUFqpJZ2iHqhREpuqXEixAELb6HdK27cHMvAR7fBw+PerVSVa8U7KLc03qHQk=
18806.futbol.	3600	in	ns	ns1.dyna-ns.net.
18806.futbol.	3600	in	ns	ns2.dyna-ns.net.
188bet.futbol.	3600	in	ns	pdns95.ultradns.biz.
188bet.futbol.	3600	in	ns	pdns95.ultradns.com.
188bet.futbol.	3600	in	ns	pdns95.ultradns.net.
188bet.futbol.	3600	in	ns	pdns95.ultradns.org.
1900cup.futbol.	3600	in	ns	dns10.servidoresdns.net.
1900cup.futbol.	3600	in	ns	dns9.servidoresdns.net.
1930-2030.futbol.	3600	in	ns	ns1.alldomains.hosting.
1930-2030.futbol.	3600	in	ns	ns2.alldomains.hosting.
1930-2030.futbol.	3600	in	ns	ns3.alldomains.hosting.
1930-2030.futbol.	3600	in	ns	ns4.alldomains.hosting.
1caun5vq0s6u47cgbs2khe40jbv0gnkr.futbol.	3600	in	nsec3	1 1 0 73 1GC04CLMR2S704IRBAE6HAU5DL3O977M NS DS RRSIG
1caun5vq0s6u47cgbs2khe40jbv0gnkr.futbol.	3600	in	rrsig	NSEC3 8 2 3600 20260122151925 20260101141925 56679 futbol. MLG4JwXCK+wfo5NcrFFt9miU9fIAboLQhLPfP2OuApxHfTSVABx/kHPSWerrZC8ugeCccWxxSCaqoBsz8Dom17QCxswq6VSNBHABy7O6UDIQ0YyM/2KlrL6K2rPdyoSP7rCNHnRYGkpmJCBZOfidrGYic0skgPUAqMxyCREkEXM=
1gc04clmr2s704irbae6hau5dl3o977m.futbol.	3600	in	nsec3	1 1 0 73 1JIB78HQ4NKDGLMF0286L24S92J1FFLK NS DS RRSIG
1gc04clmr2s704irbae6hau5dl3o977m.futbol.	3600	in	rrsig	NSEC3 8 2 3600 20260122151925 20260101141925 56679 futbol. 1Y1suPcu9MJAbubsAqAD+3rWO0og9QQ1u5cf6uWJ+WoIaeRVlKsmx52KQfQ+qKozQaG8w+SMak4wGrqAyfiyw54njDUw+JB9ST3Mc/F7GvKOpUv6z6vF9jRNVkqUQqOY2n2s+n/ymsWkoNzDJogCVW+XxpMSDTgG0isa8LZCF5c=
1gom.futbol.	3600	in	ns	dns1.registrar-servers.com.
1gom.futbol.	3600	in	ns	dns2.registrar-servers.com.
1jib78hq4nkdglmf0286l24s92j1fflk.futbol.	3600	in	nsec3	1 1 0 73 1K9JTF9DSLHP7R9THRN0MS33FGH3P329 NS DS RRSIG
1jib78hq4nkdglmf0286l24s92j1fflk.futbol.	3600	in	rrsig	NSEC3 8 2 3600 20260122151925 20260101141925 56679 futbol. owAtle2wql3qeEsIoj7okbRjny/hFtRzF+VR/pOJVfoxGPk0u8x/KvDt31536Idb37L0TSyugrnEG0/JVQWAtRF1MJN6l4aKvV0GY0z1tZ3Vcwfz0b1wfL6qsu26037Tjh3SR+lBmrRpqE9D9/2lskXBeUrSpyFIzESFxNZBRCU=
1k9jtf9dslhp7r9thrn0ms33fgh3p329.futbol.	3600	in	nsec3	1 1 0 73 1KBMOBA2R1OA6483GPMQQ9R6E1297RCN NS DS RRSIG
1k9jtf9dslhp7r9thrn0ms33fgh3p329.futbol.	3600	in	rrsig	NSEC3 8 2 3600 20260122151925 20260101141925 56679 futbol. Uptu4dZZ285kIBLYblobFfKef8u3/g3QbHq9s7bYuXWs9IQ5JxQ4SjYWOv3MZSXnV2poT0wo/q8OwligrKGfeA9+XFll0LalMoMF0FPbYlU0RDiOtJDPTe+1+mtgRocdurbDwZJhEjp8/aXO8CFBO/kn6hrRPmXnbOtL28G4mF4=
1kbmoba2r1oa6483gpmqq9r6e1297rcn.futbol.	3600	in	nsec3	1 1 0 73 237R7UFQGJGC2BGFL4EKSDNVF5I20R0L NS DS RRSIG
1kbmoba2r1oa6483gpmqq9r6e1297rcn.futbol.	3600	in	rrsig	NSEC3 8 2 3600 20260122151925 20260101141925 56679 futbol. kApYWfNIEXVrad+7fUvBYVW6pS8tDXtFcxkSxntz1JXEKFMTumNS7v1tn1e97PlhbvLmSzErdsSLOwCfxhAX3RWGzslIXJ74oYIECd79bV14YoDmwUorstbcW9yfjKdQSPaHFdYZ3f7Qb/pANaNgmAV56YqTOzNN5R6tmUfv7vE=
1w.futbol.	3600	in	ns	ns1.pananames.com.
1w.futbol.	3600	in	ns	ns2.pananames.com.
1w.futbol.	3600	in	ns	ns3.pananames.com.
1w.futbol.	3600	in	ns	ns4.pananames.com.
1win.futbol.	3600	in	ns	ns1.pananames.com.
1win.futbol.	3600	in	ns	ns2.pananames.com.
1win.futbol.	3600	in	ns	ns3.pananames.com.
1win.futbol.	3600	in	ns	ns4.pananames.com.
1wrgt.futbol.	3600	in	ns	failed-whois-verification.namecheap.com.
1wrgt.futbol.	3600	in	ns	verify-contact-details.namecheap.com.
1x.futbol.	3600	in	ns	ns1.reg.ru.
1x.futbol.	3600	in	ns	ns2.reg.ru.
1x2.futbol.	3600	in	ns	ns1.entorno.com.
1x2.futbol.	3600	in	ns	ns2.entorno.com.
1x2.futbol.	3600	in	ns	ns3.entorno.com.
1x2.futbol.	3600	in	ns	ns4.entorno.com.
1xbet.futbol.	3600	in	ns	ns1.reg.ru.
1xbet.futbol.	3600	in	ns	ns2.reg.ru.
2026.futbol.	3600	in	ns	lila.ns.cloudflare.com.
2026.futbol.	3600	in	ns	vin.ns.cloudflare.com.
2026worldcup.futbol.	3600	in	ns	dns1.registrar-servers.com.
2026worldcup.futbol.	3600	in	ns	dns2.registrar-servers.com.
2048.futbol.	3600	in	ns	a5.share-dns.com.
2048.futbol.	3600	in	ns	b5.share-dns.net.
