1238.diy.	900	in	ns	ns2.dyna-ns.net.
123b.diy.	900	in	ns	annalise.ns.cloudflare.com.
123b.diy.	900	in	ns	eric.ns.cloudflare.com.
123csjk.diy.	900	in	ns	ns1.adsnameserver.com.
123csjk.diy.	900	in	ns	ns2.adsnameserver.com.
123movies.diy.	900	in	ns	horizon.dns-parking.com.
123movies.diy.	900	in	ns	orbit.dns-parking.com.
123roof.diy.	900	in	ns	dns1.registrar-servers.com.
123roof.diy.	900	in	ns	dns2.registrar-servers.com.
123win.diy.	900	in	ns	celine.ns.cloudflare.com.
123win.diy.	900	in	ns	ivan.ns.cloudflare.com.
12623.diy.	900	in	ns	dexter.ns.cloudflare.com.
12623.diy.	900	in	ns	perla.ns.cloudflare.com.
12645.diy.	900	in	ns	dexter.ns.cloudflare.com.
12645.diy.	900	in	ns	perla.ns.cloudflare.com.
128603.diy.	900	in	ns	curt.ns.cloudflare.com.
128603.diy.	900	in	ns	piper.ns.cloudflare.com.
12bet.diy.	900	in	ns	eloise.ns.cloudflare.com.
12bet.diy.	900	in	ns	lex.ns.cloudflare.com.
12v.diy.	900	in	ns	dns1.registrar-servers.com.
12v.diy.	900	in	ns	dns2.registrar-servers.com.
13288.diy.	900	in	ns	ns1.1233dns.com.
13288.diy.	900	in	ns	ns2.951dns.com.
13343.diy.	900	in	ns	dexter.ns.cloudflare.com.
13343.diy.	900	in	ns	perla.ns.cloudflare.com.
1337.diy.	900	in	ns	curitiba.ns.porkbun.com.
1337.diy.	900	in	ns	fortaleza.ns.porkbun.com.
1337.diy.	900	in	ns	maceio.ns.porkbun.com.
1337.diy.	900	in	ns	salvador.ns.porkbun.com.
1337x.diy.	900	in	ns	alexa.ns.cloudflare.com.
1337x.diy.	900	in	ns	fattouche.ns.cloudflare.com.
13718.diy.	900	in	ns	ns11.open-dns.net.
13718.diy.	900	in	ns	ns12.open-dns.net.
13718.diy.	900	in	ns	ns13.open-dns.org.
