family.	3600	in	soa	v0n0.nic.family. hostmaster.donuts.email. 1759366710 7200 900 1209600 3600
begley.family.	3600	in	ns	dns1.registrar-servers.com.
begley.family.	3600	in	ns	dns2.registrar-servers.com.
begnoche.family.	3600	in	ns	ns1.hover.com.
begnoche.family.	3600	in	ns	ns2.hover.com.
beguin.family.	3600	in	ds	31300 13 2 B3A21360B23E9017AF60A245F48782F3D272C45015DA658721B84EE7BE1DA30E
beguin.family.	3600	in	ns	nsany1.infomaniak.com.
beguin.family.	3600	in	ns	nsany2.infomaniak.com.
beguin.family.	3600	in	rrsig	DS 8 2 3600 20251022153042 20251001143042 5346 family. FyCVv+3jo5cThfecq7024affXRvwtMk++BBSDXdQied9RIertEDzNKGzzc7BJhLiYu+YRS9sK1qqsPlUkg8tblKTJr/KG/IKoZshRUO2GY3V2m7gqG6ey5N8asMCAw33vvWzDvJul908f1bewHtwzXHSktcUcnGdRBVW2DwSyOo=
begum.family.	3600	in	ns	ns1.eftydns.com.
begum.family.	3600	in	ns	ns2.eftydns.com.
begxc.family.	3600	in	ns	ns1.dnsip.com.
begxc.family.	3600	in	ns	ns2.dnsip.com.
behappy.family.	3600	in	ns	ns1.crazydomains.com.
behappy.family.	3600	in	ns	ns2.crazydomains.com.
behar.family.	3600	in	ns	ns-cloud-a1.googledomains.com.
behar.family.	3600	in	ns	ns-cloud-a2.googledomains.com.
behar.family.	3600	in	ns	ns-cloud-a3.googledomains.com.
behar.family.	3600	in	ns	ns-cloud-a4.googledomains.com.
behm.family.	3600	in	ns	ns.inwx.de.
behm.family.	3600	in	ns	ns2.inwx.de.
behm.family.	3600	in	ns	ns3.inwx.eu.
behn.family.	3600	in	ds	2371 13 2 AD7B757FF39DBFD72AD28A3A4A887D15FC722E825C08F0AEEB12D8326AF824BB
behn.family.	3600	in	ns	amit.ns.cloudflare.com.
behn.family.	3600	in	ns	lily.ns.cloudflare.com.
behn.family.	3600	in	rrsig	DS 8 2 3600 20251022153042 20251001143042 5346 family. 1DQ7ljEFTEGm2sib0jMfpctzLdBD9MUrJJ1OKTSR+hU65esj0CBRefMjZ1u8+QYVmoEXAiIdXnWFjPkhQAUxkVQ9bu/AnGFw3SKcf8F5oTa4oANGnmJbUwgDM3ZhGpnIKFS1bH128hcLEg2Gp+VOdPtZFZGWDF7ApSZf6kC31VY=
behner.family.	3600	in	ns	jade.ns.cloudflare.com.
behner.family.	3600	in	ns	thaddeus.ns.cloudflare.com.
behning-benitez.family.	3600	in	ns	ns201.servertown.ch.
behning-benitez.family.	3600	in	ns	ns202.servertown.ch.
behnisch.family.	3600	in	ns	root-dns.netcup.net.
behnisch.family.	3600	in	ns	second-dns.netcup.net.
behnisch.family.	3600	in	ns	third-dns.netcup.net.
behome.family.	3600	in	ns	ns3.crookedbush.com.
behome.family.	3600	in	ns	ns4.crookedbush.com.
behrend.family.	3600	in	ns	dns.dns1.de.
behrend.family.	3600	in	ns	dns.dns2.de.
behrend.family.	3600	in	ns	dns.dns3.de.
behrend.family.	3600	in	ns	dns.dns4.de.
behrends.family.	3600	in	ds	515 8 2 653F87D8817AE99CC1217387556A28EA67743214B1B87E71A76C07CC0F46F1AB
behrends.family.	3600	in	ns	ns-cloud-e1.googledomains.com.
behrends.family.	3600	in	ns	ns-cloud-e2.googledomains.com.
behrends.family.	3600	in	ns	ns-cloud-e3.googledomains.com.
behrends.family.	3600	in	ns	ns-cloud-e4.googledomains.com.
behrends.family.	3600	in	rrsig	DS 8 2 3600 20251022153042 20251001143042 5346 family. B8ZNU+lVPKOnjYQA84jMXqTmqOzLFCWheDMcLfjF5uNMeCx/ckgfjiYgBjnRHs2XuWKYczCbSlA+LyV5eO6dUiazhQzPqXxZFcjQvvcU681a19WTO4rb7yp4dtS8h7DdCrJE6ptsI4EzaOHuQXGS1x+wy4yZ2ZQuCo7enIwC7oc=
behrendt.family.	3600	in	ns	ns-us.1and1-dns.com.
behrendt.family.	3600	in	ns	ns-us.1and1-dns.de.
behrendt.family.	3600	in	ns	ns-us.1and1-dns.org.
behrendt.family.	3600	in	ns	ns-us.1and1-dns.us.
behrens.family.	3600	in	ns	ns1.dreamhost.com.
behrens.family.	3600	in	ns	ns2.dreamhost.com.
behrens.family.	3600	in	ns	ns3.dreamhost.com.
behrent.family.	3600	in	ns	root-dns.netcup.net.
behrent.family.	3600	in	ns	second-dns.netcup.net.
behrent.family.	3600	in	ns	third-dns.netcup.net.
behrhaus.family.	3600	in	ns	ns1.hover.com.
behrhaus.family.	3600	in	ns	ns2.hover.com.
behringer.family.	3600	in	ns	ns-de.1and1-dns.biz.
behringer.family.	3600	in	ns	ns-de.1and1-dns.com.
behringer.family.	3600	in	ns	ns-de.1and1-dns.de.
behringer.family.	3600	in	ns	ns-de.1and1-dns.org.
behrmann.family.	3600	in	ns	ns1078.ui-dns.org.
behrmann.family.	3600	in	ns	ns1085.ui-dns.biz.
behrmann.family.	3600	in	ns	ns1105.ui-dns.com.
behrmann.family.	3600	in	ns	ns1119.ui-dns.de.
bei.family.	3600	in	ns	ns1.dns-redirect.com.
bei.family.	3600	in	ns	ns2.dns-redirect.com.
beibgr5qjnfqvqnvljmbkijtdvll942m.family.	3600	in	nsec3	1 1 0 73 BEKDJJ5E25SS0E2AG56U64B46EFH0N7M NS DS RRSIG
beibgr5qjnfqvqnvljmbkijtdvll942m.family.	3600	in	rrsig	NSEC3 8 2 3600 20251022153042 20251001143042 5346 family. xU8wYDjaab7qllmsPwbzPsI6UUXCRxL9441emLdHmwE6YmFUEqAUE1bbWmPiNZMoI8tatFBGmbX4fO6GoO/yw1FhPn70VtuvjWzsklFlhGRuRlf8Ieyj5Xw+NFoeGPPPPfg74271AzCh9c0dfWRbNhFN/YthQn9zrhMzyQ06UXI=
beier.family.	3600	in	ns	ns1029.ui-dns.com.
beier.family.	3600	in	ns	ns1090.ui-dns.org.
beier.family.	3600	in	ns	ns1093.ui-dns.biz.
beier.family.	3600	in	ns	ns1096.ui-dns.de.
beigene.family.	3600	in	ns	ns1.markmonitor.com.
beigene.family.	3600	in	ns	ns2.markmonitor.com.
beigene.family.	3600	in	ns	ns3.markmonitor.com.
beigene.family.	3600	in	ns	ns4.markmonitor.com.
beigene.family.	3600	in	ns	ns5.markmonitor.com.
beigene.family.	3600	in	ns	ns6.markmonitor.com.
beigene.family.	3600	in	ns	ns7.markmonitor.com.
beijer.family.	3600	in	ns	ns1.namehero.com.
beijer.family.	3600	in	ns	ns2.namehero.com.
beileid.family.	3600	in	ns	ns53.be.
beileid.family.	3600	in	ns	ns53.io.
beilmann.family.	3600	in	ns	apollo.ns.cloudflare.com.
beilmann.family.	3600	in	ns	ns2.antagus.de.
bein.family.	3600	in	ns	ns01.trademarkarea.com.
bein.family.	3600	in	ns	ns02.trademarkarea.com.
bein.family.	3600	in	ns	ns03.trademarkarea.com.
beinarts.family.	3600	in	ns	dns1.registrar-servers.com.
beinarts.family.	3600	in	ns	dns2.registrar-servers.com.
beine.family.	3600	in	ns	helium.ns.hetzner.de.
beine.family.	3600	in	ns	hydrogen.ns.hetzner.com.
beine.family.	3600	in	ns	oxygen.ns.hetzner.com.
beins.family.	3600	in	ns	ns07.domaincontrol.com.
beins.family.	3600	in	ns	ns08.domaincontrol.com.
beisel.family.	3600	in	ns	alaric.ns.cloudflare.com.
beisel.family.	3600	in	ns	sasha.ns.cloudflare.com.
beith.family.	3600	in	ns	ns09.domaincontrol.com.
beith.family.	3600	in	ns	ns10.domaincontrol.com.
bek.family.	3600	in	ns	ns03.domaincontrol.com.
bek.family.	3600	in	ns	ns04.domaincontrol.com.
bekaert.family.	3600	in	ns	ns1.auto-dns.com.
bekaert.family.	3600	in	ns	ns2.auto-dns.com.
bekaert.family.	3600	in	ns	ns3.autodns.nl.
bekaert.family.	3600	in	ns	ns4.autodns.nl.
bekdjj5e25ss0e2ag56u64b46efh0n7m.family.	3600	in	nsec3	1 1 0 73 BEMKAUSFGOPE2BJCQ1EQCFSG2KCD58LF NS DS RRSIG
bekdjj5e25ss0e2ag56u64b46efh0n7m.family.	3600	in	rrsig	NSEC3 8 2 3600 20251022153042 20251001143042 5346 family. aTxJ8qwS3DGNFfwuVy6DGj5I9IAyjXsAdPZcQmJ6MX3t7DJaBcVRabXPf0wkRKhMkNEL9RGS5MpUyBcpdDSdBnaJWI6OoKM9/LL5H4Yhudt/7AI87SWBb5Mtq4cY0CdqPxNfjDTq9cS2+ofX+muONNl+EVXeW3KB6kHsurnW9uY=
bekins.family.	3600	in	ns	ns75.domaincontrol.com.
bekins.family.	3600	in	ns	ns76.domaincontrol.com.
bekkering.family.	3600	in	ds	18570 13 2 CF67552578B537B3BA5C55BB590629234222A83479A0878900FD93AC580157D1
bekkering.family.	3600	in	ns	ns0.transip.net.
bekkering.family.	3600	in	ns	ns1.transip.nl.
bekkering.family.	3600	in	ns	ns2.transip.eu.
bekkering.family.	3600	in	rrsig	DS 8 2 3600 20251022153042 20251001143042 5346 family. bnZFmJfXvMToEA2tI9wSeGIpWPhIBcYd7iwotqoedcvtDjVqPPjjH4avq3XxxcvWwUk3jOMTlRFDpvq04HZ6fJuTm83l4CBWJ47Cq5GsRHOf3LT+z5lUNZbGU4G3RACux4tH8HO9XicSm1G4t+feOBdMQ4Xy2VSozg9LyGI6g2U=
bektashi.family.	3600	in	ns	chad.ns.cloudflare.com.
bektashi.family.	3600	in	ns	etta.ns.cloudflare.com.
bel.family.	3600	in	ns	ns.forpsi.cz.
bel.family.	3600	in	ns	ns.forpsi.it.
bel.family.	3600	in	ns	ns.forpsi.net.
belanger.family.	3600	in	ds	47827 8 2 03417216F252BD745625EC4227C7B151CF49457FC5F2EA9F6D0CE9009C854873
belanger.family.	3600	in	ns	ns-cloud-b1.googledomains.com.
belanger.family.	3600	in	ns	ns-cloud-b2.googledomains.com.
belanger.family.	3600	in	ns	ns-cloud-b3.googledomains.com.
belanger.family.	3600	in	ns	ns-cloud-b4.googledomains.com.
belanger.family.	3600	in	rrsig	DS 8 2 3600 20251022153042 20251001143042 5346 family. VJ53jRdrZwfpyVpZ1SlCtJbUkf5pM0SRblFYOt7pgX6Y7x4WWlv8IR3EAVtzAovonmMTpDJnUxmA9dIZbUMh88J5K9FfXOyr3iRVhfDsy8RqbgFX3utomXbmFjdbHGrJFVixPy9zACCf26k4ZBdeMpuBhWYlZ854cjARWzzkW/U=
belcher.family.	3600	in	ns	lara.ns.cloudflare.com.
belcher.family.	3600	in	ns	ned.ns.cloudflare.com.
belding.family.	3600	in	ns	ns55.worldnic.com.
belding.family.	3600	in	ns	ns56.worldnic.com.
belefanti.family.	3600	in	ns	ns1.digitalocean.com.
belefanti.family.	3600	in	ns	ns2.digitalocean.com.
belefanti.family.	3600	in	ns	ns3.digitalocean.com.
belette.family.	3600	in	ds	28616 8 2 C2458195E9108A2BEA91DBB5D19E9404CF0FFD7B466DA52CB4353162925BBF81
belette.family.	3600	in	ns	dns105.ovh.net.
belette.family.	3600	in	ns	ns105.ovh.net.
belette.family.	3600	in	rrsig	DS 8 2 3600 20251022153042 20251001143042 5346 family. dKTeGL6I/WFlTpHeyTxW0JzxuoJNVFOykZ25peePtFu93bqBpX/6T6RGuIeB+RStYf4DYWksbALQNlgZ9F2NJ1T/1o5CqXKjpIFQdVeQX6X+BicDBxD8LBkZQ5Qre2NRK2Y9ODAjprFvFNVYnA4X31B4VLga2AY7pbNrddJ613k=
belfiore.family.	3600	in	ns	ns09.domaincontrol.com.
belfiore.family.	3600	in	ns	ns10.domaincontrol.com.
belford.family.	3600	in	ds	62506 13 1 56AD414C2BA820E8513983F1C12875EB86A0811B
belford.family.	3600	in	ds	62506 13 2 D154B55537534A07767D2A38FDA7D417F5BC9784A5448A7B9FE222549A70685D
belford.family.	3600	in	ns	nsany1.infomaniak.com.
belford.family.	3600	in	ns	nsany2.infomaniak.com.
belford.family.	3600	in	rrsig	DS 8 2 3600 20251022153042 20251001143042 5346 family. 6t/Tv86Z7xIiVFoO/hvHjLCm/8DEOXzZx6KUj5fFbqRjWFOEgK6xl4xToFCip6L8w047cMSw3L5BUge7t14sf8orH55+nlPgPLyobG1lh149o73InA/xgFo7OPaKLGrNNSrwjMfyoSvVVkqjq3rdSR2odt/SOeKsrwdMbHXkrjA=
belica.family.	3600	in	ns	dns1.registrar-servers.com.
belica.family.	3600	in	ns	dns2.registrar-servers.com.
believers.family.	3600	in	ns	curitiba.ns.porkbun.com.
believers.family.	3600	in	ns	fortaleza.ns.porkbun.com.
believers.family.	3600	in	ns	maceio.ns.porkbun.com.
believers.family.	3600	in	ns	salvador.ns.porkbun.com.
belkhayat.family.	3600	in	ns	ns-cloud-a1.googledomains.com.
belkhayat.family.	3600	in	ns	ns-cloud-a2.googledomains.com.
belkhayat.family.	3600	in	ns	ns-cloud-a3.googledomains.com.
belkhayat.family.	3600	in	ns	ns-cloud-a4.googledomains.com.
belkin.family.	3600	in	ns	ns1lmy.name.com.
belkin.family.	3600	in	ns	ns2fgv.name.com.
belkin.family.	3600	in	ns	ns3gmt.name.com.
belkin.family.	3600	in	ns	ns4dls.name.com.
belknap.family.	3600	in	ns	ns1051.ui-dns.com.
belknap.family.	3600	in	ns	ns1052.ui-dns.de.
belknap.family.	3600	in	ns	ns1079.ui-dns.org.
belknap.family.	3600	in	ns	ns1105.ui-dns.biz.
belko.family.	3600	in	ns	ns.web4u.cz.
belko.family.	3600	in	ns	ns2.web4u.cz.
bellamed.family.	3600	in	ns	ns45.domaincontrol.com.
bellamed.family.	3600	in	ns	ns46.domaincontrol.com.
bellamy.family.	3600	in	ds	32966 8 2 3AFE78FE600D0B8EF23C8360A25C84B1D37CC2ACD6BDDD84B6C57498D751440B
bellamy.family.	3600	in	ns	ns-cloud-e1.googledomains.com.
bellamy.family.	3600	in	ns	ns-cloud-e2.googledomains.com.
bellamy.family.	3600	in	ns	ns-cloud-e3.googledomains.com.
bellamy.family.	3600	in	ns	ns-cloud-e4.googledomains.com.
bellamy.family.	3600	in	rrsig	DS 8 2 3600 20251022153042 20251001143042 5346 family. ff3P6KaMaL9od9xlDgfTUf0MXRvM3iv073NhGYB4SB2ElMaU2latVN0eo+yGCiGSwQJUdts5MfJlDzWjY18Jk6tU1SbMvN18wVEVh+0ScNpujOxeCEAOE8ETIcQxQY8MXPVm0UepRl3ycZnvUFvz0UJInYXhmxI4cHRm8ffwM1U=
bellan.family.	3600	in	ns	ns-fr.1and1-dns.biz.
bellan.family.	3600	in	ns	ns-fr.1and1-dns.com.
bellan.family.	3600	in	ns	ns-fr.1and1-dns.fr.
bellan.family.	3600	in	ns	ns-fr.1and1-dns.org.
bellars.family.	3600	in	ns	delilah.ns.cloudflare.com.
bellars.family.	3600	in	ns	oswald.ns.cloudflare.com.
bellas.family.	3600	in	ns	ns09.domaincontrol.com.
bellas.family.	3600	in	ns	ns10.domaincontrol.com.
bellchambers.family.	3600	in	ns	ns1.syrahost.com.
bellchambers.family.	3600	in	ns	ns2.syrahost.com.
belle.family.	3600	in	ns	ns-fr.1and1-dns.biz.
belle.family.	3600	in	ns	ns-fr.1and1-dns.com.
belle.family.	3600	in	ns	ns-fr.1and1-dns.fr.
belle.family.	3600	in	ns	ns-fr.1and1-dns.org.
beller.family.	3600	in	ns	ns1019.ui-dns.org.
beller.family.	3600	in	ns	ns1091.ui-dns.com.
beller.family.	3600	in	ns	ns1099.ui-dns.de.
beller.family.	3600	in	ns	ns1109.ui-dns.biz.
belles.family.	3600	in	ns	dns1.freehostia.com.
belles.family.	3600	in	ns	dns2.freehostia.com.
bellina.family.	3600	in	ns	ns1045.ui-dns.de.
bellina.family.	3600	in	ns	ns1079.ui-dns.com.
bellina.family.	3600	in	ns	ns1104.ui-dns.biz.
bellina.family.	3600	in	ns	ns1112.ui-dns.org.
bellini.family.	3600	in	ns	ns-cloud-d1.googledomains.com.
bellini.family.	3600	in	ns	ns-cloud-d2.googledomains.com.
bellini.family.	3600	in	ns	ns-cloud-d3.googledomains.com.
bellini.family.	3600	in	ns	ns-cloud-d4.googledomains.com.
bellis.family.	3600	in	ns	ns-cloud-b1.googledomains.com.
bellis.family.	3600	in	ns	ns-cloud-b2.googledomains.com.
bellis.family.	3600	in	ns	ns-cloud-b3.googledomains.com.
bellis.family.	3600	in	ns	ns-cloud-b4.googledomains.com.
belliveau.family.	3600	in	ds	3920 8 2 A2CEF13FF427CE4DD4DBC5F3ACB98F93DBC2E155036FC211D76E5D1BC01D3296
belliveau.family.	3600	in	ns	ns-cloud-a1.googledomains.com.
belliveau.family.	3600	in	ns	ns-cloud-a2.googledomains.com.
belliveau.family.	3600	in	ns	ns-cloud-a3.googledomains.com.
belliveau.family.	3600	in	ns	ns-cloud-a4.googledomains.com.
belliveau.family.	3600	in	rrsig	DS 8 2 3600 20251022153042 20251001143042 5346 family. 1jDvdefiTSusiYqvds7Vc1qhKIy9XdFZSDCVNXC2HRljZtoOk0ygKuy6ewNqK2vfMMAvuKwknnr6ldLlf7t9KIY+ycBBcuMS0TDp36kLARwrwS+vo9PK7c9Dufu8K8Q5+Jwbr5q4VWBxpl38Sq+RKLvhUo1E5bJtXVF9cYW1Zew=
bellman.family.	3600	in	ds	26381 8 2 41D629445ABAE6E291E784C69D815B42F91ACDB764FA3A414C225C3DFDA17A6C
bellman.family.	3600	in	ns	ns-cloud-d1.googledomains.com.
bellman.family.	3600	in	ns	ns-cloud-d2.googledomains.com.
bellman.family.	3600	in	ns	ns-cloud-d3.googledomains.com.
bellman.family.	3600	in	ns	ns-cloud-d4.googledomains.com.
bellman.family.	3600	in	rrsig	DS 8 2 3600 20251022153042 20251001143042 5346 family. hISQukFcDbQUfhB3j3rMwF/CnKxwjE5byX0YHWUXpK5REp4ULtDXI0o4fGO2E5fgRxTgTBuA1a2HTunDzybJubeMKMWntSS4wUAjSJ7zjjQrXg7fmLLVIfppRHD1JRlquGp8A877y6cTNS7Q8swkxF2EgJUZWsAVROsbH3ymXN4=
bellmann.family.	3600	in	ns	docks06.rzone.de.
bellmann.family.	3600	in	ns	shades12.rzone.de.
bello.family.	3600	in	ds	39467 8 2 FA05AAD8602FE7921B3656C520AADCB6C1FF754DD740387411BB0706BB347E05
bello.family.	3600	in	ns	ns-cloud-a1.googledomains.com.
bello.family.	3600	in	ns	ns-cloud-a2.googledomains.com.
bello.family.	3600	in	ns	ns-cloud-a3.googledomains.com.
bello.family.	3600	in	ns	ns-cloud-a4.googledomains.com.
bello.family.	3600	in	rrsig	DS 8 2 3600 20251022153042 20251001143042 5346 family. uBE1C9/0R9XS5cfsr5r2pgVKuhBYfIETJt+V7bGg/15A7nGSklwDAwtbucgAZC+JKwF3a2szcQ54z+EBpJe7TxPldWXQTO6BzACzmBvt4tfhoz6XPk3vODvMW2+p2k4qs1HN0Zpnwr0CQxOS71J8ZhGkv8jvkKc2FnYjI537pYY=
bellone.family.	3600	in	ds	2371 13 2 A7B337FFD7D96B08AF8599786E48B832CFF88EF62DDA480325E80CBE40EECAD0
bellone.family.	3600	in	ns	coraline.ns.cloudflare.com.
bellone.family.	3600	in	ns	vasilii.ns.cloudflare.com.
bellone.family.	3600	in	rrsig	DS 8 2 3600 20251022153042 20251001143042 5346 family. 25OvjhDMCmnhgPVZhX42BRu9RCuBEc/ayVwNOphydxCGvVpbBmrkin8TostWi7YEokgTQJBWDjQtHGjQYB8s0wgdUbW1A3Drz8vrwEWPNAy7kcyZqsM+2+LNO/2/mLelOHVHvpKfdHebhCl2Drj5EF6Me0y7D+k48f6y8KVdk2M=
bells.family.	3600	in	ns	ns1.livedns.co.uk.
bells.family.	3600	in	ns	ns2.livedns.co.uk.
bells.family.	3600	in	ns	ns3.livedns.co.uk.
bellsharry.family.	3600	in	ns	ns33.domaincontrol.com.
bellsharry.family.	3600	in	ns	ns34.domaincontrol.com.
belm.family.	3600	in	ns	ns.zxcs.be.
belm.family.	3600	in	ns	ns.zxcs.eu.
belm.family.	3600	in	ns	ns.zxcs.nl.
belmon.family.	3600	in	ns	ns55.domaincontrol.com.
belmon.family.	3600	in	ns	ns56.domaincontrol.com.
belmont.family.	3600	in	ns	ns-cloud-c1.googledomains.com.
belmont.family.	3600	in	ns	ns-cloud-c2.googledomains.com.
belmont.family.	3600	in	ns	ns-cloud-c3.googledomains.com.
belmont.family.	3600	in	ns	ns-cloud-c4.googledomains.com.
belmonte.family.	3600	in	ds	37790 8 2 4148062F39F9220D2D74831A8B6A29B98BCAF4938802868D4D3A5D51B4929922
belmonte.family.	3600	in	ns	ns-cloud-d1.googledomains.com.
belmonte.family.	3600	in	ns	ns-cloud-d2.googledomains.com.
belmonte.family.	3600	in	ns	ns-cloud-d3.googledomains.com.
belmonte.family.	3600	in	ns	ns-cloud-d4.googledomains.com.
belmonte.family.	3600	in	rrsig	DS 8 2 3600 20251022153042 20251001143042 5346 family. S+KKf0bGPhOoipsbard4kHOIm+QCbMGmAj6iQ3BYgXSk/oEPOpEMOGDMZAfbImjuiZjf12xtdrbUU8w2JqwQm8ykK9CZuzSuf5TOrf8CPp6c6cmSNOfUM9a0YEfCVlAe6tMRcJiDl1TCHRxG7sl4Q/RVq0OHfKAXqXdVHMdxm2I=
belnap.family.	3600	in	ns	ns1052.ui-dns.com.
belnap.family.	3600	in	ns	ns1065.ui-dns.de.
belnap.family.	3600	in	ns	ns1075.ui-dns.biz.
belnap.family.	3600	in	ns	ns1090.ui-dns.org.
belo.family.	3600	in	ns	ns25.domaincontrol.com.
belo.family.	3600	in	ns	ns26.domaincontrol.com.
belock.family.	3600	in	ns	dns1.p01.nsone.net.
belock.family.	3600	in	ns	dns2.p01.nsone.net.
belock.family.	3600	in	ns	dns3.p01.nsone.net.
belock.family.	3600	in	ns	dns4.p01.nsone.net.
belock.family.	3600	in	ns	ns01.squarespacedns.com.
belock.family.	3600	in	ns	ns02.squarespacedns.com.
belock.family.	3600	in	ns	ns03.squarespacedns.com.
belock.family.	3600	in	ns	ns04.squarespacedns.com.
belote.family.	3600	in	ns	emma.ns.cloudflare.com.
belote.family.	3600	in	ns	woz.ns.cloudflare.com.
belov.family.	3600	in	ns	ns01.trademarkarea.com.
belov.family.	3600	in	ns	ns02.trademarkarea.com.
belov.family.	3600	in	ns	ns03.trademarkarea.com.
belova.family.	3600	in	ns	ns01.trademarkarea.com.
belova.family.	3600	in	ns	ns02.trademarkarea.com.
belova.family.	3600	in	ns	ns03.trademarkarea.com.
belove.family.	3600	in	ns	ns-cloud-c1.googledomains.com.
belove.family.	3600	in	ns	ns-cloud-c2.googledomains.com.
belove.family.	3600	in	ns	ns-cloud-c3.googledomains.com.
belove.family.	3600	in	ns	ns-cloud-c4.googledomains.com.
beloved.family.	3600	in	ns	justin.ns.cloudflare.com.
beloved.family.	3600	in	ns	mira.ns.cloudflare.com.
belovedcommunities.family.	3600	in	ns	ns1.hover.com.
belovedcommunities.family.	3600	in	ns	ns2.hover.com.
belovedcommunity.family.	3600	in	ns	ns1.hover.com.
belovedcommunity.family.	3600	in	ns	ns2.hover.com.
belsey.family.	3600	in	ns	curitiba.ns.porkbun.com.
belsey.family.	3600	in	ns	fortaleza.ns.porkbun.com.
belsey.family.	3600	in	ns	maceio.ns.porkbun.com.
belsey.family.	3600	in	ns	salvador.ns.porkbun.com.
belt.family.	3600	in	ns	ns19.domaincontrol.com.
belt.family.	3600	in	ns	ns20.domaincontrol.com.
beltis.family.	3600	in	ds	8015 8 2 3A6655444D1D26AF856D42C7587915EA34E512B9660ED029971EDD21816CCFEE
beltis.family.	3600	in	ns	ns-cloud-a1.googledomains.com.
beltis.family.	3600	in	ns	ns-cloud-a2.googledomains.com.
beltis.family.	3600	in	ns	ns-cloud-a3.googledomains.com.
beltis.family.	3600	in	ns	ns-cloud-a4.googledomains.com.
beltis.family.	3600	in	rrsig	DS 8 2 3600 20251022153042 20251001143042 5346 family. QW9W8Q+9BbD/I3bSPlgueZcuVLZkk01x7d65O54ErRCwLR0KyKkineehC6+nIWVGVgvHkwYdfQHVF7ClQjjVrxLe0iwvLUKIrstlagl70nt82QsDpfEmRNP7dmdGzBJjWP8LYIeRB4l9kZtCz3Rwnk7SL8t6xSPGf6EcxrEQ9E0=
beltrami.family.	3600	in	ns	ns1.vercel-dns.com.
beltrami.family.	3600	in	ns	ns2.vercel-dns.com.
beltrox.family.	3600	in	ns	ns-cloud-b1.googledomains.com.
beltrox.family.	3600	in	ns	ns-cloud-b2.googledomains.com.
beltrox.family.	3600	in	ns	ns-cloud-b3.googledomains.com.
beltrox.family.	3600	in	ns	ns-cloud-b4.googledomains.com.
belway.family.	3600	in	ns	melissa.ns.cloudflare.com.
belway.family.	3600	in	ns	yichun.ns.cloudflare.com.
bem.family.	3600	in	ns	ns1.domain.com.
bem.family.	3600	in	ns	ns2.domain.com.
beman.family.	3600	in	ns	grant.ns.cloudflare.com.
beman.family.	3600	in	ns	nelly.ns.cloudflare.com.
bemkausfgope2bjcq1eqcfsg2kcd58lf.family.	3600	in	nsec3	1 1 0 73 BF1GN6082H8BT6GML4HFNFQ1P1RGRE5T NS DS RRSIG
bemkausfgope2bjcq1eqcfsg2kcd58lf.family.	3600	in	rrsig	NSEC3 8 2 3600 20251022153042 20251001143042 5346 family. e+IpxlGR1SohwmRSnx9T/LJ78MmaJvowDGHXMcObiA+rVb2Z7Mtjy9RoYGd4DsT0CxxGprgXUoKMhVQcsp9z4j/hqWjne9Nxk0ZNrA9JipRB0CSUonU7DrFWCBjImC48u59FrbYEdqgVzObk0uBc7fzsVjxmv63bHfTOiRIQDVQ=
bemy.family.	3600	in	ds	25967 8 2 B6CF2809CA45EF61BB398B91FB5D944A10A67D0FBD219090B6250A9A5351E808
bemy.family.	3600	in	ns	ns-cloud-d1.googledomains.com.
bemy.family.	3600	in	ns	ns-cloud-d2.googledomains.com.
bemy.family.	3600	in	ns	ns-cloud-d3.googledomains.com.
bemy.family.	3600	in	ns	ns-cloud-d4.googledomains.com.
bemy.family.	3600	in	rrsig	DS 8 2 3600 20251022153042 20251001143042 5346 family. JTCSCJK+sqIUBKU5IuETMs4dImvzVqBhgiEQfNSNQZEOKJanwf+yVOtwEcg3Mvwv7qNmhNAV0y8SKYCH41fKydLvCvirrySHptBYW1qoqgHbdE/Q/55bnuMpl/b9YACHNGAQFEFRog8VRVW6H1kDX43BnoWYoHy8JQK1qXrbaIU=
ben-avraham.family.	3600	in	ns	ns67.domaincontrol.com.
ben-avraham.family.	3600	in	ns	ns68.domaincontrol.com.
ben-eliezer.family.	3600	in	ns	ns1.dtnt.info.
ben-eliezer.family.	3600	in	ns	ns2.dtnt.info.
ben-eliezer.family.	3600	in	ns	ns3.dtnt.info.
ben.family.	3600	in	ns	ns-cloud-a1.googledomains.com.
ben.family.	3600	in	ns	ns-cloud-a2.googledomains.com.
ben.family.	3600	in	ns	ns-cloud-a3.googledomains.com.
ben.family.	3600	in	ns	ns-cloud-a4.googledomains.com.
benaderet.family.	3600	in	ds	54559 8 2 D10EFCE60DC5E9070F60589ADCF79C85E16414CF222153A121119FA9E785100A
benaderet.family.	3600	in	ns	ns-cloud-e1.googledomains.com.
benaderet.family.	3600	in	ns	ns-cloud-e2.googledomains.com.
benaderet.family.	3600	in	ns	ns-cloud-e3.googledomains.com.
benaderet.family.	3600	in	ns	ns-cloud-e4.googledomains.com.
benaderet.family.	3600	in	rrsig	DS 8 2 3600 20251022153042 20251001143042 5346 family. s9e1FwkBbLEY2N0UeOeg1ljPNabjhmawKvjW+pG+VVrFs1GSPlW1jVyJhL8XUn2h3nlhVi0hCyTBif+8jvm1YIy/d3FCH+8iFLNC2kbMqIDepz/mTN5yWHaNiQ0i3vOqV1MbBqwA5vloGcdFQjRqmZXnw79EWKMLsw4130IbOGo=
