03010.tax.	3600	in	ns	ns1.dnsip.com.
03010.tax.	3600	in	ns	ns2.dnsip.com.
03048.tax.	3600	in	ns	ns1.dyna-ns.net.
03048.tax.	3600	in	ns	ns2.dyna-ns.net.
03201.tax.	3600	in	ns	ns1.dyna-ns.net.
03201.tax.	3600	in	ns	ns2.dyna-ns.net.
03202.tax.	3600	in	ns	ns1.dyna-ns.net.
03202.tax.	3600	in	ns	ns2.dyna-ns.net.
03203.tax.	3600	in	ns	ns1.dyna-ns.net.
03203.tax.	3600	in	ns	ns2.dyna-ns.net.
03204.tax.	3600	in	ns	ns1.dyna-ns.net.
03204.tax.	3600	in	ns	ns2.dyna-ns.net.
03205.tax.	3600	in	ns	ns1.dyna-ns.net.
03205.tax.	3600	in	ns	ns2.dyna-ns.net.
03230.tax.	3600	in	ns	ns1.dns.com.
03230.tax.	3600	in	ns	ns2.dns.com.
03259.tax.	3600	in	ns	n1.xundns.com.
03259.tax.	3600	in	ns	n2.xundns.com.
03284.tax.	3600	in	ns	ns1.dnsip.com.
03284.tax.	3600	in	ns	ns2.dnsip.com.
03329.tax.	3600	in	ns	ns1.dnsip.com.
03329.tax.	3600	in	ns	ns2.dnsip.com.
03481.tax.	3600	in	ns	n1.xundns.com.
03481.tax.	3600	in	ns	n2.xundns.com.
03532.tax.	3600	in	ns	ns1.dyna-ns.net.
03532.tax.	3600	in	ns	ns2.dyna-ns.net.
03727.tax.	3600	in	ns	ns1.dnsip.com.
03727.tax.	3600	in	ns	ns2.dnsip.com.
03824.tax.	3600	in	ns	ns1.dnsip.com.
03824.tax.	3600	in	ns	ns2.dnsip.com.
03875.tax.	3600	in	ns	ns1.dnsip.com.
03875.tax.	3600	in	ns	ns2.dnsip.com.
03a.tax.	3600	in	ns	brit.ns.cloudflare.com.
03a.tax.	3600	in	ns	logan.ns.cloudflare.com.
04048.tax.	3600	in	ns	ns1.dnsip.com.
04048.tax.	3600	in	ns	ns2.dnsip.com.
04103.tax.	3600	in	ns	ns1.dnsip.com.
04103.tax.	3600	in	ns	ns2.dnsip.com.
04191.tax.	3600	in	ns	ns1.dnsip.com.
04191.tax.	3600	in	ns	ns2.dnsip.com.
04208.tax.	3600	in	ns	ns1.dyna-ns.net.
04208.tax.	3600	in	ns	ns2.dyna-ns.net.
04237.tax.	3600	in	ns	ns1.dnsip.com.
04237.tax.	3600	in	ns	ns2.dnsip.com.
04293.tax.	3600	in	ns	ns1.dnsip.com.
04293.tax.	3600	in	ns	ns2.dnsip.com.
042q4dn4o472gdq5b2t3a17mtnte0tjk.tax.	3600	in	nsec3	1 1 0 73 07FQ6GV4E3J3O0HU23USNR8SBB5MH13F NS DS RRSIG
042q4dn4o472gdq5b2t3a17mtnte0tjk.tax.	3600	in	rrsig	NSEC3 8 2 3600 20250922151954 20250901141954 51030 tax. LcMPNYYKIjKSpgQ/J/e1wtUzx5/2TEwqlst9hYgo9dNSiWdlfxMWjpDGLlNOOP1Q6/u7AUEWj8GYzdG+udoVk7kGNnWWsXB7dLRqM42nIWNElL2uMn691CS0CmYmHUXBLV73DR4nJ+J0z6KaXT4DQHbqD7smwgVipiCgXl6Cx9Y=
04330.tax.	3600	in	ns	n1.xundns.com.
04330.tax.	3600	in	ns	n2.xundns.com.
04353.tax.	3600	in	ns	ns1.dns.com.
04353.tax.	3600	in	ns	ns2.dns.com.
04489.tax.	3600	in	ns	ns1.dnsip.com.
04489.tax.	3600	in	ns	ns2.dnsip.com.
04559.tax.	3600	in	ns	ns1.dnsip.com.
04559.tax.	3600	in	ns	ns2.dnsip.com.
