148d4tpff0h1btqdd3a9sbg5j9ng6lt5.navy.	3600	in	rrsig	NSEC3 8 2 3600 20250916155615 20250826145615 39273 navy. MWoTz3PzI4GWjnzyixZblECiC4r3vvHmnm8ew2NEhO39ChYpBF34mos0vDxeu2GS2TuqKwV6lOX+fWD9STH0vNY/t281geTWNc7kGOkTcbE/l+eUZxVJ7fB/Z4+7FLix+PgtXMhu9DpRN0hnVFGizHQv06Fg4fTF3yeFJzLcytI=
1841smhfksuv93ik6o436gpcr16jhel1.navy.	3600	in	nsec3	1 1 0 73 1AIQJUF0JHKA32A7NLUPOT0FCP2N1F6T NS DS RRSIG
1841smhfksuv93ik6o436gpcr16jhel1.navy.	3600	in	rrsig	NSEC3 8 2 3600 20250916155615 20250826145615 39273 navy. RucpZ18c3McPAnFeMILhoH+4rHZ7VON2CZ58ctMpqNfW64JajIcwOz8uVOuouWASpieCQlRfSix97enSP3YjMVWhP9WsHQm9W+K7pAoJ2S4ObhOwOEzNYXnxMhJlWrR1HVq6Lv5F6Vg6wx+8XRZT/5QNtPTizStaxQP0VQ2sA6Y=
188bet.navy.	3600	in	ns	ns1.dyna-ns.net.
188bet.navy.	3600	in	ns	ns2.dyna-ns.net.
1aiqjuf0jhka32a7nlupot0fcp2n1f6t.navy.	3600	in	nsec3	1 1 0 73 1L2VDUMALQ14VNJ7S7SHPVDJKLR6P5NV NS DS RRSIG
1aiqjuf0jhka32a7nlupot0fcp2n1f6t.navy.	3600	in	rrsig	NSEC3 8 2 3600 20250916155615 20250826145615 39273 navy. M3emrAQRTIUQYz6sdKlGQXYgdhJqnrGYkX8SwBgozCiFmbjx3wthPhdE4oku+VMxKRCakm0ZIo8CWSIqdNAZK2ayt4xRI8oTfL53Hq8Jq9cPUFm1CUjs/7TLO77IBrJtGNaptcbJ8Li6XMtNYNX4Oe+1rd2ApnxJ3lMEZgxl2ng=
1gom.navy.	3600	in	ns	dns1.registrar-servers.com.
1gom.navy.	3600	in	ns	dns2.registrar-servers.com.
1l2vdumalq14vnj7s7shpvdjklr6p5nv.navy.	3600	in	nsec3	1 1 0 73 1V9E95AN96T5502AHISDCQ9OM2FU7L8I NS DS RRSIG
1l2vdumalq14vnj7s7shpvdjklr6p5nv.navy.	3600	in	rrsig	NSEC3 8 2 3600 20250916155615 20250826145615 39273 navy. pGy5CTMOufHOYD7mAj4G6RtTQyY217ivTxSJAHEx126NK3nrAI+tQJR1RyT6ZQFYKquZuIabwM8pzNbLFV+HnkzMTTcbu80Q+k8Zh6DiN85Vy20iAFQiYXiTrc+ln8/toMEohXqztsNBUvFjelren7ynCOYkvTeLShFeQelH7mc=
1st.navy.	3600	in	ns	ns1.atom.com.
1st.navy.	3600	in	ns	ns2.atom.com.
1v9e95an96t5502ahisdcq9om2fu7l8i.navy.	3600	in	nsec3	1 1 0 73 1VUAKSV40T5M0HU3G12G8KN0KE6RUTJ8 NS DS RRSIG
1v9e95an96t5502ahisdcq9om2fu7l8i.navy.	3600	in	rrsig	NSEC3 8 2 3600 20250916155615 20250826145615 39273 navy. MGT7J/8JJFl8BEa0t8XhZJrEfLVo7P93jNqgfzn5bdYqBMvTcoBzOTNKp3WX0o81K1mB5ljbC74gKSFuHm0rYmcUYZ4qEDcodUISSFZ0+HlXAiXzURhCbt5lBfkpy4j/Ive1OAZHymS5kNSObP2wh7SWqc0Dr7C5r9dXoTGsnDE=
1vuaksv40t5m0hu3g12g8kn0ke6rutj8.navy.	3600	in	nsec3	1 1 0 73 22Q2403CSM9FMG8FKF8837F2V58UK40G NS DS RRSIG
1vuaksv40t5m0hu3g12g8kn0ke6rutj8.navy.	3600	in	rrsig	NSEC3 8 2 3600 20250916155615 20250826145615 39273 navy. otab4MU+0oGGvENqvivjyc4BBTNPSazndzruQE+RT1lX7Y/XDOqyQk24MxaM/vmk0QmM24JsTo8awzGu48DOzDJzuEJl3sAM2syr/VxG2n0oY08DK57DncTM3pH10UntMTgIVwyUwBRLPh61vTLCWtwVHNzKvQ0W/DuFt9Bw4D0=
22q2403csm9fmg8fkf8837f2v58uk40g.navy.	3600	in	nsec3	1 1 0 73 28Q7I4JO7216VV8TQU1552VEDJGBG4TS NS DS RRSIG
22q2403csm9fmg8fkf8837f2v58uk40g.navy.	3600	in	rrsig	NSEC3 8 2 3600 20250916155615 20250826145615 39273 navy. YknQEUiOu9/OdJgLJteCgB1Gmo1E+Sz6+tCcUZ6520h+E2yzJreTM580pNXD2Ed5HTf3qjQsuAghl6dSYDPBG0/cXxvMN+hOnrsbOJAXEZCRuPZrnyU0kBXSe1oub/G50wS8ymFwT5KnFlSzqIx6SzujeXSDCJRTdYxZDzoN72E=
23win.navy.	3600	in	ns	joaquin.ns.cloudflare.com.
23win.navy.	3600	in	ns	penny.ns.cloudflare.com.
28q7i4jo7216vv8tqu1552vedjgbg4ts.navy.	3600	in	nsec3	1 1 0 73 2FL3HVVQHRJ11CPNSN4SIDVCNKP4MBVA NS DS RRSIG
28q7i4jo7216vv8tqu1552vedjgbg4ts.navy.	3600	in	rrsig	NSEC3 8 2 3600 20250916155615 20250826145615 39273 navy. oJGs5NWRLnwCazl8xdqyWrXMS7xSAUwpNA8db0yCwcEX41a9K5dgSxdhRuiIT54XX/fpVkk5JDO0o7bdvz52+lwutgn5vjMyiUaCtOCn2e+kjsv5g34u3pi8o7GkegInCwIxVwaZgmJCxWdlmb7N/4Zq+H1DedK2zT0LRvN+R2c=
2fl3hvvqhrj11cpnsn4sidvcnkp4mbva.navy.	3600	in	nsec3	1 1 0 73 2K8MV2NNQ4TETSBR9U4LUDN0URF4HKOV NS DS RRSIG
2fl3hvvqhrj11cpnsn4sidvcnkp4mbva.navy.	3600	in	rrsig	NSEC3 8 2 3600 20250916155615 20250826145615 39273 navy. I/hj+fYCzzQgON5umc8JdTcya1qv6FcK4NBWS+1aIA41LLzM8G7tBjawHPCNCEJUHyuFmo09bvFUJlbClVGJbwA3wjWdgQS00/IXTlFnskxxwq4Z4J8dVFtUhwq/EVcvSupUU+KkgYw/BaAocl7Jx3wndqV5N21Lmha1UHzdCkw=
2k8mv2nnq4tetsbr9u4ludn0urf4hkov.navy.	3600	in	nsec3	1 1 0 73 2OS1TPS1TQD8F9SN5DK42DS7IONSUJTP NS DS RRSIG
2k8mv2nnq4tetsbr9u4ludn0urf4hkov.navy.	3600	in	rrsig	NSEC3 8 2 3600 20250916155615 20250826145615 39273 navy. HOJWx6/UuBSQmIqMlaJjMKjtqqYfN77ZXx9e5h92la05ekgWlK9jkw1o7MSDZxiLOH+7jhyzIux6TvqcNelIsC2QMM5+x90QAsLlPGdqQow8GRE2b0qorxkFXbTdqKb7fLvFZjAXPhJYVZ6/o/1057GWhK9qRSl1pAwANa8y2GE=
2os1tps1tqd8f9sn5dk42ds7ionsujtp.navy.	3600	in	nsec3	1 1 0 73 36SIC50LJ7U2HSQLHSGSMTROS6J792UN NS DS RRSIG
2os1tps1tqd8f9sn5dk42ds7ionsujtp.navy.	3600	in	rrsig	NSEC3 8 2 3600 20250916155615 20250826145615 39273 navy. D8GgG0B1aFmn1jqqhLSyPyokOgCC9b6fZCeVTPlFuUWB97ImJOJRQYkjuP8y4TR0jBaP+BT8MC9Kp32QikFjaZtSRW4boQZRi+2Vh1b1KiRm8ZCmPsBniN0ERvUEgulDsJWtV5m5olYW5ralWs8YHi7St2fglsx5bWIw18Kz9DQ=
33win.navy.	3600	in	ns	ns1.dnsowl.com.
33win.navy.	3600	in	ns	ns2.dnsowl.com.
33win.navy.	3600	in	ns	ns3.dnsowl.com.
36.navy.	3600	in	ns	ns119.inhostedns.com.
