03fq5seeou1p6ia2077k44odtia22erh.software.	3600	in	rrsig	NSEC3 8 2 3600 20260122160614 20260101150614 48789 software. fp44hg6n0KXP7+iwFgrGOEmN3uRLJP33r1qRretvtJi8aJtYy2PVIKsbWQMxNpOf/SoWfg2N1ApsKDHz8QaxOnLn17bsh/dzQbNJie8hLc0vwOss/vb9pX4sWkyI0thguncy4W3MrR93THxhqINPw42Xbps1JZQDUPrDsuYYkJ0=
03j1eje4b22fp02o5t7t0k4nrsqcg931.software.	3600	in	nsec3	1 1 0 73 03T2A5BRN1LL589LJB2GFFM8M1KVDVV1 NS DS RRSIG
03j1eje4b22fp02o5t7t0k4nrsqcg931.software.	3600	in	rrsig	NSEC3 8 2 3600 20260122160614 20260101150614 48789 software. Wn1eP5RVgWT2dht0nHUSWvX8P2jjcnQ0qunQlA7gsANqDDOzt8mfHZA51FR7zxhi5rV8IzVLVoCbJUaSMTv8WEPYQTV0whfIFt1EtEORMbnmz2VRXsm8roJtD+jZ6/gcWySev0QqqsT61IHWvqeO9iW/+3dSsiEcHQcbTnLMwDU=
03t2a5brn1ll589ljb2gffm8m1kvdvv1.software.	3600	in	nsec3	1 1 0 73 047DJV821L3503AQTNEJT161V9KBR02F NS DS RRSIG
03t2a5brn1ll589ljb2gffm8m1kvdvv1.software.	3600	in	rrsig	NSEC3 8 2 3600 20260122160614 20260101150614 48789 software. dMSAcAo9HV8w6/UYTUMMNn6DilXST5xudXMAH0AQsfLvvWY40CxDqOCn8qqC0ELGlNczCTBdfOusa+hySjnUsapNq+fJpf9bykeLNgTG+/pXghdh3GBpsEoDUA+ofPft3DOaI7azBMurLjFWkV5ks9etF+sRoc7GmsyIG5B4fX4=
047djv821l3503aqtnejt161v9kbr02f.software.	3600	in	nsec3	1 1 0 73 052QB2CH9HURQED7S5P324JHL9QB8UC6 NS DS RRSIG
047djv821l3503aqtnejt161v9kbr02f.software.	3600	in	rrsig	NSEC3 8 2 3600 20260122160614 20260101150614 48789 software. VdpnEA7gW4sQBqq9/tcFYMqZ01jAX2uYOov2LrooNZdhXLyn+AKulgOtVxuyxydrNboJXJ5qT7zG7eSKWYv8tgTyEU5fJ+dhN9rdLDVSTZ8fECoRESMefhU4eQG8rADhjIviLpu6aUa3Eum2ynBTJ8yvmrqIHXavtMlFlvOHiNw=
052qb2ch9hurqed7s5p324jhl9qb8uc6.software.	3600	in	nsec3	1 1 0 73 05SNDU3LLHRANIO1203E6Q4QQE3LK8CP NS DS RRSIG
052qb2ch9hurqed7s5p324jhl9qb8uc6.software.	3600	in	rrsig	NSEC3 8 2 3600 20260122160614 20260101150614 48789 software. WbMgscsJ6lQCQL26Z2Z0wAMYGcgYlCfnWEbW7QRgaZKBkTRx1qd9ZxINW2pbLEnFNmiVtIC57ksXyOqTiJ/LnbUPEK2c3DZVChbFJ31y8SUkg02CCK7pVHavirx8zO2CrB+oC0YCIPg0+mcd3SwYMTCfs00XUYIINv2MmAQEFMI=
05sndu3llhranio1203e6q4qqe3lk8cp.software.	3600	in	nsec3	1 1 0 73 0609N977558J7SEV62P7LBG1H0JVH1D3 NS DS RRSIG
05sndu3llhranio1203e6q4qqe3lk8cp.software.	3600	in	rrsig	NSEC3 8 2 3600 20260122160614 20260101150614 48789 software. EYEmAfSpimFot5Vhohl8cGWjbxTZ18BlVotjWcwG6Fy4WAtO4HdqovgzmtQU4/35v59W1wX8OSCBq5gUSu6f3KQGg+q8g3VA6/MlzyCnzYrZ0a3EQ5h+AdX9iYf57fwGXRGGgiQWVT2V+H+lJu3ay67xAirfPd1QRicEtIk3DsY=
0609n977558j7sev62p7lbg1h0jvh1d3.software.	3600	in	nsec3	1 1 0 73 06FVHRQU60VMMT1CJH6LFOFI8E0UHA2N NS DS RRSIG
0609n977558j7sev62p7lbg1h0jvh1d3.software.	3600	in	rrsig	NSEC3 8 2 3600 20260122160614 20260101150614 48789 software. cuwc/XhU1RJxS8NpVX9lBg1dGZZbNTXRtakENq2oUewhwHtJProWBfxP9gvxPSuIQmjsHMk8EJSXLUChbmgSKXhHYO4VYmhrhOf95syDBz/QrPUtnah3TkbZDaiIto7+m7LkLau983tFvVF+8ObHpuY5Wsyd9N7u6TseZoVk6wU=
06fvhrqu60vmmt1cjh6lfofi8e0uha2n.software.	3600	in	nsec3	1 1 0 73 06GI7F8R62OQKQ70QCR2KO376UBRDGD5 NS DS RRSIG
