010348.bid.	3600	in	ns	ns2.951dns.com.
0110.bid.	3600	in	ns	curitiba.ns.porkbun.com.
0110.bid.	3600	in	ns	fortaleza.ns.porkbun.com.
0110.bid.	3600	in	ns	maceio.ns.porkbun.com.
0110.bid.	3600	in	ns	salvador.ns.porkbun.com.
011127.bid.	3600	in	ns	n1.xundns.com.
011127.bid.	3600	in	ns	n2.xundns.com.
011301.bid.	3600	in	ns	ns1.dnsip.com.
011301.bid.	3600	in	ns	ns2.dnsip.com.
01141.bid.	3600	in	ns	n1.xundns.com.
01141.bid.	3600	in	ns	n2.xundns.com.
01147.bid.	3600	in	ns	ns1.dnsip.com.
01147.bid.	3600	in	ns	ns2.dnsip.com.
011662.bid.	3600	in	ns	ns1.dnsip.com.
011662.bid.	3600	in	ns	ns2.dnsip.com.
01175.bid.	3600	in	ns	ns1.dnsip.com.
01175.bid.	3600	in	ns	ns2.dnsip.com.
01206.bid.	3600	in	ns	ns1.dns.com.
01206.bid.	3600	in	ns	ns2.dns.com.
0123.bid.	3600	in	ns	ns1.dnsowl.com.
0123.bid.	3600	in	ns	ns2.dnsowl.com.
0123.bid.	3600	in	ns	ns3.dnsowl.com.
0123456789.bid.	3600	in	ns	dns1.registrar-servers.com.
0123456789.bid.	3600	in	ns	dns2.registrar-servers.com.
01236.bid.	3600	in	ns	a9.share-dns.com.
01236.bid.	3600	in	ns	b9.share-dns.net.
01237.bid.	3600	in	ns	a9.share-dns.com.
01237.bid.	3600	in	ns	b9.share-dns.net.
01238.bid.	3600	in	ns	a6.share-dns.com.
01238.bid.	3600	in	ns	b6.share-dns.net.
012519.bid.	3600	in	ns	ns1.1233dns.com.
012519.bid.	3600	in	ns	ns2.951dns.com.
01261.bid.	3600	in	ns	ns1.dnsip.com.
01261.bid.	3600	in	ns	ns2.dnsip.com.
01302.bid.	3600	in	ns	ns1.dnsip.com.
01302.bid.	3600	in	ns	ns2.dnsip.com.
01367.bid.	3600	in	ns	ns1.dnsip.com.
01367.bid.	3600	in	ns	ns2.dnsip.com.
01391.bid.	3600	in	ns	a.dnspod.com.
01391.bid.	3600	in	ns	b.dnspod.com.
01391.bid.	3600	in	ns	c.dnspod.com.
01406.bid.	3600	in	ns	ns1.dnsip.com.
01406.bid.	3600	in	ns	ns2.dnsip.com.
01437.bid.	3600	in	ns	ns1.dyna-ns.net.
01437.bid.	3600	in	ns	ns2.dyna-ns.net.
014547.bid.	3600	in	ns	n1.xundns.com.
014547.bid.	3600	in	ns	n2.xundns.com.
01478.bid.	3600	in	ns	ns1.dnsip.com.
01478.bid.	3600	in	ns	ns2.dnsip.com.
01558.bid.	3600	in	ns	ns1.1233dns.com.
01558.bid.	3600	in	ns	ns2.951dns.com.
015639.bid.	3600	in	ns	n1.xundns.com.
015639.bid.	3600	in	ns	n2.xundns.com.
01578.bid.	3600	in	ns	ns1.dyna-ns.net.
01578.bid.	3600	in	ns	ns2.dyna-ns.net.
01585.bid.	3600	in	ns	ns1.dns.com.
01585.bid.	3600	in	ns	ns2.dns.com.
015886.bid.	3600	in	ns	ns1.dnsip.com.
015886.bid.	3600	in	ns	ns2.dnsip.com.
0158b.bid.	3600	in	ns	ns7.alidns.com.
0158b.bid.	3600	in	ns	ns8.alidns.com.
0158c.bid.	3600	in	ns	ns7.alidns.com.
0158c.bid.	3600	in	ns	ns8.alidns.com.
01590.bid.	3600	in	ns	ns1.dns.com.
01590.bid.	3600	in	ns	ns2.dns.com.
016000.bid.	3600	in	ns	v1s1.xundns.com.
016000.bid.	3600	in	ns	v1s2.xundns.com.
01605.bid.	3600	in	ns	dane.ns.cloudflare.com.
01605.bid.	3600	in	ns	tori.ns.cloudflare.com.
01611.bid.	3600	in	ns	vip7.alidns.com.
01611.bid.	3600	in	ns	vip8.alidns.com.
016111.bid.	3600	in	ns	v1s1.xundns.com.
016111.bid.	3600	in	ns	v1s2.xundns.com.
016123.bid.	3600	in	ns	v1s1.xundns.com.
016123.bid.	3600	in	ns	v1s2.xundns.com.
01615.bid.	3600	in	ns	ns1.1233dns.com.
01615.bid.	3600	in	ns	ns2.951dns.com.
01618.bid.	3600	in	ns	n1.xundns.com.
01618.bid.	3600	in	ns	n2.xundns.com.
01622.bid.	3600	in	ns	vip7.alidns.com.
01622.bid.	3600	in	ns	vip8.alidns.com.
016222.bid.	3600	in	ns	v1s1.xundns.com.
016222.bid.	3600	in	ns	v1s2.xundns.com.
016238.bid.	3600	in	ns	ns1.dnsip.com.
016238.bid.	3600	in	ns	ns2.dnsip.com.
01630.bid.	3600	in	ns	n1.xundns.com.
01630.bid.	3600	in	ns	n2.xundns.com.
016321.bid.	3600	in	ns	v1s1.xundns.com.
016321.bid.	3600	in	ns	v1s2.xundns.com.
01633.bid.	3600	in	ns	v1s1.xundns.com.
01633.bid.	3600	in	ns	v1s2.xundns.com.
016333.bid.	3600	in	ns	v1s1.xundns.com.
016333.bid.	3600	in	ns	v1s2.xundns.com.
01655.bid.	3600	in	ns	v1s1.xundns.com.
01655.bid.	3600	in	ns	v1s2.xundns.com.
016551.bid.	3600	in	ns	v1s1.xundns.com.
016551.bid.	3600	in	ns	v1s2.xundns.com.
016552.bid.	3600	in	ns	v1s1.xundns.com.
016552.bid.	3600	in	ns	v1s2.xundns.com.
016553.bid.	3600	in	ns	v1s1.xundns.com.
016553.bid.	3600	in	ns	v1s2.xundns.com.
016555.bid.	3600	in	ns	v1s1.xundns.com.
016555.bid.	3600	in	ns	v1s2.xundns.com.
016556.bid.	3600	in	ns	v1s1.xundns.com.
016556.bid.	3600	in	ns	v1s2.xundns.com.
016557.bid.	3600	in	ns	v1s1.xundns.com.
016557.bid.	3600	in	ns	v1s2.xundns.com.
016558.bid.	3600	in	ns	v1s1.xundns.com.
016558.bid.	3600	in	ns	v1s2.xundns.com.
016559.bid.	3600	in	ns	v1s1.xundns.com.
016559.bid.	3600	in	ns	v1s2.xundns.com.
01656.bid.	3600	in	ns	v1s1.xundns.com.
01656.bid.	3600	in	ns	v1s2.xundns.com.
016567.bid.	3600	in	ns	v1s1.xundns.com.
016567.bid.	3600	in	ns	v1s2.xundns.com.
01666.bid.	3600	in	ns	v1s1.xundns.com.
01666.bid.	3600	in	ns	v1s2.xundns.com.
016663.bid.	3600	in	ns	v1s1.xundns.com.
016663.bid.	3600	in	ns	v1s2.xundns.com.
016665.bid.	3600	in	ns	v1s1.xundns.com.
016665.bid.	3600	in	ns	v1s2.xundns.com.
016666.bid.	3600	in	ns	v1s1.xundns.com.
016666.bid.	3600	in	ns	v1s2.xundns.com.
016667.bid.	3600	in	ns	v1s1.xundns.com.
016667.bid.	3600	in	ns	v1s2.xundns.com.
016668.bid.	3600	in	ns	v1s1.xundns.com.
016668.bid.	3600	in	ns	v1s2.xundns.com.
016669.bid.	3600	in	ns	v1s1.xundns.com.
016669.bid.	3600	in	ns	v1s2.xundns.com.
016678.bid.	3600	in	ns	v1s1.xundns.com.
016678.bid.	3600	in	ns	v1s2.xundns.com.
016726.bid.	3600	in	ns	ns1.dnsip.com.
016726.bid.	3600	in	ns	ns2.dnsip.com.
016765.bid.	3600	in	ns	v1s1.xundns.com.
016765.bid.	3600	in	ns	v1s2.xundns.com.
01677.bid.	3600	in	ns	v1s1.xundns.com.
01677.bid.	3600	in	ns	v1s2.xundns.com.
016777.bid.	3600	in	ns	v1s1.xundns.com.
016777.bid.	3600	in	ns	v1s2.xundns.com.
01678.bid.	3600	in	ns	v1s1.xundns.com.
01678.bid.	3600	in	ns	v1s2.xundns.com.
016789.bid.	3600	in	ns	v1s1.xundns.com.
016789.bid.	3600	in	ns	v1s2.xundns.com.
016876.bid.	3600	in	ns	v1s1.xundns.com.
016876.bid.	3600	in	ns	v1s2.xundns.com.
01688.bid.	3600	in	ns	v1s1.xundns.com.
01688.bid.	3600	in	ns	v1s2.xundns.com.
016888.bid.	3600	in	ns	v1s1.xundns.com.
016888.bid.	3600	in	ns	v1s2.xundns.com.
016987.bid.	3600	in	ns	v1s1.xundns.com.
016987.bid.	3600	in	ns	v1s2.xundns.com.
01699.bid.	3600	in	ns	v1s1.xundns.com.
01699.bid.	3600	in	ns	v1s2.xundns.com.
016991.bid.	3600	in	ns	v1s1.xundns.com.
016991.bid.	3600	in	ns	v1s2.xundns.com.
016992.bid.	3600	in	ns	v1s1.xundns.com.
016992.bid.	3600	in	ns	v1s2.xundns.com.
016993.bid.	3600	in	ns	v1s1.xundns.com.
016993.bid.	3600	in	ns	v1s2.xundns.com.
016995.bid.	3600	in	ns	v1s1.xundns.com.
