ca.statebank.	3600	in	ds	39091 13 2 700101252C71113AACFF031F68EA54C4494777722A5C8C973CEA6B43954FA3D5
ca.statebank.	3600	in	ns	a1-148.akam.net.
ca.statebank.	3600	in	ns	a16-64.akam.net.
ca.statebank.	3600	in	ns	a20-64.akam.net.
ca.statebank.	3600	in	ns	a22-65.akam.net.
ca.statebank.	3600	in	ns	a3-66.akam.net.
ca.statebank.	3600	in	ns	a5-66.akam.net.
ca.statebank.	3600	in	rrsig	DS 8 2 3600 20250916152406 20250826142406 1566 statebank. FviCyrtaIWsyyxH0WM7fPENdW7GV0urVox1AejncfYw5f9geq8wyUKUDG731vOG+P+qr04AofHvO5JEnf0bEL1v4Q43BDhmAsFAMlPAjJEZhFFD9hrqkhybGeMIxZdSvRLag6IRTzIEZgLkanazSLAlRhLV3RJMKioU4lHvMC4o=
ch.statebank.	3600	in	ds	32265 13 2 19A82DF4ED1F4C012794820BE9B11053F823733FAEC0EF94A82582DEFF2BA4FA
ch.statebank.	3600	in	ns	a1-148.akam.net.
ch.statebank.	3600	in	ns	a16-64.akam.net.
ch.statebank.	3600	in	ns	a20-64.akam.net.
ch.statebank.	3600	in	ns	a22-65.akam.net.
ch.statebank.	3600	in	ns	a3-66.akam.net.
ch.statebank.	3600	in	ns	a5-66.akam.net.
ch.statebank.	3600	in	rrsig	DS 8 2 3600 20250916152406 20250826142406 1566 statebank. eulOe8k53ab9zQVVoMhR1lTtKHoc6g4Zhnm8rzFpsV63eRfUyObpqhKK/vS7l1OyJJHUVJ/f7OYHXdxGGurZJ/89KwWQNnmnB7rctORJawTT+sS+PH0FN4/3A7LBwz+Ym64g25rPyZxrFGavAu6y+Md+iRN5NkAuhZSvTdcJnJg=
cn.statebank.	3600	in	ds	45590 13 2 E8E1F2766E862CC0C9A10D4572E618F147F9DD65E91B377B71E9F0ECC4EF4011
cn.statebank.	3600	in	ns	a1-148.akam.net.
cn.statebank.	3600	in	ns	a16-64.akam.net.
cn.statebank.	3600	in	ns	a20-64.akam.net.
cn.statebank.	3600	in	ns	a22-65.akam.net.
cn.statebank.	3600	in	ns	a3-66.akam.net.
cn.statebank.	3600	in	ns	a5-66.akam.net.
cn.statebank.	3600	in	rrsig	DS 8 2 3600 20250916152406 20250826142406 1566 statebank. KehaERNllFjUaDJDzoRl+Tmkm7bdaEcz6HtqpAm673F9PW/FInQvMLpwXa80vL3eLDGPGzldBypGWTmalXjwxayQ4i/xvWbQ3wUs5yBsurtIUwTUM0ukEqywBPbGv2c8afQ8jXT33EZzUg2LJz0SegOcFlq9AbzDHJSoRo1BgWI=
daqhg378ae38obe3eedsno4g92pe0mh1.statebank.	3600	in	nsec3	1 1 0 73 DUMTK6UC06LC50FUUPT1P1FTB0G83QGU NS DS RRSIG
daqhg378ae38obe3eedsno4g92pe0mh1.statebank.	3600	in	rrsig	NSEC3 8 2 3600 20250916152406 20250826142406 1566 statebank. I0/V37hO1U6JweILF+CjT/4zYPKuO59TPb+Z2A8TyQvM6N2ZoZnY94rnP3KrowOYOmZT4ba5IFW6IZrnyWFHVHSRAkzgCyi7Tkb1FwSNSCbGH2o/IDDCZnhO1HQ6GtI8C9JXj3BtFE+/gbPbRQjU+3WSLffO04jEUCDoRyMKy1A=
