gmbh.	3600	in	soa	v0n0.nic.gmbh. hostmaster.donuts.email. 1759367345 7200 900 1209600 3600
brodmann.gmbh.	3600	in	ns	ns.udag.de.
brodmann.gmbh.	3600	in	ns	ns.udag.net.
brodmann.gmbh.	3600	in	ns	ns.udag.org.
broesamle.gmbh.	3600	in	ns	ns1082.ui-dns.de.
broesamle.gmbh.	3600	in	ns	ns1113.ui-dns.org.
broesamle.gmbh.	3600	in	ns	ns1115.ui-dns.com.
broesamle.gmbh.	3600	in	ns	ns1125.ui-dns.biz.
broetje.gmbh.	3600	in	ns	ns-de.1and1-dns.biz.
broetje.gmbh.	3600	in	ns	ns-de.1and1-dns.com.
broetje.gmbh.	3600	in	ns	ns-de.1and1-dns.de.
broetje.gmbh.	3600	in	ns	ns-de.1and1-dns.org.
broiler-king.gmbh.	3600	in	ns	ns1016.ui-dns.de.
broiler-king.gmbh.	3600	in	ns	ns1083.ui-dns.com.
broiler-king.gmbh.	3600	in	ns	ns1099.ui-dns.org.
broiler-king.gmbh.	3600	in	ns	ns1115.ui-dns.biz.
brojekt.gmbh.	3600	in	ds	2371 13 2 9AB03A8A93CEDA19F7CA5B92B037C912B843B4F5DC4C0CBC6E2CC43CC40E7C97
brojekt.gmbh.	3600	in	ns	jonah.ns.cloudflare.com.
brojekt.gmbh.	3600	in	ns	nia.ns.cloudflare.com.
brojekt.gmbh.	3600	in	rrsig	DS 8 2 3600 20251022154921 20251001144921 24861 gmbh. rPWLSL5FTqnx7tNaMQ+w7NuBm/KI0eCGSeKjVKMMHB3vTQmZoO0x39Lv3kumU3JKq5xYCXjtCc8QTQZ/Z0KBAXYqduterpNZiSqZQ7IV6K0Xwjri6fru0yl0aCvlnOWtVF3I1DGp4onvXeDTwbnn9AndBHe5BvmPD1Dw1+dXmnI=
brokamp.gmbh.	3600	in	ns	ns5.kasserver.com.
brokamp.gmbh.	3600	in	ns	ns6.kasserver.com.
broker.gmbh.	3600	in	ns	anna.ns.cloudflare.com.
broker.gmbh.	3600	in	ns	peyton.ns.cloudflare.com.
broker2clouds.gmbh.	3600	in	ns	ns.udag.de.
broker2clouds.gmbh.	3600	in	ns	ns.udag.net.
broker2clouds.gmbh.	3600	in	ns	ns.udag.org.
bromberger.gmbh.	3600	in	ns	ns01.agenturserver.co.
bromberger.gmbh.	3600	in	ns	ns01.agenturserver.de.
bromberger.gmbh.	3600	in	ns	ns01.agenturserver.it.
bromund.gmbh.	3600	in	ns	ns73.domaincontrol.com.
bromund.gmbh.	3600	in	ns	ns74.domaincontrol.com.
bronder.gmbh.	3600	in	ns	ns1.domaindiscount24.net.
bronder.gmbh.	3600	in	ns	ns2.domaindiscount24.net.
bronder.gmbh.	3600	in	ns	ns3.domaindiscount24.net.
bronk.gmbh.	3600	in	ns	ns-de.1and1-dns.biz.
bronk.gmbh.	3600	in	ns	ns-de.1and1-dns.com.
bronk.gmbh.	3600	in	ns	ns-de.1and1-dns.de.
bronk.gmbh.	3600	in	ns	ns-de.1and1-dns.org.
bronkhorst.gmbh.	3600	in	ds	11094 13 2 D74616F9499078CE1E81941F740B6A604EBD14B6B0FE378188D039CDD06022AD
bronkhorst.gmbh.	3600	in	ns	ns1.domaindiscount24.net.
bronkhorst.gmbh.	3600	in	ns	ns2.domaindiscount24.net.
bronkhorst.gmbh.	3600	in	ns	ns3.domaindiscount24.net.
bronkhorst.gmbh.	3600	in	rrsig	DS 8 2 3600 20251022154921 20251001144921 24861 gmbh. Hq3mRb63n2Hed7XNdHGjN2cEZAkYYzZ1VrnyQetfi3vAhx5/Ey5AEeYO3J+SfRAjj1gyqQKg32J3q4Smgl1ZMkXn0ajYBuhTxwqmRuKO3iRNXyJGZI1arwUhz64PaGcKSgkko8OJ4a/xrAJEHVMG5lZ9gzqmV4KGnwF+j6FQDvQ=
brosig.gmbh.	3600	in	ns	ns53.domaincontrol.com.
brosig.gmbh.	3600	in	ns	ns54.domaincontrol.com.
brotland.gmbh.	3600	in	ns	ns67.domaincontrol.com.
brotland.gmbh.	3600	in	ns	ns68.domaincontrol.com.
brotundsalz.gmbh.	3600	in	ns	ns5.kasserver.com.
brotundsalz.gmbh.	3600	in	ns	ns6.kasserver.com.
brouwer.gmbh.	3600	in	ns	ns.hostpoint.ch.
brouwer.gmbh.	3600	in	ns	ns2.hostpoint.ch.
brouwer.gmbh.	3600	in	ns	ns3.hostpoint.ch.
brown.gmbh.	3600	in	ns	ns.udag.de.
brown.gmbh.	3600	in	ns	ns.udag.net.
brown.gmbh.	3600	in	ns	ns.udag.org.
brr.gmbh.	3600	in	ns	docks17.rzone.de.
brr.gmbh.	3600	in	ns	shades02.rzone.de.
brs-iis.gmbh.	3600	in	ds	59495 13 2 2BC2C3C8138DD598592FF3A927E554C0362262F29FD05326D417959E99BC91C1
brs-iis.gmbh.	3600	in	ns	ns01.one.com.
brs-iis.gmbh.	3600	in	ns	ns02.one.com.
brs-iis.gmbh.	3600	in	rrsig	DS 8 2 3600 20251022154921 20251001144921 24861 gmbh. 1y2f3x2/gb+PLprF6Ycfcac+Vam0QyssHhJ0WGHsIUtdzgFc8UeWYJ1aXl1yZoXfimNcraS48bEmocd3vcYJMDY5/x8Y2cYtn4ekPzriuK7m4Zyjhcj2afFE6fv6GUBVQIyrKNWlknThAmoUvSh16g2s7S/X+/p/BM9cGldUtv8=
brs.gmbh.	3600	in	ns	ns1.namesecure.de.
brs.gmbh.	3600	in	ns	ns2.namesecure.de.
brt-hartner.gmbh.	3600	in	ns	ns.second-ns.com.
brt-hartner.gmbh.	3600	in	ns	ns1.your-server.de.
brt-hartner.gmbh.	3600	in	ns	ns3.second-ns.de.
brt.gmbh.	3600	in	ns	ns.udag.de.
brt.gmbh.	3600	in	ns	ns.udag.net.
brt.gmbh.	3600	in	ns	ns.udag.org.
bruchbude.gmbh.	3600	in	ns	docks14.rzone.de.
bruchbude.gmbh.	3600	in	ns	shades17.rzone.de.
bruck.gmbh.	3600	in	ns	ns-de.1and1-dns.biz.
bruck.gmbh.	3600	in	ns	ns-de.1and1-dns.com.
bruck.gmbh.	3600	in	ns	ns-de.1and1-dns.de.
bruck.gmbh.	3600	in	ns	ns-de.1and1-dns.org.
bruckbauer.gmbh.	3600	in	ns	ns1.world4you.at.
bruckbauer.gmbh.	3600	in	ns	ns2.world4you.at.
brucker.gmbh.	3600	in	ns	docks19.rzone.de.
brucker.gmbh.	3600	in	ns	shades03.rzone.de.
bruckschloegl.gmbh.	3600	in	ns	ns1.web-experts.at.
bruckschloegl.gmbh.	3600	in	ns	ns2.web-experts.at.
bruckschloegl.gmbh.	3600	in	ns	ns3.web-experts.at.
bruderer.gmbh.	3600	in	ns	a.ns14.net.
bruderer.gmbh.	3600	in	ns	b.ns14.net.
bruderer.gmbh.	3600	in	ns	c.ns14.net.
bruderer.gmbh.	3600	in	ns	d.ns14.net.
brueck.gmbh.	3600	in	ns	ns-cloud-b1.googledomains.com.
brueck.gmbh.	3600	in	ns	ns-cloud-b2.googledomains.com.
brueck.gmbh.	3600	in	ns	ns-cloud-b3.googledomains.com.
brueck.gmbh.	3600	in	ns	ns-cloud-b4.googledomains.com.
brueckenkopf.gmbh.	3600	in	ns	ns1029.ui-dns.biz.
brueckenkopf.gmbh.	3600	in	ns	ns1040.ui-dns.org.
brueckenkopf.gmbh.	3600	in	ns	ns1063.ui-dns.com.
brueckenkopf.gmbh.	3600	in	ns	ns1126.ui-dns.de.
brueckler.gmbh.	3600	in	ns	ns1.domaintechnik.at.
brueckler.gmbh.	3600	in	ns	ns2.domaintechnik.at.
brueckler.gmbh.	3600	in	ns	ns3.domaintechnik.at.
brueckler.gmbh.	3600	in	ns	ns4.domaintechnik.at.
brueckmann-elektronik.gmbh.	3600	in	ns	ns.second-ns.com.
brueckmann-elektronik.gmbh.	3600	in	ns	ns1.your-server.de.
brueckmann-elektronik.gmbh.	3600	in	ns	ns3.second-ns.de.
brueckmann.gmbh.	3600	in	ns	ns1.messagingengine.com.
brueckmann.gmbh.	3600	in	ns	ns2.messagingengine.com.
brueckner.gmbh.	3600	in	ns	docks17.rzone.de.
brueckner.gmbh.	3600	in	ns	shades06.rzone.de.
bruederlich.gmbh.	3600	in	ns	ns5.kasserver.com.
bruederlich.gmbh.	3600	in	ns	ns6.kasserver.com.
brueers-bau.gmbh.	3600	in	ns	docks09.rzone.de.
brueers-bau.gmbh.	3600	in	ns	shades01.rzone.de.
brueggemann.gmbh.	3600	in	ns	docks04.rzone.de.
brueggemann.gmbh.	3600	in	ns	shades11.rzone.de.
bruehl.gmbh.	3600	in	ns	cns1.alfahosting.info.
bruehl.gmbh.	3600	in	ns	cns2.alfahosting.info.
brueller.gmbh.	3600	in	ns	charles.ns.cloudflare.com.
brueller.gmbh.	3600	in	ns	gina.ns.cloudflare.com.
bruening.gmbh.	3600	in	ns	docks11.rzone.de.
bruening.gmbh.	3600	in	ns	shades09.rzone.de.
brueser.gmbh.	3600	in	ns	docks16.rzone.de.
brueser.gmbh.	3600	in	ns	shades13.rzone.de.
brueske.gmbh.	3600	in	ns	ns-de.1and1-dns.biz.
brueske.gmbh.	3600	in	ns	ns-de.1and1-dns.com.
brueske.gmbh.	3600	in	ns	ns-de.1and1-dns.de.
brueske.gmbh.	3600	in	ns	ns-de.1and1-dns.org.
brummiservice.gmbh.	3600	in	ns	docks14.rzone.de.
brummiservice.gmbh.	3600	in	ns	shades10.rzone.de.
brun.gmbh.	3600	in	ns	cns1.alfahosting.info.
brun.gmbh.	3600	in	ns	cns2.alfahosting.info.
brun.gmbh.	3600	in	ns	cns3.alfahosting.info.
brundobler.gmbh.	3600	in	ns	ns1.eibl-it.com.
brundobler.gmbh.	3600	in	ns	ns2.eibl-it.com.
brune-mettcker.gmbh.	3600	in	ns	ans1.ewetel.net.
brune-mettcker.gmbh.	3600	in	ns	ans2.ewetel.de.
brune-mettcker.gmbh.	3600	in	ns	ans3.ewetel.net.
brune-mettcker.gmbh.	3600	in	ns	ns.medien-systempartner.de.
brunke.gmbh.	3600	in	ns	docks15.rzone.de.
brunke.gmbh.	3600	in	ns	shades03.rzone.de.
brunnen-bohr.gmbh.	3600	in	ns	ns1.world4you.at.
brunnen-bohr.gmbh.	3600	in	ns	ns2.world4you.at.
brunnen-erdwaerme.gmbh.	3600	in	ns	ns1036.ui-dns.org.
brunnen-erdwaerme.gmbh.	3600	in	ns	ns1093.ui-dns.com.
brunnen-erdwaerme.gmbh.	3600	in	ns	ns1096.ui-dns.de.
brunnen-erdwaerme.gmbh.	3600	in	ns	ns1109.ui-dns.biz.
brunnenbau-volkening.gmbh.	3600	in	ns	docks13.rzone.de.
brunnenbau-volkening.gmbh.	3600	in	ns	shades16.rzone.de.
brunnenbohr.gmbh.	3600	in	ns	ns1.world4you.at.
brunnenbohr.gmbh.	3600	in	ns	ns2.world4you.at.
brunnenhof.gmbh.	3600	in	ns	docks11.rzone.de.
brunnenhof.gmbh.	3600	in	ns	shades02.rzone.de.
brunnensanierung.gmbh.	3600	in	ns	ns.hostpoint.ch.
brunnensanierung.gmbh.	3600	in	ns	ns2.hostpoint.ch.
brunnensanierung.gmbh.	3600	in	ns	ns3.hostpoint.ch.
brunner.gmbh.	3600	in	ns	ns1.hostprofis.com.
brunner.gmbh.	3600	in	ns	ns2.hostprofis.com.
bruno.gmbh.	3600	in	ns	docks12.rzone.de.
bruno.gmbh.	3600	in	ns	shades01.rzone.de.
brunox.gmbh.	3600	in	ns	ns01.trademarkarea.com.
brunox.gmbh.	3600	in	ns	ns02.trademarkarea.com.
brunox.gmbh.	3600	in	ns	ns03.trademarkarea.com.
bruns.gmbh.	3600	in	ns	docks03.rzone.de.
bruns.gmbh.	3600	in	ns	shades16.rzone.de.
bruto.gmbh.	3600	in	ns	ns1-expired.sav.com.
bruto.gmbh.	3600	in	ns	ns2-expired.sav.com.
brutscher.gmbh.	3600	in	ns	ns1058.ui-dns.biz.
brutscher.gmbh.	3600	in	ns	ns1080.ui-dns.de.
brutscher.gmbh.	3600	in	ns	ns1085.ui-dns.com.
brutscher.gmbh.	3600	in	ns	ns1092.ui-dns.org.
brutzki.gmbh.	3600	in	ns	ns1032.ui-dns.org.
brutzki.gmbh.	3600	in	ns	ns1078.ui-dns.biz.
brutzki.gmbh.	3600	in	ns	ns1100.ui-dns.com.
brutzki.gmbh.	3600	in	ns	ns1116.ui-dns.de.
brwn.gmbh.	3600	in	ds	43534 13 2 45CAEE3C5B0B33704B84EA5BF7DF984B8A3F194B39EEA68E6E645AF6DFECDA00
brwn.gmbh.	3600	in	ns	ns.udag.de.
brwn.gmbh.	3600	in	ns	ns.udag.net.
brwn.gmbh.	3600	in	ns	ns.udag.org.
brwn.gmbh.	3600	in	rrsig	DS 8 2 3600 20251022154921 20251001144921 24861 gmbh. iF1VDXMS1IDRs2saZ7WCOsEqgWW823MSsPwGSip9MdF3GXJfSlJqp0zwRTX+OdZFZUNr8cESYXfD4paKTvgVcy8s559/1SKz5ZGxfnbCVpHBbFkYYU+ea4CdvUmuqNmtJcLnzt6HjRx9nSEgDWTQIMCt0JD4rWKyrpAHCDINfjQ=
brz.gmbh.	3600	in	ns	ns.udag.de.
brz.gmbh.	3600	in	ns	ns.udag.net.
brz.gmbh.	3600	in	ns	ns.udag.org.
brzozowski.gmbh.	3600	in	ns	ns-de.1and1-dns.biz.
brzozowski.gmbh.	3600	in	ns	ns-de.1and1-dns.com.
brzozowski.gmbh.	3600	in	ns	ns-de.1and1-dns.de.
brzozowski.gmbh.	3600	in	ns	ns-de.1and1-dns.org.
bs-bau.gmbh.	3600	in	ns	ns01.securewebsystems.net.
bs-bau.gmbh.	3600	in	ns	ns02.securewebsystems.net.
bs-billbrook.gmbh.	3600	in	ns	ns5.kasserver.com.
bs-billbrook.gmbh.	3600	in	ns	ns6.kasserver.com.
bs-handel.gmbh.	3600	in	ns	ns.udag.de.
bs-handel.gmbh.	3600	in	ns	ns.udag.net.
bs-handel.gmbh.	3600	in	ns	ns.udag.org.
bs-holding.gmbh.	3600	in	ns	docks01.rzone.de.
bs-holding.gmbh.	3600	in	ns	shades05.rzone.de.
bs-investment.gmbh.	3600	in	ns	ns.second-ns.com.
bs-investment.gmbh.	3600	in	ns	ns1.your-server.de.
bs-investment.gmbh.	3600	in	ns	ns3.second-ns.de.
bs-it.gmbh.	3600	in	ns	ns01.bs-it.gmbh.
bs-it.gmbh.	3600	in	ns	ns02.bs-it.gmbh.
bs-ki.gmbh.	3600	in	ns	ns-1276.awsdns-31.org.
bs-ki.gmbh.	3600	in	ns	ns-1826.awsdns-36.co.uk.
bs-ki.gmbh.	3600	in	ns	ns-538.awsdns-03.net.
bs-ki.gmbh.	3600	in	ns	ns-57.awsdns-07.com.
bs-putz.gmbh.	3600	in	ns	ns1058.ui-dns.biz.
bs-putz.gmbh.	3600	in	ns	ns1105.ui-dns.de.
bs-putz.gmbh.	3600	in	ns	ns1117.ui-dns.com.
bs-putz.gmbh.	3600	in	ns	ns1117.ui-dns.org.
bs-re.gmbh.	3600	in	ns	ns1gjz.name.com.
bs-re.gmbh.	3600	in	ns	ns2fgp.name.com.
bs-re.gmbh.	3600	in	ns	ns3bgq.name.com.
bs-re.gmbh.	3600	in	ns	ns4lrt.name.com.
bs-schubert.gmbh.	3600	in	ns	docks13.rzone.de.
bs-schubert.gmbh.	3600	in	ns	shades20.rzone.de.
bs-technik.gmbh.	3600	in	ns	ns1052.ui-dns.org.
bs-technik.gmbh.	3600	in	ns	ns1065.ui-dns.biz.
bs-technik.gmbh.	3600	in	ns	ns1094.ui-dns.com.
bs-technik.gmbh.	3600	in	ns	ns1108.ui-dns.de.
bs-verwaltungs.gmbh.	3600	in	ns	cns1.alfahosting.info.
bs-verwaltungs.gmbh.	3600	in	ns	cns2.alfahosting.info.
bs.gmbh.	3600	in	ns	ns1045.ui-dns.biz.
bs.gmbh.	3600	in	ns	ns1045.ui-dns.com.
bs.gmbh.	3600	in	ns	ns1045.ui-dns.de.
bs.gmbh.	3600	in	ns	ns1045.ui-dns.org.
bs3nsu0mijniggc3gelrerp1ra56asl7.gmbh.	3600	in	nsec3	1 1 0 73 BSGCTSF0TRRUKC3JL58LKU6UER26DTNP NS DS RRSIG
bs3nsu0mijniggc3gelrerp1ra56asl7.gmbh.	3600	in	rrsig	NSEC3 8 2 3600 20251022154921 20251001144921 24861 gmbh. YI+Yd/wxdWIYZPnb9AvjdUZXR6BQMBve66vp5DXDLScuhMhUbDTLyx0/BWcKcAJvb+HsPnbd+iUf1aXdriIuYCeL2EoRw4xPGizfcAoS9RXEp5IAb+W9fRMtUzGdUvuiD2DLNyO1BrfWmNOTuSK/rCPIMbk7XaHIvcVpBen+xHg=
bsa.gmbh.	3600	in	ns	ns-de.1and1-dns.biz.
bsa.gmbh.	3600	in	ns	ns-de.1and1-dns.com.
bsa.gmbh.	3600	in	ns	ns-de.1and1-dns.de.
bsa.gmbh.	3600	in	ns	ns-de.1and1-dns.org.
bsabbruch.gmbh.	3600	in	ns	ns.second-ns.com.
bsabbruch.gmbh.	3600	in	ns	ns1.your-server.de.
bsabbruch.gmbh.	3600	in	ns	ns3.second-ns.de.
bsat-investments.gmbh.	3600	in	ns	ns.udag.de.
bsat-investments.gmbh.	3600	in	ns	ns.udag.net.
bsat-investments.gmbh.	3600	in	ns	ns.udag.org.
bsat-re.gmbh.	3600	in	ns	ns.udag.de.
bsat-re.gmbh.	3600	in	ns	ns.udag.net.
bsat-re.gmbh.	3600	in	ns	ns.udag.org.
bsatinvestments.gmbh.	3600	in	ns	ns.udag.de.
bsatinvestments.gmbh.	3600	in	ns	ns.udag.net.
bsatinvestments.gmbh.	3600	in	ns	ns.udag.org.
bsb-bau-malchin.gmbh.	3600	in	ns	ns-de.1and1-dns.biz.
bsb-bau-malchin.gmbh.	3600	in	ns	ns-de.1and1-dns.com.
bsb-bau-malchin.gmbh.	3600	in	ns	ns-de.1and1-dns.de.
bsb-bau-malchin.gmbh.	3600	in	ns	ns-de.1and1-dns.org.
bsb.gmbh.	3600	in	ns	ns57.domaincontrol.com.
bsb.gmbh.	3600	in	ns	ns58.domaincontrol.com.
bsc-puh.gmbh.	3600	in	ns	ns1031.ui-dns.org.
bsc-puh.gmbh.	3600	in	ns	ns1054.ui-dns.biz.
bsc-puh.gmbh.	3600	in	ns	ns1071.ui-dns.de.
bsc-puh.gmbh.	3600	in	ns	ns1121.ui-dns.com.
bsc.gmbh.	3600	in	ds	45331 8 1 14558C22FFBEE5C3BC767A58604AA2F6A123E786
bsc.gmbh.	3600	in	ns	ns3.powerdns.de.
bsc.gmbh.	3600	in	ns	ns4.powerdns.de.
bsc.gmbh.	3600	in	rrsig	DS 8 2 3600 20251022154921 20251001144921 24861 gmbh. eWKDL/mW3lgzzVJ++AI0nU54KB+IP7FOlMrLSp0sz5wbHqlyZsL/rQAqx/G8bQf9KajKCbcwN3B+mkJgGIYGuxNAb8f4AZIOX2NEyAUEjPf7EELPoceGZPqr2m89aMvFtecymjsQHyo33VHVsXr2UR0ILDOtGsCpPw/xVY5BuM0=
bscapital.gmbh.	3600	in	ns	ns.inwx.de.
bscapital.gmbh.	3600	in	ns	ns2.inwx.de.
bscapital.gmbh.	3600	in	ns	ns3.inwx.eu.
bscmobile.gmbh.	3600	in	ns	ns.udag.de.
bscmobile.gmbh.	3600	in	ns	ns.udag.net.
bscmobile.gmbh.	3600	in	ns	ns.udag.org.
bsd.gmbh.	3600	in	ns	ns.udag.de.
bsd.gmbh.	3600	in	ns	ns.udag.net.
bsd.gmbh.	3600	in	ns	ns.udag.org.
bsde.gmbh.	3600	in	ds	2371 13 2 9FD57D08031AD06C5FEC89D014083C870FB34032C6951E8451DDB49E15FC79A5
bsde.gmbh.	3600	in	ns	josh.ns.cloudflare.com.
bsde.gmbh.	3600	in	ns	michelle.ns.cloudflare.com.
bsde.gmbh.	3600	in	rrsig	DS 8 2 3600 20251022154921 20251001144921 24861 gmbh. p5xZkZvO7IxvuTczdOZVZo0rjdk89ReXwWvf804yjG93noDxJ5UFEkZnsWiywJl46PlceHZVmMA6Fs7cx5wA1XcBJG1vAPScZJd6H0NODBi6+k4asw8kwpjCRH7S3taT7c6ThmpFv9f6x778a7oea15HPlKepmh04qxh94eOY4o=
bse.gmbh.	3600	in	ns	root-dns.netcup.net.
bse.gmbh.	3600	in	ns	second-dns.netcup.net.
bse.gmbh.	3600	in	ns	third-dns.netcup.net.
bservice.gmbh.	3600	in	ns	docks18.rzone.de.
bservice.gmbh.	3600	in	ns	shades02.rzone.de.
bsf.gmbh.	3600	in	ns	ns.udag.de.
bsf.gmbh.	3600	in	ns	ns.udag.net.
bsf.gmbh.	3600	in	ns	ns.udag.org.
bsg.gmbh.	3600	in	ns	ns1031.ui-dns.com.
bsg.gmbh.	3600	in	ns	ns1031.ui-dns.org.
bsg.gmbh.	3600	in	ns	ns1105.ui-dns.de.
bsg.gmbh.	3600	in	ns	ns1121.ui-dns.biz.
bsgctsf0trrukc3jl58lku6uer26dtnp.gmbh.	3600	in	nsec3	1 1 0 73 BSJATHH0H82TKB6KPL9501FS2EC46NG4 NS DS RRSIG
bsgctsf0trrukc3jl58lku6uer26dtnp.gmbh.	3600	in	rrsig	NSEC3 8 2 3600 20251022154921 20251001144921 24861 gmbh. uykwdhuxm+N1taWQO/06iOfUlF8BcvL7PCjafuscqn/oETv2MlOTzDs385YZP/6X9qYQZ0tojOgYjtop0O1bnBAKkA3kum8W/DSioQZEOHE5F4aBZfEGbBHsoaad8QurdAJwXCI7UaGHvvLVSdbzJV8eL6jmsaLlUBndtYuI2B0=
bsggmbh.gmbh.	3600	in	ns	ns1045.ui-dns.de.
bsggmbh.gmbh.	3600	in	ns	ns1047.ui-dns.biz.
bsggmbh.gmbh.	3600	in	ns	ns1047.ui-dns.com.
bsggmbh.gmbh.	3600	in	ns	ns1105.ui-dns.org.
bsh.gmbh.	3600	in	ns	nsa8.schlundtech.de.
bsh.gmbh.	3600	in	ns	nsb8.schlundtech.de.
bsh.gmbh.	3600	in	ns	nsc8.schlundtech.de.
bsh.gmbh.	3600	in	ns	nsd8.schlundtech.de.
bsi-holding.gmbh.	3600	in	ns	ns1.gmxnet.de.
bsi-holding.gmbh.	3600	in	ns	ns2.gmxnet.de.
bsi-holding.gmbh.	3600	in	ns	ns3.gmxnet.de.
bsi-holding.gmbh.	3600	in	ns	ns4.gmxnet.de.
bsi-invest.gmbh.	3600	in	ns	ns1.gmxnet.de.
bsi-invest.gmbh.	3600	in	ns	ns2.gmxnet.de.
bsi-invest.gmbh.	3600	in	ns	ns3.gmxnet.de.
bsi-invest.gmbh.	3600	in	ns	ns4.gmxnet.de.
bsi.gmbh.	3600	in	ns	ns-1237.awsdns-26.org.
bsi.gmbh.	3600	in	ns	ns-1861.awsdns-40.co.uk.
bsi.gmbh.	3600	in	ns	ns-452.awsdns-56.com.
bsi.gmbh.	3600	in	ns	ns-725.awsdns-26.net.
bsih.gmbh.	3600	in	ns	docks02.rzone.de.
bsih.gmbh.	3600	in	ns	shades11.rzone.de.
bsit.gmbh.	3600	in	ns	ns01.bs-it.gmbh.
bsit.gmbh.	3600	in	ns	ns02.bs-it.gmbh.
bsjathh0h82tkb6kpl9501fs2ec46ng4.gmbh.	3600	in	nsec3	1 1 0 73 BTRUSI9J56RCONIJ1J3C14OCNORRRQ0G NS DS RRSIG
bsjathh0h82tkb6kpl9501fs2ec46ng4.gmbh.	3600	in	rrsig	NSEC3 8 2 3600 20251022154921 20251001144921 24861 gmbh. 2bv5JsitIhCtWp5jLk2cqHHjCaZnQhr+K7Oz7imQBeiKejTc/ltL2lvu1/ZGNtvb5MUISF4PXfE7fXuBi996xIi2I0tiHRi4NwCSEM2fKaBwhcUT8QoY9WfN1WhS2QkmY7lJbVVMm4nQIgtyV2OnUIzgpTPBPfCecWrtwi1N8Bk=
bski.gmbh.	3600	in	ns	ns-1276.awsdns-31.org.
bski.gmbh.	3600	in	ns	ns-1826.awsdns-36.co.uk.
bski.gmbh.	3600	in	ns	ns-538.awsdns-03.net.
bski.gmbh.	3600	in	ns	ns-57.awsdns-07.com.
bskp-nowak.gmbh.	3600	in	ns	ns1033.ui-dns.biz.
bskp-nowak.gmbh.	3600	in	ns	ns1050.ui-dns.com.
bskp-nowak.gmbh.	3600	in	ns	ns1063.ui-dns.org.
bskp-nowak.gmbh.	3600	in	ns	ns1068.ui-dns.de.
bsm-bau.gmbh.	3600	in	ns	ns1026.ui-dns.de.
bsm-bau.gmbh.	3600	in	ns	ns1078.ui-dns.com.
bsm-bau.gmbh.	3600	in	ns	ns1102.ui-dns.org.
bsm-bau.gmbh.	3600	in	ns	ns1125.ui-dns.biz.
bsmn.gmbh.	3600	in	ns	docks18.rzone.de.
bsmn.gmbh.	3600	in	ns	shades14.rzone.de.
bsn.gmbh.	3600	in	ns	ns37.domaincontrol.com.
bsn.gmbh.	3600	in	ns	ns38.domaincontrol.com.
bso-consulting.gmbh.	3600	in	ns	ns.udag.de.
bso-consulting.gmbh.	3600	in	ns	ns.udag.net.
bso-consulting.gmbh.	3600	in	ns	ns.udag.org.
bso.gmbh.	3600	in	ns	ns.udag.de.
bso.gmbh.	3600	in	ns	ns.udag.net.
bso.gmbh.	3600	in	ns	ns.udag.org.
bsolve.gmbh.	3600	in	ns	ns1063.ui-dns.com.
bsolve.gmbh.	3600	in	ns	ns1065.ui-dns.org.
bsolve.gmbh.	3600	in	ns	ns1087.ui-dns.biz.
bsolve.gmbh.	3600	in	ns	ns1119.ui-dns.de.
bsp.gmbh.	3600	in	ns	ns1.world4you.at.
bsp.gmbh.	3600	in	ns	ns2.world4you.at.
bsplus.gmbh.	3600	in	ns	pdns05.domaincontrol.com.
bsplus.gmbh.	3600	in	ns	pdns06.domaincontrol.com.
bsqcy.gmbh.	3600	in	ns	n1.xundns.com.
bsqcy.gmbh.	3600	in	ns	n2.xundns.com.
bsr.gmbh.	3600	in	ns	ns1048.ui-dns.com.
bsr.gmbh.	3600	in	ns	ns1056.ui-dns.biz.
bsr.gmbh.	3600	in	ns	ns1068.ui-dns.org.
bsr.gmbh.	3600	in	ns	ns1122.ui-dns.de.
bsre.gmbh.	3600	in	ns	ns1gjz.name.com.
bsre.gmbh.	3600	in	ns	ns2fgp.name.com.
bsre.gmbh.	3600	in	ns	ns3bgq.name.com.
bsre.gmbh.	3600	in	ns	ns4lrt.name.com.
bss-architektur.gmbh.	3600	in	ns	ns.udag.de.
bss-architektur.gmbh.	3600	in	ns	ns.udag.net.
bss-architektur.gmbh.	3600	in	ns	ns.udag.org.
bss-holding.gmbh.	3600	in	ns	ns5.kasserver.com.
bss-holding.gmbh.	3600	in	ns	ns6.kasserver.com.
bss.gmbh.	3600	in	ns	ns37.domaincontrol.com.
bss.gmbh.	3600	in	ns	ns38.domaincontrol.com.
bssp-brandschutzplan.gmbh.	3600	in	ns	ns-de.1and1-dns.biz.
bssp-brandschutzplan.gmbh.	3600	in	ns	ns-de.1and1-dns.com.
bssp-brandschutzplan.gmbh.	3600	in	ns	ns-de.1and1-dns.de.
bssp-brandschutzplan.gmbh.	3600	in	ns	ns-de.1and1-dns.org.
bssp.gmbh.	3600	in	ns	ns-de.1and1-dns.biz.
bssp.gmbh.	3600	in	ns	ns-de.1and1-dns.com.
bssp.gmbh.	3600	in	ns	ns-de.1and1-dns.de.
bssp.gmbh.	3600	in	ns	ns-de.1and1-dns.org.
bst-wandelt.gmbh.	3600	in	ns	docks02.rzone.de.
bst-wandelt.gmbh.	3600	in	ns	shades17.rzone.de.
bst.gmbh.	3600	in	ns	ns1.webgo.de.
bst.gmbh.	3600	in	ns	ns2.webgo.de.
bst.gmbh.	3600	in	ns	ns3.webgo.de.
bst.gmbh.	3600	in	ns	ns4.webgo.de.
