band.microsoft.	172800	in	ns	ns2-08.azure-dns.net.
band.microsoft.	172800	in	ns	ns3-08.azure-dns.org.
band.microsoft.	172800	in	ns	ns4-08.azure-dns.info.
bing.microsoft.	172800	in	ns	ns1-06.azure-dns.com.
bing.microsoft.	172800	in	ns	ns2-06.azure-dns.net.
bing.microsoft.	172800	in	ns	ns3-06.azure-dns.org.
bing.microsoft.	172800	in	ns	ns4-06.azure-dns.info.
cloud-dev.microsoft.	172800	in	ns	ns1-37.azure-dns.com.
cloud-dev.microsoft.	172800	in	ns	ns2-37.azure-dns.net.
cloud-dev.microsoft.	172800	in	ns	ns3-37.azure-dns.org.
cloud-dev.microsoft.	172800	in	ns	ns4-37.azure-dns.info.
cloud.microsoft.	172800	in	ns	ns1-33.azure-dns.com.
cloud.microsoft.	172800	in	ns	ns2-33.azure-dns.net.
cloud.microsoft.	172800	in	ns	ns3-33.azure-dns.org.
cloud.microsoft.	172800	in	ns	ns4-33.azure-dns.info.
cloud.microsoft.	3600	in	ds	61899 13 2 3669D6E0BA4221859F38E90C598CD669A834BD99EE6478C2217C90D2C509D3ED
cloud.microsoft.	3600	in	rrsig	DS 8 2 3600 20251104205814 20250930205004 26161 microsoft. IQiea37xbgtvkP4/DH9smTJ2d+yWDEpoI6qY1Eb8hI+djnWibYpOfXS5wBTDPYS7UwwB3oRXkLwFJ53pUqgnd1oipp0QEikLGp2u2dN7EL79mn9CYw4RaJwd5cMXtgQjILodtoBcSdg5ScpSftu6haGxjhDLjBwv6dRDymNoLwEziOEqiTtgO+ZNdJnfn7rIlgGJk4C5icIU+7XSYBTGS+QcT8w65jNjFeVlpAZuX7sAOtzkxzdNI7bELKfceivl4BVp3YteU+jjJLRb6XcfBrSyA24E9e6tYrrCdJ1hf8wx6clQsSXmBmEtNY9C/bN2rzx7h5PlttQB1h64y65Ucg==
com.microsoft.	172800	in	ns	ns1-07.azure-dns.com.
com.microsoft.	172800	in	ns	ns2-07.azure-dns.net.
com.microsoft.	172800	in	ns	ns3-07.azure-dns.org.
com.microsoft.	172800	in	ns	ns4-07.azure-dns.info.
core.microsoft.	172800	in	ns	ns1-33.azure-dns.com.
core.microsoft.	172800	in	ns	ns2-33.azure-dns.net.
core.microsoft.	172800	in	ns	ns3-33.azure-dns.org.
core.microsoft.	172800	in	ns	ns4-33.azure-dns.info.
core.microsoft.	3600	in	ds	26730 13 2 FC2C6818B73721081CE2D1E23684115353063F84FDAAFA4DA992162F65665FAF
core.microsoft.	3600	in	rrsig	DS 8 2 3600 20251103224111 20250929223747 26161 microsoft. Vq3j6vXzGwCO7iqer2GxFVZNjh1mxpmkSQSa7UwCpi0x3PfFGC7y/GVBDYSBvxJ8SPVgfNIdMxsT99U6vcTNQDiuv9ZsyyAaLkjk0Q8kRyWd9vdo5ZZqRpLSWiIY3C16txulgwLSLn6WS3MumNC+XA7pw9+imaOukjGuJWti3Dh/i1kkaXyOUgUuqF0BC94AijULB/1Nq5bdg99gLqaJRSB6Ox4F3juzuN5uP2IFbVzIlUTbkPZhHqBw08umAi+kFCTvTUiI6MG5vKnY8AE2xy5IL1dOjXtFDC3978xQHmbyvfyfegCgmoOx1ZH24yjFYco9B5GSMocbpLs7neNF+g==
corp.microsoft.	172800	in	ns	ns1-06.azure-dns.com.
corp.microsoft.	172800	in	ns	ns2-06.azure-dns.net.
corp.microsoft.	172800	in	ns	ns3-06.azure-dns.org.
corp.microsoft.	172800	in	ns	ns4-06.azure-dns.info.
data.microsoft.	172800	in	ns	ns1-08.azure-dns.com.
data.microsoft.	172800	in	ns	ns2-08.azure-dns.net.
data.microsoft.	172800	in	ns	ns3-08.azure-dns.org.
data.microsoft.	172800	in	ns	ns4-08.azure-dns.info.
dc.microsoft.	172800	in	ns	ns1-05.azure-dns.com.
dc.microsoft.	172800	in	ns	ns2-05.azure-dns.net.
dc.microsoft.	172800	in	ns	ns3-05.azure-dns.org.
dc.microsoft.	172800	in	ns	ns4-05.azure-dns.info.
dev.microsoft.	172800	in	ns	ns1-37.azure-dns.com.
dev.microsoft.	172800	in	ns	ns2-37.azure-dns.net.
dev.microsoft.	172800	in	ns	ns3-37.azure-dns.org.
dev.microsoft.	172800	in	ns	ns4-37.azure-dns.info.
dev.microsoft.	3600	in	ds	31163 13 2 C4043620932720E7D133C523861C5449800FDF3AAB862A00401F2B3C900826F6
dev.microsoft.	3600	in	rrsig	DS 8 2 3600 20251103060524 20250929055351 26161 microsoft. hFq+XYcd+DZsXOknU4D9BwW6lAQW93eZuapMo5MwGzdEE4tZM8Xebkzxt36MpRLeajj0p5NOhBHVndbtbA7fREpsD6/7cjBi54D2PnFimJ2GRAMWIxPECp/k/0jaTvE2khylkPl20bf25soRYvos+sAbkWf1aDzkvUR6jIPyD+cqDK5yLoTeYJntlGEnSFWTvdUawJ5GQ5+l8wksP3hBTjz++RhrdVggNoxCdTF3AxVS7S3Ev/S/M803KH5vxEkOFmCV01INM/zfy5HM2FTbluq9nnMU7sJ3YjADdwl9VyPrgRfDNPoEmT2k+YR5bMuj1oD2EHVYBaWRoUnk5VbFgA==
dmarc.microsoft.	172800	in	ns	ns1-04.azure-dns.com.
dmarc.microsoft.	172800	in	ns	ns2-04.azure-dns.net.
dmarc.microsoft.	172800	in	ns	ns3-04.azure-dns.org.
dmarc.microsoft.	172800	in	ns	ns4-04.azure-dns.info.
dns1.nic.microsoft.	86400	in	a	213.248.219.132
dns1.nic.microsoft.	86400	in	aaaa	2a01:0618:0403:0000:0000:0000:0000:0132
dns2.nic.microsoft.	86400	in	a	103.49.83.132
dns2.nic.microsoft.	86400	in	aaaa	2401:fd80:0403:0000:0000:0000:0000:0132
dns3.nic.microsoft.	86400	in	a	213.248.223.132
dns3.nic.microsoft.	86400	in	aaaa	2a01:0618:0407:0000:0000:0000:0000:0132
dns4.nic.microsoft.	86400	in	a	43.230.51.132
dns4.nic.microsoft.	86400	in	aaaa	2401:fd80:0407:0000:0000:0000:0000:0132
dnsa.nic.microsoft.	86400	in	a	156.154.100.3
dnsa.nic.microsoft.	86400	in	aaaa	2001:0502:ad09:0000:0000:0000:0000:0003
dnsb.nic.microsoft.	86400	in	a	156.154.101.3
dnsb.nic.microsoft.	86400	in	aaaa	2001:0502:2eda:0000:0000:0000:0000:0003
dnsc.nic.microsoft.	86400	in	a	156.154.102.3
dnsc.nic.microsoft.	86400	in	aaaa	2610:00a1:1009:0000:0000:0000:0000:0003
dnsd.nic.microsoft.	86400	in	a	156.154.103.3
dnsd.nic.microsoft.	86400	in	aaaa	2610:00a1:1010:0000:0000:0000:0000:0003
dnssec-test.microsoft.	172800	in	ns	ns1-38.azure-dns.com.
dnssec-test.microsoft.	172800	in	ns	ns2-38.azure-dns.net.
dnssec-test.microsoft.	172800	in	ns	ns3-38.azure-dns.org.
dnssec-test.microsoft.	172800	in	ns	ns4-38.azure-dns.info.
domains.microsoft.	172800	in	ns	ns1-05.azure-dns.com.
domains.microsoft.	172800	in	ns	ns2-05.azure-dns.net.
domains.microsoft.	172800	in	ns	ns3-05.azure-dns.org.
domains.microsoft.	172800	in	ns	ns4-05.azure-dns.info.
domainsdata.microsoft.	172800	in	ns	ns1-06.azure-dns.com.
domainsdata.microsoft.	172800	in	ns	ns2-06.azure-dns.net.
domainsdata.microsoft.	172800	in	ns	ns3-06.azure-dns.org.
domainsdata.microsoft.	172800	in	ns	ns4-06.azure-dns.info.
download.microsoft.	172800	in	ns	ns1-03.azure-dns.com.
download.microsoft.	172800	in	ns	ns2-03.azure-dns.net.
download.microsoft.	172800	in	ns	ns3-03.azure-dns.org.
download.microsoft.	172800	in	ns	ns4-03.azure-dns.info.
dynamics.microsoft.	172800	in	ns	ns1-06.azure-dns.com.
dynamics.microsoft.	172800	in	ns	ns2-06.azure-dns.net.
dynamics.microsoft.	172800	in	ns	ns3-06.azure-dns.org.
dynamics.microsoft.	172800	in	ns	ns4-06.azure-dns.info.
edge.microsoft.	172800	in	ns	ns1-08.azure-dns.com.
edge.microsoft.	172800	in	ns	ns2-08.azure-dns.net.
edge.microsoft.	172800	in	ns	ns3-08.azure-dns.org.
edge.microsoft.	172800	in	ns	ns4-08.azure-dns.info.
empowering.microsoft.	172800	in	ns	ns1-08.azure-dns.com.
empowering.microsoft.	172800	in	ns	ns2-08.azure-dns.net.
empowering.microsoft.	172800	in	ns	ns3-08.azure-dns.org.
empowering.microsoft.	172800	in	ns	ns4-08.azure-dns.info.
excel.microsoft.	172800	in	ns	ns1-34.azure-dns.com.
excel.microsoft.	172800	in	ns	ns2-34.azure-dns.net.
excel.microsoft.	172800	in	ns	ns3-34.azure-dns.org.
excel.microsoft.	172800	in	ns	ns4-34.azure-dns.info.
gamestack.microsoft.	172800	in	ns	ns1-07.azure-dns.com.
gamestack.microsoft.	172800	in	ns	ns2-07.azure-dns.net.
gamestack.microsoft.	172800	in	ns	ns3-07.azure-dns.org.
gamestack.microsoft.	172800	in	ns	ns4-07.azure-dns.info.
gmpmdh3urn3nelsce2p741kuvno31qso.microsoft.	3600	in	nsec3	1 1 0 - GQG9DG9EVE263ODA44PPKOA8DQLDE4DR A RRSIG
gmpmdh3urn3nelsce2p741kuvno31qso.microsoft.	3600	in	rrsig	NSEC3 8 2 3600 20251103224111 20250929223747 26161 microsoft. VeGa9NcQf1qxBg8uQuG45S0kvzMY09xDlpo/MXX43OuuQG5ABE4iPR//a/0slLma6gCeLpFyHp48voN7njn+9MyxM6zY6WtQ9zhIVvgwZMIQkcWKsVPNMT7jpdAO6r3s3ZgUEuGp4THBO3b6AQBWuC/1uYhPvdAESyiyqV6fiyv04Qts/TLzifojzP2tnmqgv5T4u/eKR7T2VHqbmIBHiBApp/QU49vSLh3JwuTrOjW/Urv4CqHphz4PpEhGr7YwhNzUvw+WrPGlJso9MuMj/Q7q5gaz3XLxO3Z+HpspxLCHyrLJXFB2F0v7ROWD9T4ys8D+8PCyjfkIEL7lQyU63A==
go.microsoft.	172800	in	ns	ns1-09.azure-dns.com.
go.microsoft.	172800	in	ns	ns2-09.azure-dns.net.
go.microsoft.	172800	in	ns	ns3-09.azure-dns.org.
go.microsoft.	172800	in	ns	ns4-09.azure-dns.info.
