africa.barclays.	3600	in	ns	a1-71.akam.net.
africa.barclays.	3600	in	ns	a10-66.akam.net.
africa.barclays.	3600	in	ns	a11-67.akam.net.
africa.barclays.	3600	in	ns	a12-64.akam.net.
africa.barclays.	3600	in	ns	a18-65.akam.net.
africa.barclays.	3600	in	ns	a9-66.akam.net.
africa.barclays.	3600	in	ns	ns2.barcap.com.
africa.barclays.	3600	in	ns	ns3.barcap.com.
africa.barclays.	3600	in	ns	ns7.barcap.com.
after.barclays.	3600	in	ns	dns1.cscdns.net.
after.barclays.	3600	in	ns	dns2.cscdns.net.
ai.barclays.	3600	in	ns	ns2.barcap.com.
ai.barclays.	3600	in	ns	ns3.barcap.com.
ai.barclays.	3600	in	ns	ns7.barcap.com.
apac.barclays.	3600	in	ns	dns1.cscdns.net.
apac.barclays.	3600	in	ns	dns2.cscdns.net.
api-glos.barclays.	3600	in	ns	dns1.cscdns.net.
api-glos.barclays.	3600	in	ns	dns2.cscdns.net.
api-slough.barclays.	3600	in	ns	dns1.cscdns.net.
api-slough.barclays.	3600	in	ns	dns2.cscdns.net.
api.barclays.	3600	in	ns	a1-71.akam.net.
api.barclays.	3600	in	ns	a10-66.akam.net.
api.barclays.	3600	in	ns	a11-67.akam.net.
api.barclays.	3600	in	ns	a12-64.akam.net.
api.barclays.	3600	in	ns	a18-65.akam.net.
api.barclays.	3600	in	ns	a9-66.akam.net.
api.barclays.	3600	in	ns	ns2.barcap.com.
api.barclays.	3600	in	ns	ns3.barcap.com.
api.barclays.	3600	in	ns	ns7.barcap.com.
apistore.barclays.	3600	in	ns	dns1.cscdns.net.
apistore.barclays.	3600	in	ns	dns2.cscdns.net.
archive.barclays.	3600	in	ns	dns1.cscdns.net.
archive.barclays.	3600	in	ns	dns2.cscdns.net.
assetregister.barclays.	3600	in	ds	33124 8 2 B3F08E33B03D42694F8BAECB7F724CED569E106857E02467CCF0368781AEFD38
assetregister.barclays.	3600	in	ds	33436 8 1 7A31FC38B04A6A649B9C90D7F9ACBAC86B031EF1
assetregister.barclays.	3600	in	ns	a1-71.akam.net.
assetregister.barclays.	3600	in	ns	a10-66.akam.net.
assetregister.barclays.	3600	in	ns	a11-67.akam.net.
assetregister.barclays.	3600	in	ns	a12-64.akam.net.
assetregister.barclays.	3600	in	ns	a18-65.akam.net.
assetregister.barclays.	3600	in	ns	a9-66.akam.net.
assetregister.barclays.	3600	in	ns	ns2.barcap.com.
assetregister.barclays.	3600	in	ns	ns3.barcap.com.
assetregister.barclays.	3600	in	ns	ns7.barcap.com.
assetregister.barclays.	3600	in	rrsig	DS 8 2 3600 20250916152927 20250826142927 35448 barclays. Niok9pdvsRV/UCsBYhxBGohFd1m2ShJJiCciM0t1Xj09GRepvIekcHrHz4UD3t9gLgkr1k5iI3AEhn+7hGwfTUXoypNYSeB4Edup5Inh4VuX8I6RLSZlGESQvMUpe1L4FevLyIXU5BveE+b1Z/5miUVrfUBDJVlQd1Xjx+7qNcE=
b0.nic.barclays.	3600	in	a	65.22.121.1
b0.nic.barclays.	3600	in	aaaa	2a01:8840:0077:0000:0000:0000:0000:0001
ballkids.barclays.	3600	in	ns	a1-71.akam.net.
ballkids.barclays.	3600	in	ns	a10-66.akam.net.
ballkids.barclays.	3600	in	ns	a11-67.akam.net.
ballkids.barclays.	3600	in	ns	a12-64.akam.net.
ballkids.barclays.	3600	in	ns	a18-65.akam.net.
ballkids.barclays.	3600	in	ns	a9-66.akam.net.
ballkids.barclays.	3600	in	ns	ns2.barcap.com.
ballkids.barclays.	3600	in	ns	ns3.barcap.com.
ballkids.barclays.	3600	in	ns	ns7.barcap.com.
bank.barclays.	3600	in	ns	dns1.cscdns.net.
bank.barclays.	3600	in	ns	dns2.cscdns.net.
