0dpediq3obdaqsifc8mgbm2rmojn9ilp.university.	3600	in	rrsig	NSEC3 8 2 3600 20250922151918 20250901141918 38601 university. efsRYM6qiXD/f0+QG7a5lEL4AK4KXLH5kOFnh8JLawdkHgeRqUduqwLm3jRI801hkADTdBYClxs57Wt3dlPItfQBxUi12vTk3w/MFqsUVyT9yiTYTIsgnQlNzkvaliXNe2gDihkP/0JGg/JRGTEmwWrTDBNchNHgrkNlwSj8kD0=
0f97b839kosbkekebk7rnfevn8mv97bf.university.	3600	in	nsec3	1 1 0 73 0GAG9T2R4PTQEI3NGDNTO9TOV3EDM8BF NS DS RRSIG
0f97b839kosbkekebk7rnfevn8mv97bf.university.	3600	in	rrsig	NSEC3 8 2 3600 20250922151918 20250901141918 38601 university. L3Vc3cMBgOOZ/kCBAhPUc7NHspdCBrtBQbej2p8RpensH0ccODr3+z5U5H8LqfFeTqbx6Lq5JbkTiPOK+96dr3cOn7WhO/z7nQr5jlwCVwAnrSVYke3qd3ekN1hRISX6aRunXTuqfwh5iCKv6bxB/yjJH0fZeM8m3o2ZTIkioB0=
0gag9t2r4ptqei3ngdnto9tov3edm8bf.university.	3600	in	nsec3	1 1 0 73 0GOFN8R8RHT9LQDMJLVOF6OD5FP54NH0 NS DS RRSIG
0gag9t2r4ptqei3ngdnto9tov3edm8bf.university.	3600	in	rrsig	NSEC3 8 2 3600 20250922151918 20250901141918 38601 university. NPxxMA9aykzmDfB1QBjiOjvH72KzMXArpLtJMFUwRsNyGuUJ1kzJdOwve0GUggYAil2u0iuI8XA8QvfIsJT+z7uQ2XBbcgCGFVZXnhgml73p0OUNfpkYyu6B6/khjheAmCkRcvX7v1Pdy4VpRZzo92clOp5kY4OfGK51JwrGkKg=
0gofn8r8rht9lqdmjlvof6od5fp54nh0.university.	3600	in	nsec3	1 1 0 73 0H9RAK2UI6T7C14DMQG7ESCKL01VDDLG NS DS RRSIG
0gofn8r8rht9lqdmjlvof6od5fp54nh0.university.	3600	in	rrsig	NSEC3 8 2 3600 20250922151918 20250901141918 38601 university. TQx9RX38vhcdvv299suY6DVjkukc4+i1yInT+orG34zy2ca1A6GTaI61Qe27wAAth8hXYvKoFicaz0twzArX1ML1BTRLTXkF3ZfuiJl4TKVrp/+oSwxXehVCXwjg9emEqii2Punc5KgB88AuuLtPui/+JUYlEicsrwXmObxO1p4=
0h9rak2ui6t7c14dmqg7esckl01vddlg.university.	3600	in	nsec3	1 1 0 73 0HGJP8QKUV9APCM15129N2BJ24MUAQCH NS DS RRSIG
0h9rak2ui6t7c14dmqg7esckl01vddlg.university.	3600	in	rrsig	NSEC3 8 2 3600 20250922151918 20250901141918 38601 university. ZKryt27vp8PQDraUvD6i9BwMWeKA9fiDKE3Eu6zoiuth2tZv/293Kn5lLhlxIFmVbsgisrA6E3pK0Owg1Jl5eVlMpfQ2Jr0jPrBkAbMFLPLcm0aG9gSOFyF4vt8r3gOJY6Jf8s9KXeE3o32oeeW2OCyW2PZ2cgzqcNc6LyjH8LE=
0hgjp8qkuv9apcm15129n2bj24muaqch.university.	3600	in	nsec3	1 1 0 73 0KGCP3CRBQ2QPOH1LQ2185OBH5H9UK5N NS DS RRSIG
