albert.tatar.	86400	in	ns	ns1.reg.ru.
albert.tatar.	86400	in	ns	ns2.reg.ru.
alexpark.tatar.	86400	in	ns	ns1.reg.ru.
alexpark.tatar.	86400	in	ns	ns2.reg.ru.
alfa.tatar.	86400	in	ns	ns1.smartape.ru.
alfa.tatar.	86400	in	ns	ns2.smartape.ru.
alfabank.tatar.	86400	in	ns	ns1.smartape.ru.
alfabank.tatar.	86400	in	ns	ns2.smartape.ru.
alga-shop.tatar.	86400	in	ns	ns1.mchost.ru.
alga-shop.tatar.	86400	in	ns	ns2.mchost.ru.
alga-shop.tatar.	86400	in	ns	ns3.mchost.ru.
alga-shop.tatar.	86400	in	ns	ns4.mchost.ru.
alga.tatar.	86400	in	ns	ns3-l2.nic.ru.
alga.tatar.	86400	in	ns	ns4-cloud.nic.ru.
alga.tatar.	86400	in	ns	ns4-l2.nic.ru.
alga.tatar.	86400	in	ns	ns8-cloud.nic.ru.
alga.tatar.	86400	in	ns	ns8-l2.nic.ru.
alif.tatar.	86400	in	ns	ns1.tildadns.com.
alif.tatar.	86400	in	ns	ns2.tildadns.com.
alifba.tatar.	86400	in	ns	ns1.nameself.com.
alifba.tatar.	86400	in	ns	ns2.nameself.com.
alina.tatar.	86400	in	ns	ns5.kasserver.com.
alina.tatar.	86400	in	ns	ns6.kasserver.com.
alkz.tatar.	86400	in	ns	ns1.reg.ru.
alkz.tatar.	86400	in	ns	ns2.reg.ru.
allah.tatar.	86400	in	ns	ns1.ht-systems.ru.
allah.tatar.	86400	in	ns	ns2.ht-systems.ru.
alma.tatar.	86400	in	ns	ns1.reg.ru.
alma.tatar.	86400	in	ns	ns2.reg.ru.
almandar.tatar.	86400	in	ns	ns1.nameself.com.
almandar.tatar.	86400	in	ns	ns2.nameself.com.
almetyevsk.tatar.	86400	in	ns	nsu0.flops.ru.
almetyevsk.tatar.	86400	in	ns	nsu1.flops.ru.
almetyevsk.tatar.	86400	in	ns	nsu2.flops.ru.
alpar.tatar.	86400	in	ns	ns1.nameself.com.
alpar.tatar.	86400	in	ns	ns2.nameself.com.
alphabet.tatar.	86400	in	ns	ns1.google.com.
alphabet.tatar.	86400	in	ns	ns2.google.com.
alphabet.tatar.	86400	in	ns	ns3.google.com.
alphabet.tatar.	86400	in	ns	ns4.google.com.
alsu.tatar.	86400	in	ns	ns1.time4vps.com.
alsu.tatar.	86400	in	ns	ns2.time4vps.com.
alta.tatar.	86400	in	ns	ns1.nameself.com.
alta.tatar.	86400	in	ns	ns2.nameself.com.
altmed.tatar.	86400	in	ns	dns1.yandex.net.
altmed.tatar.	86400	in	ns	dns2.yandex.net.
amat.tatar.	86400	in	ns	udns1.cscdns.net.
amat.tatar.	86400	in	ns	udns2.cscdns.uk.
amazon.tatar.	86400	in	ns	nsgbr.comlaude.co.uk.
amazon.tatar.	86400	in	ns	nssui.comlaude.ch.
amazon.tatar.	86400	in	ns	nsusa.comlaude.net.
amina.tatar.	86400	in	ns	ns1.nameself.com.
amina.tatar.	86400	in	ns	ns2.nameself.com.
anaem.tatar.	86400	in	ns	ns1.nameself.com.
anaem.tatar.	86400	in	ns	ns2.nameself.com.
anatoly.tatar.	86400	in	ns	dns1.p05.nsone.net.
anatoly.tatar.	86400	in	ns	dns2.p05.nsone.net.
anatoly.tatar.	86400	in	ns	dns3.p05.nsone.net.
anatoly.tatar.	86400	in	ns	dns4.p05.nsone.net.
android.tatar.	86400	in	ns	ns1.google.com.
android.tatar.	86400	in	ns	ns2.google.com.
android.tatar.	86400	in	ns	ns3.google.com.
android.tatar.	86400	in	ns	ns4.google.com.
anekdot.tatar.	86400	in	ns	ns1.beget.com.
anekdot.tatar.	86400	in	ns	ns1.beget.pro.
anekdot.tatar.	86400	in	ns	ns2.beget.com.
anekdot.tatar.	86400	in	ns	ns2.beget.pro.
aniem.tatar.	86400	in	ns	ns1.nameself.com.
aniem.tatar.	86400	in	ns	ns2.nameself.com.
anime.tatar.	86400	in	ns	ainsley.ns.cloudflare.com.
anime.tatar.	86400	in	ns	santino.ns.cloudflare.com.
anobject.tatar.	86400	in	ns	ns1.vercel-dns.com.
anobject.tatar.	86400	in	ns	ns2.vercel-dns.com.
antat.tatar.	86400	in	ns	ipian.antat.tatar.
antat.tatar.	86400	in	ns	ns.antat.ru.
anus.tatar.	86400	in	ns	ns3-l2.nic.ru.
anus.tatar.	86400	in	ns	ns4-cloud.nic.ru.
anus.tatar.	86400	in	ns	ns4-l2.nic.ru.
anus.tatar.	86400	in	ns	ns8-cloud.nic.ru.
anus.tatar.	86400	in	ns	ns8-l2.nic.ru.
anvarius.tatar.	86400	in	ns	statuspage1.nic.ru.
anvarius.tatar.	86400	in	ns	statuspage2.nic.ru.
apanay.tatar.	86400	in	ns	ns1.ht-systems.ru.
apanay.tatar.	86400	in	ns	ns2.ht-systems.ru.
apart.tatar.	86400	in	ns	ns1.spaceweb.ru.
apart.tatar.	86400	in	ns	ns2.spaceweb.ru.
apart.tatar.	86400	in	ns	ns3.spaceweb.pro.
apart.tatar.	86400	in	ns	ns4.spaceweb.pro.
apartment.tatar.	86400	in	ns	ns1.reg.ru.
apartment.tatar.	86400	in	ns	ns2.reg.ru.
apartments.tatar.	86400	in	ns	ns1.reg.ru.
apartments.tatar.	86400	in	ns	ns2.reg.ru.
api.tatar.	86400	in	ns	kanye.ns.cloudflare.com.
api.tatar.	86400	in	ns	zoe.ns.cloudflare.com.
app-er.tatar.	86400	in	ns	ns1.reg.ru.
app-er.tatar.	86400	in	ns	ns2.reg.ru.
app.tatar.	86400	in	ns	ns1.nameself.com.
app.tatar.	86400	in	ns	ns2.nameself.com.
apple.tatar.	86400	in	ns	ns1.smartape.ru.
apple.tatar.	86400	in	ns	ns2.smartape.ru.
appliedmaterials.tatar.	86400	in	ns	udns1.cscdns.net.
appliedmaterials.tatar.	86400	in	ns	udns2.cscdns.uk.
applikata.tatar.	86400	in	ns	ns1.reg.ru.
applikata.tatar.	86400	in	ns	ns2.reg.ru.
apteka.tatar.	86400	in	ns	ns1.reg.ru.
apteka.tatar.	86400	in	ns	ns2.reg.ru.
arbitrum.tatar.	86400	in	ns	ns1.smartape.ru.
arbitrum.tatar.	86400	in	ns	ns2.smartape.ru.
archives.tatar.	86400	in	ns	ns3-l2.nic.ru.
archives.tatar.	86400	in	ns	ns4-cloud.nic.ru.
archives.tatar.	86400	in	ns	ns4-l2.nic.ru.
archives.tatar.	86400	in	ns	ns8-cloud.nic.ru.
archives.tatar.	86400	in	ns	ns8-l2.nic.ru.
arenda-116.tatar.	86400	in	ns	ns1.korzilla.ru.
arenda-116.tatar.	86400	in	ns	ns2.korzilla.ru.
arenda-16.tatar.	86400	in	ns	ns1.korzilla.ru.
arenda-16.tatar.	86400	in	ns	ns2.korzilla.ru.
arenda-chelny.tatar.	86400	in	ns	ns1.korzilla.ru.
arenda-chelny.tatar.	86400	in	ns	ns2.korzilla.ru.
arenda-nabchelny.tatar.	86400	in	ns	ns1.korzilla.ru.
arenda-nabchelny.tatar.	86400	in	ns	ns2.korzilla.ru.
arenda-rt.tatar.	86400	in	ns	ns1.korzilla.ru.
arenda-rt.tatar.	86400	in	ns	ns2.korzilla.ru.
arenda-spectehniki.tatar.	86400	in	ns	ns1.reg.ru.
arenda-spectehniki.tatar.	86400	in	ns	ns2.reg.ru.
arenda-tatarstan.tatar.	86400	in	ns	ns1.korzilla.ru.
arenda-tatarstan.tatar.	86400	in	ns	ns2.korzilla.ru.
arendachelny.tatar.	86400	in	ns	ns1.korzilla.ru.
arendachelny.tatar.	86400	in	ns	ns2.korzilla.ru.
arkada.tatar.	86400	in	ns	kia.ns.cloudflare.com.
arkada.tatar.	86400	in	ns	mario.ns.cloudflare.com.
arkadash.tatar.	86400	in	ns	ns1.tildadns.com.
arkadash.tatar.	86400	in	ns	ns2.tildadns.com.
arket.tatar.	86400	in	ns	a1-139.akam.net.
arket.tatar.	86400	in	ns	a11-66.akam.net.
arket.tatar.	86400	in	ns	a12-67.akam.net.
arket.tatar.	86400	in	ns	a28-64.akam.net.
arket.tatar.	86400	in	ns	a5-65.akam.net.
arket.tatar.	86400	in	ns	a8-66.akam.net.
art.tatar.	86400	in	ns	statuspage1.nic.ru.
art.tatar.	86400	in	ns	statuspage2.nic.ru.
