ajudar.ltda.	3600	in	ns	d.ns14.net.
algoai.ltda.	3600	in	ns	ns73.domaincontrol.com.
algoai.ltda.	3600	in	ns	ns74.domaincontrol.com.
alma.ltda.	3600	in	ns	ns41.domaincontrol.com.
alma.ltda.	3600	in	ns	ns42.domaincontrol.com.
alo789.ltda.	3600	in	ns	dns1.registrar-servers.com.
alo789.ltda.	3600	in	ns	dns2.registrar-servers.com.
amazon.ltda.	3600	in	ns	nsgbr.comlaude.co.uk.
amazon.ltda.	3600	in	ns	nssui.comlaude.ch.
amazon.ltda.	3600	in	ns	nsusa.comlaude.net.
andalogo.ltda.	3600	in	ns	dns1.registrar-servers.com.
andalogo.ltda.	3600	in	ns	dns2.registrar-servers.com.
antofagastaparts.ltda.	3600	in	ns	dns1.hosting.cl.
antofagastaparts.ltda.	3600	in	ns	dns2.hosting.cl.
antofagastaparts.ltda.	3600	in	ns	dns3.hosting.cl.
antofagastaparts.ltda.	3600	in	ns	dns4.hosting.cl.
app.ltda.	3600	in	ns	curitiba.ns.porkbun.com.
app.ltda.	3600	in	ns	fortaleza.ns.porkbun.com.
app.ltda.	3600	in	ns	maceio.ns.porkbun.com.
app.ltda.	3600	in	ns	salvador.ns.porkbun.com.
appdetex.ltda.	3600	in	ns	ns-cloud-b1.googledomains.com.
appdetex.ltda.	3600	in	ns	ns-cloud-b2.googledomains.com.
appdetex.ltda.	3600	in	ns	ns-cloud-b3.googledomains.com.
appdetex.ltda.	3600	in	ns	ns-cloud-b4.googledomains.com.
apple.ltda.	3600	in	ns	kate.ns.cloudflare.com.
apple.ltda.	3600	in	ns	oswald.ns.cloudflare.com.
arbrasil.ltda.	3600	in	ns	cdns1.main-hosting.eu.
arbrasil.ltda.	3600	in	ns	cdns2.main-hosting.eu.
armastek.ltda.	3600	in	ns	ns1.reg.ru.
armastek.ltda.	3600	in	ns	ns2.reg.ru.
armo.ltda.	3600	in	ns	ns1.dns-parking.com.
armo.ltda.	3600	in	ns	ns2.dns-parking.com.
ars.ltda.	3600	in	ns	curitiba.ns.porkbun.com.
ars.ltda.	3600	in	ns	fortaleza.ns.porkbun.com.
ars.ltda.	3600	in	ns	maceio.ns.porkbun.com.
ars.ltda.	3600	in	ns	salvador.ns.porkbun.com.
artmetal.ltda.	3600	in	ns	dns1.name-services.com.
artmetal.ltda.	3600	in	ns	dns2.name-services.com.
artmetal.ltda.	3600	in	ns	dns3.name-services.com.
artmetal.ltda.	3600	in	ns	dns4.name-services.com.
artmetal.ltda.	3600	in	ns	dns5.name-services.com.
aspneus.ltda.	3600	in	ns	ns01.domaincontrol.com.
aspneus.ltda.	3600	in	ns	ns02.domaincontrol.com.
