02k4r51sbvu87nqj065speogjs7roaln.capital.	3600	in	rrsig	NSEC3 8 2 3600 20260122152720 20260101142720 40794 capital. UngHJA7MXWa0JLqV7fxC/xxRL1toiTxShSITWoKHm188NL00REvTjTHP5fuPe837irQmxHIatuCIQ1/1gFH7GxRLGCkO8+WkgATBi+A2AraiJb1BJF0iyhCwNsl1Ma3HZuV/DjZ1+Qk3bJH/T4wygfH/IhwPWtK9fFw/zg8z1MU=
02t2i43dd1thi3s94s4p98gp7mm7qupm.capital.	3600	in	nsec3	1 1 0 73 032J7LE26COHRO2MV3BOEMIQLPBBB2C8 NS DS RRSIG
02t2i43dd1thi3s94s4p98gp7mm7qupm.capital.	3600	in	rrsig	NSEC3 8 2 3600 20260122152720 20260101142720 40794 capital. WsR7nquCGy0aNOcAfALT86/6Jh7metK/z70lRjiTNyVdu0vQZDOna0PLIw5PHnHnvC4cyw+vN/hFmXh6DMgrzLyIdeQd2AlmRU7nDU1o7OeOcrENUg6vObsTkyME3eSoXJzCro2wI/YvRT7EDt2rdU0znQCYK1qU7KtdSog+riE=
032j7le26cohro2mv3boemiqlpbbb2c8.capital.	3600	in	nsec3	1 1 0 73 03PM909GDCOI7GHD1IGQRIGJSG1LU1PI NS DS RRSIG
032j7le26cohro2mv3boemiqlpbbb2c8.capital.	3600	in	rrsig	NSEC3 8 2 3600 20260122152720 20260101142720 40794 capital. khgiNO7YFALRyclDn9e3VeHAIhtev0HszTGgpukIdkIYdwDmKjkhoZLAUFtFzMxYQdnYI/yR1XH0PiTSJ4+BsW5uTR3h+lOMzuE0Bl5H+KmhzRFKRdyhx6CqmRc/11IKsykO+xHi3uVRgjEjPFcoFODIf9F2oiNLyF6Qrmc6dTA=
03pm909gdcoi7ghd1igqrigjsg1lu1pi.capital.	3600	in	nsec3	1 1 0 73 04AH18T1I7J6E79NS5GPB90G4IMUI8GQ NS DS RRSIG
03pm909gdcoi7ghd1igqrigjsg1lu1pi.capital.	3600	in	rrsig	NSEC3 8 2 3600 20260122152720 20260101142720 40794 capital. iV43zVzDNaJxI5SbeZfSsFjLN9OKyaZ8OfgOqOG062+kiVc4dxORFIsr715ucohqcEiXFGKBMyC9TiewdhhomNF5BXz2P9St2+ZWv6SO4NEPk5iDQMEd82UXsdRNTcAUrmP2h8n10T+PsvpeADilOlDX7wZDosJ0DcvEz8nVLT4=
040.capital.	3600	in	ns	dns1.registrar-servers.com.
040.capital.	3600	in	ns	dns2.registrar-servers.com.
04ah18t1i7j6e79ns5gpb90g4imui8gq.capital.	3600	in	nsec3	1 1 0 73 04R8N8CMKMTBT7TD5DTB3B7R6TRE8SUI NS DS RRSIG
04ah18t1i7j6e79ns5gpb90g4imui8gq.capital.	3600	in	rrsig	NSEC3 8 2 3600 20260122152720 20260101142720 40794 capital. Wb4Xm4okNJUMaup2rp44weawX0WqObE9ey2UL3vpSBhM6TA7rhLVhn0xMZuLv819kSBFanffyCWLyyMDThUJ/jCmtQECibwUp8ayJM2aNzN2g+nPjp7pfWhsZIgxErmX1GwbOosHZZ/XxsCBooRIdBH1GZzmzMqBuZG++2D17yo=
04r8n8cmkmtbt7td5dtb3b7r6tre8sui.capital.	3600	in	nsec3	1 1 0 73 04T51QNM0I8J714TB6FOQ8Q6USK6VPT8 NS DS RRSIG
04r8n8cmkmtbt7td5dtb3b7r6tre8sui.capital.	3600	in	rrsig	NSEC3 8 2 3600 20260122152720 20260101142720 40794 capital. eCtGDffZvAx/9aok2Cvaaf3U/5vxJyuiQAF0iqOhfvEYGbJN9jnz44m/nZ/yRQ7syWbt1lNWJsHrqJRV2OoEw7YnRj43HxXlhrGDZAKhPB1BWG/ytWxYR56qAwWC0L4VNVF4oj7bpN+nWY5Jly/YFHzI6+aa5UaOjtOyzVcb2z4=
04t51qnm0i8j714tb6foq8q6usk6vpt8.capital.	3600	in	nsec3	1 1 0 73 05E6NTPFTKJO40389PF0P861NHQ3MDNR NS DS RRSIG
04t51qnm0i8j714tb6foq8q6usk6vpt8.capital.	3600	in	rrsig	NSEC3 8 2 3600 20260122152720 20260101142720 40794 capital. GHmUL/tXbBR32eKhzXfd7ayVuEx127bo1HP4DQEQ+IhoEv1bKkIBgdP9pnpOu0swWywDq6RYQeP8edkqXImDh4YgeLMqWKZp8xMODkYoP6qG/kUQ0q3Ope0f5FrgBiiVg40EKXW2BiPuQ4nAZqAymRuChtzGmnWA6I4bn33XMlI=
05e6ntpftkjo40389pf0p861nhq3mdnr.capital.	3600	in	nsec3	1 1 0 73 05L4VFA93BISLCDUJ7NUTK9LACTLRCU5 NS DS RRSIG
05e6ntpftkjo40389pf0p861nhq3mdnr.capital.	3600	in	rrsig	NSEC3 8 2 3600 20260122152720 20260101142720 40794 capital. Ccyc1VVR/J/rHGHjgTz3QgZkTHfw3YoTFKdwYKonMzv+EITTgqTB0o5XPzLKiMd5SGkjZ5IaHCuC+c+wyJi8YUv/D5AbSmvO95MQU1kZvS+kZR5YQk7EuvJlWnVdMbXFrWo4RINu+AdrrdV+JQ0orkIdtYw5A51OpoA5M46RPF0=
05l4vfa93bislcduj7nutk9lactlrcu5.capital.	3600	in	nsec3	1 1 0 73 060I80449DBABSDB98PGS12N29C7SSC4 NS DS RRSIG
05l4vfa93bislcduj7nutk9lactlrcu5.capital.	3600	in	rrsig	NSEC3 8 2 3600 20260122152720 20260101142720 40794 capital. d4Ak7K0Hiwypx/4BgonXyPmlWDSAggNVKcqkWZ7JOsmLxsdzxCfl6iE1mU8WYuR9r7yixjCuW4PwRUXAOTGQHNuAqjV7R2XOXNirSjii1oH5HSreMfdM2M2GDvBEO0IkG04HJKRizDF0qaLj2YHNYUmpv2yQ9Fe5IdDBi8q695g=
