2mh0kmo3ji0mul4rlm4mvrvbk7o6m887.forex.	3600	in	rrsig	NSEC3 8 2 3600 20260122154524 20260101144524 59649 forex. bZkAaclVA9nawpaydXhegOWpacTX7bmVBqViVUnz1ojmGz9m92crnEkW/qa0uqz7WHGxBxIl9iCFWjRhcUydEhtscMoztgU24mAdEWp6Wkn9bxY/lSpC2eK/7D7Yw7A/b44PVOw+OGBqCdGe/1KtGdZNVI7sE49+snfxFAX0TW8=
2qh98omam7ae9rjlmq1faa85j2ea2ea2.forex.	3600	in	nsec3	1 1 0 73 3BHLP0HRKB7UBJ87FRBTPCAEJRKQ8AAO NS DS RRSIG
2qh98omam7ae9rjlmq1faa85j2ea2ea2.forex.	3600	in	rrsig	NSEC3 8 2 3600 20260122154524 20260101144524 59649 forex. Abmip7ZvM7eJ1ArG09EmDgpfRCU/SnNPkhnAWKjx6RMMiMaYLnWDZGYCfBIcdVleLHRvuTltoaTwsJaDbeeDLCIz0qInNPaYxgrd7FhTiTRypOYBPRgPuTkV+BPkqBZMcsae7dLr1y9qcBfwCvzeoc9xIhH/c+XmWFjsJLpq8zs=
33bet.forex.	3600	in	ns	brian.ns.cloudflare.com.
33bet.forex.	3600	in	ns	dahlia.ns.cloudflare.com.
33win.forex.	3600	in	ns	andronicus.ns.cloudflare.com.
33win.forex.	3600	in	ns	aurora.ns.cloudflare.com.
360.forex.	3600	in	ns	ns1.sedoparking.com.
360.forex.	3600	in	ns	ns2.sedoparking.com.
365.forex.	3600	in	ns	ns1.ooparked.com.
365.forex.	3600	in	ns	ns2.ooparked.com.
388bet.forex.	3600	in	ns	ns1.dyna-ns.net.
388bet.forex.	3600	in	ns	ns2.dyna-ns.net.
3bhlp0hrkb7ubj87frbtpcaejrkq8aao.forex.	3600	in	nsec3	1 1 0 73 3F6S4ASS9OGJ47F6S4TNO7R1BC52U55H NS DS RRSIG
3bhlp0hrkb7ubj87frbtpcaejrkq8aao.forex.	3600	in	rrsig	NSEC3 8 2 3600 20260122154524 20260101144524 59649 forex. w/lNPXZTSJHu4HMQ3tRyOt+QVziLO+bRbyJYq8WhTNWauRqbFLrFxxeRyz56Z4EgvYEt+32wlFxvAASb4bktASO+MTO4pDnB3jvja3YPl1V7xrtmKeW2fRiTm+bwdG3lY+H9J5qFNvB99F/H3CkhbKrY/X3wUHta3N/J6IDAqRk=
3d.forex.	3600	in	ns	ns1.dns-redirect.com.
3d.forex.	3600	in	ns	ns2.dns-redirect.com.
3f6s4ass9ogj47f6s4tno7r1bc52u55h.forex.	3600	in	nsec3	1 1 0 73 4FF8F9LFNPSLA87I0KINRUJGBRDFBOLI NS DS RRSIG
3f6s4ass9ogj47f6s4tno7r1bc52u55h.forex.	3600	in	rrsig	NSEC3 8 2 3600 20260122154524 20260101144524 59649 forex. 26F2eqXGLJeZ2v1OSMq5wFVAtc3kUmGFwC9eiKm/BIACriiJIVsBNUg/gNEUKzZhgfQjPVU5P2xoBCzG990/+cYrIfqQo1WFjPw6VWvmpBaDU4Ok24ZFY2M8iznmznutjGn/q3GWt0SSiprFiXVtEBk+dV6ZDLZhVSPU0U7jxWI=
