0h65i7onvkp20qgqfev258rfl9af6ejm.med.	3600	in	rrsig	NSEC3 8 2 3600 20251102050401 20251001034000 11923 med. Oly+qwGpOlhPuVpKZ0k75IaQNo+mNu8XHpEquVX9QSs3KjLtF4Frhg38Fojd8vSELQC1pv1Dpx6/g5VCGIyZUo3ziLR/gYU1oQpbLDYHNdRXrl3ku8iUKCYSTYKVHImF8hOWz0Y94SazIPJr74v9HsMBbsZD0vheDTrmF9C9qsYallOvYzYh9SyiE7gJ08mm/Bm/uFDCUeC/chZq84jOFShs5txVe5OdWX8ApACC17JI2phYoNO8wp0CFEOcRYWhOlRv/lrmzbQhpd4rabXWoUqSxbtOxAUyaO0HylGwb/9bkvlGHytZRb+QJhWQwwo4zJTrC+uH84fMKhjoXiYAJQ==
0jn2m9d968geog144tjsg0qutc551ur0.med.	3600	in	nsec3	1 1 0 - 0L65HE3TQT2N8O5TE0HS0APK37Q1VBF0 NS DS RRSIG
0jn2m9d968geog144tjsg0qutc551ur0.med.	3600	in	rrsig	NSEC3 8 2 3600 20251102050401 20251001034000 11923 med. iFyrFBpjsrgXNPoehPHN7ukMosZ0WvXJqJPLqbEWeHMLSalGxVruCUFI8L20f8OwjRyEH0XEGobNv3ql9yU1xVjahAbgkg3LbNyLFx1SGFB3LZeJMx1uAG3cwIbAYww71cg7SIK5zguBk/RgOppvT5DePYELrtDZDc/dBdzaajwE6+RnUAiWCWBZ7wtnmgK13HbirMAkCZGKTFNWSc3JRLiXwRnalQY5p3ToOb4DSMDPvFRnO3Qq1VDrGuwlt8YVi8lWJjbtBbS6/kYp7QAsqM83T0gCNG7tr1C54iwaHezmfceY0grU01m2pz/Ktgw7Gc69A/o8Q5hOAasGkrDzZw==
0l65he3tqt2n8o5te0hs0apk37q1vbf0.med.	3600	in	nsec3	1 1 0 - 1I3TA7P9V2V90G8NHJ8CU11FIDB22IPE NS DS RRSIG
0l65he3tqt2n8o5te0hs0apk37q1vbf0.med.	3600	in	rrsig	NSEC3 8 2 3600 20251101230155 20250927223930 11923 med. I+GGUawSWt6D5nK1wdP1FauCXRSlFmxj35npN29MyoQ40h0SkumQmoHkZiZTutv/HBIXXSmPdLRzWLVOysHlwheVXpkQEFeukS8obH6aCdokKDFk6TL/Uc8yX58zMjwsvZoHr0GVHLb5DKRsONK72WSbj9OvVGXYG8oULjMeyhr6ZcgfFVYhmF+1mYaHol+jvCqAkA6vaKEcTqqGBU0sWHgTrFqEFpG6zBsXQqyqhDTnokX6kAm/Kbc3AKwRs+281IZz+5NlJGpuk3EdndQKyo6svXqPuM1chRkacAGCUOpmWy/6Txrie933VyBIUlLP3e9gfobD4CbtJSDqurQMgA==
1.med.	172800	in	ns	ns1.101domain.com.
1.med.	172800	in	ns	ns2.101domain.com.
10300934155737.med.	172800	in	ns	ns-cloud-a1.googledomains.com.
10300934155737.med.	172800	in	ns	ns-cloud-a2.googledomains.com.
10300934155737.med.	172800	in	ns	ns-cloud-a3.googledomains.com.
10300934155737.med.	172800	in	ns	ns-cloud-a4.googledomains.com.
